date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,24,16,0.0,5.7,1,1,80,02:57 PM,03:11 AM,06:15 AM,05:35 PM,16,19,19,19,18,78,86,0.7,1016,24,7,22,14
2020-01-08,25,15,0.0,8.7,1,1,88,03:48 PM,04:06 AM,06:15 AM,05:36 PM,14,20,21,20,24,41,78,0.1,1017,25,10,29,20
2020-01-09,24,15,0.0,8.7,1,1,95,04:44 PM,05:04 AM,06:15 AM,05:37 PM,15,18,19,18,22,54,83,0.2,1016,24,10,40,17
2020-01-10,26,16,0.0,7.2,1,1,100,05:44 PM,06:03 AM,06:16 AM,05:37 PM,15,21,21,20,20,67,79,1.0,1014,26,8,49,15
2020-01-11,25,16,0.0,7.2,1,1,100,06:46 PM,07:02 AM,06:16 AM,05:38 PM,16,19,20,19,17,61,82,0.5,1014,25,9,42,13
2020-01-12,25,16,0.0,8.7,1,1,83,07:48 PM,07:58 AM,06:16 AM,05:38 PM,15,20,20,20,22,48,80,0.4,1014,25,10,49,17
2020-01-13,25,15,0.0,5.7,1,1,76,08:48 PM,08:50 AM,06:16 AM,05:39 PM,15,19,20,19,24,54,80,0.6,1015,25,10,47,17
2020-01-14,24,16,0.0,4.2,1,1,69,09:47 PM,09:39 AM,06:16 AM,05:39 PM,15,19,20,19,24,73,80,1.3,1015,24,10,42,18
2020-01-15,25,15,0.0,8.7,1,1,61,10:44 PM,10:24 AM,06:17 AM,05:40 PM,14,19,20,19,25,34,75,0.1,1014,25,10,46,19
2020-01-16,25,16,0.0,5.7,1,1,54,11:40 PM,11:09 AM,06:17 AM,05:41 PM,15,19,20,19,22,75,81,0.6,1014,25,9,37,18
2020-01-17,25,17,0.0,7.2,1,1,47,No moonrise,11:53 AM,06:17 AM,05:41 PM,16,20,20,20,23,46,79,0.2,1014,25,10,46,19
2020-01-18,26,16,0.0,8.7,1,1,40,12:35 AM,12:37 PM,06:17 AM,05:42 PM,15,20,21,20,20,54,80,0.0,1014,26,9,44,15
2020-01-19,26,16,0.0,8.7,1,1,32,01:32 AM,01:23 PM,06:17 AM,05:42 PM,16,22,22,20,16,56,80,0.1,1014,26,8,26,13
