date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,3,-0,0.0,8.7,1,1,80,01:30 PM,03:52 AM,07:31 AM,04:09 PM,-6,-0,1,-0,7,9,57,0.0,1030,3,10,219,6
2020-01-08,5,-1,0.0,8.7,1,1,88,02:07 PM,05:01 AM,07:31 AM,04:10 PM,-5,1,2,1,6,12,62,0.0,1032,5,10,187,4
2020-01-09,1,-1,0.0,3.3,1,1,95,02:53 PM,06:08 AM,07:30 AM,04:11 PM,-2,-2,1,-2,10,77,84,0.0,1029,1,10,154,7
2020-01-10,3,-3,0.0,8.7,1,1,100,03:51 PM,07:11 AM,07:30 AM,04:12 PM,-4,-1,1,-1,8,20,71,0.0,1024,3,10,169,6
2020-01-11,6,-2,0.0,8.7,1,1,100,04:59 PM,08:06 AM,07:30 AM,04:13 PM,-0,0,3,0,14,13,80,0.0,1029,6,10,314,9
2020-01-12,6,1,0.0,8.7,1,1,83,06:14 PM,08:52 AM,07:29 AM,04:15 PM,1,3,3,3,4,9,82,0.0,1031,6,10,205,3
2020-01-13,4,-0,0.0,8.7,1,1,76,07:33 PM,09:29 AM,07:29 AM,04:16 PM,-1,0,2,0,7,25,84,0.0,1028,4,10,188,5
2020-01-14,3,-1,0.0,6.9,1,1,69,08:52 PM,10:00 AM,07:28 AM,04:17 PM,-2,-2,1,-2,11,55,85,0.0,1026,3,10,128,8
2020-01-15,4,-0,0.0,8.7,1,1,61,10:10 PM,10:27 AM,07:28 AM,04:19 PM,-1,-1,2,-1,10,4,81,0.0,1029,4,10,98,8
2020-01-16,3,-2,0.0,3.3,1,1,54,11:27 PM,10:52 AM,07:27 AM,04:20 PM,-3,0,2,0,7,49,74,0.0,1032,3,10,108,5
2020-01-17,4,0,0.0,8.7,1,1,47,No moonrise,11:16 AM,07:26 AM,04:21 PM,-2,-1,1,-1,10,38,76,0.0,1029,4,10,100,7
2020-01-18,3,-1,0.0,8.7,1,1,40,12:42 AM,11:42 AM,07:25 AM,04:23 PM,-3,-1,1,-1,9,49,75,0.0,1026,3,10,199,6
2020-01-19,2,-1,0.5,5.1,1,1,32,01:58 AM,12:09 PM,07:25 AM,04:24 PM,-2,0,1,0,4,76,81,0.7,1030,2,8,216,3
2020-01-20,6,0,0.1,6.9,1,1,25,03:11 AM,12:41 PM,07:24 AM,04:26 PM,1,1,3,1,8,48,90,0.2,1043,6,8,292,6
2020-01-21,6,0,0.0,8.7,1,1,18,04:22 AM,01:20 PM,07:23 AM,04:27 PM,-0,1,2,1,9,9,83,0.0,1043,6,10,258,7
2020-01-22,2,-1,0.0,8.7,1,1,11,05:28 AM,02:06 PM,07:22 AM,04:29 PM,-3,-2,1,-2,15,14,77,0.0,1033,2,10,272,10
2020-01-23,5,-1,0.0,8.7,1,1,3,06:25 AM,02:59 PM,07:21 AM,04:30 PM,-0,2,3,2,5,1,77,0.0,1034,5,10,216,4
2020-01-24,5,-1,0.0,8.7,1,1,0,07:14 AM,03:59 PM,07:20 AM,04:32 PM,-2,1,2,1,7,3,72,0.0,1029,5,10,144,5
2020-01-25,3,-1,0.0,8.7,1,1,0,07:54 AM,05:02 PM,07:19 AM,04:33 PM,-4,0,1,0,6,31,69,0.0,1025,3,10,94,4
2020-01-26,3,-1,0.0,3.4,1,1,4,08:27 AM,06:07 PM,07:18 AM,04:35 PM,-3,-1,1,-1,9,85,73,0.0,1023,3,10,73,6
2020-01-27,6,1,0.0,6.9,1,1,11,08:54 AM,07:12 PM,07:17 AM,04:36 PM,-2,2,3,2,7,47,69,0.0,1019,6,10,294,5
2020-01-28,5,-1,0.0,3.5,1,1,18,09:17 AM,08:16 PM,07:16 AM,04:38 PM,2,0,3,0,18,84,91,19.2,1008,5,9,169,10
2020-01-29,5,2,0.0,5.2,1,1,26,09:38 AM,09:19 PM,07:15 AM,04:39 PM,0,-0,3,-0,20,55,82,6.3,1009,5,9,268,13
2020-01-30,5,1,0.5,7.0,1,1,33,09:58 AM,10:21 PM,07:13 AM,04:41 PM,-1,-1,3,-1,23,65,77,0.9,1017,5,8,267,14
2020-01-31,10,3,0.0,3.5,1,1,37,10:17 AM,11:24 PM,07:12 AM,04:42 PM,3,4,6,4,28,52,82,2.4,1012,10,10,255,15
2020-02-01,12,7,0.0,7.0,1,1,49,10:37 AM,No moonset,07:11 AM,04:44 PM,6,7,9,7,20,31,83,0.0,1013,12,10,222,11
2020-02-02,13,7,0.0,8.7,1,1,57,11:00 AM,12:28 AM,07:10 AM,04:45 PM,5,8,10,8,32,59,70,0.2,1013,13,10,278,20
2020-02-03,10,8,0.0,3.5,1,1,64,11:27 AM,01:34 AM,07:08 AM,04:47 PM,5,7,10,7,33,72,74,3.0,1012,10,8,299,22
2020-02-04,8,5,0.0,3.5,1,1,72,11:59 AM,02:40 AM,07:07 AM,04:49 PM,2,3,7,3,40,85,70,26.7,1001,8,9,273,28
2020-02-05,8,1,0.0,7.0,1,1,79,12:40 PM,03:48 AM,07:06 AM,04:50 PM,-5,-1,4,-1,40,49,51,0.0,1012,8,10,128,28
2020-02-06,5,0,0.0,8.7,1,1,87,01:32 PM,04:52 AM,07:04 AM,04:52 PM,-6,-2,2,-2,26,25,57,0.0,1026,5,10,317,18
2020-02-07,8,1,0.0,8.7,1,1,95,02:34 PM,05:51 AM,07:03 AM,04:53 PM,-1,0,4,0,20,53,71,0.0,1026,8,10,334,14
2020-02-08,6,0,0.0,8.7,1,1,100,03:48 PM,06:41 AM,07:01 AM,04:55 PM,-10,1,3,1,9,5,38,0.0,1031,6,10,154,8
2020-02-09,6,2,0.0,8.7,1,1,100,05:07 PM,07:24 AM,07:00 AM,04:57 PM,-6,1,4,1,13,23,49,0.0,1028,6,10,155,9
2020-02-10,14,4,0.0,3.8,1,1,83,06:29 PM,07:58 AM,06:58 AM,04:58 PM,2,5,8,5,41,66,65,1.1,1010,14,9,251,26
2020-02-11,9,5,0.0,5.5,1,1,75,07:51 PM,08:27 AM,06:57 AM,05:00 PM,-1,3,7,3,32,67,60,9.4,1007,9,9,298,23
2020-02-12,7,3,0.0,8.7,1,1,68,09:11 PM,08:54 AM,06:55 AM,05:01 PM,-3,1,5,1,29,36,57,0.0,1016,7,10,296,20
2020-02-13,8,2,1.4,8.7,1,1,60,10:30 PM,09:19 AM,06:53 AM,05:03 PM,-1,2,5,2,19,40,67,5.0,1020,8,9,224,13
2020-02-14,9,5,0.0,5.5,1,1,53,11:47 PM,09:45 AM,06:52 AM,05:05 PM,3,4,7,4,21,67,75,4.1,1016,9,10,310,14
2020-02-15,9,3,0.0,8.7,1,1,45,No moonrise,10:12 AM,06:50 AM,05:06 PM,2,5,6,5,10,22,79,0.0,1029,9,10,81,7
2020-02-16,10,3,0.0,8.7,1,1,38,01:03 AM,10:43 AM,06:49 AM,05:08 PM,2,4,6,4,15,14,75,0.0,1029,10,10,165,10
2020-02-17,12,4,0.0,8.7,1,1,30,02:15 AM,11:20 AM,06:47 AM,05:09 PM,3,7,8,7,11,27,74,0.0,1022,12,10,189,7
2020-02-18,12,4,0.0,8.7,1,1,22,03:22 AM,12:03 PM,06:45 AM,05:11 PM,3,7,9,7,18,34,66,0.2,1023,12,9,317,13
2020-02-19,10,5,0.0,7.1,1,1,15,04:21 AM,12:53 PM,06:43 AM,05:12 PM,1,5,7,5,14,47,64,0.6,1022,10,9,258,10
2020-02-20,8,3,0.0,8.7,1,1,7,05:12 AM,01:51 PM,06:42 AM,05:14 PM,-1,3,6,3,21,11,60,0.8,1023,8,10,319,15
2020-02-21,8,3,0.0,5.6,1,1,0,05:54 AM,02:52 PM,06:40 AM,05:16 PM,-2,2,6,2,29,33,57,1.3,1023,8,9,304,20
2020-02-22,9,3,0.0,8.7,1,1,0,06:28 AM,03:57 PM,06:38 AM,05:17 PM,-1,4,6,4,14,25,60,0.0,1030,9,10,237,10
2020-02-23,10,4,0.0,4.1,1,1,0,06:57 AM,05:01 PM,06:36 AM,05:19 PM,3,5,8,5,29,81,69,0.6,1020,10,9,259,18
2020-02-24,9,5,0.0,8.7,1,1,0,07:21 AM,06:05 PM,06:34 AM,05:20 PM,-2,5,8,5,31,44,50,3.8,1018,9,10,304,22
2020-02-25,14,5,0.0,8.7,1,1,8,07:42 AM,07:09 PM,06:33 AM,05:22 PM,2,7,9,7,22,30,62,0.0,1009,14,10,225,15
2020-02-26,9,5,0.0,4.1,1,1,15,08:02 AM,08:11 PM,06:31 AM,05:23 PM,1,5,8,5,25,80,66,9.8,998,9,9,299,19
2020-02-27,7,3,0.0,8.7,1,1,23,08:21 AM,09:14 PM,06:29 AM,05:25 PM,-3,1,5,1,29,40,56,0.0,1005,7,10,309,21
2020-02-28,7,3,0.2,5.6,1,1,30,08:41 AM,10:17 PM,06:27 AM,05:26 PM,-1,0,5,0,32,55,68,8.1,1009,7,9,327,24
2020-02-29,9,2,0.0,8.7,1,1,38,09:02 AM,11:21 PM,06:25 AM,05:28 PM,-3,2,5,2,22,33,55,0.0,1015,9,10,189,16
2020-03-01,10,6,0.0,5.7,1,1,44,09:27 AM,No moonset,06:23 AM,05:29 PM,2,6,8,6,20,86,65,2.7,1008,10,9,238,14
2020-03-02,13,8,0.0,5.7,1,1,51,09:56 AM,12:26 AM,06:21 AM,05:31 PM,5,7,10,7,28,76,71,26.9,1000,13,9,244,20
2020-03-03,14,8,0.0,4.2,1,1,58,10:31 AM,01:32 AM,06:20 AM,05:32 PM,6,9,11,9,18,92,76,5.5,1000,14,8,226,12
2020-03-04,8,6,0.0,4.2,1,1,65,11:17 AM,02:36 AM,06:18 AM,05:34 PM,2,5,7,5,19,70,69,0.8,1009,8,8,334,15
2020-03-05,13,5,0.0,8.7,1,1,73,12:12 PM,03:36 AM,06:16 AM,05:35 PM,-0,8,9,8,9,4,56,0.0,1010,13,10,262,7
2020-03-06,6,-0,0.0,4.2,1,1,80,01:20 PM,04:29 AM,06:14 AM,05:37 PM,2,2,5,2,16,90,83,18.4,1002,6,6,147,12
2020-03-07,9,5,0.0,8.7,1,1,87,02:35 PM,05:15 AM,06:12 AM,05:38 PM,2,4,7,4,22,43,72,0.2,1010,9,9,318,17
2020-03-08,10,3,0.0,8.7,1,1,95,03:57 PM,05:52 AM,06:10 AM,05:40 PM,-0,5,7,5,11,27,63,0.0,1019,10,10,342,8
2020-03-09,14,6,0.0,8.7,1,1,100,05:20 PM,06:24 AM,06:08 AM,05:41 PM,1,10,10,10,3,1,54,0.0,1016,14,10,280,2
2020-03-10,13,5,0.0,8.7,1,1,100,06:43 PM,06:52 AM,06:06 AM,05:43 PM,1,8,9,8,12,13,60,0.0,1016,13,10,321,9
2020-03-11,13,8,0.0,4.3,1,1,84,08:06 PM,07:18 AM,06:04 AM,05:44 PM,6,9,10,9,25,87,72,1.0,1016,13,7,259,15
2020-03-12,18,10,0.0,8.7,1,1,76,09:27 PM,07:44 AM,06:02 AM,05:46 PM,7,13,14,13,19,28,67,0.0,1016,18,10,226,13
