date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,1,-2,3.2,1.1,1,1,80,01:47 PM,07:10 AM,11:12 AM,03:56 PM,-2,-7,0,-7,52,98,84,12.2,955,1,4,164,42
2020-01-08,0,-8,0.0,1.1,1,1,88,02:00 PM,08:45 AM,11:11 AM,03:59 PM,-6,-10,-2,-10,70,96,68,3.2,976,0,0,259,58
2020-01-09,-1,-7,0.0,1.2,1,1,95,02:27 PM,10:15 AM,11:09 AM,04:01 PM,-6,-10,-2,-10,63,95,69,3.7,982,-1,4,234,52
2020-01-10,4,-3,1.5,1.2,1,1,100,03:22 PM,11:23 AM,11:07 AM,04:04 PM,0,-5,1,-5,58,96,90,15.3,968,4,4,116,43
2020-01-11,3,-2,0.2,1.3,1,1,100,04:49 PM,12:01 PM,11:05 AM,04:07 PM,-4,-7,1,-7,65,92,73,3.8,960,3,3,217,51
2020-01-12,-0,-3,1.4,1.3,1,1,83,06:33 PM,12:19 PM,11:03 AM,04:09 PM,-4,-9,-2,-9,40,89,85,5.3,972,-0,4,104,30
2020-01-13,-1,-8,0.4,3.5,1,1,76,08:22 PM,12:28 PM,11:01 AM,04:12 PM,-6,-8,-2,-8,42,86,75,0.8,972,-1,6,52,29
2020-01-14,1,-6,0.0,5.6,1,1,69,10:08 PM,12:33 PM,10:59 AM,04:15 PM,-4,-7,-0,-7,59,45,75,0.1,964,1,8,8,42
2020-01-15,1,-0,0.0,5.6,1,1,61,11:52 PM,12:36 PM,10:56 AM,04:18 PM,-2,-6,0,-6,39,20,83,0.0,973,1,10,20,26
2020-01-16,2,-0,2.1,1.4,1,1,54,No moonrise,12:38 PM,10:54 AM,04:21 PM,-1,-3,2,-3,31,83,85,2.5,984,2,5,140,21
2020-01-17,1,-3,2.0,1.4,1,1,47,01:33 AM,12:40 PM,10:51 AM,04:24 PM,-3,-4,1,-4,30,76,75,2.6,1000,1,7,278,20
2020-01-18,1,-3,0.1,3.6,1,1,40,03:14 AM,12:43 PM,10:49 AM,04:28 PM,-4,-4,-0,-4,26,58,75,0.1,1012,1,10,129,15
2020-01-19,6,3,0.0,1.5,1,1,32,04:54 AM,12:47 PM,10:46 AM,04:31 PM,3,-1,5,-1,71,91,84,17.4,995,6,9,210,46
2020-01-20,3,-5,1.8,1.5,1,1,25,06:35 AM,12:54 PM,10:44 AM,04:34 PM,-3,-5,1,-5,64,95,73,7.0,1007,3,0,242,48
2020-01-21,3,-3,0.6,1.5,1,1,18,08:13 AM,01:07 PM,10:41 AM,04:37 PM,1,-3,2,-3,38,100,90,4.8,1020,3,4,174,27
2020-01-22,7,0,0.0,1.5,1,1,11,09:39 AM,01:35 PM,10:39 AM,04:40 PM,3,-2,4,-2,62,99,90,17.4,1005,7,5,213,41
2020-01-23,-0,-5,0.0,1.5,1,1,3,10:39 AM,02:26 PM,10:36 AM,04:44 PM,-7,-9,-1,-9,78,96,64,2.2,996,-0,4,253,63
2020-01-24,-0,-5,0.3,1.5,1,1,0,11:12 AM,03:44 PM,10:33 AM,04:47 PM,-4,-6,-1,-6,36,93,75,1.5,999,-0,6,152,27
2020-01-25,2,-3,2.5,1.6,1,1,0,11:28 AM,05:12 PM,10:30 AM,04:50 PM,-2,-6,0,-6,41,93,85,9.9,976,2,5,125,29
2020-01-26,1,-1,0.4,3.7,1,1,4,11:36 AM,06:42 PM,10:27 AM,04:54 PM,-3,-6,0,-6,41,72,79,1.0,968,1,7,94,29
2020-01-27,-1,-6,0.4,5.8,1,1,11,11:40 AM,08:10 PM,10:24 AM,04:57 PM,-5,-6,-1,-6,38,33,74,0.5,968,-1,9,80,24
2020-01-28,1,-0,0.5,5.8,1,1,18,11:43 AM,09:36 PM,10:22 AM,05:00 PM,-4,-4,0,-4,26,28,75,0.6,982,1,9,80,16
2020-01-29,-2,-7,0.0,5.8,1,1,26,11:44 AM,10:59 PM,10:19 AM,05:04 PM,-8,-6,-2,-6,20,7,63,0.0,988,-2,10,54,11
2020-01-30,-0,-3,0.0,5.8,1,1,33,11:45 AM,No moonset,10:16 AM,05:07 PM,-4,-6,-1,-6,23,15,82,0.0,985,-0,10,16,13
2020-01-31,-1,-3,0.0,5.8,1,1,37,11:46 AM,12:21 AM,10:13 AM,05:11 PM,-4,-7,-2,-7,29,7,82,0.0,987,-1,10,27,18
2020-02-01,-1,-3,0.0,1.8,1,1,49,11:47 AM,01:45 AM,10:10 AM,05:14 PM,-6,-5,-2,-5,11,40,76,0.0,993,-1,10,147,7
2020-02-02,-1,-3,0.0,5.8,1,1,57,11:50 AM,03:11 AM,10:07 AM,05:17 PM,-6,-6,-2,-6,22,36,74,0.0,994,-1,10,88,13
2020-02-03,0,-5,0.4,1.8,1,1,64,11:54 AM,04:40 AM,10:04 AM,05:21 PM,-4,-4,-1,-4,16,87,75,0.5,996,0,9,134,10
2020-02-04,4,-4,0.1,1.8,1,1,72,12:03 PM,06:13 AM,10:01 AM,05:24 PM,-0,-2,1,-2,30,84,85,11.8,1008,4,9,143,19
2020-02-05,6,2,0.0,1.9,1,1,79,12:21 PM,07:45 AM,09:58 AM,05:27 PM,6,2,6,2,51,100,96,23.7,999,6,7,182,29
2020-02-06,8,0,0.0,3.9,1,1,87,01:00 PM,09:05 AM,09:54 AM,05:31 PM,3,1,6,1,62,89,84,2.7,996,8,7,176,40
2020-02-07,7,4,0.0,2.0,1,1,95,02:12 PM,09:57 AM,09:51 AM,05:34 PM,3,-0,6,-0,63,93,86,10.4,979,7,8,143,43
2020-02-08,3,1,1.3,2.0,1,1,100,03:52 PM,10:23 AM,09:48 AM,05:37 PM,-3,-4,2,-4,48,71,69,1.7,966,3,5,151,34
2020-02-09,-1,-3,0.3,3.9,1,1,100,05:43 PM,10:36 AM,09:45 AM,05:41 PM,-6,-6,-1,-6,23,59,73,0.3,958,-1,10,48,15
2020-02-10,1,-3,0.0,2.0,1,1,83,07:34 PM,10:42 AM,09:42 AM,05:44 PM,-5,-8,-1,-8,44,69,75,0.0,964,1,8,332,35
2020-02-11,-1,-5,0.0,5.8,1,1,75,09:23 PM,10:46 AM,09:38 AM,05:47 PM,-6,-8,-2,-8,27,44,75,0.0,983,-1,10,20,20
2020-02-12,-3,-5,0.0,2.0,1,1,68,11:09 PM,10:48 AM,09:35 AM,05:50 PM,-10,-8,-4,-8,12,53,66,0.0,995,-3,10,109,9
2020-02-13,-3,-6,0.0,2.1,1,1,60,No moonrise,10:50 AM,09:32 AM,05:54 PM,-8,-10,-4,-10,38,57,76,1.1,999,-3,9,85,27
2020-02-14,4,0,0.4,2.1,1,1,53,12:53 AM,10:53 AM,09:29 AM,05:57 PM,-0,-6,2,-6,86,86,83,10.2,960,4,6,107,65
2020-02-15,1,-6,1.5,5.1,1,1,45,02:37 AM,10:56 AM,09:25 AM,06:00 PM,-4,-5,0,-5,48,50,66,1.8,954,1,9,37,31
2020-02-16,2,-3,0.0,6.9,1,1,38,04:19 AM,11:02 AM,09:22 AM,06:03 PM,-3,-4,1,-4,40,48,73,0.0,948,2,9,18,26
2020-02-17,2,-1,0.0,8.7,1,1,30,05:59 AM,11:13 AM,09:19 AM,06:06 PM,-2,-4,1,-4,34,40,79,0.0,973,2,8,28,24
2020-02-18,1,-4,1.9,5.1,1,1,22,07:30 AM,11:34 AM,09:15 AM,06:10 PM,-4,-4,-0,-4,16,91,75,2.2,990,1,9,110,11
2020-02-19,-1,-6,2.2,3.4,1,1,15,08:38 AM,12:17 PM,09:12 AM,06:13 PM,-5,-7,-1,-7,36,96,74,3.3,981,-1,6,49,27
2020-02-20,1,-2,0.0,8.7,1,1,7,09:18 AM,01:27 PM,09:08 AM,06:16 PM,-3,-6,0,-6,39,51,79,0.0,967,1,8,10,29
2020-02-21,1,-3,0.0,8.7,1,1,0,09:37 AM,02:53 PM,09:05 AM,06:19 PM,-6,-7,-1,-7,38,56,70,0.0,961,1,8,48,27
2020-02-22,-1,-2,0.0,8.7,1,1,0,09:46 AM,04:22 PM,09:01 AM,06:22 PM,-5,-6,-2,-6,21,35,79,0.0,977,-1,10,99,14
2020-02-23,0,-8,2.3,4.8,1,1,0,09:51 AM,05:52 PM,08:58 AM,06:25 PM,-4,-6,-1,-6,38,85,74,5.4,997,0,4,259,27
2020-02-24,2,0,2.6,6.6,1,1,0,09:53 AM,07:18 PM,08:55 AM,06:29 PM,-2,-3,2,-3,29,82,75,4.0,992,2,6,193,20
2020-02-25,0,-3,0.9,4.9,1,1,8,09:55 AM,08:42 PM,08:51 AM,06:32 PM,-6,-5,-1,-5,20,85,70,1.1,987,0,9,65,13
2020-02-26,-4,-6,0.0,9.9,1,1,15,09:55 AM,10:05 PM,08:48 AM,06:35 PM,-10,-11,-5,-11,27,24,67,0.0,995,-4,10,55,18
2020-02-27,-3,-10,1.8,5.0,1,1,23,09:56 AM,11:28 PM,08:44 AM,06:38 PM,-9,-10,-4,-10,43,72,65,2.1,994,-3,8,86,31
2020-02-28,1,-3,0.9,6.7,1,1,30,09:57 AM,No moonset,08:41 AM,06:41 PM,-4,-7,-0,-7,40,67,78,1.9,982,1,7,74,28
2020-02-29,0,-5,0.4,5.0,1,1,38,09:59 AM,12:52 AM,08:37 AM,06:44 PM,-4,-5,-1,-5,21,67,80,0.5,981,0,9,29,13
