date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,27,19,0.0,8.8,1,1,80,03:12 PM,02:37 AM,06:06 AM,06:24 PM,22,26,26,24,14,76,85,28.9,1008,27,7,274,8
2020-01-08,26,18,0.0,6.1,1,1,88,04:04 PM,03:27 AM,06:06 AM,06:25 PM,22,26,26,24,11,83,87,23.2,1008,26,9,322,6
2020-01-09,28,24,0.0,10.2,1,1,95,05:00 PM,04:19 AM,06:06 AM,06:25 PM,22,28,28,25,5,56,80,2.7,1008,28,10,226,4
2020-01-10,28,25,0.0,7.5,1,1,100,05:59 PM,05:16 AM,06:07 AM,06:25 PM,22,29,29,26,5,65,77,7.3,1007,28,9,252,3
2020-01-11,28,25,0.0,7.5,1,1,100,06:59 PM,06:15 AM,06:07 AM,06:26 PM,23,29,29,26,6,64,82,10.5,1006,28,9,251,4
2020-01-12,25,18,0.0,6.1,1,1,83,07:57 PM,07:16 AM,06:08 AM,06:26 PM,23,26,26,23,11,86,91,78.7,1007,25,7,297,6
2020-01-13,27,24,0.0,6.1,1,1,76,08:53 PM,08:15 AM,06:08 AM,06:27 PM,23,28,28,25,16,78,90,14.8,1008,27,9,239,11
2020-01-14,30,24,0.0,10.2,1,1,69,09:46 PM,09:12 AM,06:09 AM,06:27 PM,22,29,29,26,4,51,79,1.3,1009,30,10,196,3
2020-01-15,29,25,0.0,6.1,1,1,61,10:37 PM,10:06 AM,06:09 AM,06:27 PM,22,29,29,27,8,54,77,6.5,1009,29,10,297,5
2020-01-16,30,24,0.0,7.5,1,1,54,11:26 PM,10:59 AM,06:09 AM,06:27 PM,23,30,30,27,10,68,82,12.9,1009,30,9,293,7
2020-01-17,29,24,0.0,6.1,1,1,47,No moonrise,11:51 AM,06:10 AM,06:28 PM,23,30,30,27,12,80,80,2.1,1009,29,10,297,8
2020-01-18,29,25,0.0,6.1,1,1,40,12:14 AM,12:41 PM,06:10 AM,06:28 PM,24,30,30,27,14,78,83,1.9,1009,29,10,297,11
2020-01-19,29,25,0.0,7.5,1,1,32,01:03 AM,01:34 PM,06:11 AM,06:28 PM,23,30,30,27,13,59,82,1.0,1010,29,10,311,10
2020-01-20,29,25,0.0,10.2,1,1,25,01:53 AM,02:26 PM,06:11 AM,06:29 PM,22,29,29,27,15,26,79,0.3,1010,29,10,309,11
2020-01-21,29,25,0.0,8.8,1,1,18,02:44 AM,03:21 PM,06:11 AM,06:29 PM,23,30,30,26,14,46,82,4.5,1011,29,10,297,11
2020-01-22,28,25,0.0,6.1,1,1,11,03:37 AM,04:15 PM,06:12 AM,06:29 PM,23,29,29,26,16,73,84,6.0,1012,28,10,301,12
2020-01-23,29,24,0.0,10.2,1,1,3,04:31 AM,05:10 PM,06:12 AM,06:29 PM,22,29,29,26,14,36,79,1.0,1010,29,10,294,10
2020-01-24,29,24,0.0,6.1,1,1,0,05:25 AM,06:02 PM,06:12 AM,06:29 PM,23,29,29,27,10,74,79,1.9,1010,29,10,287,8
2020-01-25,26,22,0.0,6.1,1,1,0,06:18 AM,06:53 PM,06:13 AM,06:29 PM,22,27,27,24,10,69,85,7.0,1010,26,9,270,6
2020-01-26,28,21,0.0,8.8,1,1,4,07:08 AM,07:40 PM,06:13 AM,06:30 PM,22,27,27,25,6,49,81,0.6,1009,28,10,250,4
2020-01-27,27,21,0.0,7.5,1,1,11,07:56 AM,08:24 PM,06:13 AM,06:30 PM,22,27,27,24,9,52,83,1.1,1009,27,10,280,6
2020-01-28,29,24,0.0,10.2,1,1,18,08:41 AM,09:06 PM,06:14 AM,06:30 PM,22,29,29,26,12,20,78,0.1,1009,29,10,298,9
2020-01-29,29,25,0.0,10.2,1,1,26,09:24 AM,09:47 PM,06:14 AM,06:30 PM,23,30,30,27,16,35,78,0.4,1009,29,10,301,12
2020-01-30,29,24,0.0,7.5,1,1,33,10:06 AM,10:26 PM,06:14 AM,06:30 PM,23,30,30,27,14,71,79,4.9,1008,29,9,294,10
2020-01-31,30,25,0.0,8.8,1,1,37,10:48 AM,11:06 PM,06:14 AM,06:30 PM,23,30,30,27,12,45,80,1.3,1009,30,10,299,9
2020-02-01,29,25,0.0,7.5,1,1,49,11:31 AM,11:47 PM,06:15 AM,06:30 PM,23,30,30,27,15,73,78,3.4,1010,29,10,301,11
2020-02-02,30,23,0.0,10.2,1,1,57,12:14 PM,No moonset,06:15 AM,06:30 PM,22,29,29,27,15,46,77,3.6,1010,30,10,301,11
2020-02-03,28,23,0.0,11.6,1,1,64,01:01 PM,12:29 AM,06:15 AM,06:30 PM,21,28,28,26,15,30,75,1.4,1010,28,10,288,10
2020-02-04,28,23,0.0,11.6,1,1,72,01:51 PM,01:15 AM,06:15 AM,06:30 PM,20,28,28,26,12,16,72,0.0,1009,28,10,284,8
2020-02-05,29,24,0.0,7.5,1,1,79,02:44 PM,02:05 AM,06:15 AM,06:30 PM,22,29,29,27,8,72,78,2.7,1008,29,9,267,6
2020-02-06,29,25,0.0,7.5,1,1,87,03:41 PM,02:59 AM,06:16 AM,06:30 PM,23,30,30,27,7,70,79,11.1,1009,29,9,261,5
2020-02-07,26,16,0.0,7.5,1,1,95,04:40 PM,03:56 AM,06:16 AM,06:30 PM,23,26,26,23,12,76,88,65.3,1010,26,6,334,7
2020-02-08,27,22,0.0,7.5,1,1,100,05:40 PM,04:57 AM,06:16 AM,06:30 PM,21,27,27,25,8,71,79,6.4,1010,27,9,228,5
2020-02-09,27,23,0.0,6.1,1,1,100,06:38 PM,05:57 AM,06:16 AM,06:30 PM,22,28,28,25,17,77,81,10.1,1010,27,9,299,11
2020-02-10,28,25,0.0,7.5,1,1,83,07:34 PM,06:57 AM,06:16 AM,06:30 PM,23,29,29,26,19,72,81,6.0,1010,28,9,309,14
2020-02-11,27,25,0.0,7.5,1,1,75,08:27 PM,07:55 AM,06:16 AM,06:30 PM,22,29,29,26,18,58,81,1.9,1011,27,10,297,13
2020-02-12,27,24,0.0,6.1,1,1,68,09:19 PM,08:50 AM,06:16 AM,06:30 PM,22,28,28,26,16,73,84,6.6,1011,27,10,298,11
2020-02-13,28,23,0.0,8.8,1,1,60,10:09 PM,09:44 AM,06:16 AM,06:30 PM,22,28,28,26,14,57,82,3.6,1011,28,10,300,9
2020-02-14,28,21,0.0,6.1,1,1,53,10:59 PM,10:36 AM,06:16 AM,06:30 PM,23,28,28,25,7,76,82,6.9,1010,28,10,232,5
2020-02-15,27,19,0.0,6.1,1,1,45,11:50 PM,11:30 AM,06:17 AM,06:30 PM,22,27,27,24,6,80,83,5.6,1010,27,9,214,4
2020-02-16,27,21,0.0,6.1,1,1,38,No moonrise,12:23 PM,06:17 AM,06:30 PM,23,27,27,24,12,78,86,17.1,1010,27,8,288,7
2020-02-17,29,25,0.0,6.1,1,1,30,12:41 AM,01:17 PM,06:17 AM,06:29 PM,23,29,29,26,15,77,83,18.8,1010,29,9,288,9
2020-02-18,29,25,0.0,7.4,1,1,22,01:34 AM,02:11 PM,06:17 AM,06:29 PM,23,29,29,26,19,78,82,19.5,1009,29,8,299,12
2020-02-19,26,17,0.0,8.8,1,1,15,02:27 AM,03:05 PM,06:17 AM,06:29 PM,23,26,26,24,26,71,87,22.7,1010,26,8,313,16
2020-02-20,28,25,0.0,8.8,1,1,7,03:21 AM,03:58 PM,06:17 AM,06:29 PM,23,29,29,26,14,59,82,2.5,1010,28,10,309,11
2020-02-21,28,25,0.0,8.8,1,1,0,04:12 AM,04:48 PM,06:17 AM,06:29 PM,23,29,29,26,17,67,83,8.1,1011,28,9,297,13
2020-02-22,28,25,0.0,7.4,1,1,0,05:03 AM,05:36 PM,06:17 AM,06:28 PM,23,29,29,26,20,72,84,17.3,1011,28,8,300,13
2020-02-23,30,25,0.0,7.4,1,1,0,05:51 AM,06:21 PM,06:17 AM,06:28 PM,23,30,30,27,18,70,81,6.0,1010,30,10,303,13
2020-02-24,29,26,0.0,6.1,1,1,0,06:37 AM,07:04 PM,06:17 AM,06:28 PM,24,30,30,27,12,77,85,9.8,1009,29,9,295,8
2020-02-25,28,25,0.0,6.1,1,1,8,07:21 AM,07:44 PM,06:17 AM,06:28 PM,23,30,30,26,5,72,84,10.7,1009,28,9,189,3
2020-02-26,29,25,0.0,6.1,1,1,15,08:03 AM,08:24 PM,06:16 AM,06:27 PM,23,30,30,26,5,79,83,14.4,1008,29,8,252,3
2020-02-27,29,25,0.0,6.1,1,1,23,08:45 AM,09:03 PM,06:16 AM,06:27 PM,24,30,30,27,10,77,85,21.0,1008,29,9,294,6
2020-02-28,29,25,0.0,6.1,1,1,30,09:27 AM,09:44 PM,06:16 AM,06:27 PM,23,29,29,26,9,80,85,27.5,1008,29,8,205,6
2020-02-29,27,21,0.0,7.4,1,1,38,10:10 AM,10:24 PM,06:16 AM,06:27 PM,23,28,28,25,6,68,84,3.1,1008,27,8,142,5
2020-03-01,29,25,0.0,7.4,1,1,44,10:55 AM,11:08 PM,06:16 AM,06:26 PM,23,30,30,27,5,62,79,2.3,1008,29,10,233,3
2020-03-02,29,25,0.0,6.1,1,1,51,11:42 AM,11:55 PM,06:16 AM,06:26 PM,23,30,30,27,6,77,80,12.2,1008,29,9,175,4
2020-03-03,29,25,0.0,7.4,1,1,58,12:32 PM,No moonset,06:16 AM,06:26 PM,24,30,30,27,7,70,84,14.9,1008,29,9,285,4
2020-03-04,29,25,0.0,6.0,1,1,65,01:26 PM,12:46 AM,06:16 AM,06:25 PM,24,30,30,26,10,72,86,19.2,1008,29,8,295,6
2020-03-05,27,25,0.0,8.8,1,1,73,02:22 PM,01:40 AM,06:16 AM,06:25 PM,24,28,28,25,8,70,90,22.5,1008,27,8,122,5
2020-03-06,30,25,0.0,6.0,1,1,80,03:21 PM,02:38 AM,06:16 AM,06:25 PM,23,30,30,27,4,68,79,5.3,1009,30,10,197,3
2020-03-07,27,19,0.0,7.4,1,1,87,04:19 PM,03:38 AM,06:15 AM,06:24 PM,23,26,26,24,9,83,90,89.8,1011,27,7,301,5
2020-03-08,25,21,0.0,6.0,1,1,95,05:16 PM,04:37 AM,06:15 AM,06:24 PM,23,27,27,24,22,87,93,49.6,1010,25,6,305,13
2020-03-09,28,24,0.0,6.0,1,1,100,06:11 PM,05:36 AM,06:15 AM,06:24 PM,23,29,29,26,9,70,85,11.1,1009,28,9,284,6
2020-03-10,28,24,0.0,7.4,1,1,100,07:05 PM,06:33 AM,06:15 AM,06:23 PM,23,29,29,26,10,59,84,11.7,1009,28,9,302,6
2020-03-11,29,24,0.0,8.8,1,1,84,07:57 PM,07:29 AM,06:15 AM,06:23 PM,22,28,28,26,8,60,82,5.8,1010,29,9,191,5
2020-03-12,30,23,0.0,8.8,1,1,76,08:49 PM,08:24 AM,06:15 AM,06:23 PM,22,29,29,26,6,60,79,2.4,1011,30,10,184,4
2020-03-13,29,24,0.0,7.4,1,1,69,09:41 PM,09:19 AM,06:14 AM,06:22 PM,23,29,29,26,6,62,83,7.1,1011,29,9,209,4
2020-03-14,24,18,0.0,8.8,1,1,62,10:34 PM,10:14 AM,06:14 AM,06:22 PM,22,25,25,23,12,69,90,86.0,1010,24,7,308,7
2020-03-15,27,24,0.0,8.8,1,1,55,11:28 PM,11:10 AM,06:14 AM,06:22 PM,23,27,27,25,19,70,87,21.3,1010,27,9,311,11
2020-03-16,29,23,0.0,8.8,1,1,47,No moonrise,12:06 PM,06:14 AM,06:21 PM,22,28,28,26,7,53,80,3.3,1011,29,10,290,5
