date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,19,12,0.0,8.7,1,1,80,03:24 PM,04:37 AM,07:43 AM,05:55 PM,1,16,16,16,31,2,35,0.0,1019,19,10,230,16
2020-01-08,19,11,0.0,8.7,1,1,88,04:11 PM,05:38 AM,07:43 AM,05:56 PM,4,15,16,15,13,2,46,0.0,1014,19,10,135,7
2020-01-09,15,10,0.0,8.7,1,1,95,05:05 PM,06:39 AM,07:43 AM,05:57 PM,5,13,14,13,13,8,57,0.0,1013,15,10,93,7
2020-01-10,18,14,0.0,8.7,1,1,100,06:06 PM,07:39 AM,07:43 AM,05:58 PM,3,15,15,15,18,0,44,0.0,1021,18,10,117,12
2020-01-11,18,12,0.0,8.7,1,1,100,07:12 PM,08:35 AM,07:43 AM,05:59 PM,1,15,15,15,13,0,38,0.0,1019,18,10,148,9
2020-01-12,16,10,0.0,8.7,1,1,83,08:20 PM,09:25 AM,07:43 AM,05:59 PM,4,13,14,13,13,0,52,0.0,1017,16,10,154,8
2020-01-13,16,12,0.0,10.6,1,1,76,09:28 PM,10:10 AM,07:43 AM,06:00 PM,7,14,14,14,10,4,61,0.0,1017,16,10,55,5
2020-01-14,17,13,0.0,10.0,1,1,69,10:35 PM,10:50 AM,07:43 AM,06:01 PM,7,15,15,15,6,33,58,0.0,1016,17,10,56,4
2020-01-15,16,10,0.0,10.0,1,1,61,11:41 PM,11:28 AM,07:42 AM,06:02 PM,5,14,15,14,10,36,50,0.0,1015,16,10,11,5
2020-01-16,17,11,0.0,10.6,1,1,54,No moonrise,12:03 PM,07:42 AM,06:03 PM,4,15,15,15,9,10,48,0.0,1016,17,10,114,5
2020-01-17,17,12,0.0,10.0,1,1,47,12:45 AM,12:39 PM,07:42 AM,06:04 PM,6,14,15,14,18,25,54,0.0,1021,17,10,237,11
2020-01-18,17,12,0.0,10.6,1,1,40,01:49 AM,01:16 PM,07:42 AM,06:05 PM,3,14,15,14,29,7,46,0.0,1022,17,10,346,17
2020-01-19,18,13,0.0,10.6,1,1,32,02:52 AM,01:55 PM,07:41 AM,06:05 PM,1,15,16,15,30,26,35,0.0,1019,18,10,347,16
