date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,11,2,0.0,8.7,1,1,80,02:17 PM,03:39 AM,07:15 AM,05:07 PM,-8,5,6,5,7,3,36,0.0,1023,11,10,114,5
2020-01-08,11,2,0.0,8.7,1,1,88,03:00 PM,04:41 AM,07:15 AM,05:07 PM,-7,6,6,6,6,8,39,0.0,1019,11,10,134,5
2020-01-09,6,2,1.4,3.7,1,1,95,03:50 PM,05:44 AM,07:15 AM,05:08 PM,-4,3,4,3,9,70,56,2.9,1015,6,7,221,7
2020-01-10,7,3,0.0,8.7,1,1,100,04:47 PM,06:45 AM,07:15 AM,05:09 PM,-6,4,5,4,7,26,47,0.0,1017,7,10,129,6
2020-01-11,7,1,0.4,8.7,1,1,100,05:52 PM,07:43 AM,07:15 AM,05:10 PM,-7,1,4,1,12,20,48,0.5,1019,7,9,309,10
2020-01-12,7,1,0.0,8.7,1,1,83,07:01 PM,08:34 AM,07:15 AM,05:11 PM,-10,2,4,2,8,26,37,0.0,1020,7,10,239,7
2020-01-13,6,0,0.0,8.7,1,1,76,08:11 PM,09:20 AM,07:15 AM,05:12 PM,-9,3,3,3,3,46,41,0.0,1019,6,10,202,2
2020-01-14,7,0,0.0,8.7,1,1,69,09:22 PM,10:00 AM,07:15 AM,05:13 PM,-5,3,4,3,7,36,51,0.0,1026,7,10,287,6
2020-01-15,8,3,0.0,8.7,1,1,61,10:30 PM,10:36 AM,07:14 AM,05:14 PM,-6,5,5,5,5,6,46,0.0,1028,8,10,157,4
2020-01-16,8,0,0.0,8.7,1,1,54,11:38 PM,11:10 AM,07:14 AM,05:15 PM,-8,3,4,3,6,11,44,0.0,1031,8,10,148,4
2020-01-17,5,1,0.3,7.1,1,1,47,No moonrise,11:43 AM,07:14 AM,05:16 PM,-4,1,3,1,7,42,60,1.7,1028,5,8,120,5
2020-01-18,5,-0,4.8,3.8,1,1,40,12:45 AM,12:16 PM,07:13 AM,05:17 PM,-0,2,3,2,5,83,81,7.7,1020,5,7,231,3
2020-01-19,4,-2,0.0,3.8,1,1,32,01:51 AM,12:51 PM,07:13 AM,05:18 PM,2,2,3,2,6,92,91,4.4,1020,4,8,172,5
