date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,21,14,0.0,8.7,1,1,80,02:21 PM,03:34 AM,07:07 AM,05:10 PM,4,16,17,16,14,2,43,0.0,1020,21,10,119,9
2020-01-08,19,13,0.0,3.8,1,1,88,03:04 PM,04:35 AM,07:07 AM,05:11 PM,2,14,15,14,38,47,42,0.7,1013,19,10,169,25
2020-01-09,17,11,0.0,8.7,1,1,95,03:55 PM,05:37 AM,07:07 AM,05:12 PM,2,13,14,13,21,22,45,0.0,1013,17,10,197,14
2020-01-10,17,13,0.0,3.8,1,1,100,04:53 PM,06:38 AM,07:07 AM,05:13 PM,3,14,14,14,18,81,47,0.6,1012,17,10,219,12
2020-01-11,17,10,0.0,8.7,1,1,100,05:57 PM,07:36 AM,07:07 AM,05:14 PM,2,11,13,11,34,11,49,0.0,1015,17,10,329,24
2020-01-12,15,9,0.0,7.1,1,1,83,07:05 PM,08:27 AM,07:07 AM,05:15 PM,0,11,12,11,25,26,45,0.0,1020,15,10,307,17
2020-01-13,17,11,0.0,3.8,1,1,76,08:14 PM,09:14 AM,07:07 AM,05:15 PM,2,12,13,12,20,73,48,1.8,1018,17,10,240,13
2020-01-14,16,7,0.0,8.7,1,1,69,09:23 PM,09:55 AM,07:07 AM,05:16 PM,1,9,11,9,26,1,51,0.0,1022,16,10,344,18
2020-01-15,16,9,0.0,7.1,1,1,61,10:30 PM,10:32 AM,07:06 AM,05:17 PM,-3,10,12,10,22,29,35,0.0,1025,16,10,329,14
2020-01-16,17,8,0.0,7.1,1,1,54,11:37 PM,11:08 AM,07:06 AM,05:18 PM,-2,12,13,12,13,29,36,0.0,1024,17,10,137,9
2020-01-17,21,11,0.0,7.1,1,1,47,No moonrise,11:42 AM,07:06 AM,05:19 PM,0,15,16,15,39,56,36,0.6,1016,21,10,131,26
2020-01-18,17,12,0.0,8.7,1,1,40,12:42 AM,12:17 PM,07:06 AM,05:20 PM,3,14,15,14,27,9,47,0.0,1013,17,10,229,18
2020-01-19,18,11,0.0,8.7,1,1,32,01:47 AM,12:54 PM,07:05 AM,05:21 PM,4,14,14,14,9,32,52,0.0,1018,18,10,110,6
2020-01-20,19,12,0.0,8.7,1,1,25,02:51 AM,01:34 PM,07:05 AM,05:22 PM,4,15,15,15,11,35,48,0.0,1021,19,10,208,8
2020-01-21,17,12,0.0,7.1,1,1,18,03:55 AM,02:19 PM,07:05 AM,05:23 PM,6,14,14,14,14,63,58,4.8,1016,17,10,181,10
2020-01-22,12,10,0.0,3.8,1,1,11,04:55 AM,03:08 PM,07:04 AM,05:24 PM,7,10,11,10,15,93,74,16.7,1013,12,7,117,11
2020-01-23,15,10,0.0,7.1,1,1,3,05:52 AM,04:02 PM,07:04 AM,05:25 PM,3,11,12,11,13,51,58,2.0,1018,15,10,287,10
2020-01-24,17,9,0.0,5.5,1,1,0,06:43 AM,04:58 PM,07:03 AM,05:26 PM,1,11,13,11,38,46,44,0.1,1016,17,10,158,26
2020-01-25,13,9,0.0,5.5,1,1,0,07:29 AM,05:56 PM,07:03 AM,05:27 PM,5,10,11,10,18,59,64,10.0,1020,13,9,140,13
2020-01-26,14,9,0.0,8.7,1,1,4,08:09 AM,06:54 PM,07:02 AM,05:28 PM,1,9,11,9,30,1,48,0.0,1025,14,10,312,21
2020-01-27,16,9,0.0,8.7,1,1,11,08:44 AM,07:50 PM,07:02 AM,05:29 PM,1,10,12,10,19,6,50,0.0,1024,16,10,316,13
2020-01-28,16,10,0.0,7.1,1,1,18,09:16 AM,08:45 PM,07:01 AM,05:30 PM,0,13,13,13,9,46,42,0.0,1021,16,10,224,6
2020-01-29,17,12,0.0,7.1,1,1,26,09:45 AM,09:40 PM,07:01 AM,05:31 PM,1,14,14,14,17,49,41,0.0,1018,17,10,72,12
2020-01-30,19,12,0.0,8.7,1,1,33,10:13 AM,10:33 PM,07:00 AM,05:32 PM,3,15,15,15,8,3,44,0.0,1021,19,10,260,6
2020-01-31,19,12,0.0,8.7,1,1,37,10:41 AM,11:27 PM,06:59 AM,05:33 PM,2,15,15,15,27,10,43,0.0,1016,19,10,167,18
2020-02-01,14,10,0.0,7.1,1,1,49,11:10 AM,No moonset,06:59 AM,05:34 PM,-2,11,13,11,28,51,35,0.2,1016,14,10,275,20
2020-02-02,15,10,0.0,8.7,1,1,57,11:41 AM,12:22 AM,06:58 AM,05:35 PM,1,11,12,11,15,21,48,0.0,1022,15,10,302,11
2020-02-03,15,9,0.0,8.7,1,1,64,12:15 PM,01:19 AM,06:57 AM,05:36 PM,0,10,12,10,16,3,45,0.0,1024,15,10,323,12
2020-02-04,17,10,0.0,8.7,1,1,72,12:54 PM,02:18 AM,06:57 AM,05:37 PM,-0,13,13,13,11,21,40,0.0,1020,17,10,152,8
2020-02-05,21,11,0.0,8.7,1,1,79,01:40 PM,03:19 AM,06:56 AM,05:37 PM,-0,15,15,15,18,2,35,0.0,1020,21,10,121,12
2020-02-06,23,14,0.0,8.7,1,1,87,02:34 PM,04:19 AM,06:55 AM,05:38 PM,0,17,18,17,20,4,32,0.0,1019,23,10,119,12
2020-02-07,24,15,0.0,8.7,1,1,95,03:35 PM,05:19 AM,06:54 AM,05:39 PM,3,18,19,18,25,4,36,0.0,1013,24,10,186,15
2020-02-08,18,13,0.0,8.7,1,1,100,04:42 PM,06:13 AM,06:53 AM,05:40 PM,4,15,16,15,31,15,47,0.0,1013,18,10,239,21
2020-02-09,12,8,0.0,7.2,1,1,100,05:53 PM,07:04 AM,06:53 AM,05:41 PM,-3,8,10,8,27,48,38,0.0,1021,12,10,309,21
2020-02-10,7,3,0.0,8.7,1,1,83,07:05 PM,07:48 AM,06:52 AM,05:42 PM,-15,1,5,1,25,23,23,0.0,1024,7,10,305,19
2020-02-11,6,1,0.9,7.2,1,1,75,08:15 PM,08:28 AM,06:51 AM,05:43 PM,-10,1,4,1,19,54,40,1.0,1024,6,8,324,15
2020-02-12,10,4,0.0,8.7,1,1,68,09:25 PM,09:06 AM,06:50 AM,05:44 PM,-13,6,7,6,11,41,23,0.0,1029,10,10,173,8
2020-02-13,18,7,0.0,8.7,1,1,60,10:32 PM,09:42 AM,06:49 AM,05:45 PM,-9,9,12,9,36,35,23,0.0,1026,18,10,151,25
2020-02-14,18,10,0.0,8.7,1,1,53,11:39 PM,10:17 AM,06:48 AM,05:46 PM,-2,13,13,13,21,15,34,0.0,1025,18,10,263,14
2020-02-15,18,10,0.0,8.7,1,1,45,No moonrise,10:54 AM,06:47 AM,05:47 PM,-5,13,14,13,16,44,29,0.0,1022,18,10,325,12
2020-02-16,21,12,0.0,5.7,1,1,38,12:45 AM,11:34 AM,06:46 AM,05:48 PM,-3,15,15,15,18,50,30,1.3,1017,21,10,94,12
2020-02-17,21,12,0.0,7.2,1,1,30,01:49 AM,12:17 PM,06:45 AM,05:49 PM,8,15,16,15,21,47,61,9.3,1015,21,9,321,15
2020-02-18,24,13,0.0,8.7,1,1,22,02:50 AM,01:05 PM,06:44 AM,05:49 PM,8,17,18,17,18,23,56,0.6,1018,24,10,120,12
2020-02-19,26,17,0.0,5.7,1,1,15,03:48 AM,01:57 PM,06:43 AM,05:50 PM,7,21,21,21,24,54,45,0.7,1010,26,10,138,15
2020-02-20,19,14,0.0,5.7,1,1,7,04:40 AM,02:52 PM,06:42 AM,05:51 PM,10,16,17,16,24,46,64,6.0,1010,19,9,299,16
2020-02-21,22,14,0.0,8.7,1,1,0,05:27 AM,03:49 PM,06:41 AM,05:52 PM,7,18,18,18,14,14,52,0.0,1017,22,10,314,9
2020-02-22,24,15,0.0,7.2,1,1,0,06:08 AM,04:45 PM,06:40 AM,05:53 PM,3,19,19,19,27,31,36,0.0,1016,24,10,137,18
2020-02-23,23,14,0.0,8.7,1,1,0,06:44 AM,05:42 PM,06:38 AM,05:54 PM,6,18,19,18,20,1,47,0.0,1017,23,10,231,14
2020-02-24,23,16,0.0,8.7,1,1,0,07:17 AM,06:37 PM,06:37 AM,05:55 PM,7,20,20,20,18,47,44,0.1,1014,23,10,74,12
2020-02-25,19,17,0.0,4.2,1,1,8,07:47 AM,07:32 PM,06:36 AM,05:55 PM,15,18,18,18,23,89,79,17.0,1006,19,9,110,16
2020-02-26,17,13,0.0,7.2,1,1,15,08:14 AM,08:26 PM,06:35 AM,05:56 PM,3,14,15,14,36,41,48,83.0,1010,17,9,302,27
2020-02-27,22,16,0.0,8.7,1,1,23,08:42 AM,09:20 PM,06:34 AM,05:57 PM,6,19,19,19,9,0,44,0.0,1020,22,10,306,7
2020-02-28,23,15,0.0,5.7,1,1,30,09:11 AM,10:14 PM,06:33 AM,05:58 PM,6,18,19,18,11,47,43,0.0,1017,23,10,292,7
2020-02-29,24,18,0.0,8.7,1,1,38,09:40 AM,11:10 PM,06:31 AM,05:59 PM,4,21,21,21,12,2,35,0.0,1012,24,10,159,9
2020-03-01,20,16,0.0,8.7,1,1,44,10:12 AM,No moonset,06:30 AM,05:59 PM,3,18,18,18,24,11,38,0.0,1010,20,10,268,17
2020-03-02,20,13,0.0,11.6,1,1,51,10:48 AM,12:06 AM,06:29 AM,06:00 PM,5,15,16,15,24,22,49,0.2,1017,20,10,304,18
2020-03-03,21,14,0.0,11.6,1,1,58,11:31 AM,01:05 AM,06:28 AM,06:01 PM,3,18,18,18,17,0,37,0.0,1021,21,10,319,13
2020-03-04,22,14,0.0,11.6,1,1,65,12:19 PM,02:04 AM,06:26 AM,06:02 PM,4,18,18,18,27,0,41,0.0,1018,22,10,315,18
