date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,14,5,0.0,2.9,1,1,80,01:52 PM,04:58 AM,08:38 AM,04:24 PM,8,8,11,8,44,80,83,1.8,1011,14,9,216,27
2020-01-08,7,4,0.0,6.8,1,1,88,02:24 PM,06:12 AM,08:38 AM,04:25 PM,3,3,6,3,24,71,79,0.0,1018,7,10,238,15
2020-01-09,5,1,0.0,3.0,1,1,95,03:09 PM,07:23 AM,08:37 AM,04:27 PM,3,1,4,1,22,84,92,7.3,1006,5,7,323,15
2020-01-10,6,-1,0.0,7.9,1,1,100,04:06 PM,08:26 AM,08:37 AM,04:28 PM,2,-1,3,-1,31,35,86,0.1,1020,6,10,204,17
2020-01-11,13,7,0.0,3.0,1,1,100,05:18 PM,09:19 AM,08:36 AM,04:30 PM,8,7,10,7,47,78,85,6.6,1011,13,9,231,29
2020-01-12,7,4,0.0,4.9,1,1,83,06:39 PM,10:00 AM,08:35 AM,04:31 PM,3,2,5,2,27,56,87,2.8,1013,7,9,242,16
2020-01-13,9,4,0.0,3.0,1,1,76,08:04 PM,10:31 AM,08:34 AM,04:33 PM,2,1,6,1,50,60,78,6.9,994,9,10,200,32
2020-01-14,5,3,0.0,3.0,1,1,69,09:30 PM,10:56 AM,08:33 AM,04:34 PM,1,-1,4,-1,37,61,82,2.6,986,5,8,232,23
2020-01-15,7,3,0.0,8.0,1,1,61,10:54 PM,11:17 AM,08:33 AM,04:36 PM,-0,-0,5,-0,48,9,72,0.0,998,7,10,228,29
2020-01-16,10,5,0.0,3.0,1,1,54,No moonrise,11:35 AM,08:32 AM,04:38 PM,5,4,8,4,44,74,85,6.5,1000,10,9,193,27
2020-01-17,5,1,0.0,4.9,1,1,47,12:17 AM,11:54 AM,08:31 AM,04:39 PM,1,-1,3,-1,31,51,85,0.2,1010,5,9,265,18
2020-01-18,5,-0,0.0,6.8,1,1,40,01:39 AM,12:13 PM,08:30 AM,04:41 PM,-1,-3,1,-3,24,18,84,0.0,1029,5,10,267,12
2020-01-19,6,-2,0.0,8.2,1,1,32,03:00 AM,12:35 PM,08:28 AM,04:43 PM,-2,-1,2,-1,19,10,74,0.0,1044,6,10,222,10
2020-01-20,7,2,0.0,8.2,1,1,25,04:19 AM,01:03 PM,08:27 AM,04:45 PM,0,-0,3,-0,24,8,81,0.0,1046,7,10,240,12
2020-01-21,7,3,0.0,3.1,1,1,18,05:35 AM,01:37 PM,08:26 AM,04:46 PM,5,3,5,3,22,88,94,0.0,1042,7,9,255,13
2020-01-22,10,6,0.0,3.1,1,1,11,06:43 AM,02:20 PM,08:25 AM,04:48 PM,7,7,8,7,9,73,94,0.0,1039,10,5,248,5
2020-01-23,9,6,0.0,5.0,1,1,3,07:41 AM,03:14 PM,08:24 AM,04:50 PM,6,6,7,6,14,62,95,0.0,1032,9,4,260,8
2020-01-24,8,5,0.0,6.8,1,1,0,08:27 AM,04:16 PM,08:22 AM,04:52 PM,5,5,7,5,17,67,92,0.0,1023,8,7,246,11
2020-01-25,9,5,0.0,3.1,1,1,0,09:03 AM,05:25 PM,08:21 AM,04:54 PM,4,4,7,4,21,69,85,0.2,1013,9,10,193,13
2020-01-26,9,-2,0.0,5.0,1,1,4,09:31 AM,06:34 PM,08:20 AM,04:56 PM,3,2,6,2,31,62,80,4.0,1002,9,10,239,19
2020-01-27,6,1,2.3,8.4,1,1,11,09:52 AM,07:45 PM,08:18 AM,04:58 PM,0,-0,4,-0,30,49,79,3.1,992,6,9,209,19
2020-01-28,5,0,0.0,5.1,1,1,18,10:10 AM,08:53 PM,08:17 AM,05:00 PM,-0,-3,2,-3,45,51,84,3.3,994,5,9,260,29
2020-01-29,8,1,0.0,5.1,1,1,26,10:26 AM,10:01 PM,08:15 AM,05:01 PM,2,0,5,0,42,54,84,0.1,1004,8,10,236,26
2020-01-30,12,6,0.0,5.1,1,1,33,10:40 AM,11:09 PM,08:14 AM,05:03 PM,6,6,9,6,33,64,85,0.0,999,12,10,238,21
2020-01-31,14,9,0.0,3.3,1,1,37,10:55 AM,No moonset,08:12 AM,05:05 PM,8,8,11,8,41,85,84,0.3,997,14,10,226,26
2020-02-01,10,6,0.0,5.1,1,1,49,11:11 AM,12:17 AM,08:10 AM,05:07 PM,4,4,8,4,46,56,76,0.3,999,10,10,265,32
2020-02-02,10,4,0.0,6.9,1,1,57,11:29 AM,01:27 AM,08:09 AM,05:09 PM,5,5,8,5,39,64,82,2.5,1001,10,10,244,27
2020-02-03,7,5,0.0,6.9,1,1,64,11:51 AM,02:37 AM,08:07 AM,05:11 PM,1,1,6,1,52,37,70,0.0,1011,7,10,274,38
2020-02-04,8,4,0.0,8.7,1,1,72,12:19 PM,03:50 AM,08:05 AM,05:13 PM,2,1,6,1,44,45,77,1.1,1026,8,10,307,31
