date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,17,11,0.0,8.7,1,1,80,03:13 PM,03:35 AM,06:39 AM,05:50 PM,11,14,14,14,9,37,81,0.5,1020,17,10,29,7
2020-01-08,19,13,0.0,7.2,1,1,88,04:03 PM,04:31 AM,06:39 AM,05:51 PM,12,14,15,14,10,58,84,1.0,1020,19,10,63,8
2020-01-09,20,12,0.0,8.7,1,1,95,04:59 PM,05:30 AM,06:40 AM,05:51 PM,12,15,16,15,7,30,80,0.1,1017,20,10,197,6
2020-01-10,21,14,0.0,7.2,1,1,100,05:59 PM,06:29 AM,06:40 AM,05:52 PM,13,17,17,17,8,40,75,1.9,1014,21,10,119,5
2020-01-11,24,16,0.0,8.7,1,1,100,07:01 PM,07:27 AM,06:40 AM,05:53 PM,11,19,19,19,7,23,64,0.5,1014,24,10,127,5
2020-01-12,19,15,0.0,4.2,1,1,83,08:04 PM,08:22 AM,06:40 AM,05:53 PM,14,17,17,17,10,72,83,2.1,1016,19,9,69,9
2020-01-13,20,14,0.0,7.2,1,1,76,09:06 PM,09:14 AM,06:40 AM,05:54 PM,13,17,17,17,9,53,79,0.6,1016,20,10,89,8
2020-01-14,21,14,0.0,8.7,1,1,69,10:06 PM,10:01 AM,06:40 AM,05:54 PM,13,17,17,17,12,33,77,0.3,1016,21,10,80,10
2020-01-15,20,14,0.0,8.7,1,1,61,11:04 PM,10:45 AM,06:41 AM,05:55 PM,11,16,16,16,11,16,74,0.0,1015,20,10,84,9
2020-01-16,23,13,0.0,8.7,1,1,54,No moonrise,11:29 AM,06:41 AM,05:56 PM,13,17,18,17,11,36,79,0.3,1016,23,10,73,10
2020-01-17,19,10,0.0,7.2,1,1,47,12:01 AM,12:11 PM,06:41 AM,05:56 PM,12,15,16,15,12,50,81,1.2,1016,19,10,75,9
2020-01-18,20,14,0.0,7.2,1,1,40,12:58 AM,12:54 PM,06:41 AM,05:57 PM,14,17,17,17,7,53,83,2.7,1016,20,9,52,6
2020-01-19,19,15,0.0,5.7,1,1,32,01:55 AM,01:40 PM,06:41 AM,05:57 PM,14,17,17,17,9,59,85,5.4,1017,19,10,27,7
2020-01-20,22,12,0.0,8.7,1,1,25,02:52 AM,02:27 PM,06:41 AM,05:58 PM,12,16,16,16,11,38,77,3.2,1020,22,10,27,9
2020-01-21,14,11,0.0,4.2,1,1,18,03:50 AM,03:19 PM,06:41 AM,05:58 PM,11,13,13,13,10,77,88,6.0,1022,14,9,36,8
2020-01-22,18,10,0.0,8.7,1,1,11,04:47 AM,04:11 PM,06:41 AM,05:59 PM,9,14,14,14,7,24,77,0.1,1018,18,10,192,5
2020-01-23,20,13,0.0,11.6,1,1,3,05:42 AM,05:06 PM,06:41 AM,06:00 PM,11,17,17,17,5,29,71,0.4,1014,20,10,217,4
