date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,28,23,0.0,4.2,1,1,80,03:08 PM,03:33 AM,06:40 AM,05:47 PM,22,28,28,25,7,64,81,4.2,1016,28,10,128,6
2020-01-08,31,22,0.0,8.7,1,1,88,03:58 PM,04:29 AM,06:40 AM,05:47 PM,21,28,28,26,11,15,75,0.1,1018,31,10,52,8
2020-01-09,30,24,0.0,8.7,1,1,95,04:53 PM,05:29 AM,06:41 AM,05:48 PM,21,29,29,26,16,41,76,0.7,1018,30,10,83,13
2020-01-10,29,22,0.0,5.7,1,1,100,05:53 PM,06:28 AM,06:41 AM,05:49 PM,20,27,27,25,23,56,73,0.9,1017,29,10,94,15
2020-01-11,27,18,0.0,7.2,1,1,100,06:55 PM,07:26 AM,06:41 AM,05:49 PM,18,26,26,24,31,53,71,0.6,1017,27,10,89,21
2020-01-12,29,22,0.0,8.7,1,1,83,07:59 PM,08:20 AM,06:41 AM,05:50 PM,19,26,26,25,23,32,70,0.3,1018,29,10,88,15
2020-01-13,28,22,0.0,7.2,1,1,76,09:01 PM,09:12 AM,06:41 AM,05:51 PM,19,26,26,24,24,40,73,0.5,1018,28,10,95,16
2020-01-14,27,19,0.0,4.2,1,1,69,10:02 PM,09:59 AM,06:41 AM,05:51 PM,19,26,26,24,16,67,75,1.2,1017,27,10,73,11
2020-01-15,28,18,0.0,4.2,1,1,61,11:00 PM,10:43 AM,06:41 AM,05:52 PM,19,26,26,24,16,70,74,1.7,1016,28,10,85,11
2020-01-16,29,19,0.0,8.7,1,1,54,11:58 PM,11:26 AM,06:41 AM,05:52 PM,20,26,26,24,16,26,75,0.3,1017,29,10,87,11
2020-01-17,28,22,0.0,5.7,1,1,47,No moonrise,12:07 PM,06:42 AM,05:53 PM,19,26,26,25,18,53,73,0.8,1017,28,10,67,13
2020-01-18,29,22,0.0,7.2,1,1,40,12:55 AM,12:50 PM,06:42 AM,05:54 PM,19,27,27,25,18,44,73,0.5,1017,29,10,72,14
2020-01-19,29,21,0.0,7.2,1,1,32,01:53 AM,01:35 PM,06:42 AM,05:54 PM,20,27,27,25,19,53,73,0.8,1016,29,10,103,13
2020-01-20,28,20,0.0,4.2,1,1,25,02:51 AM,02:22 PM,06:42 AM,05:55 PM,20,26,26,24,12,57,75,4.0,1015,28,10,102,8
2020-01-21,29,23,0.0,7.2,1,1,18,03:49 AM,03:13 PM,06:42 AM,05:55 PM,20,27,27,25,7,41,71,4.7,1014,29,9,218,5
2020-01-22,27,20,0.0,7.2,1,1,11,04:45 AM,04:05 PM,06:42 AM,05:56 PM,19,25,25,23,10,50,76,1.2,1013,27,10,341,7
2020-01-23,26,20,0.0,8.7,1,1,3,05:40 AM,05:00 PM,06:41 AM,05:57 PM,18,24,24,22,10,28,75,0.1,1013,26,10,122,7
2020-01-24,28,21,0.0,8.7,1,1,0,06:31 AM,05:54 PM,06:41 AM,05:57 PM,18,25,25,24,8,18,71,0.3,1014,28,10,115,6
2020-01-25,27,21,0.0,7.2,1,1,0,07:19 AM,06:47 PM,06:41 AM,05:58 PM,19,26,26,23,7,65,75,1.5,1015,27,10,138,5
2020-01-26,28,21,0.0,8.7,1,1,4,08:02 AM,07:40 PM,06:41 AM,05:58 PM,18,26,26,24,8,19,69,0.2,1015,28,10,229,6
2020-01-27,26,22,0.0,7.2,1,1,11,08:41 AM,08:29 PM,06:41 AM,05:59 PM,18,25,25,23,6,36,74,1.1,1015,26,10,212,4
2020-01-28,27,22,0.0,7.2,1,1,18,09:19 AM,09:18 PM,06:41 AM,05:59 PM,18,25,25,23,5,45,72,0.2,1014,27,10,208,4
2020-01-29,27,19,0.0,10.1,1,1,26,09:54 AM,10:05 PM,06:41 AM,06:00 PM,19,26,26,23,6,24,74,0.2,1014,27,10,167,5
2020-01-30,28,19,0.0,11.6,1,1,33,10:28 AM,10:52 PM,06:40 AM,06:01 PM,18,26,26,24,8,5,69,0.0,1015,28,10,157,6
2020-01-31,29,22,0.0,10.2,1,1,37,11:02 AM,11:40 PM,06:40 AM,06:01 PM,20,27,27,25,12,19,71,0.2,1016,29,10,109,9
2020-02-01,29,23,0.0,11.6,1,1,49,11:38 AM,No moonset,06:40 AM,06:02 PM,20,27,27,25,15,14,74,0.2,1016,29,10,120,11
2020-02-02,29,23,0.0,5.8,1,1,57,12:16 PM,12:28 AM,06:40 AM,06:02 PM,21,27,27,25,8,68,77,2.3,1016,29,10,179,5
2020-02-03,27,22,0.0,5.8,1,1,64,12:58 PM,01:20 AM,06:39 AM,06:03 PM,20,26,26,24,12,51,75,2.9,1017,27,9,68,8
2020-02-04,28,22,0.0,5.8,1,1,72,01:44 PM,02:14 AM,06:39 AM,06:03 PM,20,27,27,25,15,60,78,3.8,1017,28,10,102,10
2020-02-05,27,22,0.0,7.3,1,1,79,02:36 PM,03:11 AM,06:39 AM,06:04 PM,20,26,26,24,24,52,76,0.7,1016,27,10,114,16
2020-02-06,27,19,0.0,5.8,1,1,87,03:34 PM,04:09 AM,06:38 AM,06:04 PM,19,26,26,23,27,51,76,1.3,1014,27,10,125,17
2020-02-07,28,24,0.0,11.6,1,1,95,04:35 PM,05:08 AM,06:38 AM,06:05 PM,21,27,27,25,24,40,77,0.5,1015,28,10,121,18
2020-02-08,30,23,0.0,7.3,1,1,100,05:40 PM,06:05 AM,06:38 AM,06:05 PM,19,27,27,25,16,39,70,0.5,1018,30,10,102,11
2020-02-09,29,22,0.0,8.7,1,1,100,06:44 PM,06:59 AM,06:37 AM,06:06 PM,21,28,28,25,12,43,76,1.8,1018,29,10,101,9
2020-02-10,29,23,0.0,7.3,1,1,83,07:47 PM,07:50 AM,06:37 AM,06:06 PM,21,28,28,26,16,62,75,1.8,1017,29,10,100,12
2020-02-11,30,23,0.0,10.2,1,1,75,08:49 PM,08:36 AM,06:36 AM,06:06 PM,20,27,27,25,22,17,72,0.1,1016,30,10,102,16
2020-02-12,28,22,0.0,5.9,1,1,68,09:50 PM,09:21 AM,06:36 AM,06:07 PM,19,26,26,24,26,45,73,0.7,1016,28,10,105,17
2020-02-13,28,22,0.0,11.6,1,1,60,10:49 PM,10:05 AM,06:35 AM,06:07 PM,19,26,26,24,27,13,72,0.1,1016,28,10,101,18
2020-02-14,28,23,0.0,8.7,1,1,53,11:48 PM,10:48 AM,06:35 AM,06:08 PM,19,26,26,24,21,32,72,0.3,1017,28,10,113,14
2020-02-15,28,22,0.0,8.7,1,1,45,No moonrise,11:34 AM,06:34 AM,06:08 PM,19,27,27,25,11,41,73,1.1,1016,28,10,120,8
2020-02-16,28,23,0.0,8.7,1,1,38,12:46 AM,12:20 PM,06:34 AM,06:09 PM,20,27,27,25,12,33,77,3.3,1015,28,10,120,8
