date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,7,0,0.0,9.8,1,1,80,03:28 PM,05:09 AM,08:21 AM,06:00 PM,-3,-1,3,-1,27,16,65,0.0,1021,7,10,282,17
2020-01-08,9,-1,0.0,9.8,1,1,88,04:12 PM,06:12 AM,08:21 AM,06:01 PM,-1,0,3,0,24,16,69,0.0,1026,9,10,114,14
2020-01-09,13,8,0.0,6.6,1,1,95,05:04 PM,07:16 AM,08:21 AM,06:02 PM,5,8,11,8,40,70,71,6.1,1018,13,10,192,25
2020-01-10,17,14,0.0,4.9,1,1,100,06:05 PM,08:16 AM,08:21 AM,06:03 PM,14,15,15,15,32,99,89,28.8,1013,17,8,185,20
2020-01-11,5,-3,0.7,4.9,1,1,100,07:12 PM,09:11 AM,08:21 AM,06:04 PM,2,-1,3,-1,26,99,92,81.9,1011,5,6,319,19
2020-01-12,3,-6,0.0,9.8,1,1,83,08:23 PM,09:59 AM,08:21 AM,06:05 PM,-3,-5,-2,-5,14,50,92,0.0,1024,3,7,137,9
2020-01-13,8,-1,0.0,9.9,1,1,76,09:36 PM,10:40 AM,08:20 AM,06:06 PM,1,1,3,1,19,20,89,0.0,1024,8,10,151,11
2020-01-14,12,2,0.0,9.9,1,1,69,10:47 PM,11:17 AM,08:20 AM,06:07 PM,5,5,7,5,17,31,89,0.0,1021,12,7,213,9
2020-01-15,12,4,0.0,4.9,1,1,61,11:57 PM,11:51 AM,08:20 AM,06:08 PM,7,7,9,7,20,78,90,0.2,1020,12,6,263,13
2020-01-16,0,-5,0.0,4.9,1,1,54,No moonrise,12:22 PM,08:20 AM,06:09 PM,-9,-7,-2,-7,19,63,59,0.0,1039,0,10,21,15
2020-01-17,-2,-9,1.0,5.0,1,1,47,01:06 AM,12:53 PM,08:19 AM,06:10 PM,-6,-8,-3,-8,27,81,77,18.1,1033,-2,5,121,18
2020-01-18,10,-4,0.0,8.3,1,1,40,02:14 AM,01:26 PM,08:19 AM,06:11 PM,0,-2,3,-2,41,61,85,32.5,1018,10,7,285,27
2020-01-19,-4,-8,0.0,9.9,1,1,32,03:22 AM,02:02 PM,08:18 AM,06:12 PM,-14,-13,-6,-13,28,6,55,0.0,1032,-4,10,311,21
2020-01-20,-4,-10,0.1,6.6,1,1,25,04:28 AM,02:41 PM,08:18 AM,06:13 PM,-13,-12,-8,-12,12,61,68,0.1,1038,-4,10,337,9
2020-01-21,1,-11,0.0,9.9,1,1,18,05:33 AM,03:26 PM,08:17 AM,06:14 PM,-9,-9,-6,-9,13,51,82,0.0,1036,1,7,153,8
2020-01-22,3,-4,0.0,6.6,1,1,11,06:33 AM,04:16 PM,08:17 AM,06:15 PM,-6,-5,-1,-5,24,79,70,1.3,1024,3,9,178,16
2020-01-23,2,-5,0.0,5.0,1,1,3,07:29 AM,05:12 PM,08:16 AM,06:17 PM,1,-2,1,-2,16,100,96,15.0,1016,2,8,165,10
2020-01-24,2,-1,3.0,5.0,1,1,0,08:17 AM,06:09 PM,08:16 AM,06:18 PM,0,-3,1,-3,18,100,97,3.4,1013,2,4,279,13
2020-01-25,2,-2,0.1,6.7,1,1,0,08:58 AM,07:09 PM,08:15 AM,06:19 PM,-3,-5,-1,-5,21,82,88,0.2,1019,2,9,281,15
2020-01-26,8,-2,0.0,10.1,1,1,4,09:35 AM,08:09 PM,08:14 AM,06:20 PM,-0,1,2,1,9,53,86,0.0,1017,8,8,198,5
2020-01-27,8,-1,0.0,10.0,1,1,11,10:06 AM,09:07 PM,08:14 AM,06:21 PM,-1,-0,2,-0,12,66,87,0.0,1017,8,7,298,8
2020-01-28,2,-0,0.0,5.0,1,1,18,10:34 AM,10:04 PM,08:13 AM,06:22 PM,-2,-2,1,-2,12,93,83,0.0,1021,2,10,37,9
2020-01-29,1,-3,6.0,5.1,1,1,26,11:00 AM,11:01 PM,08:12 AM,06:23 PM,-2,-4,-1,-4,12,97,94,7.1,1021,1,4,43,9
2020-01-30,2,-4,0.2,5.1,1,1,33,11:25 AM,11:57 PM,08:11 AM,06:24 PM,-2,-2,-1,-2,6,99,90,0.2,1023,2,9,127,4
2020-01-31,6,0,0.0,5.1,1,1,37,11:51 AM,No moonset,08:11 AM,06:26 PM,1,1,3,1,11,95,91,0.0,1020,6,9,176,7
2020-02-01,7,-1,0.0,8.3,1,1,49,12:17 PM,12:54 AM,08:10 AM,06:27 PM,0,-1,3,-1,22,45,83,0.0,1018,7,8,275,14
2020-02-02,17,5,0.0,10.2,1,1,57,12:47 PM,01:53 AM,08:09 AM,06:28 PM,5,8,11,8,31,3,72,0.0,1010,17,10,259,17
2020-02-03,16,9,0.0,10.2,1,1,64,01:21 PM,02:52 AM,08:08 AM,06:29 PM,8,11,13,11,30,41,72,0.1,1006,16,10,200,18
2020-02-04,6,1,0.0,5.1,1,1,72,02:01 PM,03:54 AM,08:07 AM,06:30 PM,3,2,5,2,20,100,88,2.3,1012,6,8,21,15
2020-02-05,0,-3,7.2,5.1,1,1,79,02:48 PM,04:57 AM,08:06 AM,06:31 PM,-2,-5,-0,-5,22,100,92,16.1,1013,0,6,68,16
2020-02-06,-1,-4,1.5,5.1,1,1,87,03:45 PM,05:58 AM,08:05 AM,06:32 PM,-4,-7,-3,-7,17,97,91,2.1,1006,-1,6,344,13
2020-02-07,4,-7,0.1,8.4,1,1,95,04:49 PM,06:55 AM,08:04 AM,06:34 PM,-5,-6,-2,-6,17,55,83,0.6,1011,4,9,223,11
2020-02-08,2,-6,0.2,10.3,1,1,100,06:00 PM,07:48 AM,08:03 AM,06:35 PM,-6,-7,-3,-7,17,11,79,0.0,1023,2,9,283,12
2020-02-09,11,-0,0.0,5.2,1,1,100,07:14 PM,08:33 AM,08:02 AM,06:36 PM,4,2,6,2,38,76,84,10.4,1018,11,8,191,23
2020-02-10,4,-1,0.2,8.4,1,1,83,08:28 PM,09:13 AM,08:01 AM,06:37 PM,-1,-2,1,-2,17,76,83,5.2,1020,4,9,134,13
2020-02-11,6,-2,1.4,8.4,1,1,75,09:42 PM,09:49 AM,08:00 AM,06:38 PM,-2,-1,2,-1,11,58,79,2.2,1024,6,7,323,9
2020-02-12,1,-5,0.0,5.4,1,1,68,10:53 PM,10:22 AM,07:59 AM,06:39 PM,-0,-2,0,-2,10,77,91,23.6,1015,1,7,107,6
2020-02-13,-7,-12,3.4,8.5,1,1,60,No moonrise,10:54 AM,07:58 AM,06:40 PM,-10,-14,-7,-14,25,74,83,3.8,1025,-7,7,320,19
2020-02-14,-1,-14,0.0,10.8,1,1,53,12:04 AM,11:28 AM,07:57 AM,06:41 PM,-19,-13,-8,-13,13,6,45,0.0,1036,-1,10,105,9
2020-02-15,9,-5,0.0,10.1,1,1,45,01:14 AM,12:02 PM,07:56 AM,06:42 PM,-7,-2,2,-2,25,38,52,0.0,1024,9,10,215,17
2020-02-16,11,-1,0.0,10.9,1,1,38,02:21 AM,12:41 PM,07:54 AM,06:44 PM,1,3,5,3,12,36,80,0.0,1019,11,9,110,7
2020-02-17,11,6,0.0,5.5,1,1,30,03:27 AM,01:24 PM,07:53 AM,06:45 PM,7,7,9,7,22,91,89,2.4,1012,11,8,185,14
2020-02-18,5,-1,0.0,8.5,1,1,22,04:28 AM,02:12 PM,07:52 AM,06:46 PM,0,1,4,1,20,45,79,0.2,1023,5,10,354,14
2020-02-19,6,-3,0.0,10.1,1,1,15,05:25 AM,03:05 PM,07:51 AM,06:47 PM,-5,-3,1,-3,17,33,69,0.0,1034,6,10,61,11
2020-02-20,1,-6,0.0,10.1,1,1,7,06:14 AM,04:02 PM,07:49 AM,06:48 PM,-10,-7,-2,-7,20,47,57,0.0,1038,1,10,9,15
2020-02-21,6,-6,0.0,11.0,1,1,0,06:57 AM,05:01 PM,07:48 AM,06:49 PM,-14,-2,0,-2,12,0,42,0.0,1037,6,10,223,8
2020-02-22,10,-4,0.0,11.0,1,1,0,07:35 AM,06:00 PM,07:47 AM,06:50 PM,-6,-1,2,-1,26,3,54,0.0,1027,10,10,209,15
2020-02-23,14,3,0.0,8.6,1,1,0,08:07 AM,06:58 PM,07:46 AM,06:51 PM,3,6,9,6,21,53,74,0.3,1018,14,9,214,14
2020-02-24,13,6,0.0,5.5,1,1,0,08:36 AM,07:56 PM,07:44 AM,06:52 PM,7,6,8,6,16,99,93,31.1,1006,13,7,117,11
2020-02-25,6,5,0.0,5.6,1,1,8,09:02 AM,08:53 PM,07:43 AM,06:53 PM,5,3,6,3,14,100,94,14.0,1009,6,5,349,11
2020-02-26,0,-2,2.6,5.6,1,1,15,09:28 AM,09:50 PM,07:42 AM,06:54 PM,-2,-6,-0,-6,30,89,86,5.9,1019,0,5,326,23
2020-02-27,8,-4,0.0,11.2,1,1,23,09:53 AM,10:46 PM,07:40 AM,06:55 PM,-6,-2,1,-2,20,46,63,0.0,1023,8,10,250,13
2020-02-28,6,-3,0.0,5.6,1,1,30,10:19 AM,11:43 PM,07:39 AM,06:56 PM,-2,-2,2,-2,20,75,79,0.6,1021,6,9,288,14
2020-02-29,12,-2,0.6,11.2,1,1,38,10:47 AM,No moonset,07:37 AM,06:57 PM,-1,2,4,2,14,23,72,0.5,1024,12,9,190,9
2020-03-01,14,7,0.0,5.6,1,1,44,11:18 AM,12:41 AM,07:36 AM,06:59 PM,8,8,11,8,33,88,81,1.9,1012,14,10,198,21
2020-03-02,12,6,0.0,5.8,1,1,51,11:54 AM,01:42 AM,07:35 AM,07:00 PM,7,9,10,9,14,96,82,17.5,1008,12,9,117,9
2020-03-03,14,3,0.0,11.6,1,1,58,12:37 PM,02:42 AM,07:33 AM,07:01 PM,2,6,8,6,22,13,68,1.5,1009,14,10,280,14
2020-03-04,13,6,0.0,5.9,1,1,65,01:28 PM,03:42 AM,07:32 AM,07:02 PM,3,7,9,7,20,52,66,0.0,1016,13,10,331,12
2020-03-05,13,4,0.0,11.6,1,1,73,02:26 PM,04:40 AM,07:30 AM,07:03 PM,1,6,8,6,26,32,63,0.0,1020,13,10,273,17
2020-03-06,9,-0,0.0,11.6,1,1,80,03:33 PM,05:34 AM,07:29 AM,07:04 PM,-3,1,4,1,23,7,59,0.0,1031,9,10,333,16
2020-03-07,14,0,0.0,10.2,1,1,87,04:45 PM,06:21 AM,07:27 AM,07:05 PM,-1,4,7,4,21,27,59,0.0,1031,14,10,175,13
2020-03-08,17,6,0.0,11.6,1,1,95,06:00 PM,07:04 AM,07:26 AM,07:06 PM,3,9,11,9,33,23,57,0.0,1024,17,10,194,21
2020-03-09,14,7,0.0,5.9,1,1,100,07:16 PM,07:42 AM,07:24 AM,07:07 PM,10,10,13,10,41,86,81,8.7,1018,14,8,191,25
2020-03-10,13,4,0.0,8.8,1,1,100,08:30 PM,08:16 AM,07:23 AM,07:08 PM,4,6,9,6,19,63,78,1.1,1023,13,10,322,13
2020-03-11,19,6,0.0,10.2,1,1,84,09:45 PM,08:50 AM,07:21 AM,07:09 PM,8,11,12,11,12,48,80,0.1,1017,19,9,305,7
2020-03-12,18,10,0.0,6.0,1,1,76,10:58 PM,09:24 AM,07:20 AM,07:10 PM,12,13,14,13,30,63,90,17.7,1008,18,8,199,18
2020-03-13,11,4,0.0,11.6,1,1,69,No moonrise,09:59 AM,07:18 AM,07:11 PM,-1,5,7,5,18,49,61,0.0,1025,11,10,35,13
2020-03-14,4,-6,0.0,6.0,1,1,62,12:09 AM,10:38 AM,07:17 AM,07:12 PM,1,-1,2,-1,23,100,84,13.4,1030,4,7,73,16
2020-03-15,6,1,0.0,6.0,1,1,55,01:18 AM,11:21 AM,07:15 AM,07:13 PM,0,-0,3,-0,17,91,83,0.0,1033,6,10,47,12
2020-03-16,6,2,0.0,6.0,1,1,47,02:23 AM,12:08 PM,07:14 AM,07:13 PM,2,2,4,2,8,86,89,2.9,1027,6,10,163,5
