date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,12,7,0.0,3.1,1,1,80,01:51 PM,04:26 AM,08:02 AM,04:27 PM,9,8,11,8,43,76,89,0.5,1025,12,9,204,26
2020-01-08,12,7,0.0,3.1,1,1,88,02:27 PM,05:36 AM,08:02 AM,04:28 PM,11,9,11,9,42,97,93,2.9,1023,12,5,222,24
2020-01-09,13,10,0.0,3.1,1,1,95,03:14 PM,06:44 AM,08:02 AM,04:29 PM,9,8,11,8,67,85,86,3.9,1010,13,8,202,40
2020-01-10,9,1,0.0,5.0,1,1,100,04:11 PM,07:47 AM,08:01 AM,04:30 PM,5,5,8,5,41,74,73,0.6,1024,9,10,310,29
2020-01-11,11,9,0.0,3.1,1,1,100,05:21 PM,08:41 AM,08:01 AM,04:32 PM,6,6,10,6,51,70,78,0.0,1028,11,10,215,36
2020-01-12,11,10,0.0,5.0,1,1,83,06:38 PM,09:25 AM,08:00 AM,04:33 PM,8,7,11,7,54,64,83,0.5,1023,11,10,255,35
2020-01-13,11,3,0.0,5.0,1,1,76,07:58 PM,10:01 AM,08:00 AM,04:34 PM,7,6,9,6,67,74,80,3.5,1011,11,10,204,43
2020-01-14,13,10,0.0,3.3,1,1,69,09:19 PM,10:30 AM,07:59 AM,04:36 PM,9,8,11,8,74,95,87,16.6,1001,13,7,204,48
2020-01-15,11,5,0.0,3.3,1,1,61,10:39 PM,10:55 AM,07:58 AM,04:37 PM,7,7,10,7,57,88,80,31.9,1009,11,7,265,38
2020-01-16,12,10,0.0,6.9,1,1,54,11:57 PM,11:18 AM,07:58 AM,04:39 PM,8,7,11,7,69,61,82,8.8,1015,12,7,173,44
2020-01-17,11,1,0.0,5.1,1,1,47,No moonrise,11:41 AM,07:57 AM,04:40 PM,5,5,9,5,68,84,74,12.1,1016,11,9,268,47
2020-01-18,9,0,0.0,8.7,1,1,40,01:14 AM,12:05 PM,07:56 AM,04:42 PM,4,6,8,6,30,42,71,1.0,1028,9,10,131,22
2020-01-19,8,5,0.0,8.7,1,1,32,02:30 AM,12:31 PM,07:55 AM,04:43 PM,3,4,8,4,37,4,71,0.0,1042,8,10,45,29
2020-01-20,8,0,0.0,8.7,1,1,25,03:46 AM,01:03 PM,07:54 AM,04:45 PM,4,4,8,4,32,11,72,0.0,1047,8,10,51,24
2020-01-21,7,6,0.0,8.7,1,1,18,04:57 AM,01:40 PM,07:53 AM,04:46 PM,2,4,7,4,23,19,72,0.0,1041,7,10,74,17
2020-01-22,8,4,0.0,8.7,1,1,11,06:03 AM,02:26 PM,07:52 AM,04:48 PM,3,3,7,3,33,31,76,0.0,1036,8,10,67,25
2020-01-23,8,6,0.0,8.7,1,1,3,07:01 AM,03:20 PM,07:51 AM,04:49 PM,3,2,7,2,42,5,78,0.0,1029,8,10,69,32
2020-01-24,7,6,0.0,8.7,1,1,0,07:49 AM,04:20 PM,07:50 AM,04:51 PM,3,3,6,3,30,54,80,0.0,1023,7,10,82,22
2020-01-25,9,2,0.0,8.7,1,1,0,08:27 AM,05:25 PM,07:49 AM,04:53 PM,6,4,7,4,36,51,88,0.0,1017,9,10,149,24
2020-01-26,10,6,0.0,3.4,1,1,4,08:59 AM,06:31 PM,07:48 AM,04:54 PM,7,6,10,6,53,77,87,4.2,1012,10,8,207,35
2020-01-27,10,2,0.0,3.4,1,1,11,09:24 AM,07:37 PM,07:47 AM,04:56 PM,7,5,9,5,58,89,83,14.4,1003,10,9,231,39
2020-01-28,8,-1,0.0,5.2,1,1,18,09:46 AM,08:42 PM,07:46 AM,04:58 PM,2,2,7,2,85,81,67,9.9,1003,8,10,280,59
