date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,12,6,0.0,8.7,1,1,80,01:59 PM,03:06 AM,06:37 AM,04:47 PM,2,5,8,5,30,38,64,0.9,1015,12,9,231,21
2020-01-08,7,1,0.0,3.8,1,1,88,02:42 PM,04:07 AM,06:37 AM,04:48 PM,3,1,6,1,52,86,81,10.2,1014,7,9,236,38
2020-01-09,7,6,0.0,3.8,1,1,95,03:34 PM,05:09 AM,06:37 AM,04:49 PM,5,2,6,2,37,84,90,40.5,1013,7,6,244,27
2020-01-10,8,5,0.0,3.8,1,1,100,04:31 PM,06:09 AM,06:37 AM,04:50 PM,4,4,6,4,12,67,87,9.1,1016,8,9,199,8
2020-01-11,9,4,0.0,8.7,1,1,100,05:36 PM,07:07 AM,06:37 AM,04:50 PM,4,4,7,4,18,48,83,0.0,1023,9,10,296,13
2020-01-12,10,6,0.0,8.7,1,1,83,06:43 PM,08:00 AM,06:37 AM,04:51 PM,4,5,7,5,17,12,79,0.0,1024,10,10,269,12
2020-01-13,11,6,0.0,3.8,1,1,76,07:52 PM,08:46 AM,06:37 AM,04:52 PM,6,6,8,6,21,47,88,0.2,1022,11,9,268,14
2020-01-14,13,6,0.0,8.7,1,1,69,09:00 PM,09:29 AM,06:37 AM,04:53 PM,5,8,9,8,19,31,77,0.2,1024,13,9,119,13
2020-01-15,15,8,0.0,7.1,1,1,61,10:06 PM,10:06 AM,06:37 AM,04:54 PM,2,8,10,8,32,33,56,0.0,1021,15,10,113,20
2020-01-16,14,8,0.0,8.7,1,1,54,11:12 PM,10:42 AM,06:37 AM,04:55 PM,-4,8,10,8,32,53,38,0.2,1015,14,10,107,20
2020-01-17,11,7,0.0,8.7,1,1,47,No moonrise,11:17 AM,06:37 AM,04:56 PM,4,7,9,7,15,37,72,0.1,1014,11,10,254,10
2020-01-18,11,8,0.0,3.8,1,1,40,12:16 AM,11:53 AM,06:36 AM,04:57 PM,7,6,9,6,23,69,87,3.5,1015,11,9,248,17
2020-01-19,10,8,0.0,3.8,1,1,32,01:20 AM,12:31 PM,06:36 AM,04:58 PM,5,5,8,5,36,73,82,2.4,1018,10,8,245,28
2020-01-20,9,6,0.0,3.8,1,1,25,02:24 AM,01:12 PM,06:36 AM,04:59 PM,5,4,7,4,29,80,86,9.3,1022,9,8,245,21
2020-01-21,6,4,0.0,3.8,1,1,18,03:27 AM,01:57 PM,06:35 AM,04:59 PM,3,1,5,1,33,65,85,1.9,1019,6,10,288,24
2020-01-22,9,3,0.0,8.7,1,1,11,04:27 AM,02:47 PM,06:35 AM,05:00 PM,3,3,5,3,18,26,84,0.0,1021,9,9,285,13
2020-01-23,8,4,0.0,5.6,1,1,3,05:24 AM,03:41 PM,06:35 AM,05:01 PM,3,2,6,2,34,57,82,0.5,1021,8,10,255,25
2020-01-24,7,2,0.0,5.6,1,1,0,06:15 AM,04:37 PM,06:34 AM,05:02 PM,2,1,6,1,46,50,78,9.3,1018,7,9,305,31
2020-01-25,9,2,0.0,8.7,1,1,0,07:01 AM,05:35 PM,06:34 AM,05:03 PM,-0,5,6,5,10,0,64,0.0,1028,9,10,296,8
