date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,-8,-13,0.0,2.0,1,1,80,02:43 PM,05:24 AM,09:17 AM,05:24 PM,-12,-13,-10,-13,10,82,83,0.0,1028,-8,10,167,5
2020-01-08,-13,-18,0.0,5.8,1,1,88,03:16 PM,06:36 AM,09:17 AM,05:25 PM,-16,-20,-15,-20,13,72,92,0.0,1033,-13,8,231,6
2020-01-09,-15,-21,0.0,2.0,1,1,95,03:59 PM,07:46 AM,09:16 AM,05:27 PM,-18,-26,-18,-26,23,97,96,0.0,1035,-15,3,208,12
2020-01-10,-13,-18,0.0,5.8,1,1,100,04:54 PM,08:51 AM,09:16 AM,05:28 PM,-17,-22,-16,-22,23,68,91,0.0,1032,-13,9,188,12
2020-01-11,-11,-15,0.0,3.9,1,1,100,06:02 PM,09:46 AM,09:15 AM,05:29 PM,-14,-19,-12,-19,22,85,87,0.0,1025,-11,10,192,12
2020-01-12,-13,-18,0.0,3.9,1,1,83,07:20 PM,10:31 AM,09:15 AM,05:31 PM,-15,-21,-14,-21,21,63,93,0.0,1020,-13,7,227,11
2020-01-13,-14,-20,0.1,2.0,1,1,76,08:42 PM,11:06 AM,09:14 AM,05:32 PM,-17,-24,-16,-24,28,96,95,0.1,1021,-14,10,221,15
2020-01-14,-9,-15,0.1,2.1,1,1,69,10:05 PM,11:35 AM,09:13 AM,05:34 PM,-12,-20,-11,-20,43,100,92,0.9,1019,-9,5,208,28
2020-01-15,-5,-13,1.4,2.1,1,1,61,11:27 PM,11:59 AM,09:13 AM,05:35 PM,-8,-14,-7,-14,36,100,94,3.9,1017,-5,2,246,24
2020-01-16,-15,-22,0.6,2.1,1,1,54,No moonrise,12:20 PM,09:12 AM,05:37 PM,-16,-24,-16,-24,36,99,95,0.8,1030,-15,5,225,23
2020-01-17,-3,-8,0.0,2.1,1,1,47,12:47 AM,12:41 PM,09:11 AM,05:38 PM,-6,-14,-6,-14,60,100,93,10.5,1019,-3,0,234,41
2020-01-18,-4,-7,3.4,2.1,1,1,40,02:07 AM,01:02 PM,09:10 AM,05:40 PM,-6,-12,-5,-12,33,100,95,7.0,1024,-4,3,227,22
2020-01-19,-8,-14,0.7,2.1,1,1,32,03:26 AM,01:26 PM,09:09 AM,05:41 PM,-10,-16,-10,-16,24,100,95,0.8,1024,-8,8,267,16
2020-01-20,-10,-15,0.0,3.9,1,1,25,04:43 AM,01:54 PM,09:08 AM,05:43 PM,-14,-19,-13,-19,18,90,91,0.0,1026,-10,10,171,10
2020-01-21,-9,-11,5.0,2.1,1,1,18,05:58 AM,02:29 PM,09:07 AM,05:45 PM,-11,-17,-10,-17,29,99,94,5.9,1017,-9,3,229,20
2020-01-22,-8,-12,0.9,2.1,1,1,11,07:06 AM,03:12 PM,09:06 AM,05:46 PM,-10,-17,-8,-17,44,100,91,2.8,1016,-8,1,220,29
2020-01-23,-3,-7,0.0,2.1,1,1,3,08:06 AM,04:04 PM,09:05 AM,05:48 PM,-5,-13,-4,-13,67,100,90,4.1,1009,-3,0,216,46
2020-01-24,-2,-3,2.6,2.1,1,1,0,08:56 AM,05:04 PM,09:04 AM,05:50 PM,-3,-10,-3,-10,48,100,94,7.6,1007,-2,1,212,33
2020-01-25,-5,-14,5.6,2.1,1,1,0,09:35 AM,06:09 PM,09:02 AM,05:51 PM,-9,-17,-9,-17,35,99,94,7.0,1011,-5,3,232,23
2020-01-26,-8,-16,0.0,2.1,1,1,4,10:06 AM,07:17 PM,09:01 AM,05:53 PM,-13,-21,-12,-21,54,94,89,0.5,1015,-8,8,205,35
2020-01-27,-3,-8,0.6,3.2,1,1,11,10:30 AM,08:24 PM,09:00 AM,05:55 PM,-7,-14,-5,-14,55,100,91,5.3,1005,-3,2,229,38
2020-01-28,-4,-12,0.3,3.4,1,1,18,10:51 AM,09:32 PM,08:58 AM,05:56 PM,-10,-16,-8,-16,41,96,92,3.5,1010,-4,2,237,28
2020-01-29,-20,-26,0.0,3.4,1,1,26,11:09 AM,10:37 PM,08:57 AM,05:58 PM,-24,-33,-24,-33,26,91,98,0.0,1036,-20,8,232,13
2020-01-30,-15,-25,0.0,9.4,1,1,33,11:26 AM,11:44 PM,08:56 AM,06:00 PM,-22,-26,-21,-26,15,43,85,0.0,1039,-15,8,161,7
2020-01-31,-12,-20,0.0,9.5,1,1,37,11:43 AM,No moonset,08:54 AM,06:02 PM,-21,-23,-17,-23,18,15,73,0.0,1034,-12,10,135,9
2020-02-01,-8,-16,0.0,9.5,1,1,49,12:00 PM,12:49 AM,08:53 AM,06:03 PM,-16,-18,-12,-18,20,56,71,0.0,1028,-8,10,163,10
2020-02-02,-8,-14,0.0,9.5,1,1,57,12:19 PM,01:56 AM,08:51 AM,06:05 PM,-14,-17,-11,-17,24,6,82,0.0,1020,-8,10,178,12
2020-02-03,-3,-11,0.0,6.5,1,1,64,12:42 PM,03:05 AM,08:50 AM,06:07 PM,-7,-12,-6,-12,24,78,92,0.0,1014,-3,8,207,13
