date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,25,16,0.0,10.2,1,1,80,03:46 PM,03:17 AM,06:33 AM,06:44 PM,15,19,20,19,21,43,78,3.7,1014,25,10,57,15
2020-01-08,23,16,0.0,8.8,1,1,88,04:39 PM,04:07 AM,06:33 AM,06:45 PM,16,19,19,19,25,52,83,5.8,1015,23,10,63,16
2020-01-09,24,16,0.0,8.8,1,1,95,05:36 PM,05:01 AM,06:34 AM,06:45 PM,16,19,19,19,18,51,82,4.1,1014,24,10,52,13
2020-01-10,26,16,0.0,10.2,1,1,100,06:34 PM,05:59 AM,06:34 AM,06:46 PM,15,20,21,20,16,51,76,1.1,1013,26,8,50,12
2020-01-11,27,16,0.0,10.2,1,1,100,07:34 PM,06:59 AM,06:34 AM,06:46 PM,15,21,21,21,14,42,72,4.2,1013,27,10,48,10
2020-01-12,27,16,0.0,7.4,1,1,83,08:32 PM,07:59 AM,06:35 AM,06:46 PM,15,22,22,21,12,67,75,7.5,1014,27,9,136,9
2020-01-13,24,17,0.0,7.4,1,1,76,09:29 PM,08:57 AM,06:35 AM,06:47 PM,15,19,20,19,11,73,77,14.8,1015,24,8,143,7
2020-01-14,23,16,0.0,7.4,1,1,69,10:22 PM,09:52 AM,06:36 AM,06:47 PM,16,19,20,19,17,61,82,11.5,1014,23,9,46,11
2020-01-15,25,16,0.0,10.2,1,1,61,11:13 PM,10:45 AM,06:36 AM,06:47 PM,15,19,20,19,19,51,79,0.4,1014,25,7,46,15
2020-01-16,26,16,0.0,10.2,1,1,54,No moonrise,11:37 AM,06:36 AM,06:48 PM,15,20,20,20,15,50,78,5.5,1014,26,8,49,11
2020-01-17,25,16,0.0,7.4,1,1,47,12:02 AM,12:26 PM,06:37 AM,06:48 PM,15,20,20,20,15,65,77,4.6,1014,25,10,49,11
2020-01-18,26,18,0.0,8.8,1,1,40,12:51 AM,01:17 PM,06:37 AM,06:48 PM,14,21,21,21,13,54,68,0.5,1013,26,10,51,10
2020-01-19,27,17,0.0,7.4,1,1,32,01:41 AM,02:08 PM,06:38 AM,06:49 PM,14,21,21,21,12,55,68,0.9,1013,27,10,43,9
2020-01-20,28,16,0.0,11.6,1,1,25,02:32 AM,03:01 PM,06:38 AM,06:49 PM,15,22,22,21,11,24,71,0.0,1013,28,10,52,8
