date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,20,12,0.0,8.7,1,1,80,02:14 PM,03:12 AM,06:43 AM,05:05 PM,7,16,17,16,12,0,49,0.0,1021,20,10,276,9
2020-01-08,18,15,0.0,8.7,1,1,88,02:58 PM,04:11 AM,06:43 AM,05:06 PM,8,17,17,17,31,13,55,0.0,1016,18,10,155,21
2020-01-09,18,15,0.0,8.7,1,1,95,03:50 PM,05:12 AM,06:44 AM,05:06 PM,5,17,17,17,24,9,45,0.0,1014,18,10,8,17
2020-01-10,18,15,0.0,8.7,1,1,100,04:48 PM,06:13 AM,06:44 AM,05:07 PM,3,16,16,16,28,18,42,0.0,1012,18,10,102,19
2020-01-11,16,14,0.0,8.7,1,1,100,05:52 PM,07:11 AM,06:44 AM,05:08 PM,5,14,15,14,44,17,52,0.0,1013,16,10,306,33
2020-01-12,17,12,0.0,8.7,1,1,83,06:58 PM,08:04 AM,06:44 AM,05:09 PM,3,13,14,13,45,3,46,0.0,1020,17,10,313,34
2020-01-13,17,9,0.0,8.7,1,1,76,08:05 PM,08:52 AM,06:44 AM,05:10 PM,0,13,14,13,17,21,37,0.0,1020,17,10,229,12
2020-01-14,15,13,0.0,8.7,1,1,69,09:12 PM,09:36 AM,06:43 AM,05:11 PM,4,13,14,13,34,17,48,0.0,1020,15,10,321,26
2020-01-15,17,12,0.0,8.7,1,1,61,10:17 PM,10:15 AM,06:43 AM,05:11 PM,3,14,15,14,27,11,46,0.0,1024,17,10,314,20
2020-01-16,18,14,0.0,8.7,1,1,54,11:21 PM,10:53 AM,06:43 AM,05:12 PM,2,16,16,16,11,4,39,0.0,1024,18,10,216,7
2020-01-17,19,16,0.0,7.1,1,1,47,No moonrise,11:29 AM,06:43 AM,05:13 PM,8,17,17,17,34,17,55,0.0,1020,19,10,155,22
2020-01-18,20,17,0.0,7.1,1,1,40,12:24 AM,12:06 PM,06:43 AM,05:14 PM,8,18,18,18,47,39,54,0.3,1014,20,9,162,30
2020-01-19,20,16,0.0,8.7,1,1,32,01:27 AM,12:45 PM,06:43 AM,05:15 PM,7,18,18,18,29,6,50,0.0,1016,20,10,260,18
2020-01-20,19,16,0.0,8.7,1,1,25,02:29 AM,01:27 PM,06:42 AM,05:16 PM,7,17,17,17,20,10,52,0.0,1020,19,10,318,13
2020-01-21,18,16,0.0,8.7,1,1,18,03:31 AM,02:13 PM,06:42 AM,05:17 PM,7,17,17,17,19,24,52,0.0,1017,18,10,169,12
2020-01-22,19,16,0.0,5.6,1,1,11,04:31 AM,03:03 PM,06:42 AM,05:17 PM,8,17,17,17,44,43,55,0.5,1014,19,10,219,30
2020-01-23,16,13,0.0,8.7,1,1,3,05:28 AM,03:57 PM,06:42 AM,05:18 PM,3,14,14,14,23,0,47,0.0,1019,16,10,306,17
2020-01-24,16,10,0.0,8.7,1,1,0,06:19 AM,04:53 PM,06:41 AM,05:19 PM,3,13,14,13,17,1,49,0.0,1020,16,10,175,12
2020-01-25,15,13,0.0,8.7,1,1,0,07:06 AM,05:50 PM,06:41 AM,05:20 PM,4,12,14,12,35,13,50,0.0,1018,15,10,282,26
2020-01-26,17,10,0.0,8.7,1,1,4,07:47 AM,06:45 PM,06:40 AM,05:21 PM,4,11,13,11,46,10,53,0.0,1023,17,10,312,34
2020-01-27,16,12,0.0,8.7,1,1,11,08:23 AM,07:40 PM,06:40 AM,05:22 PM,3,12,14,12,35,0,48,0.0,1024,16,10,313,25
2020-01-28,17,12,0.0,8.7,1,1,18,08:57 AM,08:33 PM,06:40 AM,05:23 PM,5,13,15,13,16,13,51,0.0,1022,17,10,315,12
2020-01-29,18,14,0.0,8.7,1,1,26,09:28 AM,09:26 PM,06:39 AM,05:23 PM,6,15,16,15,30,26,52,0.0,1017,18,10,150,20
2020-01-30,18,13,0.0,8.7,1,1,33,09:58 AM,10:17 PM,06:39 AM,05:24 PM,9,15,16,15,22,0,63,0.0,1019,18,10,131,14
2020-01-31,19,15,0.0,8.7,1,1,37,10:27 AM,11:10 PM,06:38 AM,05:25 PM,10,17,17,17,18,0,65,0.0,1018,19,10,166,12
2020-02-01,18,15,0.0,8.7,1,1,49,10:58 AM,No moonset,06:38 AM,05:26 PM,7,16,16,16,29,11,56,0.0,1016,18,10,313,19
2020-02-02,17,13,0.0,8.7,1,1,57,11:31 AM,12:03 AM,06:37 AM,05:27 PM,1,14,15,14,14,8,38,0.0,1021,17,10,167,10
2020-02-03,16,13,0.0,8.7,1,1,64,12:07 PM,12:58 AM,06:36 AM,05:28 PM,2,14,15,14,20,1,44,0.0,1023,16,10,324,14
2020-02-04,16,11,0.0,8.7,1,1,72,12:48 PM,01:55 AM,06:36 AM,05:28 PM,0,13,14,13,16,17,39,0.0,1021,16,10,199,11
2020-02-05,17,14,0.0,8.7,1,1,79,01:35 PM,02:54 AM,06:35 AM,05:29 PM,5,16,16,16,16,16,50,0.0,1019,17,10,102,10
2020-02-06,19,16,0.0,8.7,1,1,87,02:29 PM,03:54 AM,06:35 AM,05:30 PM,7,18,18,18,23,28,51,0.3,1019,19,10,129,13
2020-02-07,21,17,0.0,8.7,1,1,95,03:30 PM,04:53 AM,06:34 AM,05:31 PM,11,19,19,19,44,23,59,1.1,1015,21,10,140,24
2020-02-08,23,18,0.0,8.7,1,1,100,04:36 PM,05:50 AM,06:33 AM,05:32 PM,8,20,20,20,35,17,48,0.0,1014,23,10,289,18
2020-02-09,18,16,0.0,8.7,1,1,100,05:45 PM,06:41 AM,06:32 AM,05:33 PM,5,17,17,17,26,7,43,0.0,1019,18,10,322,17
