date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,4,-2,0.0,2.8,1,1,80,01:31 PM,05:07 AM,08:59 AM,04:01 PM,3,-0,3,-0,24,98,93,1.3,1020,4,8,198,16
2020-01-08,6,1,0.0,2.8,1,1,88,01:59 PM,06:25 AM,08:58 AM,04:03 PM,2,-0,4,-0,35,93,85,1.1,1014,6,7,213,23
2020-01-09,4,2,0.0,4.8,1,1,95,02:39 PM,07:40 AM,08:57 AM,04:04 PM,1,0,4,0,24,56,84,0.0,1014,4,10,250,15
2020-01-10,4,2,0.0,2.8,1,1,100,03:35 PM,08:45 AM,08:56 AM,04:06 PM,3,1,3,1,14,100,96,3.7,1010,4,4,124,9
2020-01-11,3,-4,0.0,7.5,1,1,100,04:47 PM,09:37 AM,08:55 AM,04:07 PM,-0,-1,2,-1,21,36,85,0.0,1020,3,10,159,14
2020-01-12,6,1,0.0,2.8,1,1,83,06:12 PM,10:14 AM,08:54 AM,04:09 PM,3,1,5,1,38,100,84,4.9,1010,6,8,230,24
2020-01-13,5,-1,0.0,7.6,1,1,76,07:42 PM,10:41 AM,08:53 AM,04:11 PM,2,0,3,0,19,58,91,0.1,1011,5,9,239,11
2020-01-14,4,-1,0.0,6.8,1,1,69,09:13 PM,11:02 AM,08:52 AM,04:13 PM,1,-2,2,-2,31,71,88,0.8,1014,4,7,183,20
2020-01-15,7,1,0.0,2.9,1,1,61,10:42 PM,11:18 AM,08:51 AM,04:15 PM,3,2,6,2,41,95,81,2.8,1010,7,6,212,26
2020-01-16,7,5,0.0,2.9,1,1,54,No moonrise,11:33 AM,08:50 AM,04:17 PM,3,2,6,2,34,79,78,0.9,1017,7,9,251,21
2020-01-17,5,2,0.0,7.7,1,1,47,12:10 AM,11:47 AM,08:49 AM,04:19 PM,1,-0,3,-0,26,18,83,0.0,1025,5,10,203,16
2020-01-18,4,-4,0.0,2.9,1,1,40,01:37 AM,12:02 PM,08:47 AM,04:21 PM,-0,-2,2,-2,31,81,79,0.2,1017,4,9,201,20
2020-01-19,5,3,0.0,4.8,1,1,32,03:03 AM,12:19 PM,08:46 AM,04:23 PM,2,0,4,0,26,61,83,0.1,1025,5,10,249,16
2020-01-20,4,-4,0.0,7.8,1,1,25,04:27 AM,12:41 PM,08:44 AM,04:25 PM,0,-2,2,-2,26,38,85,0.0,1032,4,10,242,16
2020-01-21,8,-1,0.0,2.9,1,1,18,05:48 AM,01:11 PM,08:43 AM,04:27 PM,3,2,5,2,37,81,82,0.6,1018,8,9,289,23
2020-01-22,4,3,0.1,4.9,1,1,11,07:01 AM,01:51 PM,08:41 AM,04:29 PM,-1,-1,4,-1,42,75,69,0.7,1013,4,8,328,28
