date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,16,11,0.0,7.1,1,1,80,01:57 PM,03:12 AM,06:44 AM,04:44 PM,5,11,13,11,44,51,60,10.7,1013,16,9,189,30
2020-01-08,14,10,0.0,3.8,1,1,88,02:40 PM,04:13 AM,06:44 AM,04:45 PM,8,9,12,9,39,88,77,45.1,1010,14,7,173,24
2020-01-09,15,6,0.0,5.4,1,1,95,03:31 PM,05:15 AM,06:44 AM,04:46 PM,7,11,12,11,19,79,71,17.7,1012,15,9,197,12
2020-01-10,14,11,0.0,3.8,1,1,100,04:28 PM,06:16 AM,06:44 AM,04:47 PM,5,12,13,12,11,70,61,3.9,1016,14,10,174,7
2020-01-11,15,6,0.0,7.1,1,1,100,05:33 PM,07:14 AM,06:44 AM,04:48 PM,5,12,12,12,10,45,59,0.2,1023,15,10,183,7
2020-01-12,15,8,0.0,3.8,1,1,83,06:41 PM,08:05 AM,06:43 AM,04:49 PM,7,12,14,12,16,81,67,3.8,1022,15,10,213,11
2020-01-13,16,11,0.0,3.8,1,1,76,07:51 PM,08:52 AM,06:43 AM,04:50 PM,9,14,14,14,7,69,73,6.8,1021,16,10,314,5
2020-01-14,17,13,0.0,8.7,1,1,69,09:00 PM,09:33 AM,06:43 AM,04:50 PM,7,14,15,14,13,9,59,0.0,1024,17,10,328,8
2020-01-15,17,11,0.0,8.7,1,1,61,10:07 PM,10:09 AM,06:43 AM,04:51 PM,6,14,15,14,17,40,56,0.0,1021,17,10,122,11
2020-01-16,18,15,0.0,5.4,1,1,54,11:14 PM,10:44 AM,06:43 AM,04:52 PM,8,16,16,16,20,46,58,0.5,1016,18,10,35,12
2020-01-17,16,9,0.0,7.1,1,1,47,No moonrise,11:18 AM,06:42 AM,04:53 PM,6,14,14,14,9,60,56,1.2,1014,16,9,186,7
2020-01-18,15,11,0.0,3.8,1,1,40,12:19 AM,11:53 AM,06:42 AM,04:54 PM,8,12,13,12,10,76,71,5.8,1015,15,10,292,7
2020-01-19,15,12,0.0,3.8,1,1,32,01:25 AM,12:29 PM,06:42 AM,04:55 PM,8,11,13,11,32,82,73,23.6,1016,15,8,205,20
2020-01-20,14,10,0.0,3.8,1,1,25,02:29 AM,01:10 PM,06:41 AM,04:56 PM,7,10,12,10,31,65,73,31.5,1020,14,8,222,18
2020-01-21,12,4,0.0,3.8,1,1,18,03:33 AM,01:54 PM,06:41 AM,04:57 PM,5,8,10,8,24,76,68,16.1,1019,12,9,122,16
2020-01-22,14,6,0.0,7.1,1,1,11,04:34 AM,02:44 PM,06:41 AM,04:58 PM,3,9,11,9,17,39,57,0.5,1020,14,10,349,12
2020-01-23,14,8,0.0,5.4,1,1,3,05:31 AM,03:38 PM,06:40 AM,04:59 PM,6,10,12,10,28,66,65,6.2,1019,14,10,207,20
2020-01-24,12,6,0.0,4.0,1,1,0,06:22 AM,04:34 PM,06:40 AM,05:00 PM,3,7,10,7,46,61,60,17.2,1018,12,9,239,32
2020-01-25,13,5,0.0,8.7,1,1,0,07:07 AM,05:32 PM,06:39 AM,05:01 PM,-1,10,11,10,8,0,41,0.0,1028,13,10,334,6
2020-01-26,15,4,0.0,8.7,1,1,4,07:47 AM,06:29 PM,06:39 AM,05:02 PM,3,12,12,12,4,5,53,0.0,1028,15,10,241,3
2020-01-27,14,4,0.0,7.1,1,1,11,08:21 AM,07:26 PM,06:38 AM,05:03 PM,6,11,12,11,8,40,65,0.0,1024,14,10,234,5
2020-01-28,15,12,0.0,5.6,1,1,18,08:52 AM,08:21 PM,06:38 AM,05:04 PM,7,13,13,13,14,63,67,2.3,1018,15,10,211,9
2020-01-29,15,7,0.0,4.0,1,1,26,09:22 AM,09:16 PM,06:37 AM,05:05 PM,10,12,13,12,21,75,76,18.0,1019,15,9,213,14
2020-01-30,15,8,0.0,4.0,1,1,33,09:49 AM,10:10 PM,06:36 AM,05:06 PM,9,12,14,12,28,77,72,5.1,1019,15,10,201,21
2020-01-31,15,11,0.0,4.0,1,1,37,10:17 AM,11:04 PM,06:36 AM,05:07 PM,4,11,13,11,47,72,57,18.4,1015,15,8,296,29
2020-02-01,15,11,0.0,4.0,1,1,49,10:45 AM,12:00 AM,06:35 AM,05:08 PM,7,12,13,12,22,69,66,6.8,1018,15,10,283,16
2020-02-02,17,8,0.0,8.7,1,1,57,11:16 AM,No moonset,06:34 AM,05:09 PM,8,13,14,13,7,26,63,1.6,1022,17,10,319,5
