date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,29,24,0.0,11.6,1,1,80,03:53 PM,03:43 AM,06:56 AM,06:42 PM,21,29,29,26,16,1,73,0.0,1011,29,10,200,11
2020-01-08,30,25,0.0,11.6,1,1,88,04:44 PM,04:36 AM,06:56 AM,06:43 PM,22,30,30,27,16,12,75,0.0,1011,30,10,182,12
2020-01-09,30,26,0.0,10.2,1,1,95,05:40 PM,05:32 AM,06:57 AM,06:43 PM,23,31,31,28,18,27,78,0.0,1011,30,10,198,13
2020-01-10,30,26,0.0,8.8,1,1,100,06:39 PM,06:31 AM,06:57 AM,06:44 PM,24,32,32,28,17,52,81,0.2,1012,30,10,259,12
2020-01-11,30,26,0.0,10.2,1,1,100,07:40 PM,07:30 AM,06:57 AM,06:44 PM,23,32,32,28,13,43,76,2.0,1012,30,10,173,9
2020-01-12,31,25,0.0,11.6,1,1,83,08:40 PM,08:28 AM,06:58 AM,06:45 PM,24,32,32,28,13,24,79,0.0,1012,31,10,177,10
2020-01-13,30,25,0.0,11.6,1,1,76,09:39 PM,09:24 AM,06:58 AM,06:45 PM,24,31,31,27,16,11,81,0.0,1010,30,10,203,12
2020-01-14,31,25,0.0,11.6,1,1,69,10:34 PM,10:16 AM,06:58 AM,06:46 PM,23,31,31,28,14,17,78,0.0,1010,31,10,190,10
2020-01-15,30,24,0.0,11.6,1,1,61,11:29 PM,11:06 AM,06:59 AM,06:46 PM,23,31,31,27,18,21,78,0.0,1011,30,10,283,13
2020-01-16,30,26,0.0,11.6,1,1,54,No moonrise,11:54 AM,06:59 AM,06:47 PM,23,31,31,28,15,9,75,0.0,1011,30,10,191,11
2020-01-17,29,26,0.0,10.2,1,1,47,12:21 AM,12:41 PM,06:59 AM,06:47 PM,23,31,31,27,15,27,79,0.1,1012,29,10,193,10
2020-01-18,31,25,0.0,10.2,1,1,40,01:13 AM,01:28 PM,06:59 AM,06:48 PM,24,31,31,28,16,24,80,0.2,1012,31,10,192,12
2020-01-19,31,25,0.0,10.1,1,1,32,02:06 AM,02:17 PM,07:00 AM,06:48 PM,24,31,31,28,16,33,80,0.2,1011,31,10,283,12
