date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,2,-2,0.1,6.9,1,1,80,02:10 PM,04:31 AM,08:08 AM,04:48 PM,-5,-2,-0,-2,11,26,72,0.2,1030,2,10,179,6
2020-01-08,6,-3,0.0,8.4,1,1,88,02:47 PM,05:40 AM,08:07 AM,04:50 PM,-10,-3,0,-3,19,20,46,0.0,1031,6,10,188,9
2020-01-09,8,-0,0.0,8.4,1,1,95,03:35 PM,06:47 AM,08:07 AM,04:51 PM,-5,0,3,0,20,25,56,0.0,1024,8,10,183,10
2020-01-10,5,-3,0.0,8.5,1,1,100,04:32 PM,07:50 AM,08:07 AM,04:52 PM,-5,-2,0,-2,12,28,67,0.1,1025,5,9,286,6
2020-01-11,6,-3,0.2,6.9,1,1,100,05:41 PM,08:44 AM,08:06 AM,04:53 PM,-2,1,2,1,8,46,83,0.3,1032,6,8,160,4
2020-01-12,7,-3,0.0,8.5,1,1,83,06:56 PM,09:30 AM,08:06 AM,04:55 PM,-11,-2,0,-2,13,38,41,0.0,1028,7,10,248,6
2020-01-13,5,-3,0.0,6.9,1,1,76,08:14 PM,10:07 AM,08:05 AM,04:56 PM,-11,-2,-0,-2,15,28,44,0.0,1024,5,10,182,7
2020-01-14,5,-2,0.0,8.5,1,1,69,09:33 PM,10:39 AM,08:05 AM,04:57 PM,-9,-4,0,-4,25,35,52,0.0,1021,5,10,185,13
2020-01-15,6,-2,0.0,8.5,1,1,61,10:51 PM,11:06 AM,08:04 AM,04:58 PM,-5,-2,2,-2,23,7,64,0.0,1024,6,10,198,12
2020-01-16,6,-1,0.0,8.7,1,1,54,No moonrise,11:31 AM,08:04 AM,05:00 PM,-3,-1,2,-1,16,9,69,0.0,1029,6,10,174,9
2020-01-17,6,-2,0.5,8.7,1,1,47,12:07 AM,11:56 AM,08:03 AM,05:01 PM,-4,-2,1,-2,16,23,70,1.9,1024,6,9,186,9
2020-01-18,1,-8,19.0,3.4,1,1,40,01:23 AM,12:21 PM,08:02 AM,05:03 PM,-2,-3,-1,-3,8,93,94,21.2,1028,1,5,351,6
2020-01-19,-2,-6,3.4,3.4,1,1,32,02:37 AM,12:49 PM,08:02 AM,05:04 PM,-6,-6,-4,-6,6,85,90,4.1,1035,-2,5,19,4
2020-01-20,2,-8,0.0,8.7,1,1,25,03:51 AM,01:22 PM,08:01 AM,05:05 PM,-12,-6,-3,-6,13,12,56,0.1,1044,2,10,125,7
2020-01-21,5,-5,0.0,8.7,1,1,18,05:01 AM,02:01 PM,08:00 AM,05:07 PM,-10,-4,-1,-4,17,5,51,0.0,1041,5,10,164,8
2020-01-22,8,-1,0.0,8.7,1,1,11,06:06 AM,02:47 PM,07:59 AM,05:08 PM,-6,0,2,0,12,6,54,0.0,1034,8,10,132,6
2020-01-23,9,-1,0.0,8.7,1,1,3,07:04 AM,03:41 PM,07:58 AM,05:10 PM,-6,1,3,1,15,2,54,0.0,1030,9,10,169,8
2020-01-24,8,-1,0.0,8.7,1,1,0,07:52 AM,04:40 PM,07:57 AM,05:11 PM,-6,0,2,0,14,6,54,0.0,1026,8,10,174,7
2020-01-25,7,-1,0.0,8.7,1,1,0,08:32 AM,05:44 PM,07:56 AM,05:13 PM,-3,-0,2,-0,11,28,70,0.0,1023,7,10,139,6
2020-01-26,6,-4,0.0,8.7,1,1,4,09:05 AM,06:48 PM,07:55 AM,05:14 PM,-1,0,2,0,8,59,78,0.0,1021,6,10,146,5
2020-01-27,6,-0,0.0,8.7,1,1,11,09:32 AM,07:53 PM,07:54 AM,05:16 PM,-2,-0,2,-0,13,42,78,0.1,1017,6,10,178,8
2020-01-28,1,-3,22.4,3.6,1,1,18,09:56 AM,08:56 PM,07:53 AM,05:17 PM,-2,-3,-0,-3,11,83,90,28.3,1007,1,5,238,7
2020-01-29,-0,-5,50.5,3.6,1,1,26,10:16 AM,09:59 PM,07:52 AM,05:19 PM,-2,-4,-2,-4,7,96,98,59.3,1014,-0,2,234,5
2020-01-30,5,-3,5.2,7.0,1,1,33,10:36 AM,11:01 PM,07:51 AM,05:20 PM,-4,-2,1,-2,18,58,73,5.4,1019,5,8,181,10
2020-01-31,7,1,2.0,3.6,1,1,37,10:56 AM,No moonset,07:50 AM,05:22 PM,3,2,4,2,15,61,91,9.7,1018,7,6,189,9
2020-02-01,8,2,0.0,8.7,1,1,49,11:17 AM,12:04 AM,07:48 AM,05:24 PM,2,2,4,2,17,43,85,5.7,1016,8,10,202,9
