date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,1,-6,0.0,4.8,1,1,80,01:37 PM,04:51 AM,08:39 AM,04:10 PM,-1,-4,-0,-4,17,77,94,0.2,1025,1,7,212,11
2020-01-08,1,-5,0.0,4.8,1,1,88,02:08 PM,06:06 AM,08:39 AM,04:11 PM,-1,-5,-1,-5,26,76,92,4.4,1021,1,8,217,17
2020-01-09,3,-1,0.0,2.9,1,1,95,02:50 PM,07:19 AM,08:38 AM,04:13 PM,1,-1,2,-1,22,95,94,1.0,1018,3,7,251,13
2020-01-10,4,2,0.0,2.9,1,1,100,03:46 PM,08:24 AM,08:38 AM,04:14 PM,3,1,3,1,18,100,98,12.0,1012,4,4,207,11
2020-01-11,4,-0,0.0,4.8,1,1,100,04:57 PM,09:17 AM,08:37 AM,04:16 PM,2,-0,3,-0,19,69,92,7.6,1019,4,7,231,12
2020-01-12,2,-6,0.0,4.9,1,1,83,06:19 PM,09:57 AM,08:36 AM,04:18 PM,-1,-4,1,-4,31,83,85,0.9,1018,2,8,236,20
2020-01-13,3,-1,1.4,2.9,1,1,76,07:46 PM,10:27 AM,08:35 AM,04:19 PM,2,-1,3,-1,20,100,95,7.8,1015,3,6,246,13
2020-01-14,4,-4,0.1,4.9,1,1,69,09:13 PM,10:51 AM,08:34 AM,04:21 PM,1,-1,2,-1,23,67,89,0.4,1019,4,10,193,14
2020-01-15,5,1,0.0,4.9,1,1,61,10:39 PM,11:10 AM,08:33 AM,04:23 PM,-0,-1,3,-1,32,60,78,0.1,1018,5,10,213,21
2020-01-16,5,0,0.0,4.9,1,1,54,No moonrise,11:28 AM,08:32 AM,04:24 PM,1,-0,3,-0,26,43,83,0.0,1023,5,10,262,16
2020-01-17,4,-4,0.0,8.0,1,1,47,12:04 AM,11:45 AM,08:31 AM,04:26 PM,-1,-2,1,-2,19,20,86,0.0,1029,4,8,207,11
2020-01-18,2,-3,0.0,6.8,1,1,40,01:28 AM,12:02 PM,08:30 AM,04:28 PM,-3,-3,1,-3,25,69,77,0.0,1022,2,9,205,16
