date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,5,-2,0.0,3.1,1,1,80,02:15 PM,04:53 AM,08:31 AM,04:52 PM,2,-0,2,-0,20,86,94,0.1,1028,5,8,223,12
2020-01-08,7,1,0.0,3.1,1,1,88,02:51 PM,06:03 AM,08:31 AM,04:53 PM,5,2,5,2,20,100,98,0.6,1027,7,5,200,12
2020-01-09,9,4,0.0,3.1,1,1,95,03:37 PM,07:12 AM,08:30 AM,04:55 PM,7,5,8,5,29,100,95,13.6,1018,9,8,202,18
2020-01-10,8,4,0.0,3.1,1,1,100,04:35 PM,08:15 AM,08:30 AM,04:56 PM,5,4,7,4,28,78,87,9.1,1020,8,9,268,18
2020-01-11,4,1,0.0,8.3,1,1,100,05:44 PM,09:09 AM,08:29 AM,04:57 PM,1,1,2,1,10,27,91,0.0,1032,4,9,195,6
2020-01-12,4,-0,0.0,5.0,1,1,83,07:02 PM,09:53 AM,08:29 AM,04:59 PM,1,-2,2,-2,24,75,93,0.1,1027,4,8,222,15
2020-01-13,6,4,0.0,3.3,1,1,76,08:22 PM,10:28 AM,08:28 AM,05:00 PM,4,2,5,2,22,94,94,0.1,1020,6,6,198,14
2020-01-14,7,1,0.0,3.3,1,1,69,09:44 PM,10:57 AM,08:27 AM,05:01 PM,2,2,6,2,40,91,76,3.7,1012,7,7,209,24
2020-01-15,10,6,0.0,8.7,1,1,61,11:04 PM,11:22 AM,08:27 AM,05:03 PM,5,4,8,4,35,69,82,3.7,1016,10,9,206,22
2020-01-16,9,5,0.0,8.7,1,1,54,No moonrise,11:45 AM,08:26 AM,05:04 PM,6,5,7,5,17,48,91,0.5,1025,9,6,173,10
2020-01-17,7,4,0.0,3.3,1,1,47,12:22 AM,12:07 PM,08:25 AM,05:06 PM,4,3,6,3,27,71,88,6.4,1018,7,9,209,16
2020-01-18,4,1,0.3,3.3,1,1,40,01:40 AM,12:30 PM,08:24 AM,05:07 PM,1,-1,2,-1,21,70,88,0.6,1027,4,8,255,14
2020-01-19,4,0,0.3,5.1,1,1,32,02:57 AM,12:57 PM,08:24 AM,05:09 PM,-0,-1,2,-1,17,52,86,0.3,1037,4,10,124,10
2020-01-20,4,-0,0.0,8.7,1,1,25,04:12 AM,01:28 PM,08:23 AM,05:10 PM,-1,-3,1,-3,21,13,85,0.0,1045,4,10,52,13
2020-01-21,5,-1,0.0,8.7,1,1,18,05:25 AM,02:04 PM,08:22 AM,05:12 PM,-2,-1,1,-1,14,2,80,0.0,1042,5,10,52,9
2020-01-22,4,-0,0.0,8.7,1,1,11,06:31 AM,02:50 PM,08:21 AM,05:14 PM,-3,-1,1,-1,13,9,73,0.0,1036,4,10,50,7
2020-01-23,4,-2,0.0,8.7,1,1,3,07:29 AM,03:43 PM,08:20 AM,05:15 PM,-1,-2,1,-2,17,4,83,0.0,1031,4,10,53,10
2020-01-24,5,-2,0.0,8.7,1,1,0,08:17 AM,04:44 PM,08:19 AM,05:17 PM,-3,0,1,0,6,5,74,0.0,1025,5,10,172,4
2020-01-25,5,-0,0.0,6.9,1,1,0,08:55 AM,05:49 PM,08:17 AM,05:18 PM,0,1,2,1,5,45,91,0.0,1022,5,7,177,3
2020-01-26,5,0,0.0,8.7,1,1,4,09:27 AM,06:55 PM,08:16 AM,05:20 PM,1,0,2,0,13,52,92,0.0,1018,5,7,179,7
2020-01-27,5,0,0.0,3.4,1,1,11,09:52 AM,08:02 PM,08:15 AM,05:22 PM,4,0,4,0,34,99,95,20.1,1009,5,6,202,21
2020-01-28,5,2,0.9,3.4,1,1,18,10:13 AM,09:07 PM,08:14 AM,05:23 PM,1,-2,4,-2,46,96,84,17.8,1000,5,5,257,31
2020-01-29,4,1,0.3,3.4,1,1,26,10:32 AM,10:11 PM,08:13 AM,05:25 PM,1,-2,2,-2,33,88,89,0.9,1011,4,9,263,21
2020-01-30,7,0,0.0,5.2,1,1,33,10:50 AM,11:16 PM,08:11 AM,05:27 PM,4,1,4,1,29,89,92,3.8,1013,7,8,197,17
2020-01-31,11,10,0.0,3.4,1,1,37,11:08 AM,No moonset,08:10 AM,05:28 PM,9,7,10,7,35,86,91,2.6,1012,11,10,241,22
2020-02-01,11,8,0.0,3.5,1,1,49,11:27 AM,12:20 AM,08:09 AM,05:30 PM,8,6,10,6,41,94,88,11.4,1009,11,9,241,26
2020-02-02,11,6,0.0,3.5,1,1,57,11:48 AM,01:26 AM,08:07 AM,05:32 PM,7,6,9,6,36,88,90,9.7,1012,11,9,244,22
2020-02-03,10,8,0.0,3.5,1,1,64,12:13 PM,02:33 AM,08:06 AM,05:34 PM,7,6,9,6,31,98,88,21.0,1015,10,8,259,20
2020-02-04,4,-1,2.6,3.5,1,1,72,12:44 PM,03:42 AM,08:04 AM,05:35 PM,1,-1,4,-1,34,87,83,28.7,1016,4,7,294,24
2020-02-05,10,1,0.0,8.7,1,1,79,01:24 PM,04:51 AM,08:03 AM,05:37 PM,0,3,5,3,10,21,76,2.3,1034,10,10,55,6
2020-02-06,7,1,0.0,8.7,1,1,87,02:15 PM,05:56 AM,08:01 AM,05:39 PM,0,3,4,3,6,15,79,0.0,1032,7,10,49,4
2020-02-07,7,0,0.0,8.7,1,1,95,03:19 PM,06:54 AM,08:00 AM,05:40 PM,-1,1,3,1,12,2,79,0.0,1026,7,10,114,8
2020-02-08,6,1,0.0,3.7,1,1,100,04:34 PM,07:44 AM,07:58 AM,05:42 PM,1,1,3,1,15,68,83,0.0,1022,6,10,160,8
2020-02-09,10,2,0.0,3.7,1,1,100,05:56 PM,08:23 AM,07:57 AM,05:44 PM,5,4,7,4,54,92,82,1.1,1013,10,8,212,34
2020-02-10,7,-3,0.0,5.4,1,1,83,07:20 PM,08:56 AM,07:55 AM,05:45 PM,3,1,6,1,68,87,78,28.1,1003,7,7,252,46
2020-02-11,5,1,3.1,3.7,1,1,75,08:43 PM,09:24 AM,07:53 AM,05:47 PM,-1,-3,3,-3,52,71,77,11.5,1010,5,5,266,35
2020-02-12,4,1,2.0,3.7,1,1,68,10:06 PM,09:48 AM,07:52 AM,05:49 PM,-0,-3,2,-3,36,83,89,7.5,1017,4,7,257,23
2020-02-13,7,1,1.4,3.8,1,1,60,11:27 PM,10:11 AM,07:50 AM,05:50 PM,2,-1,3,-1,35,89,88,12.3,1008,7,6,206,22
2020-02-14,8,4,0.0,3.8,1,1,53,No moonrise,10:34 AM,07:48 AM,05:52 PM,4,2,6,2,25,85,86,1.9,1019,8,10,257,16
