date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,3,-2,0.0,8.7,1,1,80,01:36 PM,03:28 AM,07:02 AM,04:18 PM,-8,-1,0,-1,6,1,55,0.0,1028,3,10,339,5
2020-01-08,4,-3,0.0,8.7,1,1,88,02:16 PM,04:33 AM,07:02 AM,04:19 PM,-10,1,1,1,4,2,41,0.0,1031,4,10,233,3
2020-01-09,3,-1,0.0,8.7,1,1,95,03:04 PM,05:38 AM,07:02 AM,04:20 PM,-8,1,1,1,2,16,51,0.0,1029,3,10,199,2
2020-01-10,7,0,0.0,8.7,1,1,100,04:02 PM,06:40 AM,07:02 AM,04:21 PM,-6,3,3,3,2,13,53,0.0,1024,7,10,65,1
2020-01-11,9,2,0.0,3.5,1,1,100,05:09 PM,07:36 AM,07:02 AM,04:22 PM,-2,4,5,4,8,61,64,1.1,1026,9,8,323,5
2020-01-12,4,-7,0.0,3.5,1,1,83,06:21 PM,08:24 AM,07:01 AM,04:24 PM,1,-0,1,-0,5,93,92,2.5,1029,4,8,205,4
2020-01-13,5,-1,0.0,8.7,1,1,76,07:36 PM,09:06 AM,07:01 AM,04:25 PM,1,3,3,3,3,17,84,0.0,1028,5,10,83,2
2020-01-14,7,3,0.0,8.7,1,1,69,08:50 PM,09:42 AM,07:01 AM,04:26 PM,1,5,5,5,3,4,78,0.0,1026,7,10,89,2
2020-01-15,9,4,0.0,8.7,1,1,61,10:03 PM,10:13 AM,07:00 AM,04:27 PM,1,6,6,6,2,0,70,0.0,1029,9,10,94,2
2020-01-16,10,4,0.0,8.7,1,1,54,11:15 PM,10:42 AM,07:00 AM,04:28 PM,-1,6,6,6,3,0,62,0.0,1028,10,10,233,2
2020-01-17,6,1,0.0,8.7,1,1,47,No moonrise,11:11 AM,06:59 AM,04:29 PM,-1,4,4,4,3,5,70,0.0,1027,6,10,187,2
2020-01-18,5,-0,0.0,8.7,1,1,40,12:26 AM,11:41 AM,06:59 AM,04:30 PM,-1,2,2,2,5,15,78,0.0,1025,5,10,96,3
2020-01-19,4,1,0.0,3.7,1,1,32,01:37 AM,12:12 PM,06:58 AM,04:32 PM,-1,2,3,2,5,81,79,0.0,1026,4,10,64,4
2020-01-20,4,-5,0.0,8.7,1,1,25,02:46 AM,12:48 PM,06:58 AM,04:33 PM,-5,-1,1,-1,7,5,66,0.0,1040,4,10,346,5
2020-01-21,4,-4,0.0,8.7,1,1,18,03:53 AM,01:30 PM,06:57 AM,04:34 PM,-4,1,2,1,3,1,62,0.0,1042,4,10,176,3
2020-01-22,7,-2,0.0,7.0,1,1,11,04:57 AM,02:17 PM,06:56 AM,04:35 PM,-6,3,4,3,2,29,51,0.0,1032,7,10,181,2
2020-01-23,7,2,0.0,8.7,1,1,3,05:54 AM,03:11 PM,06:56 AM,04:37 PM,-5,3,4,3,5,5,52,0.0,1031,7,10,23,4
2020-01-24,5,-2,0.0,8.7,1,1,0,06:44 AM,04:09 PM,06:55 AM,04:38 PM,-4,2,3,2,4,2,59,0.0,1032,5,10,79,3
2020-01-25,8,2,0.0,8.7,1,1,0,07:26 AM,05:10 PM,06:54 AM,04:39 PM,-2,4,4,4,2,7,65,0.0,1027,8,10,117,1
2020-01-26,9,4,0.0,3.7,1,1,4,08:02 AM,06:11 PM,06:53 AM,04:40 PM,3,6,6,6,3,54,81,0.3,1024,9,9,62,2
2020-01-27,7,-3,0.0,3.7,1,1,11,08:32 AM,07:13 PM,06:52 AM,04:42 PM,5,4,5,4,5,93,92,3.0,1017,7,8,150,3
2020-01-28,8,1,0.0,8.7,1,1,18,09:00 AM,08:12 PM,06:51 AM,04:43 PM,3,6,6,6,4,29,77,0.0,1016,8,10,99,3
2020-01-29,7,2,0.0,3.7,1,1,26,09:24 AM,09:12 PM,06:51 AM,04:44 PM,2,4,4,4,7,82,87,9.0,1012,7,10,111,4
2020-01-30,6,1,0.0,7.0,1,1,33,09:48 AM,10:10 PM,06:50 AM,04:46 PM,-2,3,4,3,7,38,67,0.5,1020,6,9,336,4
2020-01-31,7,1,0.0,8.7,1,1,37,10:10 AM,11:09 PM,06:49 AM,04:47 PM,-3,4,5,4,4,7,58,0.0,1021,7,10,67,3
2020-02-01,11,5,0.0,8.7,1,1,49,10:34 AM,No moonset,06:48 AM,04:48 PM,2,8,8,8,3,12,66,0.0,1019,11,10,96,2
2020-02-02,12,7,0.0,8.7,1,1,57,11:01 AM,12:09 AM,06:47 AM,04:49 PM,4,10,10,10,4,20,71,0.0,1019,12,10,86,2
2020-02-03,12,7,0.0,8.7,1,1,64,11:32 AM,01:11 AM,06:46 AM,04:51 PM,4,9,9,9,6,19,71,0.0,1017,12,10,50,3
2020-02-04,12,6,0.0,8.7,1,1,72,12:07 PM,02:14 AM,06:44 AM,04:52 PM,4,9,10,9,8,38,73,2.0,1006,12,10,93,5
2020-02-05,4,-1,12.2,3.8,1,1,79,12:50 PM,03:18 AM,06:43 AM,04:53 PM,-2,-2,2,-2,21,94,79,24.5,998,4,5,326,14
2020-02-06,-0,-5,2.9,8.7,1,1,87,01:43 PM,04:21 AM,06:42 AM,04:55 PM,-7,-7,-3,-7,17,39,72,2.9,1018,-0,9,342,12
2020-02-07,3,-2,0.0,8.7,1,1,95,02:45 PM,05:20 AM,06:41 AM,04:56 PM,-5,-1,0,-1,6,43,68,0.0,1025,3,10,218,4
2020-02-08,5,-1,0.0,8.7,1,1,100,03:56 PM,06:12 AM,06:40 AM,04:57 PM,-3,0,1,0,6,6,75,0.0,1030,5,10,131,4
2020-02-09,5,-0,0.0,8.7,1,1,100,05:12 PM,06:58 AM,06:39 AM,04:59 PM,-1,2,3,2,2,4,79,0.0,1032,5,10,92,2
2020-02-10,5,0,0.0,8.7,1,1,83,06:29 PM,07:37 AM,06:37 AM,05:00 PM,-1,3,3,3,3,13,76,0.0,1024,5,10,113,2
2020-02-11,10,3,0.0,8.7,1,1,75,07:46 PM,08:11 AM,06:36 AM,05:01 PM,3,6,6,6,3,19,82,0.0,1014,10,10,172,2
2020-02-12,8,3,0.0,8.7,1,1,68,09:01 PM,08:42 AM,06:35 AM,05:02 PM,-1,4,5,4,6,44,67,0.0,1019,8,10,233,4
2020-02-13,9,3,0.0,8.7,1,1,60,10:15 PM,09:12 AM,06:34 AM,05:04 PM,-0,5,5,5,5,9,68,0.0,1025,9,10,95,3
2020-02-14,8,3,0.0,5.6,1,1,53,11:28 PM,09:42 AM,06:32 AM,05:05 PM,3,5,5,5,6,72,87,3.3,1018,8,8,99,4
2020-02-15,8,3,0.0,8.7,1,1,45,No moonrise,10:14 AM,06:31 AM,05:06 PM,0,4,6,4,13,31,70,3.1,1026,8,10,243,9
2020-02-16,11,4,0.0,8.7,1,1,38,12:38 AM,10:49 AM,06:30 AM,05:08 PM,2,7,7,7,3,1,71,0.0,1031,11,10,98,3
2020-02-17,10,4,0.0,8.7,1,1,30,01:47 AM,11:29 AM,06:28 AM,05:09 PM,1,7,7,7,3,17,66,0.0,1027,10,10,91,2
2020-02-18,14,5,0.0,8.7,1,1,22,02:51 AM,12:14 PM,06:27 AM,05:10 PM,2,9,9,9,8,8,64,0.0,1022,14,10,99,5
2020-02-19,11,5,0.0,8.7,1,1,15,03:50 AM,01:05 PM,06:25 AM,05:11 PM,1,8,8,8,6,37,63,0.0,1019,11,10,138,4
2020-02-20,6,2,0.0,4.1,1,1,7,04:41 AM,02:02 PM,06:24 AM,05:13 PM,-0,2,4,2,14,59,71,1.2,1018,6,9,345,10
2020-02-21,7,1,0.0,8.7,1,1,0,05:25 AM,03:01 PM,06:22 AM,05:14 PM,-4,3,4,3,10,17,58,0.0,1024,7,10,210,7
2020-02-22,6,2,0.0,7.2,1,1,0,06:02 AM,04:02 PM,06:21 AM,05:15 PM,-3,2,4,2,10,28,63,0.1,1029,6,10,354,8
2020-02-23,9,2,0.0,8.7,1,1,0,06:34 AM,05:03 PM,06:20 AM,05:16 PM,-2,5,6,5,3,19,55,0.0,1026,9,10,86,2
2020-02-24,13,6,0.0,8.7,1,1,0,07:02 AM,06:03 PM,06:18 AM,05:18 PM,0,8,9,8,7,19,57,0.0,1020,13,10,98,4
