date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,35,23,0.0,11.6,1,1,80,04:11 PM,03:54 AM,07:21 AM,07:18 PM,21,31,31,28,5,38,68,0.6,1010,35,10,299,3
2020-01-08,34,24,0.0,7.4,1,1,88,05:02 PM,04:44 AM,07:21 AM,07:18 PM,22,31,31,28,4,59,74,3.5,1009,34,10,99,3
2020-01-09,34,24,0.0,11.6,1,1,95,05:58 PM,05:39 AM,07:22 AM,07:19 PM,22,31,31,28,7,52,71,1.5,1009,34,10,41,5
2020-01-10,34,24,0.0,8.8,1,1,100,06:56 PM,06:37 AM,07:22 AM,07:19 PM,22,30,30,27,5,59,74,4.8,1009,34,10,189,4
2020-01-11,31,24,0.0,6.0,1,1,100,07:56 PM,07:36 AM,07:22 AM,07:20 PM,22,30,30,27,5,72,77,6.4,1009,31,9,271,3
2020-01-12,32,23,0.0,7.4,1,1,83,08:56 PM,08:35 AM,07:23 AM,07:20 PM,22,30,30,27,3,55,77,5.6,1009,32,9,275,2
2020-01-13,32,23,0.0,8.8,1,1,76,09:54 PM,09:33 AM,07:23 AM,07:21 PM,22,30,30,27,6,56,77,7.8,1009,32,10,199,4
2020-01-14,34,23,0.0,10.2,1,1,69,10:49 PM,10:27 AM,07:24 AM,07:21 PM,21,30,30,27,7,51,73,0.7,1009,34,10,117,4
2020-01-15,34,24,0.0,11.6,1,1,61,11:43 PM,11:19 AM,07:24 AM,07:21 PM,21,31,31,28,7,11,68,0.0,1010,34,10,63,5
2020-01-16,33,24,0.0,11.6,1,1,54,No moonrise,12:08 PM,07:24 AM,07:22 PM,22,30,30,27,5,34,72,3.5,1010,33,10,184,3
2020-01-17,34,23,0.0,10.2,1,1,47,12:34 AM,12:57 PM,07:24 AM,07:22 PM,22,31,31,27,7,50,75,3.1,1011,34,10,199,4
2020-01-18,34,24,0.0,8.8,1,1,40,01:25 AM,01:46 PM,07:25 AM,07:22 PM,22,31,31,28,5,48,74,5.0,1011,34,10,208,4
2020-01-19,35,23,0.0,8.8,1,1,32,02:16 AM,02:35 PM,07:25 AM,07:23 PM,22,31,31,28,7,54,75,6.6,1010,35,9,148,5
