date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,29,28,0.0,8.8,1,1,80,03:07 PM,02:51 AM,06:15 AM,06:09 PM,24,32,32,28,39,51,79,2.6,1011,29,10,58,28
2020-01-08,28,28,0.0,8.8,1,1,88,03:58 PM,03:43 AM,06:15 AM,06:09 PM,24,32,32,28,37,65,78,2.5,1010,28,10,52,27
2020-01-09,28,23,0.0,8.8,1,1,95,04:53 PM,04:38 AM,06:16 AM,06:10 PM,23,30,30,27,28,69,78,3.4,1011,28,10,36,20
2020-01-10,28,27,0.0,11.6,1,1,100,05:52 PM,05:36 AM,06:16 AM,06:10 PM,23,31,31,27,36,33,78,1.7,1010,28,10,55,27
2020-01-11,28,27,0.0,10.2,1,1,100,06:52 PM,06:35 AM,06:16 AM,06:11 PM,23,30,30,27,41,47,77,0.6,1010,28,10,60,30
2020-01-12,28,26,0.0,7.4,1,1,83,07:52 PM,07:35 AM,06:17 AM,06:11 PM,23,31,31,27,40,73,78,0.9,1010,28,10,44,29
2020-01-13,27,27,0.0,8.8,1,1,76,08:50 PM,08:31 AM,06:17 AM,06:11 PM,22,30,30,27,30,60,74,1.2,1010,27,10,121,22
2020-01-14,27,25,0.0,11.6,1,1,69,09:46 PM,09:25 AM,06:17 AM,06:12 PM,21,29,29,27,27,36,70,0.0,1010,27,10,43,20
2020-01-15,27,27,0.0,10.2,1,1,61,10:39 PM,10:16 AM,06:18 AM,06:12 PM,22,30,30,27,27,49,73,0.3,1010,27,10,42,19
2020-01-16,27,27,0.0,6.0,1,1,54,11:31 PM,11:05 AM,06:18 AM,06:13 PM,22,30,30,27,30,66,76,0.7,1011,27,10,60,22
2020-01-17,27,19,0.0,11.6,1,1,47,No moonrise,11:53 AM,06:18 AM,06:13 PM,23,28,28,26,32,46,77,0.1,1010,27,10,63,23
