date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,13,10,0.0,8.7,1,1,80,02:18 PM,03:43 AM,07:13 AM,05:03 PM,3,11,12,11,15,4,53,0.0,1025,13,10,309,11
2020-01-08,14,13,0.0,5.4,1,1,88,03:01 PM,04:45 AM,07:13 AM,05:04 PM,7,12,13,12,21,63,64,0.0,1026,14,10,110,15
2020-01-09,14,13,0.0,8.7,1,1,95,03:52 PM,05:48 AM,07:13 AM,05:05 PM,6,12,13,12,24,8,61,0.0,1028,14,10,85,17
2020-01-10,14,12,0.0,8.7,1,1,100,04:50 PM,06:49 AM,07:13 AM,05:06 PM,5,12,13,12,10,15,60,0.0,1025,14,10,142,7
2020-01-11,14,12,0.0,5.4,1,1,100,05:56 PM,07:46 AM,07:13 AM,05:07 PM,7,12,13,12,25,60,66,0.8,1023,14,10,102,19
2020-01-12,15,10,0.0,5.4,1,1,83,07:05 PM,08:37 AM,07:13 AM,05:08 PM,10,12,14,12,41,85,75,14.7,1022,15,9,84,27
2020-01-13,15,10,0.0,3.7,1,1,76,08:15 PM,09:22 AM,07:12 AM,05:09 PM,10,12,14,12,37,82,75,12.5,1022,15,9,80,25
2020-01-14,14,14,0.0,7.0,1,1,69,09:26 PM,10:01 AM,07:12 AM,05:10 PM,10,12,14,12,38,45,79,1.7,1023,14,10,42,27
2020-01-15,15,13,0.0,3.7,1,1,61,10:35 PM,10:37 AM,07:12 AM,05:11 PM,10,12,14,12,31,62,79,0.7,1026,15,10,38,23
2020-01-16,15,13,0.0,8.7,1,1,54,11:43 PM,11:10 AM,07:12 AM,05:12 PM,10,13,14,13,25,20,74,0.0,1027,15,10,325,19
2020-01-17,14,13,0.0,8.7,1,1,47,No moonrise,11:43 AM,07:11 AM,05:13 PM,9,11,13,11,35,33,76,0.0,1027,14,10,305,26
2020-01-18,15,13,0.0,8.7,1,1,40,12:49 AM,12:16 PM,07:11 AM,05:14 PM,9,12,14,12,42,48,72,0.4,1025,15,10,319,32
2020-01-19,15,10,0.0,5.4,1,1,32,01:55 AM,12:52 PM,07:11 AM,05:15 PM,8,13,14,13,23,49,64,0.3,1023,15,10,283,17
2020-01-20,15,10,0.0,5.4,1,1,25,03:01 AM,01:32 PM,07:10 AM,05:16 PM,9,13,15,13,42,49,70,0.3,1028,15,9,116,31
