date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,26,21,0.0,4.2,1,1,80,03:08 PM,03:23 AM,06:31 AM,05:50 PM,21,26,26,24,29,69,78,2.6,1016,26,10,96,19
2020-01-08,26,20,0.0,8.7,1,1,88,03:59 PM,04:18 AM,06:31 AM,05:50 PM,21,27,27,24,30,58,78,1.9,1017,26,10,82,20
2020-01-09,27,21,0.0,4.2,1,1,95,04:54 PM,05:17 AM,06:32 AM,05:51 PM,21,27,27,25,45,72,75,4.8,1017,27,10,75,31
2020-01-10,27,25,0.0,4.2,1,1,100,05:54 PM,06:15 AM,06:32 AM,05:52 PM,20,27,27,25,50,77,73,4.9,1017,27,9,74,34
2020-01-11,27,24,0.0,5.7,1,1,100,06:56 PM,07:14 AM,06:32 AM,05:52 PM,20,27,27,25,46,72,76,4.9,1017,27,10,71,32
2020-01-12,26,24,0.0,4.2,1,1,83,07:58 PM,08:10 AM,06:32 AM,05:53 PM,20,27,27,25,47,71,75,6.4,1018,26,9,73,32
2020-01-13,26,23,0.0,4.2,1,1,76,08:59 PM,09:02 AM,06:32 AM,05:53 PM,19,26,26,24,47,80,75,11.8,1017,26,10,68,32
2020-01-14,26,20,0.0,4.2,1,1,69,09:58 PM,09:51 AM,06:33 AM,05:54 PM,20,26,26,24,43,73,77,10.4,1015,26,9,83,28
2020-01-15,26,24,0.0,4.2,1,1,61,10:55 PM,10:37 AM,06:33 AM,05:54 PM,20,27,27,25,38,72,76,2.2,1015,26,10,81,26
2020-01-16,26,24,0.0,5.7,1,1,54,11:52 PM,11:21 AM,06:33 AM,05:55 PM,20,26,26,25,30,56,77,1.5,1016,26,10,67,21
2020-01-17,26,23,0.0,4.2,1,1,47,No moonrise,12:04 PM,06:33 AM,05:56 PM,21,27,27,25,28,71,81,2.8,1016,26,9,77,19
2020-01-18,26,23,0.0,4.2,1,1,40,12:47 AM,12:49 PM,06:33 AM,05:56 PM,21,26,26,24,31,69,81,6.7,1017,26,10,72,20
2020-01-19,26,23,0.0,7.2,1,1,32,01:44 AM,01:35 PM,06:33 AM,05:57 PM,20,26,26,24,37,64,75,0.7,1016,26,10,84,26
2020-01-20,26,20,0.0,5.7,1,1,25,02:40 AM,02:23 PM,06:33 AM,05:57 PM,20,26,26,24,32,57,78,2.0,1015,26,10,83,22
2020-01-21,26,23,0.0,8.7,1,1,18,03:37 AM,03:14 PM,06:33 AM,05:58 PM,20,26,26,24,29,54,79,2.1,1014,26,10,91,20
2020-01-22,26,23,0.0,5.7,1,1,11,04:33 AM,04:07 PM,06:33 AM,05:58 PM,21,26,26,24,28,58,82,4.6,1013,26,10,92,20
2020-01-23,26,21,0.0,4.2,1,1,3,05:29 AM,05:01 PM,06:33 AM,05:59 PM,21,26,26,24,21,59,80,0.3,1013,26,10,96,15
2020-01-24,27,23,0.0,8.7,1,1,0,06:20 AM,05:55 PM,06:33 AM,05:59 PM,21,27,27,25,20,34,79,0.0,1013,27,10,93,14
2020-01-25,27,23,0.0,8.7,1,1,0,07:08 AM,06:48 PM,06:33 AM,06:00 PM,21,27,27,25,19,50,80,0.5,1014,27,10,95,13
2020-01-26,26,23,0.0,11.6,1,1,4,07:53 AM,07:39 PM,06:33 AM,06:00 PM,18,26,26,24,18,23,71,0.0,1015,26,10,95,12
2020-01-27,26,19,0.0,7.3,1,1,11,08:33 AM,08:27 PM,06:33 AM,06:01 PM,19,26,26,24,17,49,75,0.5,1015,26,10,121,11
2020-01-28,27,23,0.0,11.6,1,1,18,09:12 AM,09:14 PM,06:33 AM,06:01 PM,20,26,26,25,17,23,74,0.1,1014,27,10,121,12
2020-01-29,27,23,0.0,5.8,1,1,26,09:48 AM,10:00 PM,06:33 AM,06:02 PM,21,27,27,25,21,76,81,2.7,1014,27,9,114,14
2020-01-30,27,24,0.0,5.8,1,1,33,10:23 AM,10:46 PM,06:33 AM,06:02 PM,21,27,27,25,24,67,80,1.1,1015,27,10,99,17
2020-01-31,27,24,0.0,11.6,1,1,37,10:59 AM,11:33 PM,06:33 AM,06:03 PM,21,27,27,25,25,33,78,0.3,1016,27,10,87,17
2020-02-01,27,24,0.0,7.3,1,1,49,11:36 AM,No moonset,06:32 AM,06:03 PM,21,27,27,25,27,77,78,2.4,1016,27,9,80,19
2020-02-02,27,24,0.0,10.2,1,1,57,12:15 PM,12:20 AM,06:32 AM,06:04 PM,21,27,27,25,25,58,78,0.8,1016,27,10,111,18
2020-02-03,26,24,0.0,5.9,1,1,64,12:58 PM,01:11 AM,06:32 AM,06:04 PM,21,27,27,25,23,74,78,1.1,1017,26,10,95,16
2020-02-04,26,23,0.0,5.9,1,1,72,01:45 PM,02:03 AM,06:32 AM,06:04 PM,20,26,26,24,30,68,75,1.2,1017,26,10,84,21
2020-02-05,27,23,0.0,5.9,1,1,79,02:37 PM,02:59 AM,06:32 AM,06:05 PM,20,27,27,25,31,69,76,1.0,1017,27,10,80,22
2020-02-06,27,24,0.0,5.9,1,1,87,03:35 PM,03:57 AM,06:31 AM,06:05 PM,21,27,27,25,38,69,75,3.8,1017,27,10,97,27
2020-02-07,27,24,0.0,5.9,1,1,95,04:36 PM,04:56 AM,06:31 AM,06:06 PM,20,27,27,25,38,75,73,3.2,1017,27,10,90,26
2020-02-08,26,24,0.0,7.3,1,1,100,05:39 PM,05:54 AM,06:31 AM,06:06 PM,20,27,27,25,41,63,77,9.2,1017,26,10,79,27
2020-02-09,26,24,0.0,7.3,1,1,100,06:42 PM,06:49 AM,06:30 AM,06:06 PM,20,27,27,25,36,67,77,7.9,1017,26,10,94,24
2020-02-10,26,23,0.0,8.7,1,1,83,07:45 PM,07:41 AM,06:30 AM,06:07 PM,20,26,26,25,36,62,75,2.2,1018,26,10,82,25
2020-02-11,26,20,0.0,5.9,1,1,75,08:45 PM,08:29 AM,06:30 AM,06:07 PM,21,27,27,24,37,72,77,3.1,1017,26,10,79,26
2020-02-12,26,24,0.0,5.9,1,1,68,09:44 PM,09:16 AM,06:29 AM,06:07 PM,21,26,26,24,37,70,79,9.2,1016,26,10,74,26
2020-02-13,26,20,0.0,5.9,1,1,60,10:41 PM,10:01 AM,06:29 AM,06:08 PM,20,26,26,24,40,67,73,1.6,1016,26,9,78,28
2020-02-14,26,21,0.0,5.9,1,1,53,11:39 PM,10:46 AM,06:29 AM,06:08 PM,20,27,27,25,34,67,76,2.2,1016,26,10,84,24
2020-02-15,27,24,0.0,8.8,1,1,45,No moonrise,11:33 AM,06:28 AM,06:08 PM,20,27,27,25,37,63,73,1.9,1016,27,10,89,26
2020-02-16,26,24,0.0,5.9,1,1,38,12:36 AM,12:20 PM,06:28 AM,06:09 PM,21,27,27,25,37,75,77,3.5,1014,26,10,82,26
2020-02-17,26,22,0.0,5.9,1,1,30,01:33 AM,01:11 PM,06:27 AM,06:09 PM,21,27,27,25,38,66,79,5.9,1015,26,10,86,26
2020-02-18,26,24,0.0,7.3,1,1,22,02:29 AM,02:03 PM,06:27 AM,06:09 PM,21,27,27,25,37,67,77,3.0,1016,26,10,77,26
2020-02-19,25,21,0.0,8.8,1,1,15,03:24 AM,02:56 PM,06:26 AM,06:10 PM,20,26,26,24,40,65,78,10.9,1015,25,10,89,27
2020-02-20,26,24,0.0,5.9,1,1,7,04:16 AM,03:49 PM,06:26 AM,06:10 PM,19,26,26,24,35,77,73,2.8,1015,26,10,81,25
2020-02-21,26,23,0.0,8.8,1,1,0,05:05 AM,04:42 PM,06:26 AM,06:10 PM,19,26,26,24,24,54,74,1.1,1015,26,10,70,17
2020-02-22,27,23,0.0,11.6,1,1,0,05:50 AM,05:33 PM,06:25 AM,06:10 PM,19,26,26,25,18,17,71,0.3,1015,27,10,111,12
2020-02-23,27,23,0.0,8.8,1,1,0,06:31 AM,06:22 PM,06:24 AM,06:11 PM,20,27,27,25,16,47,76,3.2,1014,27,10,96,11
2020-02-24,27,24,0.0,5.9,1,1,0,07:10 AM,07:10 PM,06:24 AM,06:11 PM,22,28,28,25,24,55,80,10.0,1014,27,9,96,15
2020-02-25,27,24,0.0,10.2,1,1,8,07:47 AM,07:56 PM,06:23 AM,06:11 PM,21,27,27,25,23,57,78,2.3,1015,27,10,91,16
2020-02-26,26,20,0.0,5.9,1,1,15,08:22 AM,08:42 PM,06:23 AM,06:11 PM,20,26,26,24,22,77,78,1.9,1015,26,9,79,16
2020-02-27,27,23,0.0,11.6,1,1,23,08:58 AM,09:28 PM,06:22 AM,06:12 PM,19,26,26,25,22,29,74,1.0,1016,27,10,69,16
2020-02-28,26,22,0.0,8.8,1,1,30,09:35 AM,10:14 PM,06:22 AM,06:12 PM,20,26,26,24,23,48,77,3.2,1016,26,10,95,17
2020-02-29,26,22,0.0,6.0,1,1,38,10:12 AM,11:03 PM,06:21 AM,06:12 PM,20,27,27,24,26,64,75,3.6,1017,26,10,106,18
2020-03-01,27,20,0.0,10.2,1,1,44,10:52 AM,11:54 PM,06:21 AM,06:12 PM,20,26,26,24,24,49,74,1.2,1016,27,10,83,17
2020-03-02,27,20,0.0,7.4,1,1,51,11:37 AM,No moonset,06:20 AM,06:12 PM,19,26,26,24,23,60,71,1.1,1016,27,10,84,16
2020-03-03,26,24,0.0,8.8,1,1,58,12:24 PM,12:47 AM,06:19 AM,06:13 PM,20,27,27,25,28,67,77,4.6,1016,26,10,81,20
2020-03-04,27,20,0.0,10.2,1,1,65,01:18 PM,01:42 AM,06:19 AM,06:13 PM,20,26,26,25,30,54,74,1.3,1017,27,10,91,22
2020-03-05,26,22,0.0,7.4,1,1,73,02:16 PM,02:39 AM,06:18 AM,06:13 PM,19,26,26,25,32,67,71,1.2,1018,26,10,89,23
2020-03-06,27,20,0.0,6.0,1,1,80,03:17 PM,03:37 AM,06:17 AM,06:13 PM,20,26,26,24,30,68,73,2.0,1017,27,10,97,22
2020-03-07,27,21,0.0,10.2,1,1,87,04:20 PM,04:32 AM,06:17 AM,06:13 PM,20,26,26,25,28,47,73,0.5,1015,27,10,110,21
2020-03-08,26,21,0.0,8.8,1,1,95,05:24 PM,05:26 AM,06:16 AM,06:14 PM,19,26,26,24,24,68,73,1.6,1016,26,10,86,18
2020-03-09,27,20,0.0,8.8,1,1,100,06:25 PM,06:16 AM,06:16 AM,06:14 PM,19,26,26,24,30,54,68,0.5,1018,27,10,70,22
2020-03-10,27,24,0.0,8.8,1,1,100,07:27 PM,07:04 AM,06:15 AM,06:14 PM,20,27,27,25,33,69,74,4.6,1016,27,10,81,24
2020-03-11,26,20,0.0,8.8,1,1,84,08:26 PM,07:52 AM,06:14 AM,06:14 PM,20,26,26,24,26,57,75,2.0,1014,26,10,93,19
2020-03-12,27,22,0.0,6.0,1,1,76,09:27 PM,08:38 AM,06:14 AM,06:14 PM,20,27,27,25,27,75,76,1.9,1013,27,10,95,20
2020-03-13,27,22,0.0,11.6,1,1,69,10:26 PM,09:26 AM,06:13 AM,06:14 PM,20,27,27,25,26,56,76,2.1,1014,27,10,96,19
2020-03-14,27,22,0.0,8.8,1,1,62,11:26 PM,10:15 AM,06:12 AM,06:14 PM,21,27,27,25,21,63,77,8.7,1014,27,9,75,14
2020-03-15,27,22,0.0,8.8,1,1,55,No moonrise,11:06 AM,06:11 AM,06:15 PM,20,27,27,25,17,49,73,0.5,1014,27,10,68,12
2020-03-16,27,24,0.0,11.6,1,1,47,12:24 AM,11:59 AM,06:11 AM,06:15 PM,19,26,26,25,11,45,68,0.2,1014,27,10,100,8
