date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,23,15,0.0,11.1,1,1,80,03:56 PM,04:20 AM,07:37 AM,06:43 PM,-3,19,19,19,39,1,23,0.0,1016,23,10,47,22
2020-01-08,22,15,0.0,11.1,1,1,88,04:45 PM,05:17 AM,07:38 AM,06:43 PM,-4,18,18,18,41,10,23,0.0,1017,22,10,56,25
2020-01-09,23,14,0.0,11.1,1,1,95,05:40 PM,06:15 AM,07:38 AM,06:44 PM,-2,18,18,18,45,3,26,0.0,1019,23,10,49,27
2020-01-10,23,15,0.0,11.1,1,1,100,06:39 PM,07:15 AM,07:38 AM,06:45 PM,-1,18,18,18,44,1,27,0.0,1019,23,10,58,26
2020-01-11,24,15,0.0,11.1,1,1,100,07:42 PM,08:13 AM,07:38 AM,06:45 PM,-2,19,19,19,39,9,24,0.0,1018,24,10,62,22
2020-01-12,25,16,0.0,11.1,1,1,83,08:45 PM,09:09 AM,07:38 AM,06:46 PM,-1,20,20,20,38,15,24,0.0,1017,25,10,64,20
2020-01-13,26,18,0.0,11.1,1,1,76,09:48 PM,10:00 AM,07:38 AM,06:47 PM,-0,21,21,21,39,20,24,0.0,1016,26,10,83,21
2020-01-14,25,17,0.0,11.1,1,1,69,10:48 PM,10:48 AM,07:39 AM,06:47 PM,1,21,21,21,37,8,28,0.0,1015,25,10,80,21
2020-01-15,25,18,0.0,11.1,1,1,61,11:47 PM,11:33 AM,07:39 AM,06:48 PM,1,21,21,21,34,11,26,0.0,1016,25,10,73,19
2020-01-16,27,18,0.0,11.1,1,1,54,No moonrise,12:15 PM,07:39 AM,06:49 PM,0,22,22,22,36,8,24,0.0,1017,27,10,57,19
2020-01-17,27,19,0.0,11.1,1,1,47,12:45 AM,12:57 PM,07:39 AM,06:49 PM,0,22,22,22,44,24,23,0.0,1017,27,10,74,24
2020-01-18,27,19,0.0,11.1,1,1,40,01:43 AM,01:40 PM,07:39 AM,06:50 PM,1,22,22,23,48,7,24,0.0,1017,27,10,78,26
2020-01-19,28,19,0.0,11.1,1,1,32,02:40 AM,02:24 PM,07:39 AM,06:50 PM,3,23,23,23,41,8,27,0.0,1015,28,10,72,22
2020-01-20,28,20,0.0,11.1,1,1,25,03:38 AM,03:11 PM,07:39 AM,06:51 PM,4,23,23,23,33,17,29,0.0,1012,28,10,125,17
2020-01-21,29,19,0.0,11.1,1,1,18,04:35 AM,04:01 PM,07:39 AM,06:52 PM,5,22,22,22,30,0,32,0.0,1012,29,10,111,15
2020-01-22,28,19,0.0,11.1,1,1,11,05:33 AM,04:53 PM,07:39 AM,06:52 PM,6,22,22,22,34,0,35,0.0,1014,28,10,118,17
2020-01-23,29,19,0.0,11.1,1,1,3,06:28 AM,05:47 PM,07:39 AM,06:53 PM,6,23,23,23,36,8,34,0.0,1014,29,10,111,18
2020-01-24,30,22,0.0,11.2,1,1,0,07:20 AM,06:41 PM,07:39 AM,06:54 PM,6,25,25,25,40,8,31,0.0,1014,30,10,108,20
2020-01-25,30,23,0.0,11.2,1,1,0,08:08 AM,07:35 PM,07:39 AM,06:54 PM,6,25,25,25,45,32,30,0.0,1015,30,10,120,22
2020-01-26,29,23,0.0,11.2,1,1,4,08:52 AM,08:27 PM,07:38 AM,06:55 PM,9,26,26,26,43,19,35,0.0,1016,29,10,34,21
2020-01-27,31,22,0.0,11.2,1,1,11,09:32 AM,09:18 PM,07:38 AM,06:55 PM,7,25,25,26,40,2,31,0.0,1014,31,10,55,20
2020-01-28,32,21,0.0,11.2,1,1,18,10:09 AM,10:06 PM,07:38 AM,06:56 PM,5,26,26,25,35,0,27,0.0,1013,32,10,74,17
2020-01-29,33,23,0.0,11.2,1,1,26,10:44 AM,10:53 PM,07:38 AM,06:56 PM,3,26,26,27,41,4,21,0.0,1013,33,10,92,20
2020-01-30,32,23,0.0,11.2,1,1,33,11:19 AM,11:41 PM,07:38 AM,06:57 PM,4,26,26,27,49,0,23,0.0,1016,32,10,78,24
2020-01-31,30,21,0.0,11.2,1,1,37,11:53 AM,No moonset,07:37 AM,06:58 PM,2,25,25,25,41,0,23,0.0,1016,30,10,49,21
2020-02-01,30,19,0.0,11.2,1,1,49,12:28 PM,12:28 AM,07:37 AM,06:58 PM,1,23,23,24,39,0,22,0.0,1015,30,10,60,20
2020-02-02,32,21,0.0,11.2,1,1,57,01:06 PM,01:17 AM,07:37 AM,06:59 PM,3,25,25,26,42,0,22,0.0,1014,32,10,90,21
2020-02-03,33,22,0.0,11.2,1,1,64,01:47 PM,02:08 AM,07:37 AM,06:59 PM,3,26,26,27,42,3,22,0.0,1014,33,10,119,21
2020-02-04,31,22,0.0,11.6,1,1,72,02:32 PM,03:02 AM,07:36 AM,07:00 PM,3,25,25,26,39,27,22,0.0,1015,31,10,91,19
2020-02-05,30,21,0.0,11.6,1,1,79,03:24 PM,03:58 AM,07:36 AM,07:00 PM,0,24,24,25,34,0,20,0.0,1015,30,10,60,17
2020-02-06,30,20,0.0,11.6,1,1,87,04:20 PM,04:56 AM,07:36 AM,07:01 PM,1,25,25,25,36,0,23,0.0,1015,30,10,60,18
2020-02-07,31,21,0.0,11.6,1,1,95,05:21 PM,05:55 AM,07:35 AM,07:01 PM,2,25,25,25,37,10,22,0.0,1016,31,10,71,19
2020-02-08,31,21,0.0,11.6,1,1,100,06:25 PM,06:53 AM,07:35 AM,07:02 PM,2,25,25,25,37,4,22,0.0,1016,31,10,56,19
2020-02-09,30,21,0.0,11.6,1,1,100,07:30 PM,07:47 AM,07:35 AM,07:02 PM,3,25,25,25,39,0,24,0.0,1016,30,10,48,20
2020-02-10,30,20,0.0,11.6,1,1,83,08:33 PM,08:38 AM,07:34 AM,07:03 PM,2,24,24,24,41,6,23,0.0,1016,30,10,62,21
2020-02-11,30,20,0.0,11.6,1,1,75,09:36 PM,09:26 AM,07:34 AM,07:03 PM,3,24,24,24,36,0,25,0.0,1015,30,10,127,18
2020-02-12,32,21,0.0,11.6,1,1,68,10:36 PM,10:10 AM,07:33 AM,07:04 PM,5,25,25,25,38,0,26,0.0,1014,32,10,85,19
2020-02-13,32,22,0.0,11.6,1,1,60,11:36 PM,10:54 AM,07:33 AM,07:04 PM,6,26,26,27,38,0,27,0.0,1014,32,10,79,19
2020-02-14,32,22,0.0,11.6,1,1,53,No moonrise,11:38 AM,07:32 AM,07:04 PM,7,26,26,27,35,10,29,0.0,1014,32,10,80,18
2020-02-15,31,23,0.0,7.3,1,1,45,12:34 AM,12:22 PM,07:32 AM,07:05 PM,5,26,26,26,41,79,25,0.0,1013,31,10,56,21
2020-02-16,31,23,0.0,11.6,1,1,38,01:33 AM,01:09 PM,07:31 AM,07:05 PM,7,26,26,26,36,33,30,0.0,1013,31,10,189,18
2020-02-17,32,25,0.0,11.6,1,1,30,02:31 AM,01:58 PM,07:31 AM,07:06 PM,4,26,26,27,50,37,23,0.0,1014,32,10,43,25
2020-02-18,33,25,0.0,11.6,1,1,22,03:29 AM,02:49 PM,07:30 AM,07:06 PM,5,27,27,28,48,12,23,0.0,1014,33,10,128,24
2020-02-19,33,23,0.0,11.6,1,1,15,04:23 AM,03:42 PM,07:30 AM,07:07 PM,6,26,26,26,37,15,27,0.0,1012,33,10,117,18
2020-02-20,31,21,0.0,11.6,1,1,7,05:16 AM,04:35 PM,07:29 AM,07:07 PM,8,26,26,25,41,9,35,0.0,1010,31,10,176,20
2020-02-21,26,20,0.0,11.6,1,1,0,06:04 AM,05:29 PM,07:28 AM,07:07 PM,12,24,24,23,33,2,52,0.0,1010,26,10,226,18
2020-02-22,26,19,0.0,11.6,1,1,0,06:49 AM,06:21 PM,07:28 AM,07:08 PM,13,22,22,22,39,8,59,0.0,1011,26,10,331,22
2020-02-23,27,19,0.0,11.6,1,1,0,07:30 AM,07:12 PM,07:27 AM,07:08 PM,13,23,23,22,39,22,57,0.0,1012,27,10,174,22
2020-02-24,32,22,0.0,11.6,1,1,0,08:08 AM,08:01 PM,07:27 AM,07:08 PM,11,27,27,27,30,36,41,0.2,1012,32,10,214,15
2020-02-25,33,25,0.0,11.6,1,1,8,08:44 AM,08:49 PM,07:26 AM,07:09 PM,3,27,27,29,68,21,19,0.0,1012,33,10,74,35
2020-02-26,32,25,0.0,11.6,1,1,15,09:18 AM,09:36 PM,07:25 AM,07:09 PM,2,26,26,28,57,21,19,0.0,1012,32,10,74,29
2020-02-27,32,22,0.0,11.6,1,1,23,09:53 AM,10:23 PM,07:25 AM,07:09 PM,1,26,26,27,41,0,20,0.0,1013,32,10,64,21
2020-02-28,32,22,0.0,11.6,1,1,30,10:27 AM,11:11 PM,07:24 AM,07:10 PM,3,26,26,26,38,0,24,0.0,1014,32,10,129,19
2020-02-29,32,20,0.0,11.6,1,1,38,11:03 AM,No moonset,07:23 AM,07:10 PM,6,26,26,26,44,0,31,0.0,1014,32,10,43,22
2020-03-01,32,21,0.0,11.6,1,1,44,11:42 AM,12:00 AM,07:23 AM,07:10 PM,3,26,26,26,43,5,23,0.0,1013,32,10,54,22
2020-03-02,33,22,0.0,11.6,1,1,51,12:24 PM,12:52 AM,07:22 AM,07:11 PM,2,26,26,27,43,15,21,0.0,1014,33,10,64,22
2020-03-03,33,22,0.0,11.6,1,1,58,01:12 PM,01:46 AM,07:21 AM,07:11 PM,2,27,27,27,40,0,21,0.0,1014,33,10,68,20
2020-03-04,34,22,0.0,11.6,1,1,65,02:04 PM,02:41 AM,07:20 AM,07:11 PM,4,27,27,27,38,0,25,0.0,1014,34,10,143,19
2020-03-05,35,23,0.0,11.6,1,1,73,03:01 PM,03:39 AM,07:20 AM,07:11 PM,4,27,27,27,38,0,25,0.0,1013,35,10,119,18
2020-03-06,36,22,0.0,11.6,1,1,80,04:03 PM,04:35 AM,07:19 AM,07:12 PM,7,29,29,28,34,0,29,0.0,1011,36,10,115,17
2020-03-07,33,23,0.0,11.6,1,1,87,05:07 PM,05:31 AM,07:18 AM,07:12 PM,7,27,27,27,44,10,30,0.0,1010,33,10,131,21
2020-03-08,31,23,0.0,7.4,1,1,95,06:11 PM,06:23 AM,07:17 AM,07:12 PM,7,26,26,27,40,68,29,0.0,1011,31,10,189,19
2020-03-09,33,22,0.0,11.6,1,1,100,07:15 PM,07:13 AM,07:17 AM,07:13 PM,10,27,27,27,40,31,40,0.0,1011,33,10,181,19
2020-03-10,33,22,0.0,11.6,1,1,100,08:18 PM,07:59 AM,07:16 AM,07:13 PM,6,27,27,27,42,0,29,0.0,1010,33,10,155,21
2020-03-11,34,22,0.0,11.6,1,1,84,09:20 PM,08:45 AM,07:15 AM,07:13 PM,5,26,26,27,33,1,26,0.0,1011,34,10,193,16
2020-03-12,33,22,0.0,11.6,1,1,76,10:21 PM,09:30 AM,07:14 AM,07:13 PM,6,26,26,26,39,2,27,0.0,1011,33,10,118,19
2020-03-13,30,22,0.0,11.6,1,1,69,11:23 PM,10:16 AM,07:13 AM,07:14 PM,6,25,25,25,37,0,30,0.0,1012,30,10,170,19
2020-03-14,25,18,0.0,11.6,1,1,62,No moonrise,11:03 AM,07:13 AM,07:14 PM,12,23,23,22,28,0,56,0.0,1012,25,10,209,16
2020-03-15,29,19,0.0,11.6,1,1,55,12:23 AM,11:53 AM,07:12 AM,07:14 PM,12,23,23,23,45,1,55,0.0,1012,29,10,166,26
2020-03-16,28,18,0.0,11.6,1,1,47,01:23 AM,12:45 PM,07:11 AM,07:14 PM,11,22,22,22,46,22,49,0.0,1012,28,10,178,28
