date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,29,28,0.0,9.4,1,1,80,03:27 PM,02:27 AM,05:40 AM,06:30 PM,24,33,33,28,14,67,76,7.7,1011,29,9,303,10
2020-01-08,29,22,0.0,9.3,1,1,88,04:23 PM,03:15 AM,05:41 AM,06:30 PM,23,30,30,27,8,75,75,28.5,1011,29,8,180,5
2020-01-09,29,23,0.0,10.6,1,1,95,05:21 PM,04:06 AM,05:41 AM,06:31 PM,23,31,31,27,9,74,73,11.1,1010,29,9,186,6
2020-01-10,30,29,0.0,10.6,1,1,100,06:20 PM,05:03 AM,05:42 AM,06:31 PM,23,33,33,29,9,57,68,3.0,1010,30,10,149,6
2020-01-11,30,28,0.0,10.6,1,1,100,07:19 PM,06:03 AM,05:42 AM,06:31 PM,22,32,32,29,7,54,66,2.1,1010,30,10,193,5
2020-01-12,29,23,0.0,8.1,1,1,83,08:14 PM,07:05 AM,05:43 AM,06:31 PM,23,31,31,28,14,81,71,23.5,1010,29,8,42,8
2020-01-13,29,28,0.0,8.1,1,1,76,09:06 PM,08:07 AM,05:43 AM,06:32 PM,23,32,32,29,17,77,71,25.5,1010,29,8,47,10
2020-01-14,29,28,0.0,9.3,1,1,69,09:55 PM,09:07 AM,05:44 AM,06:32 PM,23,33,33,29,17,58,73,8.5,1009,29,9,27,12
2020-01-15,29,23,0.0,10.6,1,1,61,10:41 PM,10:05 AM,05:45 AM,06:32 PM,23,31,31,28,8,50,70,5.5,1010,29,9,126,5
2020-01-16,29,28,0.0,8.0,1,1,54,11:26 PM,11:01 AM,05:45 AM,06:32 PM,23,32,32,28,13,70,73,8.1,1010,29,10,272,9
2020-01-17,29,28,0.0,10.6,1,1,47,No moonrise,11:56 AM,05:46 AM,06:32 PM,24,33,33,29,32,69,76,27.2,1009,29,8,321,19
2020-01-18,29,28,0.0,8.0,1,1,40,12:10 AM,12:51 PM,05:46 AM,06:32 PM,25,34,34,29,53,75,80,58.6,1008,29,7,321,30
2020-01-19,29,28,0.0,10.6,1,1,32,12:56 AM,01:47 PM,05:47 AM,06:32 PM,25,33,33,29,52,68,79,16.8,1008,29,9,336,34
2020-01-20,29,25,0.0,10.6,1,1,25,01:43 AM,02:42 PM,05:47 AM,06:33 PM,25,33,33,28,50,71,81,3.3,1007,29,10,328,36
2020-01-21,29,29,0.0,8.0,1,1,18,02:32 AM,03:39 PM,05:48 AM,06:33 PM,25,35,35,29,56,76,79,0.8,1006,29,10,330,40
2020-01-22,29,20,0.0,10.6,1,1,11,03:24 AM,04:35 PM,05:48 AM,06:33 PM,25,31,31,27,68,73,80,54.9,1006,29,9,323,46
2020-01-23,29,23,0.0,9.3,1,1,3,04:17 AM,05:30 PM,05:49 AM,06:33 PM,24,31,31,27,52,78,81,27.4,1008,29,8,306,31
2020-01-24,28,23,0.0,9.3,1,1,0,05:12 AM,06:20 PM,05:49 AM,06:33 PM,23,30,30,26,26,75,80,14.4,1010,28,9,314,18
2020-01-25,28,27,0.0,10.6,1,1,0,06:05 AM,07:08 PM,05:50 AM,06:33 PM,24,32,32,28,30,66,78,8.2,1011,28,9,302,21
