date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,19,11,0.0,7.0,1,1,80,03:38 PM,04:08 AM,07:12 AM,06:13 PM,-5,14,15,14,11,48,26,0.0,1022,19,10,2,9
2020-01-08,25,8,0.0,11.0,1,1,88,04:27 PM,05:05 AM,07:13 AM,06:14 PM,3,16,16,16,5,3,46,0.0,1022,25,10,37,5
2020-01-09,27,13,0.0,11.0,1,1,95,05:23 PM,06:04 AM,07:13 AM,06:14 PM,4,20,20,20,3,3,38,0.0,1018,27,10,65,3
2020-01-10,28,15,0.0,11.0,1,1,100,06:23 PM,07:04 AM,07:13 AM,06:15 PM,3,21,21,21,5,1,33,0.0,1017,28,10,181,5
2020-01-11,28,15,0.0,11.0,1,1,100,07:26 PM,08:01 AM,07:13 AM,06:16 PM,4,21,21,21,4,3,36,0.0,1017,28,10,234,4
2020-01-12,27,12,0.0,11.0,1,1,83,08:30 PM,08:55 AM,07:13 AM,06:16 PM,6,19,19,19,5,5,48,0.0,1018,27,10,40,4
2020-01-13,25,13,0.0,11.0,1,1,76,09:33 PM,09:46 AM,07:13 AM,06:17 PM,7,18,18,18,6,6,49,0.0,1019,25,10,43,5
2020-01-14,26,13,0.0,11.1,1,1,69,10:34 PM,10:32 AM,07:13 AM,06:18 PM,8,19,20,19,6,9,54,0.0,1018,26,10,57,5
2020-01-15,26,13,0.0,11.0,1,1,61,11:33 PM,11:16 AM,07:14 AM,06:18 PM,9,19,20,19,5,9,56,0.0,1017,26,10,130,4
2020-01-16,23,12,0.0,8.6,1,1,54,No moonrise,11:57 AM,07:14 AM,06:19 PM,8,16,17,16,9,44,59,0.3,1019,23,10,35,7
2020-01-17,23,11,0.0,11.1,1,1,47,12:31 AM,12:38 PM,07:14 AM,06:20 PM,7,16,16,16,9,23,57,0.0,1019,23,10,163,8
2020-01-18,23,13,0.0,11.1,1,1,40,01:29 AM,01:21 PM,07:14 AM,06:20 PM,7,18,19,18,7,55,54,4.5,1018,23,10,126,6
2020-01-19,18,11,0.0,5.5,1,1,32,02:27 AM,02:05 PM,07:14 AM,06:21 PM,8,13,14,13,13,74,71,17.1,1021,18,9,19,9
2020-01-20,16,10,0.0,8.6,1,1,25,03:26 AM,02:52 PM,07:14 AM,06:21 PM,6,11,12,11,13,64,68,3.2,1024,16,8,11,11
2020-01-21,19,9,0.0,11.1,1,1,18,04:24 AM,03:43 PM,07:13 AM,06:22 PM,5,12,13,12,7,17,61,0.0,1023,19,10,133,6
2020-01-22,27,10,0.0,11.1,1,1,11,05:21 AM,04:35 PM,07:13 AM,06:23 PM,6,18,19,18,4,14,51,0.1,1018,27,10,152,3
2020-01-23,22,11,0.0,10.1,1,1,3,06:15 AM,05:30 PM,07:13 AM,06:23 PM,6,16,16,16,8,48,56,1.7,1015,22,10,252,6
2020-01-24,20,10,0.0,10.1,1,1,0,07:07 AM,06:24 PM,07:13 AM,06:24 PM,6,15,15,15,7,58,55,2.0,1017,20,9,126,5
2020-01-25,22,10,0.0,11.1,1,1,0,07:53 AM,07:18 PM,07:13 AM,06:25 PM,7,15,15,15,9,26,59,0.2,1018,22,10,182,7
2020-01-26,22,12,0.0,11.1,1,1,4,08:35 AM,08:10 PM,07:13 AM,06:25 PM,5,16,17,16,6,26,49,0.2,1018,22,10,190,5
2020-01-27,22,12,0.0,11.1,1,1,11,09:15 AM,09:00 PM,07:13 AM,06:26 PM,3,17,17,17,6,25,43,0.1,1017,22,10,156,5
2020-01-28,24,14,0.0,11.1,1,1,18,09:51 AM,09:49 PM,07:12 AM,06:26 PM,-2,18,18,18,9,11,26,0.0,1015,24,10,192,8
2020-01-29,22,12,0.0,11.2,1,1,26,10:25 AM,10:37 PM,07:12 AM,06:27 PM,-0,17,17,17,10,11,33,0.0,1016,22,10,130,9
2020-01-30,21,13,0.0,11.2,1,1,33,10:59 AM,11:25 PM,07:12 AM,06:28 PM,-0,16,17,16,14,6,33,0.0,1015,21,10,204,12
2020-01-31,22,12,0.0,11.2,1,1,37,11:33 AM,No moonset,07:12 AM,06:28 PM,1,16,16,16,11,29,35,0.1,1016,22,10,180,9
2020-02-01,19,12,0.0,11.2,1,1,49,12:08 PM,12:13 AM,07:11 AM,06:29 PM,7,15,15,15,6,26,59,0.7,1021,19,10,186,5
2020-02-02,24,11,0.0,11.2,1,1,57,12:46 PM,01:03 AM,07:11 AM,06:29 PM,7,16,16,16,7,25,57,0.7,1020,24,10,58,6
2020-02-03,21,13,0.0,11.2,1,1,64,01:28 PM,01:55 AM,07:11 AM,06:30 PM,4,17,17,17,13,7,45,0.0,1017,21,10,195,11
2020-02-04,21,13,0.0,11.2,1,1,72,02:14 PM,02:49 AM,07:10 AM,06:30 PM,7,16,17,16,14,29,54,0.4,1016,21,10,194,12
2020-02-05,20,13,0.0,7.1,1,1,79,03:06 PM,03:47 AM,07:10 AM,06:31 PM,7,16,16,16,18,56,57,0.8,1014,20,10,196,15
2020-02-06,23,12,0.0,11.2,1,1,87,04:03 PM,04:45 AM,07:10 AM,06:32 PM,2,17,17,17,12,28,45,0.2,1013,23,10,222,10
2020-02-07,26,14,0.0,10.1,1,1,95,05:06 PM,05:44 AM,07:09 AM,06:32 PM,-1,19,20,19,10,55,28,0.0,1014,26,10,186,8
2020-02-08,30,15,0.0,11.2,1,1,100,06:10 PM,06:40 AM,07:09 AM,06:33 PM,4,23,23,22,6,3,34,0.0,1017,30,10,158,5
2020-02-09,31,15,0.0,11.3,1,1,100,07:16 PM,07:34 AM,07:08 AM,06:33 PM,6,22,22,22,6,2,38,0.0,1017,31,10,166,5
2020-02-10,31,16,0.0,11.3,1,1,83,08:19 PM,08:23 AM,07:08 AM,06:34 PM,7,22,22,23,3,2,37,0.0,1015,31,10,78,3
2020-02-11,30,17,0.0,11.3,1,1,75,09:22 PM,09:09 AM,07:07 AM,06:34 PM,7,24,24,23,6,2,39,0.0,1014,30,10,116,5
2020-02-12,26,16,0.0,11.3,1,1,68,10:22 PM,09:53 AM,07:07 AM,06:35 PM,5,20,21,20,11,5,39,0.0,1014,26,10,189,9
2020-02-13,26,15,0.0,11.3,1,1,60,11:23 PM,10:36 AM,07:06 AM,06:35 PM,3,20,21,20,7,6,36,0.0,1016,26,10,91,6
2020-02-14,25,12,0.0,10.1,1,1,53,No moonrise,11:20 AM,07:06 AM,06:36 PM,8,18,18,18,7,38,57,3.4,1018,25,10,14,6
2020-02-15,26,12,0.0,11.3,1,1,45,12:22 AM,12:04 PM,07:05 AM,06:36 PM,8,18,19,18,8,19,51,2.8,1019,26,10,8,7
2020-02-16,29,15,0.0,11.3,1,1,38,01:21 AM,12:50 PM,07:05 AM,06:36 PM,5,21,21,22,9,1,37,0.0,1015,29,10,242,8
2020-02-17,32,16,0.0,11.3,1,1,30,02:19 AM,01:40 PM,07:04 AM,06:37 PM,4,24,24,24,4,1,32,0.0,1013,32,10,114,4
2020-02-18,32,18,0.0,11.3,1,1,22,03:17 AM,02:31 PM,07:04 AM,06:37 PM,3,25,25,25,4,0,27,0.0,1013,32,10,152,4
2020-02-19,32,19,0.0,11.4,1,1,15,04:11 AM,03:24 PM,07:03 AM,06:38 PM,3,25,25,25,7,0,26,0.0,1017,32,10,11,6
2020-02-20,27,14,0.0,11.4,1,1,7,05:03 AM,04:18 PM,07:02 AM,06:38 PM,6,20,20,20,10,7,47,0.0,1018,27,10,122,9
2020-02-21,24,12,0.0,11.4,1,1,0,05:50 AM,05:12 PM,07:02 AM,06:39 PM,7,16,17,16,12,26,53,0.0,1023,24,10,229,9
2020-02-22,29,12,0.0,11.4,1,1,0,06:33 AM,06:04 PM,07:01 AM,06:39 PM,8,19,20,19,6,8,50,0.0,1022,29,10,38,5
2020-02-23,32,16,0.0,11.4,1,1,0,07:13 AM,06:54 PM,07:00 AM,06:39 PM,8,22,22,23,4,3,41,0.0,1017,32,10,186,4
2020-02-24,30,16,0.0,11.4,1,1,0,07:50 AM,07:44 PM,07:00 AM,06:40 PM,5,22,22,23,10,3,35,0.0,1013,30,10,176,9
2020-02-25,27,16,0.0,11.6,1,1,8,08:25 AM,08:32 PM,06:59 AM,06:40 PM,4,21,21,22,12,2,34,0.0,1012,27,10,202,10
2020-02-26,24,14,0.0,11.6,1,1,15,08:59 AM,09:20 PM,06:58 AM,06:41 PM,5,18,19,18,8,6,44,0.0,1017,24,10,48,7
2020-02-27,27,10,0.0,11.6,1,1,23,09:33 AM,10:07 PM,06:58 AM,06:41 PM,6,17,17,17,6,12,50,0.0,1021,27,10,50,5
2020-02-28,27,13,0.0,11.6,1,1,30,10:07 AM,10:56 PM,06:57 AM,06:41 PM,4,20,21,20,9,14,40,0.1,1021,27,10,126,8
2020-02-29,29,11,0.0,11.6,1,1,38,10:43 AM,11:47 PM,06:56 AM,06:42 PM,5,20,20,20,6,13,40,0.1,1021,29,10,132,5
2020-03-01,32,16,0.0,11.6,1,1,44,11:23 AM,No moonset,06:55 AM,06:42 PM,5,25,25,24,5,6,33,0.0,1017,32,10,81,4
2020-03-02,29,18,0.0,11.6,1,1,51,12:05 PM,12:39 AM,06:55 AM,06:42 PM,7,23,23,23,9,2,35,0.0,1014,29,10,169,8
2020-03-03,26,19,0.0,11.6,1,1,58,12:53 PM,01:34 AM,06:54 AM,06:43 PM,5,23,23,22,13,2,35,0.0,1013,26,10,187,11
2020-03-04,29,16,0.0,11.6,1,1,65,01:47 PM,02:30 AM,06:53 AM,06:43 PM,3,22,22,22,9,2,32,0.0,1014,29,10,181,8
2020-03-05,27,17,0.0,11.6,1,1,73,02:45 PM,03:27 AM,06:52 AM,06:43 PM,4,22,23,22,8,7,34,0.0,1018,27,10,106,7
2020-03-06,23,12,0.0,11.6,1,1,80,03:48 PM,04:23 AM,06:52 AM,06:44 PM,7,16,17,16,12,11,56,0.0,1022,23,10,124,10
2020-03-07,28,11,0.0,11.6,1,1,87,04:52 PM,05:18 AM,06:51 AM,06:44 PM,5,18,19,18,9,6,48,0.0,1021,28,10,134,7
2020-03-08,26,11,0.0,11.6,1,1,95,05:57 PM,06:09 AM,06:50 AM,06:44 PM,6,18,18,18,8,8,47,0.0,1019,26,10,41,6
2020-03-09,28,14,0.0,11.6,1,1,100,07:02 PM,06:57 AM,06:49 AM,06:45 PM,6,21,21,21,4,7,41,0.0,1019,28,10,18,4
2020-03-10,30,14,0.0,11.6,1,1,100,08:05 PM,07:43 AM,06:48 AM,06:45 PM,8,21,22,21,9,18,47,0.1,1020,30,10,13,8
2020-03-11,27,12,0.0,11.6,1,1,84,09:08 PM,08:27 AM,06:48 AM,06:45 PM,6,19,19,19,10,18,47,0.1,1017,27,10,243,9
2020-03-12,31,16,0.0,11.6,1,1,76,10:09 PM,09:12 AM,06:47 AM,06:45 PM,7,23,23,23,7,16,36,0.1,1013,31,10,156,6
2020-03-13,30,20,0.0,11.6,1,1,69,11:11 PM,09:58 AM,06:46 AM,06:46 PM,6,24,24,25,5,29,30,0.8,1014,30,10,241,4
2020-03-14,29,16,0.0,11.6,1,1,62,No moonrise,10:45 AM,06:45 AM,06:46 PM,8,22,22,22,9,33,43,3.7,1017,29,10,38,7
2020-03-15,33,16,0.0,11.6,1,1,55,12:12 AM,11:35 AM,06:44 AM,06:46 PM,9,24,24,23,8,32,45,5.9,1018,33,10,238,6
2020-03-16,31,15,0.0,10.2,1,1,47,01:12 AM,12:27 PM,06:43 AM,06:47 PM,9,22,22,22,9,61,53,11.8,1018,31,9,49,6
