date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,1,-3,0.0,8.7,1,1,80,01:51 PM,04:09 AM,07:50 AM,04:31 PM,-6,-6,-2,-6,19,4,75,0.0,1028,1,10,117,12
2020-01-08,2,-8,0.0,8.7,1,1,88,02:28 PM,05:18 AM,07:50 AM,04:33 PM,-6,-5,-2,-5,13,5,71,0.0,1031,2,10,347,8
2020-01-09,2,-6,0.0,3.3,1,1,95,03:15 PM,06:25 AM,07:49 AM,04:34 PM,-6,-2,-0,-2,8,83,66,0.3,1026,2,10,286,5
2020-01-10,4,0,0.0,3.3,1,1,100,04:12 PM,07:28 AM,07:49 AM,04:35 PM,-4,0,1,0,9,59,69,0.0,1022,4,10,206,5
2020-01-11,8,1,0.0,8.7,1,1,100,05:20 PM,08:23 AM,07:49 AM,04:36 PM,0,1,3,1,23,32,79,0.0,1022,8,10,311,14
2020-01-12,5,-1,0.0,8.7,1,1,83,06:35 PM,09:10 AM,07:48 AM,04:37 PM,-1,-0,3,-0,19,22,79,0.0,1028,5,10,338,13
2020-01-13,6,-1,0.0,8.7,1,1,76,07:53 PM,09:48 AM,07:48 AM,04:39 PM,-2,-1,1,-1,13,14,79,0.0,1026,6,10,320,8
2020-01-14,5,-7,0.0,5.1,1,1,69,09:12 PM,10:19 AM,07:47 AM,04:40 PM,-2,-0,1,-0,6,37,76,0.0,1026,5,10,170,4
2020-01-15,6,-1,0.0,8.7,1,1,61,10:29 PM,10:47 AM,07:47 AM,04:41 PM,-1,-1,2,-1,16,19,84,0.0,1031,6,10,156,9
2020-01-16,7,-0,0.0,8.7,1,1,54,11:46 PM,11:12 AM,07:46 AM,04:43 PM,-0,-0,2,-0,18,17,83,0.0,1031,7,10,197,10
2020-01-17,5,-3,0.0,8.7,1,1,47,No moonrise,11:37 AM,07:45 AM,04:44 PM,-1,-2,1,-2,15,18,88,0.0,1032,5,10,11,10
2020-01-18,2,-2,0.0,6.9,1,1,40,01:01 AM,12:03 PM,07:45 AM,04:45 PM,-3,-3,-0,-3,14,22,84,0.0,1030,2,10,141,9
2020-01-19,1,-7,0.0,3.4,1,1,32,02:15 AM,12:31 PM,07:44 AM,04:47 PM,-3,-4,-1,-4,10,72,84,0.0,1030,1,10,83,6
2020-01-20,1,-8,0.0,3.4,1,1,25,03:29 AM,01:03 PM,07:43 AM,04:48 PM,-4,-5,-1,-5,24,87,76,0.0,1039,1,10,337,17
2020-01-21,5,0,0.0,6.9,1,1,18,04:39 AM,01:42 PM,07:42 AM,04:50 PM,-3,-2,2,-2,29,57,67,0.0,1036,5,10,300,19
