date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,12,9,0.0,8.7,1,1,80,02:28 PM,04:30 AM,08:04 AM,05:09 PM,7,10,11,10,11,38,72,0.0,1025,12,10,78,9
2020-01-08,15,11,0.0,8.7,1,1,88,03:08 PM,05:37 AM,08:04 AM,05:10 PM,2,12,13,12,12,4,49,0.0,1029,15,10,230,9
2020-01-09,14,12,0.0,8.7,1,1,95,03:56 PM,06:42 AM,08:03 AM,05:11 PM,2,13,13,13,7,4,50,0.0,1028,14,10,135,6
2020-01-10,13,10,0.0,8.7,1,1,100,04:55 PM,07:45 AM,08:03 AM,05:12 PM,2,10,11,10,11,34,55,0.1,1024,13,10,176,9
2020-01-11,15,11,0.0,8.7,1,1,100,06:02 PM,08:40 AM,08:03 AM,05:14 PM,4,12,13,12,11,11,55,0.0,1027,15,10,253,8
2020-01-12,13,11,0.0,8.7,1,1,83,07:15 PM,09:28 AM,08:03 AM,05:15 PM,2,11,12,11,12,5,53,0.0,1027,13,10,256,9
2020-01-13,12,10,0.0,6.9,1,1,76,08:31 PM,10:07 AM,08:02 AM,05:16 PM,6,10,11,10,12,54,70,0.4,1024,12,10,83,9
2020-01-14,12,5,0.0,3.4,1,1,69,09:47 PM,10:41 AM,08:02 AM,05:17 PM,4,10,11,10,8,75,63,0.3,1025,12,10,261,6
2020-01-15,12,11,0.0,3.4,1,1,61,11:01 PM,11:12 AM,08:01 AM,05:18 PM,7,12,12,12,8,76,70,2.2,1028,12,9,160,7
2020-01-16,12,11,0.0,5.2,1,1,54,No moonrise,11:40 AM,08:01 AM,05:20 PM,6,11,12,11,12,61,70,0.9,1029,12,10,82,9
2020-01-17,13,5,0.0,5.2,1,1,47,12:14 AM,12:07 PM,08:00 AM,05:21 PM,6,10,11,10,10,73,69,9.9,1025,13,9,248,8
2020-01-18,13,11,0.0,7.0,1,1,40,01:27 AM,12:35 PM,08:00 AM,05:22 PM,5,11,12,11,9,52,64,1.3,1022,13,10,233,8
2020-01-19,12,10,0.0,3.6,1,1,32,02:38 AM,01:06 PM,07:59 AM,05:23 PM,-0,9,11,9,19,53,47,0.0,1025,12,10,51,15
2020-01-20,11,9,0.0,5.3,1,1,25,03:49 AM,01:41 PM,07:59 AM,05:25 PM,-1,7,10,7,33,76,45,0.0,1035,11,10,38,27
2020-01-21,14,10,0.0,8.7,1,1,18,04:57 AM,02:22 PM,07:58 AM,05:26 PM,-1,10,12,10,25,27,41,0.0,1037,14,10,61,19
2020-01-22,14,12,0.0,8.7,1,1,11,06:01 AM,03:09 PM,07:57 AM,05:27 PM,3,11,13,11,25,13,52,0.0,1031,14,10,80,18
2020-01-23,14,12,0.0,8.7,1,1,3,06:58 AM,04:03 PM,07:56 AM,05:29 PM,7,11,13,11,24,23,68,0.0,1027,14,10,89,18
