date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,-14,-19,0.0,6.9,1,1,80,02:29 PM,04:45 AM,08:41 AM,05:16 PM,-20,-19,-17,-19,7,47,79,0.0,1035,-14,10,124,3
2020-01-08,-14,-20,0.0,8.7,1,1,88,03:04 PM,05:54 AM,08:41 AM,05:17 PM,-19,-21,-17,-21,10,34,84,0.0,1032,-14,9,115,5
2020-01-09,-17,-22,0.0,3.3,1,1,95,03:48 PM,07:02 AM,08:40 AM,05:18 PM,-21,-26,-20,-26,14,93,98,0.0,1035,-17,2,322,7
2020-01-10,-16,-22,0.1,8.7,1,1,100,04:42 PM,08:07 AM,08:40 AM,05:19 PM,-20,-22,-19,-22,9,58,92,0.1,1037,-16,7,211,5
2020-01-11,-14,-22,0.0,8.7,1,1,100,05:48 PM,09:04 AM,08:40 AM,05:21 PM,-20,-19,-18,-19,5,32,88,0.0,1035,-14,8,302,3
2020-01-12,-17,-25,0.0,8.7,1,1,83,07:03 PM,09:52 AM,08:39 AM,05:22 PM,-21,-21,-20,-21,4,12,92,0.0,1032,-17,10,211,2
2020-01-13,-14,-23,0.0,8.7,1,1,76,08:21 PM,10:30 AM,08:39 AM,05:23 PM,-21,-20,-18,-20,6,16,78,0.0,1028,-14,10,112,3
2020-01-14,-15,-20,0.0,8.7,1,1,69,09:41 PM,11:03 AM,08:38 AM,05:25 PM,-21,-19,-18,-19,5,19,75,0.0,1030,-15,10,262,3
2020-01-15,-14,-22,0.0,6.9,1,1,61,11:00 PM,11:30 AM,08:37 AM,05:26 PM,-20,-19,-17,-19,6,26,75,0.0,1035,-14,10,106,3
2020-01-16,-12,-19,0.0,8.7,1,1,54,No moonrise,11:55 AM,08:37 AM,05:27 PM,-20,-17,-16,-17,6,12,73,0.0,1031,-12,10,174,3
2020-01-17,-14,-20,0.4,5.1,1,1,47,12:17 AM,12:19 PM,08:36 AM,05:29 PM,-18,-20,-17,-20,8,90,89,0.5,1027,-14,8,269,4
2020-01-18,-18,-21,0.4,8.7,1,1,40,01:34 AM,12:43 PM,08:35 AM,05:30 PM,-21,-23,-20,-23,8,65,87,0.5,1023,-18,8,211,4
2020-01-19,-16,-30,0.6,5.1,1,1,32,02:49 AM,01:10 PM,08:35 AM,05:32 PM,-21,-24,-21,-24,10,57,91,0.7,1027,-16,6,172,6
2020-01-20,-14,-20,0.0,6.9,1,1,25,04:03 AM,01:41 PM,08:34 AM,05:33 PM,-20,-21,-17,-21,11,52,82,0.0,1020,-14,9,246,6
2020-01-21,-16,-21,0.0,5.2,1,1,18,05:15 AM,02:17 PM,08:33 AM,05:35 PM,-19,-20,-17,-20,8,65,84,0.0,1025,-16,9,107,4
2020-01-22,-15,-21,0.0,8.7,1,1,11,06:22 AM,03:01 PM,08:32 AM,05:36 PM,-19,-22,-18,-22,10,35,90,0.0,1028,-15,9,292,5
2020-01-23,-15,-23,0.0,8.7,1,1,3,07:23 AM,03:52 PM,08:31 AM,05:38 PM,-21,-22,-18,-22,8,15,80,0.0,1036,-15,10,116,4
2020-01-24,-13,-19,0.0,8.7,1,1,0,08:13 AM,04:51 PM,08:30 AM,05:39 PM,-19,-18,-16,-18,7,8,76,0.0,1033,-13,10,136,3
2020-01-25,-9,-15,0.0,8.7,1,1,0,08:55 AM,05:54 PM,08:29 AM,05:41 PM,-17,-17,-12,-17,15,2,69,0.0,1029,-9,10,111,7
2020-01-26,-7,-16,0.0,8.7,1,1,4,09:30 AM,06:59 PM,08:28 AM,05:42 PM,-16,-14,-11,-14,9,0,62,0.0,1025,-7,10,108,5
2020-01-27,-6,-14,0.0,8.7,1,1,11,09:57 AM,08:04 PM,08:27 AM,05:44 PM,-17,-12,-11,-12,7,1,61,0.0,1029,-6,10,104,3
2020-01-28,-8,-17,0.0,8.7,1,1,18,10:21 AM,09:08 PM,08:26 AM,05:45 PM,-17,-18,-13,-18,15,3,74,0.0,1033,-8,10,115,7
2020-01-29,-12,-21,0.0,8.7,1,1,26,10:42 AM,10:12 PM,08:24 AM,05:47 PM,-17,-20,-16,-20,13,11,86,0.0,1030,-12,10,113,7
2020-01-30,-12,-22,0.3,3.5,1,1,33,11:02 AM,11:15 PM,08:23 AM,05:48 PM,-17,-21,-16,-21,14,58,91,0.4,1028,-12,7,318,8
2020-01-31,-17,-25,0.1,3.5,1,1,37,11:21 AM,No moonset,08:22 AM,05:50 PM,-22,-24,-21,-24,8,76,96,0.2,1037,-17,5,234,4
2020-02-01,-18,-29,0.0,5.2,1,1,49,11:41 AM,12:17 AM,08:21 AM,05:51 PM,-24,-27,-24,-27,8,78,93,0.0,1039,-18,5,318,4
