date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,27,17,0.0,11.6,1,1,80,04:39 PM,03:10 AM,06:14 AM,07:41 PM,11,22,22,22,16,24,52,0.8,1007,27,10,261,13
2020-01-08,29,17,0.0,11.6,1,1,88,05:38 PM,03:54 AM,06:15 AM,07:42 PM,5,24,24,24,21,3,32,0.0,1010,29,10,263,17
2020-01-09,30,16,0.0,11.6,1,1,95,06:37 PM,04:44 AM,06:15 AM,07:42 PM,4,22,22,23,17,2,32,0.0,1013,30,10,268,13
2020-01-10,31,19,0.0,11.6,1,1,100,07:37 PM,05:41 AM,06:16 AM,07:42 PM,2,24,24,25,17,1,24,0.0,1012,31,10,72,12
2020-01-11,30,20,0.0,11.6,1,1,100,08:33 PM,06:41 AM,06:17 AM,07:42 PM,7,25,25,25,20,2,32,0.0,1011,30,10,91,16
2020-01-12,28,20,0.0,11.6,1,1,83,09:26 PM,07:46 AM,06:17 AM,07:42 PM,13,25,25,24,16,52,51,0.5,1012,28,10,92,13
2020-01-13,29,20,0.0,11.6,1,1,76,10:14 PM,08:50 AM,06:18 AM,07:42 PM,10,25,25,25,17,34,41,0.6,1011,29,10,100,14
2020-01-14,30,22,0.0,11.6,1,1,69,10:59 PM,09:55 AM,06:19 AM,07:42 PM,8,26,26,27,16,30,34,1.2,1010,30,10,100,13
2020-01-15,32,22,0.0,11.6,1,1,61,11:40 PM,10:57 AM,06:19 AM,07:42 PM,7,26,26,27,15,1,30,0.0,1011,32,10,97,12
2020-01-16,31,22,0.0,11.6,1,1,54,No moonrise,11:57 AM,06:20 AM,07:42 PM,7,26,26,26,21,3,30,0.0,1011,31,10,100,16
2020-01-17,30,20,0.0,11.6,1,1,47,12:20 AM,12:57 PM,06:21 AM,07:42 PM,8,26,26,26,13,24,37,2.0,1010,30,10,205,9
2020-01-18,29,19,0.0,11.6,1,1,40,01:00 AM,01:56 PM,06:22 AM,07:42 PM,10,24,24,24,16,36,43,1.4,1009,29,10,223,13
2020-01-19,30,19,0.0,11.6,1,1,32,01:42 AM,02:56 PM,06:22 AM,07:42 PM,4,24,24,24,22,11,30,0.3,1009,30,10,271,17
2020-01-20,30,17,0.0,11.6,1,1,25,02:25 AM,03:55 PM,06:23 AM,07:42 PM,-2,24,24,24,24,0,20,0.0,1011,30,10,285,18
2020-01-21,31,18,0.0,11.6,1,1,18,03:12 AM,04:54 PM,06:24 AM,07:42 PM,2,26,26,26,21,0,24,0.0,1012,31,10,280,15
2020-01-22,31,20,0.0,11.6,1,1,11,04:02 AM,05:52 PM,06:24 AM,07:42 PM,4,26,26,26,20,4,27,0.0,1010,31,10,296,16
2020-01-23,30,18,0.0,11.6,1,1,3,04:55 AM,06:45 PM,06:25 AM,07:41 PM,5,25,25,25,22,0,31,0.0,1009,30,10,299,17
2020-01-24,30,16,0.0,11.6,1,1,0,05:50 AM,07:35 PM,06:26 AM,07:41 PM,3,24,24,23,24,2,29,0.0,1011,30,10,304,19
2020-01-25,30,16,0.0,11.6,1,1,0,06:44 AM,08:20 PM,06:27 AM,07:41 PM,3,24,24,24,22,2,27,0.0,1012,30,10,295,17
2020-01-26,30,18,0.0,11.6,1,1,4,07:39 AM,09:01 PM,06:27 AM,07:41 PM,1,24,24,24,21,0,24,0.0,1012,30,10,275,15
2020-01-27,31,17,0.0,11.6,1,1,11,08:31 AM,09:39 PM,06:28 AM,07:40 PM,-1,24,24,24,22,2,20,0.0,1014,31,10,78,15
2020-01-28,32,18,0.0,11.6,1,1,18,09:23 AM,10:13 PM,06:29 AM,07:40 PM,0,24,24,25,18,14,20,0.0,1013,32,10,98,11
2020-01-29,33,18,0.0,11.6,1,1,26,10:12 AM,10:46 PM,06:29 AM,07:40 PM,-3,26,26,27,20,2,17,0.0,1012,33,10,86,13
2020-01-30,31,19,0.0,11.6,1,1,33,11:01 AM,11:19 PM,06:30 AM,07:39 PM,6,25,25,25,16,2,31,0.0,1013,31,10,128,11
2020-01-31,32,22,0.0,11.6,1,1,37,11:51 AM,11:52 PM,06:31 AM,07:39 PM,3,27,27,27,13,11,23,0.0,1012,32,10,61,9
2020-02-01,32,21,0.0,11.6,1,1,49,12:40 PM,No moonset,06:31 AM,07:39 PM,6,27,27,26,16,6,28,0.0,1012,32,10,49,12
2020-02-02,32,19,0.0,11.6,1,1,57,01:32 PM,12:26 AM,06:32 AM,07:38 PM,5,26,26,26,20,13,29,0.0,1013,32,10,68,14
2020-02-03,32,21,0.0,11.6,1,1,64,02:25 PM,01:03 AM,06:33 AM,07:38 PM,5,27,27,27,19,7,28,0.0,1012,32,10,78,13
2020-02-04,28,19,0.0,9.1,1,1,72,03:21 PM,01:45 AM,06:33 AM,07:37 PM,9,24,24,23,17,42,43,3.9,1012,28,10,222,12
2020-02-05,28,17,0.0,11.6,1,1,79,04:19 PM,02:31 AM,06:34 AM,07:37 PM,12,23,23,23,18,55,55,5.4,1011,28,9,328,13
2020-02-06,28,18,0.0,10.3,1,1,87,05:19 PM,03:23 AM,06:35 AM,07:36 PM,12,23,23,23,10,34,53,0.7,1010,28,10,195,6
2020-02-07,28,19,0.0,11.6,1,1,95,06:17 PM,04:21 AM,06:35 AM,07:36 PM,10,25,25,24,14,7,44,0.0,1011,28,10,253,10
2020-02-08,31,18,0.0,11.6,1,1,100,07:12 PM,05:25 AM,06:36 AM,07:35 PM,3,24,24,24,22,2,30,0.0,1012,31,10,264,16
2020-02-09,31,16,0.0,11.6,1,1,100,08:04 PM,06:30 AM,06:37 AM,07:35 PM,-0,24,24,24,22,0,23,0.0,1012,31,10,223,14
2020-02-10,32,17,0.0,11.6,1,1,83,08:51 PM,07:37 AM,06:37 AM,07:34 PM,2,25,25,25,22,3,26,0.0,1011,32,10,130,14
2020-02-11,29,18,0.0,9.0,1,1,75,09:35 PM,08:42 AM,06:38 AM,07:34 PM,10,22,22,22,21,50,49,11.5,1012,29,9,89,14
2020-02-12,29,16,0.0,10.3,1,1,68,10:17 PM,09:46 AM,06:38 AM,07:33 PM,10,22,22,22,13,35,49,1.5,1013,29,10,139,9
2020-02-13,29,17,0.0,10.3,1,1,60,10:59 PM,10:48 AM,06:39 AM,07:33 PM,11,23,23,22,13,44,51,0.8,1012,29,10,140,9
2020-02-14,28,18,0.0,10.3,1,1,53,11:41 PM,11:50 AM,06:40 AM,07:32 PM,11,23,23,22,16,37,51,4.1,1011,28,10,115,11
2020-02-15,26,18,0.0,9.0,1,1,45,No moonrise,12:50 PM,06:40 AM,07:31 PM,13,22,22,22,12,64,61,4.8,1011,26,10,78,9
2020-02-16,28,20,0.0,11.6,1,1,38,12:24 AM,01:51 PM,06:41 AM,07:31 PM,13,24,24,24,15,19,52,0.1,1011,28,10,134,11
2020-02-17,25,18,0.0,6.4,1,1,30,01:10 AM,02:50 PM,06:41 AM,07:30 PM,15,21,21,21,21,66,69,11.9,1012,25,9,128,14
2020-02-18,27,15,0.0,6.4,1,1,22,01:59 AM,03:47 PM,06:42 AM,07:29 PM,15,21,21,20,15,80,71,49.1,1012,27,7,141,9
2020-02-19,26,18,0.0,6.4,1,1,15,02:50 AM,04:41 PM,06:42 AM,07:29 PM,16,22,22,21,17,69,73,53.9,1011,26,7,123,9
2020-02-20,25,18,0.0,6.4,1,1,7,03:44 AM,05:32 PM,06:43 AM,07:28 PM,16,21,21,21,14,68,77,62.5,1012,25,7,153,9
2020-02-21,25,18,0.0,6.4,1,1,0,04:38 AM,06:17 PM,06:43 AM,07:27 PM,16,22,22,21,17,76,77,43.3,1012,25,7,25,11
2020-02-22,24,19,0.0,7.7,1,1,0,05:32 AM,06:59 PM,06:44 AM,07:26 PM,16,21,21,21,16,67,76,47.4,1012,24,7,218,9
2020-02-23,24,19,0.0,6.4,1,1,0,06:25 AM,07:38 PM,06:44 AM,07:26 PM,16,22,22,21,16,81,74,61.9,1012,24,6,135,9
2020-02-24,25,17,0.0,9.0,1,1,0,07:17 AM,08:13 PM,06:45 AM,07:25 PM,15,21,21,20,26,52,73,9.2,1013,25,9,89,19
2020-02-25,23,16,0.0,6.4,1,1,8,08:07 AM,08:46 PM,06:45 AM,07:24 PM,15,19,20,19,23,68,78,15.9,1013,23,8,55,16
2020-02-26,23,16,0.0,9.0,1,1,15,08:56 AM,09:19 PM,06:46 AM,07:23 PM,14,19,19,19,18,54,76,10.1,1011,23,10,210,12
2020-02-27,25,16,0.0,6.4,1,1,23,09:45 AM,09:51 PM,06:46 AM,07:22 PM,15,21,21,20,13,65,71,20.7,1012,25,7,73,8
2020-02-28,25,18,0.0,6.4,1,1,30,10:34 AM,10:25 PM,06:47 AM,07:21 PM,15,22,22,21,18,63,72,29.9,1012,25,7,51,12
2020-02-29,23,16,0.0,6.4,1,1,38,11:25 AM,11:00 PM,06:47 AM,07:21 PM,15,19,20,19,25,76,79,25.4,1013,23,8,59,17
2020-03-01,20,16,0.0,6.4,1,1,44,12:16 PM,11:39 PM,06:48 AM,07:20 PM,15,17,17,17,21,68,86,11.1,1014,20,10,105,16
2020-03-02,22,16,0.0,7.7,1,1,51,01:10 PM,No moonset,06:48 AM,07:19 PM,14,18,19,18,19,60,77,7.3,1015,22,9,102,14
2020-03-03,24,14,0.0,10.3,1,1,58,02:06 PM,12:21 AM,06:49 AM,07:18 PM,12,19,19,19,22,31,68,0.1,1015,24,10,72,16
2020-03-04,24,15,0.0,10.3,1,1,65,03:03 PM,01:10 AM,06:49 AM,07:17 PM,12,19,20,19,22,38,65,0.7,1016,24,10,45,16
2020-03-05,24,15,0.0,11.6,1,1,73,04:00 PM,02:04 AM,06:50 AM,07:16 PM,11,19,20,19,27,19,61,0.0,1016,24,10,59,19
2020-03-06,24,14,0.0,11.6,1,1,80,04:56 PM,03:03 AM,06:50 AM,07:15 PM,7,19,19,19,24,6,47,0.0,1016,24,10,75,16
2020-03-07,24,15,0.0,11.6,1,1,87,05:49 PM,04:07 AM,06:50 AM,07:14 PM,7,19,20,19,17,6,47,0.0,1016,24,10,60,12
2020-03-08,26,15,0.0,11.6,1,1,95,06:38 PM,05:13 AM,06:51 AM,07:14 PM,6,21,21,21,14,3,41,0.0,1015,26,10,198,9
2020-03-09,27,16,0.0,11.6,1,1,100,07:24 PM,06:19 AM,06:51 AM,07:13 PM,6,23,23,23,7,2,37,0.0,1013,27,10,210,5
2020-03-10,27,17,0.0,11.6,1,1,100,08:08 PM,07:25 AM,06:52 AM,07:12 PM,7,22,22,22,16,4,39,0.0,1011,27,10,325,10
2020-03-11,27,16,0.0,11.6,1,1,84,08:51 PM,08:30 AM,06:52 AM,07:11 PM,6,22,22,22,13,3,36,0.0,1011,27,10,320,8
