date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,16,5,0.0,8.7,1,1,80,02:28 PM,03:19 AM,06:56 AM,05:24 PM,6,10,10,10,5,27,77,1.0,1018,16,10,247,3
2020-01-08,16,8,0.0,5.6,1,1,88,03:13 PM,04:17 AM,06:56 AM,05:25 PM,5,10,10,10,4,68,72,3.1,1017,16,9,111,3
2020-01-09,13,7,0.0,4.0,1,1,95,04:04 PM,05:18 AM,06:56 AM,05:26 PM,7,10,10,10,4,71,82,11.5,1017,13,9,171,3
2020-01-10,14,5,0.0,7.1,1,1,100,05:01 PM,06:18 AM,06:56 AM,05:26 PM,6,9,9,9,5,29,81,0.4,1019,14,10,245,3
2020-01-11,16,7,0.0,8.7,1,1,100,06:04 PM,07:17 AM,06:56 AM,05:27 PM,6,10,10,10,5,12,77,0.0,1019,16,10,232,3
2020-01-12,18,7,0.0,8.7,1,1,83,07:10 PM,08:11 AM,06:56 AM,05:28 PM,7,12,11,12,5,11,74,0.0,1016,18,10,240,3
2020-01-13,19,9,0.0,8.7,1,1,76,08:16 PM,09:01 AM,06:56 AM,05:29 PM,8,13,13,13,5,7,72,0.0,1014,19,10,252,3
2020-01-14,20,10,0.0,8.7,1,1,69,09:23 PM,09:45 AM,06:56 AM,05:30 PM,7,14,14,14,4,4,66,0.0,1017,20,10,272,3
2020-01-15,20,10,0.0,8.7,1,1,61,10:27 PM,10:26 AM,06:56 AM,05:30 PM,6,14,14,14,4,3,63,0.0,1018,20,10,276,3
2020-01-16,18,8,0.0,7.1,1,1,54,11:30 PM,11:04 AM,06:56 AM,05:31 PM,6,12,12,12,6,46,70,7.2,1017,18,9,288,4
2020-01-17,12,8,0.0,4.0,1,1,47,No moonrise,11:42 AM,06:56 AM,05:32 PM,8,9,9,9,10,80,91,39.7,1018,12,7,164,6
2020-01-18,17,7,0.0,5.6,1,1,40,12:32 AM,12:19 PM,06:55 AM,05:33 PM,5,11,11,11,7,47,66,0.4,1020,17,10,245,4
2020-01-19,16,7,0.0,8.7,1,1,32,01:34 AM,12:59 PM,06:55 AM,05:34 PM,4,10,10,10,5,26,65,1.1,1019,16,10,212,4
2020-01-20,15,6,0.0,8.7,1,1,25,02:35 AM,01:42 PM,06:55 AM,05:34 PM,4,10,10,10,4,17,67,0.1,1019,15,10,262,3
2020-01-21,15,6,0.0,8.7,1,1,18,03:37 AM,02:27 PM,06:55 AM,05:35 PM,2,10,11,10,5,22,56,0.0,1021,15,10,276,3
2020-01-22,19,9,0.0,8.7,1,1,11,04:36 AM,03:18 PM,06:55 AM,05:36 PM,3,13,13,13,6,1,52,0.0,1020,19,10,263,4
2020-01-23,18,6,0.0,8.7,1,1,3,05:34 AM,04:11 PM,06:54 AM,05:37 PM,3,10,11,10,5,14,62,0.0,1017,18,10,230,4
2020-01-24,15,5,0.0,8.7,1,1,0,06:26 AM,05:07 PM,06:54 AM,05:38 PM,4,9,9,9,6,14,75,0.0,1019,15,10,202,4
2020-01-25,15,5,0.0,8.7,1,1,0,07:13 AM,06:03 PM,06:54 AM,05:39 PM,5,9,9,9,4,14,73,0.0,1018,15,10,243,3
2020-01-26,12,4,0.0,7.2,1,1,4,07:55 AM,06:58 PM,06:53 AM,05:39 PM,5,8,8,8,6,50,83,3.7,1016,12,10,226,4
2020-01-27,14,4,0.0,7.2,1,1,11,08:33 AM,07:53 PM,06:53 AM,05:40 PM,5,8,8,8,5,48,81,0.3,1014,14,10,195,3
2020-01-28,18,7,0.0,8.7,1,1,18,09:08 AM,08:45 PM,06:53 AM,05:41 PM,5,12,12,12,6,8,67,0.0,1016,18,10,248,4
2020-01-29,19,7,0.0,7.2,1,1,26,09:40 AM,09:37 PM,06:52 AM,05:42 PM,4,12,12,12,6,41,64,2.7,1019,19,10,229,4
2020-01-30,16,7,0.0,5.6,1,1,33,10:10 AM,10:28 PM,06:52 AM,05:43 PM,5,10,10,10,5,56,72,4.8,1017,16,9,233,4
2020-01-31,16,6,0.0,8.7,1,1,37,10:40 AM,11:19 PM,06:51 AM,05:43 PM,5,10,10,10,5,29,76,0.1,1016,16,10,220,3
2020-02-01,13,5,0.0,5.6,1,1,49,11:12 AM,No moonset,06:51 AM,05:44 PM,5,8,8,8,6,62,80,6.0,1019,13,9,206,4
2020-02-02,15,4,0.0,8.7,1,1,57,11:45 AM,12:11 AM,06:50 AM,05:45 PM,4,9,9,9,4,34,74,0.2,1020,15,10,230,3
2020-02-03,16,5,0.0,8.7,1,1,64,12:21 PM,01:06 AM,06:50 AM,05:46 PM,4,9,9,9,5,20,73,0.0,1020,16,10,222,4
2020-02-04,17,5,0.0,8.7,1,1,72,01:02 PM,02:02 AM,06:49 AM,05:46 PM,5,10,10,10,5,15,74,0.0,1019,17,10,231,3
2020-02-05,16,5,0.0,7.2,1,1,79,01:49 PM,03:00 AM,06:49 AM,05:47 PM,4,10,10,10,5,31,71,0.9,1017,16,10,239,4
2020-02-06,15,5,0.0,7.2,1,1,87,02:42 PM,04:00 AM,06:48 AM,05:48 PM,5,9,9,9,6,43,75,1.4,1018,15,10,197,4
2020-02-07,17,4,0.0,8.7,1,1,95,03:43 PM,04:59 AM,06:47 AM,05:49 PM,5,9,10,9,5,21,70,0.0,1020,17,10,222,3
2020-02-08,14,6,0.0,7.2,1,1,100,04:48 PM,05:56 AM,06:47 AM,05:49 PM,3,9,10,9,7,51,63,0.6,1023,14,10,177,5
2020-02-09,17,6,0.0,8.7,1,1,100,05:56 PM,06:48 AM,06:46 AM,05:50 PM,2,10,10,10,6,8,59,0.0,1024,17,10,257,4
2020-02-10,18,8,0.0,8.7,1,1,83,07:05 PM,07:37 AM,06:45 AM,05:51 PM,3,12,12,12,5,7,57,0.0,1020,18,10,209,4
2020-02-11,19,8,0.0,8.7,1,1,75,08:12 PM,08:20 AM,06:45 AM,05:52 PM,5,12,12,12,5,10,66,0.0,1019,19,10,219,4
2020-02-12,19,8,0.0,8.7,1,1,68,09:18 PM,09:01 AM,06:44 AM,05:52 PM,7,13,13,13,5,12,71,0.0,1018,19,10,221,4
2020-02-13,21,9,0.0,8.7,1,1,60,10:23 PM,09:40 AM,06:43 AM,05:53 PM,8,14,14,14,5,11,71,0.0,1015,21,10,220,3
2020-02-14,20,7,0.0,8.7,1,1,53,11:27 PM,10:18 AM,06:42 AM,05:54 PM,8,13,13,13,5,19,73,0.0,1011,20,10,215,3
2020-02-15,19,9,0.0,8.7,1,1,45,No moonrise,10:58 AM,06:42 AM,05:55 PM,8,13,13,13,6,22,72,0.0,1014,19,10,197,4
2020-02-16,18,8,0.0,4.2,1,1,38,12:29 AM,11:41 AM,06:41 AM,05:55 PM,9,13,13,13,4,52,78,0.3,1018,18,10,218,3
2020-02-17,18,8,0.0,5.7,1,1,30,01:32 AM,12:25 PM,06:40 AM,05:56 PM,9,13,13,13,5,66,79,1.7,1018,18,10,218,4
2020-02-18,20,8,0.0,8.7,1,1,22,02:32 AM,01:14 PM,06:39 AM,05:57 PM,9,13,13,13,5,50,78,0.1,1017,20,10,222,4
2020-02-19,17,11,0.0,4.2,1,1,15,03:29 AM,02:06 PM,06:38 AM,05:57 PM,10,14,14,14,5,60,78,4.7,1018,17,9,225,4
2020-02-20,19,11,0.0,7.2,1,1,7,04:22 AM,03:00 PM,06:37 AM,05:58 PM,10,14,14,14,6,50,75,1.3,1019,19,10,203,4
2020-02-21,19,10,0.0,4.2,1,1,0,05:10 AM,03:56 PM,06:36 AM,05:59 PM,8,13,13,13,9,62,73,7.3,1022,19,9,227,6
2020-02-22,20,10,0.0,7.2,1,1,0,05:54 AM,04:51 PM,06:36 AM,05:59 PM,7,14,14,14,7,51,64,2.3,1022,20,10,230,5
2020-02-23,20,11,0.0,7.3,1,1,0,06:32 AM,05:46 PM,06:35 AM,06:00 PM,7,14,14,14,8,50,63,4.0,1020,20,10,192,5
2020-02-24,22,9,0.0,8.7,1,1,0,07:08 AM,06:38 PM,06:34 AM,06:01 PM,7,14,14,14,8,30,63,6.2,1017,22,10,223,5
2020-02-25,17,8,0.0,5.8,1,1,8,07:40 AM,07:31 PM,06:33 AM,06:01 PM,6,11,12,11,10,74,71,17.8,1016,17,8,141,6
2020-02-26,13,7,0.0,5.9,1,1,15,08:11 AM,08:22 PM,06:32 AM,06:02 PM,7,10,10,10,5,60,80,7.4,1016,13,9,108,3
2020-02-27,19,6,0.0,11.6,1,1,23,08:41 AM,09:13 PM,06:31 AM,06:02 PM,6,12,12,12,5,12,69,0.0,1017,19,10,244,4
2020-02-28,20,9,0.0,11.6,1,1,30,09:12 AM,10:04 PM,06:30 AM,06:03 PM,8,14,14,14,5,12,68,0.0,1017,20,10,223,4
2020-02-29,21,11,0.0,8.7,1,1,38,09:44 AM,10:57 PM,06:29 AM,06:04 PM,9,15,16,15,7,41,68,4.1,1016,21,10,205,5
2020-03-01,22,11,0.0,8.7,1,1,44,10:18 AM,11:52 PM,06:28 AM,06:04 PM,9,16,16,16,7,46,67,9.1,1016,22,10,204,5
2020-03-02,22,12,0.0,10.2,1,1,51,10:56 AM,No moonset,06:27 AM,06:05 PM,7,16,16,16,6,30,61,0.6,1014,22,10,229,4
2020-03-03,20,11,0.0,5.9,1,1,58,11:39 AM,12:47 AM,06:26 AM,06:05 PM,7,15,14,15,7,59,64,4.7,1013,20,9,227,5
2020-03-04,20,11,0.0,8.8,1,1,65,12:28 PM,01:45 AM,06:25 AM,06:06 PM,6,15,15,15,7,30,57,0.7,1014,20,10,193,5
2020-03-05,21,11,0.0,8.8,1,1,73,01:24 PM,02:43 AM,06:24 AM,06:07 PM,6,15,15,15,7,46,55,1.7,1015,21,10,187,4
2020-03-06,20,10,0.0,7.3,1,1,80,02:25 PM,03:40 AM,06:23 AM,06:07 PM,6,15,15,15,7,59,56,4.0,1016,20,10,196,5
2020-03-07,17,10,0.0,7.3,1,1,87,03:32 PM,04:33 AM,06:22 AM,06:08 PM,8,14,14,14,6,70,69,9.0,1016,17,8,91,4
2020-03-08,21,10,0.0,11.6,1,1,95,04:40 PM,05:23 AM,06:21 AM,06:08 PM,6,15,15,15,6,5,56,0.0,1014,21,10,267,4
2020-03-09,22,11,0.0,11.6,1,1,100,05:49 PM,06:09 AM,06:19 AM,06:09 PM,7,16,16,16,5,7,59,0.0,1013,22,10,230,4
2020-03-10,21,11,0.0,8.8,1,1,100,06:57 PM,06:52 AM,06:18 AM,06:10 PM,9,16,16,16,6,47,66,2.1,1014,21,10,215,4
2020-03-11,24,11,0.0,11.6,1,1,84,08:04 PM,07:33 AM,06:17 AM,06:10 PM,8,17,17,17,6,16,57,0.0,1014,24,10,247,4
2020-03-12,25,13,0.0,11.6,1,1,76,09:11 PM,08:12 AM,06:16 AM,06:11 PM,7,19,19,19,6,6,50,0.0,1017,25,10,243,4
2020-03-13,19,14,0.0,7.4,1,1,69,10:17 PM,08:53 AM,06:15 AM,06:11 PM,7,16,16,16,7,41,57,3.3,1019,19,10,55,5
2020-03-14,21,11,0.0,6.0,1,1,62,11:23 PM,09:36 AM,06:14 AM,06:12 PM,9,15,15,15,7,57,70,9.4,1018,21,9,185,5
2020-03-15,22,10,0.0,10.2,1,1,55,No moonrise,10:21 AM,06:13 AM,06:12 PM,6,15,15,15,8,52,61,6.5,1017,22,10,197,5
2020-03-16,22,10,0.0,11.6,1,1,47,12:25 AM,11:10 AM,06:12 AM,06:13 PM,6,16,17,16,6,4,51,0.0,1018,22,10,218,5
