date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,8,3,0.0,8.0,1,1,80,02:10 PM,05:06 AM,08:47 AM,04:45 PM,5,3,6,3,26,64,91,0.2,1023,8,7,215,16
2020-01-08,11,8,0.0,3.0,1,1,88,02:44 PM,06:18 AM,08:46 AM,04:46 PM,8,8,10,8,25,87,91,0.6,1021,11,9,252,16
2020-01-09,12,8,0.0,3.0,1,1,95,03:29 PM,07:29 AM,08:46 AM,04:47 PM,10,9,11,9,35,95,91,5.8,1012,12,7,211,22
2020-01-10,8,3,0.0,3.0,1,1,100,04:26 PM,08:32 AM,08:45 AM,04:49 PM,5,5,8,5,21,77,84,4.1,1017,8,10,319,14
2020-01-11,6,-2,0.0,4.9,1,1,100,05:37 PM,09:25 AM,08:44 AM,04:50 PM,3,1,4,1,30,59,86,0.0,1028,6,10,213,19
2020-01-12,10,5,0.0,3.0,1,1,83,06:56 PM,10:07 AM,08:44 AM,04:52 PM,4,3,7,3,38,68,84,0.3,1019,10,10,229,24
2020-01-13,8,1,0.0,6.8,1,1,76,08:19 PM,10:40 AM,08:43 AM,04:53 PM,5,3,6,3,31,72,89,0.3,1014,8,10,193,20
2020-01-14,10,3,0.0,3.0,1,1,69,09:44 PM,11:07 AM,08:42 AM,04:55 PM,7,5,9,5,53,99,83,6.9,1002,10,8,207,34
2020-01-15,10,6,0.0,3.1,1,1,61,11:07 PM,11:29 AM,08:41 AM,04:56 PM,6,6,9,6,45,73,78,6.1,1008,10,9,215,28
2020-01-16,9,4,0.0,8.2,1,1,54,No moonrise,11:49 AM,08:40 AM,04:58 PM,5,4,7,4,29,14,87,0.0,1021,9,10,169,17
2020-01-17,9,7,0.0,3.2,1,1,47,12:28 AM,12:09 PM,08:40 AM,05:00 PM,6,5,8,5,32,76,87,1.8,1013,9,9,204,19
2020-01-18,7,4,0.0,3.2,1,1,40,01:49 AM,12:30 PM,08:39 AM,05:01 PM,2,2,5,2,27,75,81,1.2,1023,7,10,273,17
2020-01-19,8,4,0.0,8.7,1,1,32,03:08 AM,12:53 PM,08:38 AM,05:03 PM,2,2,5,2,22,33,82,0.2,1038,8,10,237,13
2020-01-20,7,3,0.0,8.7,1,1,25,04:26 AM,01:22 PM,08:36 AM,05:05 PM,2,4,5,4,9,26,83,0.0,1047,7,10,232,5
2020-01-21,7,2,0.0,8.7,1,1,18,05:41 AM,01:57 PM,08:35 AM,05:06 PM,2,2,4,2,14,10,84,0.0,1042,7,10,232,9
2020-01-22,7,3,0.0,3.3,1,1,11,06:48 AM,02:41 PM,08:34 AM,05:08 PM,4,4,5,4,9,66,94,0.3,1036,7,5,259,5
2020-01-23,8,4,0.0,6.9,1,1,3,07:47 AM,03:35 PM,08:33 AM,05:10 PM,5,5,6,5,6,45,91,0.0,1032,8,7,98,4
2020-01-24,6,2,0.0,8.7,1,1,0,08:33 AM,04:36 PM,08:32 AM,05:12 PM,1,2,3,2,9,11,84,0.0,1023,6,10,226,6
2020-01-25,8,1,0.0,8.7,1,1,0,09:11 AM,05:43 PM,08:30 AM,05:13 PM,-1,1,3,1,12,15,75,0.0,1021,8,10,203,8
2020-01-26,7,1,0.0,8.7,1,1,4,09:40 AM,06:51 PM,08:29 AM,05:15 PM,2,0,3,0,25,55,90,0.0,1014,7,9,191,14
2020-01-27,9,7,0.0,3.3,1,1,11,10:02 AM,08:00 PM,08:28 AM,05:17 PM,6,5,8,5,31,93,89,5.7,1003,9,9,205,19
2020-01-28,6,-1,0.0,3.3,1,1,18,10:21 AM,09:08 PM,08:26 AM,05:19 PM,2,1,5,1,36,80,80,11.6,993,6,9,264,23
2020-01-29,6,4,0.0,3.4,1,1,26,10:38 AM,10:14 PM,08:25 AM,05:21 PM,1,1,5,1,31,80,78,0.4,1005,6,10,270,19
2020-01-30,9,2,0.0,5.1,1,1,33,10:54 AM,11:21 PM,08:24 AM,05:23 PM,6,3,7,3,36,79,87,0.3,1006,9,10,208,23
2020-01-31,11,5,0.0,3.4,1,1,37,11:10 AM,No moonset,08:22 AM,05:24 PM,8,7,10,7,39,96,85,0.1,1006,11,10,235,25
2020-02-01,12,8,0.0,3.4,1,1,49,11:27 AM,12:28 AM,08:20 AM,05:26 PM,7,7,10,7,41,96,78,2.8,1003,12,7,255,26
2020-02-02,11,7,0.0,3.4,1,1,57,11:46 AM,01:36 AM,08:19 AM,05:28 PM,6,6,8,6,32,90,85,2.7,1007,11,9,204,20
2020-02-03,9,7,0.0,3.4,1,1,64,12:09 PM,02:45 AM,08:17 AM,05:30 PM,5,6,9,6,35,80,79,2.2,1011,9,10,266,22
2020-02-04,6,4,0.0,3.4,1,1,72,12:38 PM,03:56 AM,08:16 AM,05:32 PM,2,2,5,2,27,71,81,2.4,1014,6,10,282,17
2020-02-05,8,3,0.0,8.7,1,1,79,01:16 PM,05:07 AM,08:14 AM,05:34 PM,3,4,5,4,11,9,82,0.0,1034,8,10,270,7
2020-02-06,10,3,0.0,8.7,1,1,87,02:07 PM,06:13 AM,08:12 AM,05:36 PM,4,5,6,5,11,22,88,0.0,1031,10,8,261,7
2020-02-07,8,2,0.0,8.7,1,1,95,03:11 PM,07:11 AM,08:11 AM,05:37 PM,2,2,5,2,20,6,82,0.0,1025,8,10,135,13
2020-02-08,10,3,0.0,3.5,1,1,100,04:27 PM,07:59 AM,08:09 AM,05:39 PM,5,3,6,3,27,79,88,4.0,1017,10,10,206,17
2020-02-09,12,6,0.0,3.5,1,1,100,05:52 PM,08:36 AM,08:07 AM,05:41 PM,6,5,9,5,62,93,81,10.8,1001,12,9,208,39
2020-02-10,8,4,0.0,5.2,1,1,83,07:19 PM,09:07 AM,08:05 AM,05:43 PM,2,3,7,3,54,86,69,11.8,993,8,9,257,34
2020-02-11,6,3,0.0,3.5,1,1,75,08:45 PM,09:31 AM,08:03 AM,05:45 PM,-2,-1,5,-1,52,61,61,0.8,1002,6,10,267,32
2020-02-12,6,3,0.0,3.5,1,1,68,10:10 PM,09:53 AM,08:02 AM,05:47 PM,-1,0,4,0,36,71,67,0.6,1011,6,10,265,22
2020-02-13,8,3,0.0,3.6,1,1,60,11:35 PM,10:13 AM,08:00 AM,05:49 PM,3,2,5,2,30,91,87,5.1,1002,8,8,193,19
2020-02-14,9,3,0.0,8.7,1,1,53,No moonrise,10:34 AM,07:58 AM,05:50 PM,4,4,6,4,21,51,86,0.1,1016,9,10,243,13
2020-02-15,12,7,0.0,3.7,1,1,45,12:56 AM,10:57 AM,07:56 AM,05:52 PM,6,6,9,6,41,89,83,0.0,1014,12,10,204,26
2020-02-16,14,8,0.0,3.8,1,1,38,02:16 AM,11:24 AM,07:54 AM,05:54 PM,8,9,13,9,65,100,76,8.7,1000,14,9,214,41
2020-02-17,9,6,0.0,5.4,1,1,30,03:33 AM,11:57 AM,07:52 AM,05:56 PM,3,3,7,3,43,61,72,6.3,1009,9,9,230,26
2020-02-18,8,5,0.0,3.8,1,1,22,04:42 AM,12:38 PM,07:50 AM,05:58 PM,3,3,7,3,40,86,76,2.6,1017,8,10,244,25
2020-02-19,7,1,0.0,5.3,1,1,15,05:43 AM,01:28 PM,07:48 AM,06:00 PM,2,2,6,2,32,92,77,2.5,1017,7,9,270,21
2020-02-20,9,5,0.0,5.3,1,1,7,06:32 AM,02:26 PM,07:46 AM,06:01 PM,5,4,8,4,42,94,81,3.1,1012,9,9,214,27
2020-02-21,9,4,0.0,5.3,1,1,0,07:12 AM,03:31 PM,07:44 AM,06:03 PM,2,3,7,3,37,88,75,2.1,1021,9,10,242,23
