date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,15,12,0.0,11.4,1,1,80,05:19 PM,02:51 AM,05:56 AM,08:57 PM,7,12,13,12,27,56,67,1.3,1008,15,10,182,21
2020-01-08,15,9,0.0,11.4,1,1,88,06:24 PM,03:26 AM,05:57 AM,08:57 PM,7,12,14,12,16,58,64,0.0,1016,15,10,149,13
2020-01-09,17,13,0.0,14.5,1,1,95,07:29 PM,04:06 AM,05:58 AM,08:57 PM,10,14,15,14,26,27,74,0.0,1015,17,10,261,19
2020-01-10,18,14,0.0,14.5,1,1,100,08:30 PM,04:56 AM,05:59 AM,08:56 PM,11,15,15,15,20,22,78,0.0,1017,18,10,274,14
2020-01-11,17,13,0.0,14.5,1,1,100,09:26 PM,05:54 AM,06:00 AM,08:56 PM,11,14,15,14,55,12,76,0.0,1015,17,10,345,41
2020-01-12,18,16,0.0,9.4,1,1,83,10:14 PM,07:01 AM,06:01 AM,08:56 PM,14,17,17,17,61,49,83,0.3,1013,18,10,330,44
2020-01-13,16,15,0.0,8.4,1,1,76,10:55 PM,08:13 AM,06:02 AM,08:56 PM,12,14,15,14,41,77,82,13.4,1016,16,9,162,30
2020-01-14,15,12,0.0,11.6,1,1,69,11:31 PM,09:28 AM,06:03 AM,08:55 PM,8,12,14,12,31,15,69,0.0,1024,15,10,148,24
2020-01-15,15,10,0.0,11.6,1,1,61,No moonrise,10:41 AM,06:04 AM,08:55 PM,7,11,13,11,25,15,68,0.0,1023,15,10,155,20
2020-01-16,17,12,0.0,10.5,1,1,54,12:03 AM,11:54 AM,06:06 AM,08:54 PM,9,13,14,13,27,35,73,0.0,1023,17,10,150,21
2020-01-17,17,12,0.0,11.6,1,1,47,12:32 AM,01:05 PM,06:07 AM,08:54 PM,10,14,14,14,21,6,74,0.0,1021,17,10,146,16
2020-01-18,17,10,0.0,11.6,1,1,40,01:02 AM,02:15 PM,06:08 AM,08:53 PM,10,14,14,14,22,9,79,0.0,1019,17,10,148,17
2020-01-19,18,13,0.0,9.4,1,1,32,01:32 AM,03:26 PM,06:09 AM,08:53 PM,14,15,16,15,27,61,90,0.3,1017,18,9,164,19
2020-01-20,20,15,0.0,11.6,1,1,25,02:04 AM,04:34 PM,06:10 AM,08:52 PM,15,17,17,17,18,29,84,0.0,1016,20,8,162,13
2020-01-21,21,14,0.0,11.6,1,1,18,02:41 AM,05:41 PM,06:11 AM,08:51 PM,14,18,18,18,9,13,80,0.0,1015,21,10,166,6
2020-01-22,18,16,0.0,11.6,1,1,11,03:24 AM,06:44 PM,06:13 AM,08:51 PM,15,17,17,17,42,30,86,0.0,1013,18,10,356,31
2020-01-23,20,16,0.0,10.5,1,1,3,04:12 AM,07:41 PM,06:14 AM,08:50 PM,15,18,18,18,44,44,86,0.2,1013,20,10,91,32
2020-01-24,21,16,0.0,9.4,1,1,0,05:06 AM,08:30 PM,06:15 AM,08:49 PM,16,18,18,18,22,53,87,1.3,1016,21,7,260,16
2020-01-25,21,16,0.0,10.5,1,1,0,06:04 AM,09:12 PM,06:16 AM,08:49 PM,15,18,18,18,40,21,81,0.0,1015,21,10,93,28
2020-01-26,21,16,0.0,10.5,1,1,4,07:05 AM,09:48 PM,06:18 AM,08:48 PM,16,18,18,18,26,28,86,0.0,1017,21,8,251,17
2020-01-27,19,18,0.0,11.6,1,1,11,08:06 AM,10:18 PM,06:19 AM,08:47 PM,17,19,19,19,58,30,89,0.0,1014,19,10,350,41
