date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,38,21,0.0,11.6,1,1,80,03:34 PM,03:33 AM,06:49 AM,06:26 PM,4,30,30,30,14,6,22,0.0,1010,38,10,152,8
2020-01-08,40,22,0.0,11.6,1,1,88,04:25 PM,04:26 AM,06:49 AM,06:26 PM,6,32,32,32,14,8,22,0.0,1011,40,10,139,8
2020-01-09,42,23,0.0,11.6,1,1,95,05:20 PM,05:23 AM,06:49 AM,06:27 PM,5,33,33,32,16,4,19,0.0,1011,42,10,69,9
2020-01-10,38,23,0.0,11.6,1,1,100,06:19 PM,06:21 AM,06:50 AM,06:27 PM,6,32,32,31,11,8,23,0.0,1011,38,10,192,6
2020-01-11,38,23,0.0,11.6,1,1,100,07:20 PM,07:21 AM,06:50 AM,06:28 PM,7,31,31,31,9,5,25,0.0,1011,38,10,197,6
2020-01-12,38,23,0.0,11.6,1,1,83,08:21 PM,08:18 AM,06:50 AM,06:28 PM,6,31,31,31,14,4,23,0.0,1011,38,10,166,8
2020-01-13,42,24,0.0,11.6,1,1,76,09:21 PM,09:13 AM,06:51 AM,06:29 PM,7,33,33,32,9,4,24,0.0,1009,42,10,158,5
2020-01-14,39,22,0.0,11.6,1,1,69,10:18 PM,10:04 AM,06:51 AM,06:29 PM,5,32,32,31,9,1,21,0.0,1009,39,10,176,6
2020-01-15,40,24,0.0,11.6,1,1,61,11:13 PM,10:53 AM,06:51 AM,06:30 PM,2,32,32,32,18,0,17,0.0,1009,40,10,121,11
2020-01-16,39,22,0.0,11.6,1,1,54,No moonrise,11:40 AM,06:51 AM,06:30 PM,-1,31,31,30,22,0,15,0.0,1011,39,10,44,14
2020-01-17,40,21,0.0,11.6,1,1,47,12:07 AM,12:25 PM,06:52 AM,06:31 PM,-1,30,30,30,17,0,15,0.0,1012,40,10,159,10
2020-01-18,38,19,0.0,11.6,1,1,40,01:00 AM,01:12 PM,06:52 AM,06:31 PM,0,30,30,30,15,1,18,0.0,1012,38,10,177,8
2020-01-19,37,20,0.0,11.6,1,1,32,01:54 AM,01:59 PM,06:52 AM,06:32 PM,3,30,30,29,17,1,22,0.0,1011,37,10,153,10
2020-01-20,39,19,0.0,11.6,1,1,25,02:49 AM,02:49 PM,06:52 AM,06:32 PM,4,30,30,30,11,1,23,0.0,1010,39,10,158,6
2020-01-21,41,21,0.0,11.6,1,1,18,03:45 AM,03:41 PM,06:52 AM,06:32 PM,4,32,32,31,10,1,21,0.0,1011,41,10,207,5
2020-01-22,41,25,0.0,11.6,1,1,11,04:40 AM,04:34 PM,06:52 AM,06:33 PM,1,33,33,33,20,0,15,0.0,1011,41,10,167,12
