date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,0,-5,0.0,5.8,1,1,80,01:08 PM,05:19 AM,09:15 AM,03:32 PM,1,-2,0,-2,21,62,93,0.0,1007,0,6,212,13
2020-01-08,5,-5,0.0,5.8,1,1,88,01:32 PM,06:42 AM,09:14 AM,03:34 PM,-0,-1,3,-1,32,25,77,0.0,999,5,10,232,18
2020-01-09,0,-8,0.0,3.7,1,1,95,02:08 PM,08:01 AM,09:13 AM,03:36 PM,-2,-2,-1,-2,9,41,85,0.2,1009,0,9,128,5
2020-01-10,-1,-9,0.6,5.8,1,1,100,03:04 PM,09:08 AM,09:12 AM,03:38 PM,-6,-5,-2,-5,9,25,74,0.6,1015,-1,9,336,6
2020-01-11,5,-3,0.0,1.6,1,1,100,04:20 PM,09:56 AM,09:10 AM,03:40 PM,0,-2,3,-2,35,96,83,0.2,1007,5,10,198,20
2020-01-12,2,-8,0.0,5.8,1,1,83,05:50 PM,10:28 AM,09:09 AM,03:42 PM,-2,-2,1,-2,20,23,79,0.0,1001,2,10,243,10
2020-01-13,1,-6,0.0,5.8,1,1,76,07:26 PM,10:50 AM,09:08 AM,03:44 PM,-2,-3,-1,-3,11,23,86,0.1,1006,1,10,193,7
2020-01-14,3,-1,8.7,3.7,1,1,69,09:02 PM,11:05 AM,09:06 AM,03:46 PM,1,-2,2,-2,31,78,90,11.3,992,3,6,203,19
2020-01-15,3,-7,3.0,5.8,1,1,61,10:36 PM,11:17 AM,09:05 AM,03:48 PM,-0,-2,2,-2,25,41,84,4.9,991,3,9,207,14
2020-01-16,4,-4,0.0,5.8,1,1,54,No moonrise,11:27 AM,09:03 AM,03:51 PM,0,-2,2,-2,22,28,87,0.0,1008,4,10,207,13
2020-01-17,5,-1,0.0,1.6,1,1,47,12:09 AM,11:37 AM,09:02 AM,03:53 PM,4,1,4,1,20,100,97,5.3,1010,5,6,185,12
2020-01-18,3,2,0.0,2.5,1,1,40,01:41 AM,11:47 AM,09:00 AM,03:55 PM,2,2,3,2,9,75,94,1.7,1004,3,6,225,5
2020-01-19,1,-7,0.0,7.0,1,1,32,03:12 AM,12:00 PM,08:58 AM,03:57 PM,-5,-3,-0,-3,12,13,70,0.0,1027,1,10,305,6
