date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,23,21,0.0,5.6,1,1,80,02:40 PM,03:19 AM,06:49 AM,05:34 PM,13,25,25,22,27,39,57,0.0,1017,23,10,324,22
2020-01-08,23,20,0.0,8.7,1,1,88,03:26 PM,04:16 AM,06:49 AM,05:35 PM,12,23,23,21,25,5,57,0.0,1018,23,10,113,20
2020-01-09,24,20,0.0,8.7,1,1,95,04:18 PM,05:16 AM,06:49 AM,05:36 PM,14,23,23,22,27,11,61,0.0,1017,24,10,121,22
2020-01-10,24,22,0.0,5.6,1,1,100,05:17 PM,06:15 AM,06:50 AM,05:37 PM,16,25,25,23,34,40,66,0.3,1014,24,10,122,27
2020-01-11,26,18,0.0,7.2,1,1,100,06:19 PM,07:14 AM,06:50 AM,05:37 PM,17,23,23,22,36,44,74,23.1,1010,26,9,233,28
2020-01-12,21,19,0.0,7.2,1,1,83,07:24 PM,08:09 AM,06:50 AM,05:38 PM,10,20,20,20,50,59,56,7.1,1015,21,10,290,42
2020-01-13,20,18,0.0,7.2,1,1,76,08:29 PM,08:59 AM,06:50 AM,05:39 PM,10,19,19,19,14,44,56,1.4,1017,20,10,334,11
2020-01-14,21,19,0.0,8.7,1,1,69,09:33 PM,09:46 AM,06:50 AM,05:39 PM,11,20,20,20,15,11,55,0.0,1016,21,10,306,12
2020-01-15,18,11,0.0,4.1,1,1,61,10:35 PM,10:28 AM,06:50 AM,05:40 PM,11,17,17,17,32,78,66,10.3,1019,18,9,50,22
2020-01-16,19,16,0.0,8.7,1,1,54,11:36 PM,11:09 AM,06:50 AM,05:41 PM,6,18,18,18,16,2,47,0.0,1022,19,10,332,12
2020-01-17,20,17,0.0,8.7,1,1,47,No moonrise,11:48 AM,06:50 AM,05:42 PM,6,19,19,19,13,0,44,0.0,1021,20,10,338,9
2020-01-18,21,17,0.0,8.7,1,1,40,12:35 AM,12:28 PM,06:50 AM,05:42 PM,8,19,20,19,8,0,47,0.0,1019,21,10,98,6
2020-01-19,23,18,0.0,8.7,1,1,32,01:36 AM,01:09 PM,06:50 AM,05:43 PM,12,21,21,21,16,0,57,0.0,1018,23,10,112,12
2020-01-20,23,19,0.0,8.7,1,1,25,02:35 AM,01:54 PM,06:50 AM,05:44 PM,13,21,23,21,9,2,59,0.0,1017,23,10,118,6
2020-01-21,24,21,0.0,8.7,1,1,18,03:36 AM,02:41 PM,06:49 AM,05:44 PM,15,24,24,22,18,11,62,0.0,1016,24,10,101,14
2020-01-22,24,20,0.0,8.7,1,1,11,04:34 AM,03:33 PM,06:49 AM,05:45 PM,16,24,24,22,33,16,69,0.1,1018,24,10,119,25
2020-01-23,24,21,0.0,8.7,1,1,3,05:30 AM,04:26 PM,06:49 AM,05:46 PM,17,24,24,22,35,3,70,0.0,1018,24,10,125,27
2020-01-24,24,21,0.0,8.7,1,1,0,06:22 AM,05:21 PM,06:49 AM,05:47 PM,15,24,24,22,10,20,64,0.0,1017,24,10,168,7
2020-01-25,23,21,0.0,7.2,1,1,0,07:10 AM,06:16 PM,06:49 AM,05:47 PM,17,25,25,22,8,53,74,0.2,1017,23,10,122,6
2020-01-26,22,18,0.0,5.7,1,1,4,07:53 AM,07:11 PM,06:48 AM,05:48 PM,14,21,22,21,28,56,64,6.3,1016,22,10,307,22
2020-01-27,20,17,0.0,7.2,1,1,11,08:32 AM,08:03 PM,06:48 AM,05:49 PM,9,19,19,19,29,31,53,1.4,1018,20,10,331,24
2020-01-28,20,19,0.0,7.2,1,1,18,09:08 AM,08:54 PM,06:48 AM,05:49 PM,8,20,20,20,19,22,48,0.1,1019,20,10,5,16
2020-01-29,21,17,0.0,8.7,1,1,26,09:42 AM,09:44 PM,06:47 AM,05:50 PM,6,19,19,19,8,2,43,0.0,1019,21,10,186,6
2020-01-30,22,18,0.0,8.7,1,1,33,10:14 AM,10:33 PM,06:47 AM,05:51 PM,9,20,21,20,6,1,48,0.0,1018,22,10,90,4
2020-01-31,22,19,0.0,8.7,1,1,37,10:46 AM,11:23 PM,06:47 AM,05:51 PM,10,21,22,21,11,0,50,0.0,1017,22,10,331,8
2020-02-01,23,19,0.0,8.7,1,1,49,11:19 AM,No moonset,06:46 AM,05:52 PM,11,21,22,21,12,1,54,0.0,1017,23,10,110,9
2020-02-02,24,20,0.0,8.7,1,1,57,11:54 AM,12:13 AM,06:46 AM,05:53 PM,14,23,23,22,15,9,62,0.0,1018,24,10,112,11
2020-02-03,24,21,0.0,8.7,1,1,64,12:32 PM,01:06 AM,06:46 AM,05:53 PM,14,23,23,22,17,2,60,0.0,1018,24,10,291,13
2020-02-04,22,19,0.0,8.7,1,1,72,01:15 PM,02:01 AM,06:45 AM,05:54 PM,10,20,21,20,17,2,52,0.0,1017,22,10,340,14
2020-02-05,22,18,0.0,8.7,1,1,79,02:03 PM,02:58 AM,06:45 AM,05:55 PM,10,20,21,20,5,0,52,0.0,1018,22,10,215,4
2020-02-06,22,19,0.0,8.7,1,1,87,02:58 PM,03:57 AM,06:44 AM,05:55 PM,11,21,22,21,7,0,52,0.0,1019,22,10,103,5
2020-02-07,23,19,0.0,8.7,1,1,95,03:59 PM,04:56 AM,06:44 AM,05:56 PM,10,21,22,21,7,0,48,0.0,1018,23,10,127,5
2020-02-08,24,20,0.0,8.7,1,1,100,05:03 PM,05:53 AM,06:43 AM,05:57 PM,13,23,23,22,19,0,57,0.0,1019,24,10,101,15
2020-02-09,25,21,0.0,8.7,1,1,100,06:10 PM,06:47 AM,06:43 AM,05:57 PM,14,24,24,23,25,4,60,0.0,1019,25,10,113,19
2020-02-10,25,22,0.0,8.7,1,1,83,07:16 PM,07:37 AM,06:42 AM,05:58 PM,16,25,25,23,23,7,64,0.0,1016,25,10,112,18
2020-02-11,24,22,0.0,8.7,1,1,75,08:21 PM,08:22 AM,06:41 AM,05:58 PM,17,25,25,23,17,6,67,0.0,1015,24,10,104,13
2020-02-12,23,21,0.0,7.2,1,1,68,09:25 PM,09:05 AM,06:41 AM,05:59 PM,16,22,23,22,24,47,71,0.5,1019,23,10,316,20
2020-02-13,21,18,0.0,11.6,1,1,60,10:27 PM,09:46 AM,06:40 AM,06:00 PM,12,20,20,20,26,0,58,0.0,1021,21,10,307,21
