date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,14,7,0.0,3.8,1,1,80,02:22 PM,03:35 AM,07:13 AM,05:14 PM,6,9,9,9,9,65,82,3.7,1018,14,9,294,7
2020-01-08,13,5,0.0,3.8,1,1,88,03:05 PM,04:35 AM,07:13 AM,05:15 PM,4,8,9,8,9,52,72,3.4,1015,13,9,297,6
2020-01-09,16,8,0.0,8.7,1,1,95,03:55 PM,05:38 AM,07:13 AM,05:16 PM,2,11,11,11,9,0,54,0.0,1019,16,10,296,7
2020-01-10,17,5,0.0,8.7,1,1,100,04:52 PM,06:39 AM,07:13 AM,05:17 PM,-4,11,12,11,12,23,38,0.0,1020,17,10,299,7
2020-01-11,16,6,0.0,7.1,1,1,100,05:56 PM,07:37 AM,07:13 AM,05:18 PM,-5,10,10,10,9,65,33,0.0,1020,16,10,291,5
2020-01-12,18,8,0.0,7.1,1,1,83,07:04 PM,08:29 AM,07:13 AM,05:19 PM,3,12,13,12,15,61,52,0.1,1020,18,10,327,10
2020-01-13,9,7,0.0,3.8,1,1,76,08:13 PM,09:16 AM,07:13 AM,05:20 PM,7,7,9,7,14,94,90,57.3,1010,9,7,89,11
2020-01-14,15,6,0.0,8.7,1,1,69,09:23 PM,09:58 AM,07:12 AM,05:20 PM,5,8,10,8,15,29,73,15.5,1017,15,9,315,10
2020-01-15,16,8,0.0,8.7,1,1,61,10:30 PM,10:35 AM,07:12 AM,05:21 PM,3,11,11,11,9,20,58,0.0,1017,16,10,294,6
2020-01-16,18,8,0.0,8.7,1,1,54,11:37 PM,11:10 AM,07:12 AM,05:22 PM,1,12,12,12,11,23,49,0.4,1016,18,10,301,7
2020-01-17,17,8,0.0,8.7,1,1,47,No moonrise,11:44 AM,07:12 AM,05:23 PM,2,11,11,11,10,14,52,0.0,1017,17,10,215,5
2020-01-18,16,8,0.0,5.4,1,1,40,12:42 AM,12:18 PM,07:11 AM,05:24 PM,2,11,12,11,10,24,52,0.8,1019,16,10,293,7
2020-01-19,17,9,0.0,8.7,1,1,32,01:47 AM,12:55 PM,07:11 AM,05:25 PM,-1,11,12,11,10,17,43,0.0,1019,17,10,288,7
2020-01-20,16,7,0.0,8.7,1,1,25,02:52 AM,01:35 PM,07:11 AM,05:26 PM,-1,11,11,11,10,32,42,0.0,1018,16,10,280,6
2020-01-21,10,6,0.0,3.8,1,1,18,03:55 AM,02:19 PM,07:10 AM,05:27 PM,3,8,8,8,7,72,71,1.7,1022,10,8,68,5
2020-01-22,15,5,0.0,8.7,1,1,11,04:57 AM,03:08 PM,07:10 AM,05:28 PM,4,9,10,9,14,8,67,0.0,1023,15,10,296,9
2020-01-23,18,7,0.0,8.7,1,1,3,05:54 AM,04:01 PM,07:10 AM,05:29 PM,0,11,12,11,18,2,48,0.0,1021,18,10,310,11
2020-01-24,17,7,0.0,8.7,1,1,0,06:45 AM,04:58 PM,07:09 AM,05:30 PM,-4,11,11,11,14,30,35,0.0,1018,17,10,293,9
2020-01-25,18,9,0.0,8.7,1,1,0,07:32 AM,05:56 PM,07:09 AM,05:31 PM,1,12,12,12,9,38,47,0.0,1016,18,10,267,5
2020-01-26,19,8,0.0,8.7,1,1,4,08:11 AM,06:53 PM,07:08 AM,05:32 PM,4,12,12,12,12,13,57,0.0,1016,19,10,291,7
2020-01-27,18,8,0.0,5.5,1,1,11,08:47 AM,07:50 PM,07:08 AM,05:33 PM,3,12,13,12,9,54,52,0.0,1013,18,10,176,5
2020-01-28,13,8,0.0,3.9,1,1,18,09:19 AM,08:45 PM,07:07 AM,05:34 PM,6,9,10,9,14,84,75,9.6,1011,13,7,102,10
2020-01-29,14,8,0.0,5.5,1,1,26,09:48 AM,09:40 PM,07:06 AM,05:35 PM,6,9,10,9,16,75,79,27.5,1017,14,8,120,10
2020-01-30,17,7,0.0,8.7,1,1,33,10:16 AM,10:34 PM,07:06 AM,05:36 PM,5,10,11,10,10,9,66,0.0,1018,17,10,280,6
2020-01-31,17,7,0.0,8.7,1,1,37,10:43 AM,11:28 PM,07:05 AM,05:37 PM,3,11,11,11,8,20,57,0.2,1015,17,10,229,5
2020-02-01,18,7,0.0,8.7,1,1,49,11:12 AM,No moonset,07:04 AM,05:38 PM,4,12,13,12,9,5,56,0.0,1019,18,10,267,6
2020-02-02,19,10,0.0,8.7,1,1,57,11:43 AM,12:23 AM,07:04 AM,05:39 PM,1,13,14,13,9,0,44,0.0,1020,19,10,281,6
2020-02-03,18,7,0.0,8.7,1,1,64,12:16 PM,01:20 AM,07:03 AM,05:40 PM,-0,12,12,12,9,11,43,0.0,1019,18,10,250,5
2020-02-04,13,8,0.0,3.9,1,1,72,12:55 PM,02:19 AM,07:02 AM,05:41 PM,2,10,10,10,9,67,56,0.2,1018,13,10,167,5
2020-02-05,18,7,0.0,8.7,1,1,79,01:41 PM,03:19 AM,07:02 AM,05:42 PM,2,11,11,11,13,19,53,0.0,1018,18,10,299,8
2020-02-06,16,8,0.0,8.7,1,1,87,02:33 PM,04:20 AM,07:01 AM,05:43 PM,2,11,11,11,9,28,51,0.1,1014,16,10,224,5
2020-02-07,20,9,0.0,8.7,1,1,95,03:34 PM,05:20 AM,07:00 AM,05:44 PM,3,14,14,14,10,2,50,0.0,1019,20,10,284,7
2020-02-08,21,10,0.0,8.7,1,1,100,04:41 PM,06:15 AM,06:59 AM,05:45 PM,1,16,17,16,8,0,40,0.0,1022,21,10,201,6
2020-02-09,22,10,0.0,8.7,1,1,100,05:52 PM,07:06 AM,06:58 AM,05:46 PM,1,16,17,16,9,0,39,0.0,1022,22,10,249,6
2020-02-10,22,12,0.0,8.7,1,1,83,07:03 PM,07:51 AM,06:57 AM,05:46 PM,3,16,17,16,9,3,43,0.0,1019,22,10,280,6
2020-02-11,19,10,0.0,7.2,1,1,75,08:14 PM,08:30 AM,06:56 AM,05:47 PM,3,14,14,14,15,53,48,0.2,1021,19,9,216,10
2020-02-12,21,13,0.0,8.7,1,1,68,09:24 PM,09:08 AM,06:55 AM,05:48 PM,7,15,16,15,16,53,56,0.0,1022,21,10,296,10
2020-02-13,20,13,0.0,7.2,1,1,60,10:32 PM,09:44 AM,06:54 AM,05:49 PM,9,16,16,16,10,65,63,2.7,1018,20,10,210,6
2020-02-14,21,11,0.0,8.7,1,1,53,11:39 PM,10:19 AM,06:53 AM,05:50 PM,6,16,16,16,21,1,53,0.0,1014,21,10,316,14
2020-02-15,24,11,0.0,8.7,1,1,45,No moonrise,10:55 AM,06:52 AM,05:51 PM,1,17,17,17,12,23,36,0.0,1013,24,10,283,8
2020-02-16,24,12,0.0,8.7,1,1,38,12:45 AM,11:35 AM,06:51 AM,05:52 PM,3,17,18,17,15,27,39,0.0,1016,24,10,296,9
2020-02-17,25,14,0.0,8.7,1,1,30,01:50 AM,12:18 PM,06:50 AM,05:53 PM,1,19,19,19,15,8,33,0.0,1018,25,10,302,9
2020-02-18,25,14,0.0,8.7,1,1,22,02:51 AM,01:05 PM,06:49 AM,05:54 PM,0,19,20,19,11,4,30,0.0,1014,25,10,261,7
2020-02-19,22,12,0.0,7.2,1,1,15,03:50 AM,01:56 PM,06:48 AM,05:55 PM,3,16,16,16,25,49,44,5.6,1012,22,10,105,15
2020-02-20,19,10,0.0,4.2,1,1,7,04:42 AM,02:51 PM,06:47 AM,05:56 PM,7,14,15,14,22,66,60,5.6,1016,19,8,121,14
2020-02-21,24,12,0.0,8.7,1,1,0,05:29 AM,03:48 PM,06:46 AM,05:56 PM,6,18,19,18,12,4,48,0.0,1019,24,10,268,8
2020-02-22,23,12,0.0,8.7,1,1,0,06:10 AM,04:45 PM,06:45 AM,05:57 PM,7,17,18,17,13,18,51,0.0,1021,23,10,275,8
2020-02-23,24,13,0.0,8.7,1,1,0,06:47 AM,05:42 PM,06:44 AM,05:58 PM,6,19,20,19,10,5,45,0.0,1018,24,10,263,7
2020-02-24,24,13,0.0,8.7,1,1,0,07:20 AM,06:38 PM,06:43 AM,05:59 PM,4,19,19,19,10,5,39,0.0,1014,24,10,253,6
2020-02-25,26,15,0.0,11.6,1,1,8,07:50 AM,07:33 PM,06:41 AM,06:00 PM,5,20,20,20,11,2,39,0.0,1013,26,10,270,7
2020-02-26,25,14,0.0,11.6,1,1,15,08:17 AM,08:26 PM,06:40 AM,06:01 PM,2,19,19,19,12,6,33,0.0,1014,25,10,273,7
2020-02-27,26,15,0.0,11.6,1,1,23,08:45 AM,09:21 PM,06:39 AM,06:02 PM,5,22,22,21,11,32,38,0.4,1015,26,10,222,6
2020-02-28,23,15,0.0,5.8,1,1,30,09:13 AM,10:15 PM,06:38 AM,06:02 PM,10,19,19,19,12,73,60,9.7,1014,23,10,210,7
2020-02-29,21,13,0.0,7.3,1,1,38,09:42 AM,11:11 PM,06:37 AM,06:03 PM,10,15,16,15,22,73,71,19.9,1014,21,9,156,14
2020-03-01,25,12,0.0,11.6,1,1,44,10:14 AM,No moonset,06:35 AM,06:04 PM,9,19,19,19,11,25,56,0.2,1015,25,10,284,7
2020-03-02,25,15,0.0,11.6,1,1,51,10:50 AM,12:07 AM,06:34 AM,06:05 PM,8,20,20,20,10,4,49,0.0,1013,25,10,251,7
2020-03-03,25,16,0.0,11.6,1,1,58,11:31 AM,01:06 AM,06:33 AM,06:06 PM,8,21,21,21,11,3,46,0.0,1011,25,10,274,8
2020-03-04,21,15,0.0,5.9,1,1,65,12:18 PM,02:05 AM,06:32 AM,06:06 PM,9,18,18,18,12,67,55,6.9,1011,21,10,183,8
2020-03-05,18,11,0.0,5.9,1,1,73,01:14 PM,03:04 AM,06:30 AM,06:07 PM,10,14,14,14,13,86,74,15.8,1012,18,9,153,10
2020-03-06,14,11,0.0,5.9,1,1,80,02:17 PM,04:00 AM,06:29 AM,06:08 PM,9,11,12,11,12,84,82,20.6,1011,14,8,49,9
2020-03-07,13,9,0.0,5.9,1,1,87,03:25 PM,04:52 AM,06:28 AM,06:09 PM,9,9,11,9,20,85,87,18.3,1014,13,9,108,14
2020-03-08,19,9,0.0,7.3,1,1,95,04:36 PM,05:39 AM,06:27 AM,06:10 PM,8,13,13,13,21,74,71,16.5,1018,19,9,85,11
2020-03-09,20,10,0.0,11.6,1,1,100,05:49 PM,06:21 AM,06:25 AM,06:10 PM,5,14,15,14,18,15,54,0.0,1015,20,10,306,12
2020-03-10,23,12,0.0,11.6,1,1,100,07:01 PM,07:01 AM,06:24 AM,06:11 PM,6,18,18,18,7,10,47,0.0,1012,23,10,168,4
2020-03-11,22,13,0.0,11.6,1,1,84,08:12 PM,07:38 AM,06:23 AM,06:12 PM,7,18,19,18,15,31,54,0.2,1010,22,10,140,10
2020-03-12,21,12,0.0,6.0,1,1,76,09:23 PM,08:14 AM,06:21 AM,06:13 PM,8,16,17,16,25,88,66,13.1,1013,21,9,122,17
2020-03-13,19,11,0.0,6.0,1,1,69,10:32 PM,08:51 AM,06:20 AM,06:14 PM,8,14,15,14,12,63,66,1.1,1016,19,10,305,8
2020-03-14,21,12,0.0,10.2,1,1,62,11:40 PM,09:31 AM,06:19 AM,06:14 PM,7,17,17,17,12,41,55,1.3,1015,21,10,245,8
2020-03-15,23,13,0.0,11.6,1,1,55,No moonrise,10:14 AM,06:17 AM,06:15 PM,8,18,19,18,10,5,52,0.0,1017,23,10,267,7
2020-03-16,24,14,0.0,11.6,1,1,47,12:45 AM,11:01 AM,06:16 AM,06:16 PM,9,19,20,19,9,14,52,0.0,1017,24,10,272,6
