date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,12,7,0.0,8.7,1,1,80,02:02 PM,03:09 AM,06:40 AM,04:50 PM,2,6,9,6,43,21,59,0.1,1015,12,10,230,26
2020-01-08,8,-0,0.0,3.8,1,1,88,02:46 PM,04:10 AM,06:40 AM,04:51 PM,3,1,6,1,69,54,78,1.7,1014,8,10,238,42
2020-01-09,8,6,0.0,3.8,1,1,95,03:37 PM,05:12 AM,06:40 AM,04:52 PM,6,3,7,3,49,89,89,11.0,1014,8,8,254,31
2020-01-10,9,5,0.0,3.8,1,1,100,04:35 PM,06:12 AM,06:40 AM,04:53 PM,6,6,7,6,11,76,90,18.3,1016,9,9,155,8
2020-01-11,11,6,0.0,8.7,1,1,100,05:39 PM,07:10 AM,06:40 AM,04:54 PM,4,7,9,7,18,32,76,0.2,1024,11,10,334,11
2020-01-12,11,3,0.0,7.1,1,1,83,06:47 PM,08:02 AM,06:40 AM,04:54 PM,5,7,8,7,14,31,80,0.1,1024,11,10,269,8
2020-01-13,12,5,0.0,7.1,1,1,76,07:55 PM,08:49 AM,06:40 AM,04:55 PM,8,8,10,8,19,46,87,0.5,1023,12,10,291,12
2020-01-14,13,9,0.0,8.7,1,1,69,09:03 PM,09:31 AM,06:40 AM,04:56 PM,7,10,11,10,12,24,78,0.0,1024,13,9,84,8
2020-01-15,15,11,0.0,8.7,1,1,61,10:09 PM,10:09 AM,06:40 AM,04:57 PM,5,12,13,12,14,32,59,0.0,1020,15,10,68,8
2020-01-16,15,12,0.0,8.7,1,1,54,11:15 PM,10:45 AM,06:40 AM,04:58 PM,1,12,13,12,21,43,46,0.1,1014,15,10,77,13
2020-01-17,11,7,0.0,5.5,1,1,47,No moonrise,11:20 AM,06:39 AM,04:59 PM,6,8,10,8,20,50,77,0.2,1014,11,10,228,13
2020-01-18,11,4,0.0,4.0,1,1,40,12:19 AM,11:56 AM,06:39 AM,05:00 PM,8,7,10,7,29,68,87,7.5,1016,11,8,272,20
2020-01-19,11,3,0.0,8.7,1,1,32,01:23 AM,12:34 PM,06:39 AM,05:01 PM,7,5,9,5,54,52,84,2.7,1019,11,10,251,35
2020-01-20,10,7,0.0,7.1,1,1,25,02:27 AM,01:15 PM,06:39 AM,05:02 PM,6,5,8,5,41,54,87,1.8,1023,10,9,273,25
2020-01-21,7,-2,0.0,5.6,1,1,18,03:30 AM,02:00 PM,06:38 AM,05:03 PM,3,1,5,1,52,66,83,3.7,1020,7,10,308,33
2020-01-22,9,5,0.0,5.6,1,1,11,04:30 AM,02:50 PM,06:38 AM,05:03 PM,4,4,7,4,22,46,80,0.3,1021,9,10,319,14
2020-01-23,9,6,0.0,4.0,1,1,3,05:27 AM,03:44 PM,06:38 AM,05:04 PM,4,4,7,4,35,58,81,0.8,1021,9,10,254,22
2020-01-24,8,4,0.0,7.1,1,1,0,06:18 AM,04:40 PM,06:37 AM,05:05 PM,3,1,6,1,59,35,78,2.6,1019,8,10,318,36
2020-01-25,9,4,0.0,8.7,1,1,0,07:04 AM,05:38 PM,06:37 AM,05:06 PM,2,5,7,5,10,11,69,0.0,1029,9,10,320,7
2020-01-26,11,4,0.0,8.7,1,1,4,07:44 AM,06:34 PM,06:36 AM,05:07 PM,5,8,9,8,5,3,73,0.0,1029,11,10,239,4
2020-01-27,13,6,0.0,8.7,1,1,11,08:19 AM,07:30 PM,06:36 AM,05:08 PM,4,9,9,9,4,26,68,0.0,1024,13,10,49,3
2020-01-28,13,8,0.0,8.7,1,1,18,08:52 AM,08:24 PM,06:35 AM,05:09 PM,5,9,10,9,16,27,70,0.0,1019,13,10,272,10
2020-01-29,12,6,0.0,7.1,1,1,26,09:22 AM,09:18 PM,06:35 AM,05:10 PM,7,7,10,7,28,49,85,0.7,1021,12,10,275,18
2020-01-30,12,9,0.0,7.1,1,1,33,09:50 AM,10:11 PM,06:34 AM,05:11 PM,7,9,10,9,14,25,83,0.1,1021,12,10,263,9
2020-01-31,11,6,0.0,5.6,1,1,37,10:19 AM,11:04 PM,06:33 AM,05:12 PM,4,4,8,4,50,33,74,1.2,1019,11,10,294,30
2020-02-01,10,6,0.0,5.6,1,1,49,10:48 AM,11:59 PM,06:33 AM,05:13 PM,5,5,8,5,41,45,82,0.8,1021,10,10,272,25
2020-02-02,12,4,0.0,4.1,1,1,57,11:20 AM,No moonset,06:32 AM,05:14 PM,8,8,10,8,12,56,86,0.5,1022,12,10,317,7
2020-02-03,14,10,0.0,8.7,1,1,64,11:55 AM,12:55 AM,06:32 AM,05:15 PM,7,10,11,10,11,26,78,0.0,1021,14,10,319,7
2020-02-04,12,6,0.0,5.6,1,1,72,12:35 PM,01:53 AM,06:31 AM,05:16 PM,8,9,10,9,11,36,86,0.1,1019,12,10,280,7
2020-02-05,17,10,0.0,8.7,1,1,79,01:22 PM,02:53 AM,06:30 AM,05:16 PM,9,14,14,14,6,0,74,0.0,1015,17,10,155,4
2020-02-06,17,10,0.0,8.7,1,1,87,02:16 PM,03:54 AM,06:29 AM,05:17 PM,5,13,14,13,25,8,58,0.0,1015,17,10,217,15
2020-02-07,10,7,0.0,7.2,1,1,95,03:17 PM,04:53 AM,06:29 AM,05:18 PM,5,5,8,5,49,55,82,2.6,1016,10,10,252,29
2020-02-08,7,5,0.0,4.1,1,1,100,04:24 PM,05:48 AM,06:28 AM,05:19 PM,3,1,6,1,77,71,81,2.7,1019,7,9,278,47
