date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,31,23,0.0,8.7,1,1,80,03:33 PM,03:32 AM,06:35 AM,06:13 PM,22,28,28,25,13,35,83,4.0,1012,31,8,22,8
2020-01-08,30,23,0.0,7.3,1,1,88,04:25 PM,04:25 AM,06:36 AM,06:14 PM,22,29,29,26,15,57,84,1.8,1012,30,7,19,10
2020-01-09,31,23,0.0,10.2,1,1,95,05:22 PM,05:23 AM,06:36 AM,06:14 PM,22,29,29,26,16,32,82,0.1,1011,31,7,45,11
2020-01-10,31,22,0.0,11.6,1,1,100,06:21 PM,06:22 AM,06:36 AM,06:15 PM,22,28,28,26,16,20,80,0.0,1008,31,10,44,11
2020-01-11,32,23,0.0,11.6,1,1,100,07:22 PM,07:21 AM,06:37 AM,06:15 PM,22,31,31,27,13,15,80,0.0,1009,32,8,61,8
2020-01-12,32,23,0.0,11.6,1,1,83,08:23 PM,08:18 AM,06:37 AM,06:16 PM,23,30,30,27,14,27,82,0.1,1009,32,7,47,9
2020-01-13,31,23,0.0,11.6,1,1,76,09:22 PM,09:12 AM,06:37 AM,06:16 PM,22,29,29,26,16,26,81,0.0,1009,31,9,30,11
2020-01-14,30,23,0.0,11.6,1,1,69,10:18 PM,10:03 AM,06:37 AM,06:17 PM,22,28,28,26,16,36,82,0.0,1009,30,10,32,11
2020-01-15,30,22,0.0,8.7,1,1,61,11:13 PM,10:51 AM,06:38 AM,06:17 PM,22,28,28,25,16,50,82,0.2,1009,30,10,21,11
2020-01-16,32,22,0.0,11.6,1,1,54,No moonrise,11:38 AM,06:38 AM,06:17 PM,22,29,29,26,15,28,82,0.0,1009,32,7,13,10
2020-01-17,31,24,0.0,10.2,1,1,47,12:06 AM,12:23 PM,06:38 AM,06:18 PM,23,30,30,27,14,53,82,0.2,1008,31,9,27,10
2020-01-18,31,24,0.0,7.3,1,1,40,01:00 AM,01:10 PM,06:38 AM,06:18 PM,23,30,30,27,15,69,82,0.7,1009,31,10,18,10
2020-01-19,31,23,0.0,10.2,1,1,32,01:54 AM,01:58 PM,06:38 AM,06:19 PM,23,29,29,26,13,43,82,0.0,1009,31,10,8,9
2020-01-20,30,23,0.0,7.3,1,1,25,02:49 AM,02:48 PM,06:39 AM,06:19 PM,23,29,29,26,14,51,83,0.2,1011,30,8,232,9
2020-01-21,31,23,0.0,11.6,1,1,18,03:45 AM,03:41 PM,06:39 AM,06:20 PM,22,29,29,27,15,36,79,0.0,1012,31,8,340,10
2020-01-22,30,23,0.0,5.9,1,1,11,04:40 AM,04:34 PM,06:39 AM,06:20 PM,22,28,28,26,13,59,82,8.0,1013,30,9,311,9
2020-01-23,28,22,0.0,8.8,1,1,3,05:35 AM,05:28 PM,06:39 AM,06:21 PM,22,27,27,25,12,56,89,26.7,1012,28,5,210,7
2020-01-24,30,23,0.0,5.9,1,1,0,06:26 AM,06:21 PM,06:39 AM,06:21 PM,22,29,29,26,11,63,82,0.7,1013,30,6,238,8
2020-01-25,30,21,0.0,11.6,1,1,0,07:16 AM,07:13 PM,06:39 AM,06:21 PM,20,28,28,25,15,17,79,0.0,1014,30,7,238,10
2020-01-26,31,21,0.0,11.6,1,1,4,08:01 AM,08:01 PM,06:39 AM,06:22 PM,20,26,26,25,15,17,77,0.0,1014,31,10,326,9
2020-01-27,29,22,0.0,8.8,1,1,11,08:43 AM,08:48 PM,06:39 AM,06:22 PM,22,28,28,25,9,45,85,4.5,1013,29,6,191,6
