date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,38,23,0.0,11.6,1,1,80,04:55 PM,03:14 AM,06:08 AM,07:46 PM,19,33,33,31,12,18,54,0.0,1006,38,10,157,8
2020-01-08,40,25,0.0,11.6,1,1,88,05:55 PM,03:58 AM,06:08 AM,07:46 PM,18,36,36,33,16,16,47,0.0,1005,40,10,24,11
2020-01-09,39,26,0.0,10.4,1,1,95,06:55 PM,04:49 AM,06:09 AM,07:46 PM,22,37,37,33,16,45,56,0.1,1005,39,10,242,12
2020-01-10,38,27,0.0,10.4,1,1,100,07:54 PM,05:46 AM,06:10 AM,07:46 PM,21,36,36,32,14,60,54,0.7,1006,38,10,233,10
2020-01-11,38,26,0.0,10.4,1,1,100,08:49 PM,06:48 AM,06:10 AM,07:46 PM,23,36,36,31,16,69,66,4.9,1006,38,9,286,10
2020-01-12,40,25,0.0,10.4,1,1,83,09:40 PM,07:53 AM,06:11 AM,07:46 PM,23,36,36,32,11,51,68,6.4,1009,40,9,110,7
2020-01-13,36,24,0.0,7.9,1,1,76,10:26 PM,08:59 AM,06:12 AM,07:46 PM,22,32,32,29,16,56,71,1.1,1009,36,10,20,12
2020-01-14,36,25,0.0,11.6,1,1,69,11:08 PM,10:04 AM,06:13 AM,07:46 PM,22,33,33,30,17,44,70,0.1,1008,36,10,20,12
2020-01-15,40,25,0.0,11.6,1,1,61,11:48 PM,11:07 AM,06:13 AM,07:46 PM,21,37,37,33,21,31,53,0.3,1005,40,10,352,15
2020-01-16,35,25,0.0,11.6,1,1,54,No moonrise,12:09 PM,06:14 AM,07:46 PM,22,34,34,30,20,35,62,1.4,1011,35,10,191,15
2020-01-17,37,23,0.0,11.6,1,1,47,12:26 AM,01:10 PM,06:15 AM,07:46 PM,18,32,32,30,15,25,54,0.0,1014,37,10,172,11
2020-01-18,39,24,0.0,10.4,1,1,40,01:06 AM,02:10 PM,06:16 AM,07:46 PM,21,35,35,32,11,45,57,1.1,1011,39,10,166,7
2020-01-19,41,26,0.0,11.6,1,1,32,01:46 AM,03:11 PM,06:17 AM,07:46 PM,21,37,37,34,13,18,53,0.0,1010,41,10,45,9
2020-01-20,44,26,0.0,11.6,1,1,25,02:29 AM,04:11 PM,06:17 AM,07:46 PM,19,37,37,35,12,17,45,0.0,1007,44,10,60,9
2020-01-21,40,25,0.0,11.6,1,1,18,03:16 AM,05:11 PM,06:18 AM,07:45 PM,20,34,34,31,14,40,56,0.5,1005,40,10,130,10
2020-01-22,31,24,0.0,6.6,1,1,11,04:06 AM,06:08 PM,06:19 AM,07:45 PM,22,29,29,27,21,79,80,14.5,1004,31,9,191,14
2020-01-23,30,23,0.0,7.9,1,1,3,04:59 AM,07:01 PM,06:20 AM,07:45 PM,19,27,27,25,15,77,70,0.1,1007,30,10,136,11
2020-01-24,37,21,0.0,11.6,1,1,0,05:54 AM,07:49 PM,06:20 AM,07:45 PM,16,32,32,30,15,5,50,0.0,1008,37,10,171,10
2020-01-25,40,21,0.0,11.6,1,1,0,06:50 AM,08:32 PM,06:21 AM,07:44 PM,14,33,33,32,10,2,40,0.0,1008,40,10,243,7
2020-01-26,42,25,0.0,11.6,1,1,4,07:45 AM,09:12 PM,06:22 AM,07:44 PM,13,36,36,35,7,2,33,0.0,1008,42,10,295,5
2020-01-27,38,25,0.0,11.6,1,1,11,08:38 AM,09:48 PM,06:23 AM,07:44 PM,13,34,34,33,12,19,33,0.0,1009,38,10,136,8
2020-01-28,39,24,0.0,11.6,1,1,18,09:30 AM,10:20 PM,06:23 AM,07:43 PM,14,34,34,33,10,20,35,0.0,1007,39,10,48,6
2020-01-29,38,24,0.0,10.3,1,1,26,10:20 AM,10:52 PM,06:24 AM,07:43 PM,20,32,32,29,18,61,64,14.5,1006,38,9,143,11
2020-01-30,29,23,0.0,6.6,1,1,33,11:11 AM,11:24 PM,06:25 AM,07:43 PM,23,28,28,25,10,86,87,129.6,1010,29,8,249,6
2020-01-31,34,21,0.0,11.6,1,1,37,12:01 PM,11:56 PM,06:26 AM,07:42 PM,19,30,30,28,7,35,65,0.0,1012,34,10,301,5
2020-02-01,36,23,0.0,11.6,1,1,49,12:52 PM,No moonset,06:26 AM,07:42 PM,20,33,33,30,6,8,60,0.0,1011,36,10,121,4
2020-02-02,36,24,0.0,9.1,1,1,57,01:45 PM,12:29 AM,06:27 AM,07:41 PM,22,34,34,30,9,39,65,3.6,1010,36,10,214,5
2020-02-03,37,24,0.0,11.6,1,1,64,02:40 PM,01:07 AM,06:28 AM,07:41 PM,21,35,35,31,11,20,59,0.0,1009,37,10,50,7
2020-02-04,37,25,0.0,11.6,1,1,72,03:38 PM,01:48 AM,06:29 AM,07:40 PM,20,34,34,32,19,10,57,0.0,1008,37,10,47,13
2020-02-05,36,24,0.0,9.1,1,1,79,04:36 PM,02:34 AM,06:29 AM,07:40 PM,22,34,34,30,23,58,68,13.5,1007,36,8,38,13
2020-02-06,38,24,0.0,11.6,1,1,87,05:36 PM,03:28 AM,06:30 AM,07:39 PM,22,35,35,31,16,39,62,1.6,1008,38,10,39,10
2020-02-07,39,25,0.0,10.3,1,1,95,06:33 PM,04:27 AM,06:31 AM,07:38 PM,22,35,35,31,10,35,59,0.9,1008,39,10,89,7
2020-02-08,38,26,0.0,11.6,1,1,100,07:27 PM,05:32 AM,06:31 AM,07:38 PM,21,35,35,32,9,22,55,0.0,1007,38,10,189,6
2020-02-09,37,25,0.0,11.6,1,1,100,08:16 PM,06:39 AM,06:32 AM,07:37 PM,21,34,34,31,14,48,57,0.8,1008,37,10,164,9
2020-02-10,36,25,0.0,11.6,1,1,83,09:02 PM,07:47 AM,06:33 AM,07:37 PM,16,31,31,30,20,18,48,0.0,1011,36,10,157,14
2020-02-11,38,23,0.0,11.6,1,1,75,09:44 PM,08:53 AM,06:34 AM,07:36 PM,14,32,32,30,14,7,39,0.0,1012,38,10,165,10
2020-02-12,37,26,0.0,10.3,1,1,68,10:24 PM,09:58 AM,06:34 AM,07:35 PM,19,33,33,30,11,24,55,1.1,1010,37,10,65,8
2020-02-13,38,24,0.0,11.6,1,1,60,11:05 PM,11:01 AM,06:35 AM,07:35 PM,20,34,34,31,19,19,55,0.0,1008,38,10,35,14
2020-02-14,38,25,0.0,11.6,1,1,53,11:46 PM,12:03 PM,06:36 AM,07:34 PM,22,35,35,32,19,30,59,0.6,1008,38,10,243,13
2020-02-15,33,26,0.0,10.3,1,1,45,No moonrise,01:05 PM,06:36 AM,07:33 PM,25,33,33,28,12,48,81,35.3,1008,33,8,142,7
2020-02-16,35,25,0.0,7.8,1,1,38,12:28 AM,02:06 PM,06:37 AM,07:32 PM,24,34,34,29,16,57,78,41.2,1006,35,8,70,10
2020-02-17,39,27,0.0,11.6,1,1,30,01:14 AM,03:06 PM,06:37 AM,07:32 PM,22,38,38,34,22,18,56,0.0,1005,39,10,13,15
2020-02-18,37,29,0.0,10.3,1,1,22,02:03 AM,04:03 PM,06:38 AM,07:31 PM,23,37,37,33,21,41,62,1.9,1007,37,10,268,15
2020-02-19,40,23,0.0,11.6,1,1,15,02:54 AM,04:57 PM,06:39 AM,07:30 PM,22,36,36,31,13,44,66,3.2,1008,40,10,128,9
2020-02-20,35,24,0.0,11.6,1,1,7,03:49 AM,05:46 PM,06:39 AM,07:29 PM,17,30,30,29,20,28,53,0.5,1010,35,10,177,14
