date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,24,20,0.0,12.9,1,1,80,03:54 PM,02:53 AM,05:51 AM,06:38 PM,18,23,23,22,16,33,77,0.0,1015,24,10,206,12
2020-01-08,25,20,0.0,12.9,1,1,88,04:50 PM,03:42 AM,05:51 AM,06:38 PM,18,23,23,22,18,51,79,0.0,1016,25,10,191,14
2020-01-09,25,21,0.0,11.9,1,1,95,05:49 PM,04:35 AM,05:52 AM,06:39 PM,19,24,24,22,18,62,81,0.0,1015,25,10,197,14
2020-01-10,24,20,0.0,12.9,1,1,100,06:48 PM,05:34 AM,05:52 AM,06:39 PM,18,23,23,22,14,36,81,0.0,1013,24,10,218,11
2020-01-11,23,19,0.0,8.0,1,1,100,07:46 PM,06:34 AM,05:53 AM,06:39 PM,18,22,22,21,16,77,81,0.0,1013,23,10,212,12
2020-01-12,23,20,0.0,11.9,1,1,83,08:40 PM,07:37 AM,05:53 AM,06:39 PM,18,22,22,21,15,63,81,0.0,1013,23,10,218,11
2020-01-13,23,17,0.0,12.9,1,1,76,09:32 PM,08:37 AM,05:54 AM,06:40 PM,18,22,22,21,12,45,80,0.0,1013,23,10,215,10
2020-01-14,23,19,0.0,11.9,1,1,69,10:20 PM,09:37 AM,05:54 AM,06:40 PM,18,22,22,21,12,57,82,0.3,1013,23,10,211,10
2020-01-15,24,17,0.0,12.9,1,1,61,11:06 PM,10:33 AM,05:55 AM,06:40 PM,18,23,23,21,12,32,78,0.0,1013,24,10,210,10
2020-01-16,25,20,0.0,12.9,1,1,54,11:50 PM,11:29 AM,05:55 AM,06:40 PM,18,24,24,22,14,33,77,0.3,1013,25,10,206,12
2020-01-17,24,21,0.0,12.8,1,1,47,No moonrise,12:23 PM,05:56 AM,06:40 PM,18,24,24,22,15,42,78,0.5,1014,24,10,195,12
2020-01-18,24,20,0.0,10.6,1,1,40,12:35 AM,01:18 PM,05:56 AM,06:40 PM,18,23,23,22,14,62,80,0.0,1014,24,10,199,12
2020-01-19,25,20,0.0,12.8,1,1,32,01:21 AM,02:13 PM,05:57 AM,06:40 PM,18,24,24,22,16,66,79,0.3,1014,25,9,194,13
2020-01-20,25,20,0.0,9.3,1,1,25,02:09 AM,03:10 PM,05:57 AM,06:41 PM,19,24,24,22,15,76,79,0.6,1015,25,9,202,12
2020-01-21,24,21,0.0,10.6,1,1,18,03:00 AM,04:06 PM,05:58 AM,06:41 PM,20,25,25,23,11,68,83,1.0,1016,24,10,227,9
2020-01-22,25,19,0.0,12.8,1,1,11,03:53 AM,05:02 PM,05:58 AM,06:41 PM,19,25,25,23,8,60,75,0.0,1016,25,10,275,7
2020-01-23,27,23,0.0,12.8,1,1,3,04:46 AM,05:55 PM,05:59 AM,06:41 PM,18,26,26,24,10,62,69,0.1,1016,27,10,215,8
2020-01-24,27,22,0.0,12.8,1,1,0,05:40 AM,06:45 PM,05:59 AM,06:41 PM,18,26,26,24,15,45,69,0.0,1016,27,10,196,11
2020-01-25,26,22,0.0,11.8,1,1,0,06:33 AM,07:32 PM,06:00 AM,06:41 PM,18,26,26,24,15,46,70,0.5,1017,26,9,208,11
2020-01-26,26,22,0.0,12.4,1,1,4,07:24 AM,08:15 PM,06:00 AM,06:41 PM,19,26,26,24,17,31,74,0.6,1017,26,10,199,13
2020-01-27,26,18,0.0,11.6,1,1,11,08:13 AM,08:55 PM,06:01 AM,06:41 PM,19,25,25,23,15,41,79,0.5,1016,26,10,220,12
2020-01-28,26,19,0.0,10.3,1,1,18,09:00 AM,09:33 PM,06:01 AM,06:41 PM,19,25,25,23,17,71,78,0.0,1016,26,10,196,13
2020-01-29,25,19,0.0,8.9,1,1,26,09:46 AM,10:10 PM,06:02 AM,06:41 PM,19,25,25,23,14,68,79,0.0,1015,25,10,206,12
2020-01-30,27,23,0.0,11.6,1,1,33,10:30 AM,10:46 PM,06:02 AM,06:40 PM,19,26,26,24,15,26,73,0.0,1015,27,10,213,12
