date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,32,25,0.0,8.7,1,1,80,02:36 PM,02:47 AM,06:23 AM,05:41 PM,21,30,30,27,13,34,68,0.0,1013,32,10,69,10
2020-01-08,30,25,0.0,7.2,1,1,88,03:24 PM,03:42 AM,06:23 AM,05:42 PM,21,29,29,27,15,42,70,0.3,1013,30,10,76,12
2020-01-09,30,22,0.0,8.7,1,1,95,04:17 PM,04:38 AM,06:23 AM,05:43 PM,21,29,29,27,14,32,69,0.0,1012,30,10,78,11
2020-01-10,30,24,0.0,7.2,1,1,100,05:15 PM,05:38 AM,06:23 AM,05:43 PM,21,29,29,27,13,38,70,0.2,1011,30,10,75,11
2020-01-11,31,25,0.0,8.7,1,1,100,06:16 PM,06:36 AM,06:24 AM,05:44 PM,21,30,30,27,11,21,69,0.0,1010,31,10,97,9
2020-01-12,31,25,0.0,8.7,1,1,83,07:19 PM,07:34 AM,06:24 AM,05:44 PM,21,30,30,27,9,32,69,0.2,1010,31,10,196,7
2020-01-13,30,25,0.0,7.2,1,1,76,08:20 PM,08:28 AM,06:24 AM,05:45 PM,21,29,29,27,10,45,69,0.9,1010,30,10,238,7
2020-01-14,29,25,0.0,4.2,1,1,69,09:21 PM,09:19 AM,06:24 AM,05:45 PM,21,29,29,27,13,50,70,0.2,1012,29,10,68,10
2020-01-15,30,25,0.0,5.7,1,1,61,10:18 PM,10:06 AM,06:24 AM,05:46 PM,21,29,29,27,14,45,70,0.3,1013,30,10,79,11
2020-01-16,31,25,0.0,8.7,1,1,54,11:15 PM,10:50 AM,06:25 AM,05:47 PM,21,30,30,28,7,33,68,0.0,1013,31,10,158,6
2020-01-17,31,26,0.0,7.2,1,1,47,No moonrise,11:34 AM,06:25 AM,05:47 PM,22,31,31,28,8,45,71,1.2,1013,31,10,211,6
2020-01-18,31,23,0.0,7.2,1,1,40,12:11 AM,12:18 PM,06:25 AM,05:48 PM,22,30,30,27,8,45,72,0.3,1013,31,10,194,7
2020-01-19,31,25,0.0,7.2,1,1,32,01:07 AM,01:03 PM,06:25 AM,05:48 PM,21,30,30,27,10,47,71,0.2,1014,31,10,169,8
2020-01-20,29,25,0.0,7.2,1,1,25,02:03 AM,01:50 PM,06:25 AM,05:49 PM,21,28,28,26,16,31,71,0.1,1016,29,10,105,12
2020-01-21,29,22,0.0,5.7,1,1,18,03:00 AM,02:39 PM,06:25 AM,05:49 PM,19,27,27,25,22,35,67,0.2,1018,29,10,94,18
2020-01-22,29,23,0.0,7.2,1,1,11,03:57 AM,03:32 PM,06:25 AM,05:50 PM,19,27,27,26,21,32,65,0.2,1017,29,10,85,17
2020-01-23,31,24,0.0,8.7,1,1,3,04:53 AM,04:25 PM,06:25 AM,05:50 PM,19,28,28,27,17,3,65,0.0,1015,31,10,82,14
2020-01-24,28,23,0.0,5.7,1,1,0,05:46 AM,05:20 PM,06:25 AM,05:51 PM,21,28,28,26,10,62,73,0.7,1014,28,10,65,8
2020-01-25,30,26,0.0,7.2,1,1,0,06:36 AM,06:13 PM,06:25 AM,05:51 PM,22,30,30,27,13,52,72,6.4,1012,30,10,88,9
2020-01-26,31,25,0.0,8.7,1,1,4,07:23 AM,07:05 PM,06:25 AM,05:52 PM,22,30,30,28,10,41,72,0.1,1011,31,10,242,8
2020-01-27,32,24,0.0,8.7,1,1,11,08:05 AM,07:55 PM,06:25 AM,05:52 PM,22,31,31,28,12,24,68,0.2,1011,32,10,290,10
2020-01-28,34,24,0.0,8.7,1,1,18,08:44 AM,08:42 PM,06:25 AM,05:53 PM,21,32,32,29,7,20,65,0.2,1012,34,10,242,6
2020-01-29,31,25,0.0,8.7,1,1,26,09:22 AM,09:29 PM,06:25 AM,05:53 PM,20,30,30,28,7,7,63,0.0,1012,31,10,250,6
2020-01-30,30,24,0.0,8.7,1,1,33,09:57 AM,10:15 PM,06:25 AM,05:54 PM,19,28,28,26,12,21,65,0.1,1012,30,10,300,10
2020-01-31,28,22,0.0,7.2,1,1,37,10:33 AM,11:01 PM,06:24 AM,05:54 PM,19,27,27,25,11,54,69,0.7,1014,28,10,129,9
2020-02-01,28,22,0.0,8.7,1,1,49,11:09 AM,11:48 PM,06:24 AM,05:55 PM,18,26,26,25,14,34,67,0.0,1016,28,10,85,11
2020-02-02,26,22,0.0,5.7,1,1,57,11:47 AM,No moonset,06:24 AM,05:55 PM,18,26,26,24,16,55,70,0.9,1017,26,10,71,13
2020-02-03,27,22,0.0,7.2,1,1,64,12:27 PM,12:36 AM,06:24 AM,05:56 PM,18,26,26,24,18,42,67,0.6,1016,27,10,86,14
2020-02-04,28,22,0.0,8.7,1,1,72,01:12 PM,01:28 AM,06:24 AM,05:56 PM,18,27,27,25,13,22,64,0.0,1015,28,10,73,11
2020-02-05,30,22,0.0,7.2,1,1,79,02:02 PM,02:22 AM,06:23 AM,05:57 PM,20,28,28,26,13,41,69,0.0,1013,30,10,71,10
2020-02-06,29,25,0.0,5.7,1,1,87,02:57 PM,03:20 AM,06:23 AM,05:57 PM,20,28,28,27,17,53,69,0.3,1014,29,10,82,13
2020-02-07,32,24,0.0,7.2,1,1,95,03:56 PM,04:18 AM,06:23 AM,05:57 PM,21,31,31,28,13,55,69,0.5,1014,32,10,65,10
2020-02-08,31,26,0.0,5.7,1,1,100,04:59 PM,05:17 AM,06:23 AM,05:58 PM,21,31,31,28,17,59,68,0.0,1014,31,10,78,13
2020-02-09,27,25,0.0,4.3,1,1,100,06:02 PM,06:13 AM,06:22 AM,05:58 PM,20,28,28,26,20,59,69,1.0,1016,27,10,70,15
2020-02-10,28,23,0.0,7.2,1,1,83,07:05 PM,07:07 AM,06:22 AM,05:58 PM,18,27,27,25,19,38,65,0.0,1017,28,10,83,15
2020-02-11,30,21,0.0,8.7,1,1,75,08:06 PM,07:57 AM,06:22 AM,05:59 PM,18,27,27,25,18,12,64,0.0,1018,30,10,87,15
