date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,2,-0,0.0,8.0,1,1,80,01:05 PM,04:00 AM,07:44 AM,03:41 PM,-4,-2,1,-2,12,35,72,0.0,1026,2,9,196,8
2020-01-08,4,-0,0.0,8.0,1,1,88,01:39 PM,05:12 AM,07:44 AM,03:42 PM,0,-1,2,-1,22,63,86,2.9,1025,4,9,225,14
2020-01-09,5,1,0.0,3.0,1,1,95,02:22 PM,06:23 AM,07:43 AM,03:43 PM,4,1,4,1,18,100,95,3.5,1020,5,4,209,12
2020-01-10,7,1,0.0,3.0,1,1,100,03:19 PM,07:27 AM,07:43 AM,03:45 PM,4,3,6,3,25,99,87,1.3,1014,7,8,233,16
2020-01-11,6,3,0.0,4.9,1,1,100,04:29 PM,08:20 AM,07:42 AM,03:46 PM,3,2,5,2,25,71,83,1.0,1024,6,8,313,16
2020-01-12,5,3,0.0,4.9,1,1,83,05:48 PM,09:03 AM,07:41 AM,03:48 PM,-1,-0,4,-0,27,82,75,0.0,1023,5,10,224,17
2020-01-13,5,4,0.0,3.0,1,1,76,07:12 PM,09:36 AM,07:41 AM,03:49 PM,1,1,4,1,25,91,79,0.0,1020,5,10,249,17
2020-01-14,5,2,0.0,4.9,1,1,69,08:36 PM,10:02 AM,07:40 AM,03:51 PM,-1,-0,3,-0,22,41,75,0.0,1020,5,10,196,14
2020-01-15,6,2,0.0,8.1,1,1,61,09:59 PM,10:24 AM,07:39 AM,03:52 PM,-2,1,4,1,27,40,65,0.0,1020,6,10,204,16
2020-01-16,6,3,0.0,8.2,1,1,54,11:21 PM,10:45 AM,07:38 AM,03:54 PM,1,2,4,2,19,21,80,0.0,1028,6,10,267,11
2020-01-17,6,1,0.0,8.2,1,1,47,No moonrise,11:04 AM,07:37 AM,03:55 PM,0,0,3,0,22,6,80,0.0,1028,6,10,138,14
2020-01-18,5,-3,0.0,3.1,1,1,40,12:41 AM,11:25 AM,07:36 AM,03:57 PM,0,-1,3,-1,17,67,82,0.4,1022,5,9,244,11
2020-01-19,5,1,0.0,8.2,1,1,32,02:01 AM,11:48 AM,07:35 AM,03:59 PM,1,1,3,1,10,36,86,0.1,1031,5,10,339,6
2020-01-20,3,1,0.0,5.1,1,1,25,03:20 AM,12:16 PM,07:34 AM,04:00 PM,-1,-1,2,-1,18,62,84,0.0,1042,3,9,269,11
2020-01-21,5,1,0.0,8.7,1,1,18,04:34 AM,12:51 PM,07:33 AM,04:02 PM,-2,-2,3,-2,35,41,72,0.0,1035,5,10,266,23
2020-01-22,6,2,0.0,3.3,1,1,11,05:43 AM,01:35 PM,07:32 AM,04:04 PM,-1,-1,4,-1,36,72,73,0.5,1024,6,8,299,24
2020-01-23,4,-0,0.0,8.7,1,1,3,06:41 AM,02:27 PM,07:31 AM,04:05 PM,-2,-3,1,-3,24,13,81,0.0,1030,4,10,267,15
2020-01-24,3,0,0.0,6.9,1,1,0,07:29 AM,03:29 PM,07:29 AM,04:07 PM,-3,-3,2,-3,24,54,75,0.0,1022,3,10,258,16
2020-01-25,3,1,0.0,3.3,1,1,0,08:06 AM,04:35 PM,07:28 AM,04:09 PM,-2,-2,2,-2,20,93,74,0.0,1020,3,10,263,14
2020-01-26,3,1,0.0,3.3,1,1,4,08:35 AM,05:44 PM,07:27 AM,04:11 PM,-2,-0,2,-0,12,97,73,0.1,1020,3,10,208,8
2020-01-27,4,-1,0.0,3.3,1,1,11,08:58 AM,06:53 PM,07:25 AM,04:12 PM,-3,-0,2,-0,14,88,70,0.1,1015,4,10,235,9
2020-01-28,5,2,0.0,3.3,1,1,18,09:18 AM,08:01 PM,07:24 AM,04:14 PM,-0,-1,3,-1,23,79,78,1.8,1003,5,9,187,15
2020-01-29,2,-2,3.8,3.3,1,1,26,09:35 AM,09:08 PM,07:23 AM,04:16 PM,0,-3,2,-3,30,90,87,8.1,999,2,8,256,21
2020-01-30,5,-1,3.0,3.4,1,1,33,09:50 AM,10:14 PM,07:21 AM,04:18 PM,1,-1,3,-1,29,100,87,7.3,1006,5,6,248,20
2020-01-31,8,3,0.0,3.4,1,1,37,10:06 AM,11:22 PM,07:20 AM,04:20 PM,3,2,6,2,34,100,82,6.2,1000,8,8,284,23
2020-02-01,11,6,0.0,3.4,1,1,49,10:22 AM,No moonset,07:18 AM,04:22 PM,7,6,9,6,28,100,87,2.7,1003,11,7,248,18
2020-02-02,7,5,0.0,3.4,1,1,57,10:41 AM,12:29 AM,07:16 AM,04:23 PM,3,4,7,4,36,79,75,5.0,1002,7,8,270,24
2020-02-03,5,-1,0.0,5.2,1,1,64,11:04 AM,01:40 AM,07:15 AM,04:25 PM,0,0,4,0,20,76,79,0.6,1004,5,9,286,14
2020-02-04,6,3,0.0,3.4,1,1,72,11:33 AM,02:50 AM,07:13 AM,04:27 PM,2,2,5,2,16,95,86,2.3,1000,6,8,335,12
2020-02-05,2,0,0.9,8.7,1,1,79,12:10 PM,04:01 AM,07:11 AM,04:29 PM,-5,-3,1,-3,23,35,65,1.6,1019,2,8,121,17
2020-02-06,4,0,0.0,3.5,1,1,87,01:00 PM,05:08 AM,07:10 AM,04:31 PM,0,-2,2,-2,30,92,84,0.2,1021,4,10,290,20
2020-02-07,1,-2,0.0,8.7,1,1,95,02:03 PM,06:06 AM,07:08 AM,04:33 PM,-8,-2,1,-2,13,20,56,1.1,1028,1,10,130,9
2020-02-08,4,-1,0.0,8.7,1,1,100,03:20 PM,06:54 AM,07:06 AM,04:35 PM,-10,-2,1,-2,14,12,45,0.0,1028,4,10,227,9
2020-02-09,6,0,0.0,8.7,1,1,100,04:43 PM,07:33 AM,07:04 AM,04:37 PM,-2,-1,3,-1,28,3,68,0.0,1019,6,10,205,17
2020-02-10,10,5,0.0,3.5,1,1,83,06:11 PM,08:02 AM,07:02 AM,04:39 PM,1,2,7,2,47,80,66,8.5,993,10,8,231,32
2020-02-11,4,-3,0.0,3.5,1,1,75,07:38 PM,08:27 AM,07:01 AM,04:40 PM,-1,-1,4,-1,36,89,74,2.9,993,4,7,273,26
2020-02-12,4,-2,0.0,3.7,1,1,68,09:03 PM,08:48 AM,06:59 AM,04:42 PM,-1,-3,3,-3,38,99,75,1.0,1003,4,5,265,29
2020-02-13,4,2,0.0,5.4,1,1,60,10:27 PM,09:09 AM,06:57 AM,04:44 PM,-2,-2,3,-2,28,66,72,0.1,1013,4,10,253,19
2020-02-14,3,1,0.8,3.7,1,1,53,11:50 PM,09:30 AM,06:55 AM,04:46 PM,1,-0,2,-0,14,100,90,3.1,1014,3,7,135,9
2020-02-15,5,0,0.0,7.0,1,1,45,No moonrise,09:52 AM,06:53 AM,04:48 PM,-1,0,2,0,15,46,78,0.0,1027,5,10,194,10
2020-02-16,10,2,0.0,8.7,1,1,38,01:10 AM,10:19 AM,06:51 AM,04:50 PM,0,3,7,3,38,37,64,0.0,1018,10,10,205,23
2020-02-17,12,9,0.0,3.8,1,1,30,02:26 AM,10:51 AM,06:49 AM,04:52 PM,3,8,10,8,31,63,59,0.0,1013,12,10,252,19
2020-02-18,8,5,0.0,3.8,1,1,22,03:37 AM,11:32 AM,06:47 AM,04:54 PM,2,4,7,4,28,72,73,1.4,1016,8,10,266,19
2020-02-19,8,3,0.0,8.7,1,1,15,04:37 AM,12:21 PM,06:45 AM,04:56 PM,0,2,5,2,26,69,72,1.0,1015,8,10,221,18
2020-02-20,6,2,0.0,3.8,1,1,7,05:28 AM,01:20 PM,06:43 AM,04:58 PM,-0,2,4,2,16,81,73,0.5,1019,6,10,267,11
2020-02-21,6,3,0.0,3.8,1,1,0,06:07 AM,02:24 PM,06:41 AM,04:59 PM,-0,-1,4,-1,31,55,78,4.7,1016,6,9,275,20
2020-02-22,8,2,0.0,8.7,1,1,0,06:38 AM,03:32 PM,06:38 AM,05:01 PM,-1,1,5,1,35,42,65,0.0,1018,8,10,219,23
2020-02-23,8,-1,0.0,4.0,1,1,0,07:03 AM,04:41 PM,06:36 AM,05:03 PM,2,2,6,2,29,96,75,4.5,1006,8,8,254,21
2020-02-24,6,4,0.0,5.6,1,1,0,07:23 AM,05:49 PM,06:34 AM,05:05 PM,-0,1,5,1,32,98,71,4.9,1010,6,9,291,23
2020-02-25,9,2,0.0,4.0,1,1,8,07:41 AM,06:56 PM,06:32 AM,05:07 PM,4,3,6,3,25,95,87,11.0,999,9,9,237,17
2020-02-26,8,3,0.0,5.6,1,1,15,07:56 AM,08:03 PM,06:30 AM,05:09 PM,-0,2,5,2,20,54,71,4.1,993,8,10,222,15
2020-02-27,4,1,0.3,4.1,1,1,23,08:11 AM,09:10 PM,06:28 AM,05:11 PM,-2,-2,3,-2,23,77,73,0.7,1000,4,9,272,18
2020-02-28,5,1,0.0,4.1,1,1,30,08:27 AM,10:17 PM,06:26 AM,05:13 PM,-2,0,3,0,16,61,72,0.1,1008,5,10,296,11
2020-02-29,7,-2,0.0,7.2,1,1,38,08:45 AM,11:26 PM,06:23 AM,05:14 PM,-2,-1,3,-1,27,58,68,0.0,1008,7,10,195,18
2020-03-01,10,6,0.0,5.6,1,1,44,09:05 AM,No moonset,06:21 AM,05:16 PM,2,5,8,5,27,79,69,1.8,1002,10,9,220,18
2020-03-02,7,5,0.0,4.1,1,1,51,09:31 AM,12:35 AM,06:19 AM,05:18 PM,4,3,6,3,20,77,86,5.2,997,7,10,157,13
2020-03-03,13,3,0.0,4.1,1,1,58,10:03 AM,01:44 AM,06:17 AM,05:20 PM,4,6,8,6,23,79,77,0.1,999,13,10,159,15
2020-03-04,6,5,0.0,4.2,1,1,65,10:45 AM,02:51 AM,06:15 AM,05:22 PM,1,3,6,3,18,95,70,0.0,1008,6,10,295,14
