date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,15,8,0.0,5.3,1,1,80,02:49 PM,04:27 AM,07:55 AM,05:31 PM,5,10,11,10,11,29,69,0.0,1031,15,10,27,7
2020-01-08,16,8,0.0,8.7,1,1,88,03:32 PM,05:32 AM,07:55 AM,05:32 PM,7,11,12,11,12,6,74,0.0,1030,16,10,180,7
2020-01-09,17,12,0.0,7.0,1,1,95,04:22 PM,06:35 AM,07:55 AM,05:33 PM,11,13,13,13,14,42,87,0.0,1029,17,8,255,10
2020-01-10,14,10,0.0,8.7,1,1,100,05:21 PM,07:36 AM,07:55 AM,05:34 PM,6,9,11,9,23,12,69,0.0,1030,14,10,97,15
2020-01-11,14,7,0.0,8.7,1,1,100,06:27 PM,08:32 AM,07:55 AM,05:35 PM,3,9,10,9,16,2,64,0.0,1031,14,10,42,10
2020-01-12,15,7,0.0,8.7,1,1,83,07:38 PM,09:22 AM,07:54 AM,05:36 PM,4,10,11,10,10,0,66,0.0,1031,15,10,37,7
2020-01-13,13,7,0.0,5.4,1,1,76,08:50 PM,10:04 AM,07:54 AM,05:37 PM,5,9,10,9,12,58,72,0.0,1026,13,10,152,7
2020-01-14,15,10,0.0,3.7,1,1,69,10:02 PM,10:42 AM,07:54 AM,05:38 PM,9,12,14,12,33,83,75,3.8,1020,15,10,193,22
2020-01-15,17,15,0.0,5.4,1,1,61,11:13 PM,11:16 AM,07:54 AM,05:39 PM,12,14,15,14,37,74,82,8.3,1020,17,10,204,23
2020-01-16,16,14,0.0,7.0,1,1,54,No moonrise,11:47 AM,07:53 AM,05:40 PM,12,14,15,14,39,69,82,5.1,1023,16,10,197,26
2020-01-17,16,13,0.0,7.0,1,1,47,12:22 AM,12:18 PM,07:53 AM,05:41 PM,11,14,14,14,11,45,82,1.0,1030,16,10,120,7
2020-01-18,17,14,0.0,5.4,1,1,40,01:31 AM,12:50 PM,07:52 AM,05:42 PM,13,15,15,15,34,65,86,17.8,1027,17,9,289,23
2020-01-19,15,10,0.0,8.7,1,1,32,02:39 AM,01:24 PM,07:52 AM,05:43 PM,6,10,13,10,39,27,63,0.3,1026,15,10,109,26
2020-01-20,11,6,0.0,8.7,1,1,25,03:46 AM,02:02 PM,07:51 AM,05:44 PM,-2,4,8,4,46,16,48,0.0,1023,11,10,43,32
2020-01-21,13,6,0.0,8.7,1,1,18,04:52 AM,02:46 PM,07:51 AM,05:45 PM,1,6,9,6,30,18,59,0.0,1018,13,10,32,20
2020-01-22,12,8,0.0,3.7,1,1,11,05:54 AM,03:35 PM,07:50 AM,05:46 PM,5,7,10,7,27,69,74,0.2,1015,12,10,57,18
2020-01-23,13,9,0.0,5.4,1,1,3,06:50 AM,04:29 PM,07:50 AM,05:47 PM,7,9,10,9,16,74,83,0.7,1013,13,9,133,11
2020-01-24,14,9,0.0,7.1,1,1,0,07:40 AM,05:27 PM,07:49 AM,05:49 PM,8,9,11,9,19,67,82,0.4,1016,14,10,107,13
2020-01-25,14,10,0.0,8.7,1,1,0,08:22 AM,06:26 PM,07:49 AM,05:50 PM,8,10,11,10,17,43,80,0.2,1016,14,10,174,11
2020-01-26,15,10,0.0,7.1,1,1,4,08:59 AM,07:26 PM,07:48 AM,05:51 PM,8,11,12,11,13,40,78,0.2,1023,15,10,205,8
2020-01-27,15,12,0.0,3.8,1,1,11,09:32 AM,08:25 PM,07:47 AM,05:52 PM,11,12,13,12,29,81,87,1.7,1024,15,10,219,18
2020-01-28,16,14,0.0,3.8,1,1,18,10:00 AM,09:23 PM,07:46 AM,05:53 PM,13,14,15,14,20,77,90,3.2,1024,16,10,236,13
2020-01-29,15,13,0.0,3.8,1,1,26,10:26 AM,10:20 PM,07:46 AM,05:54 PM,12,13,14,13,21,78,88,0.5,1024,15,8,195,14
2020-01-30,16,13,0.0,3.8,1,1,33,10:51 AM,11:17 PM,07:45 AM,05:55 PM,12,14,15,14,22,91,86,0.6,1024,16,10,204,15
2020-01-31,18,15,0.0,3.8,1,1,37,11:17 AM,No moonset,07:44 AM,05:57 PM,14,16,16,16,21,91,91,2.1,1024,18,9,211,14
2020-02-01,18,14,0.0,3.8,1,1,49,11:43 AM,12:13 AM,07:43 AM,05:58 PM,14,15,16,15,14,71,91,0.1,1025,18,7,186,9
2020-02-02,20,13,0.0,8.7,1,1,57,12:11 PM,01:12 AM,07:42 AM,05:59 PM,13,16,16,16,9,8,83,0.0,1027,20,10,172,6
2020-02-03,22,13,0.0,10.6,1,1,64,12:44 PM,02:11 AM,07:41 AM,06:00 PM,13,17,17,17,10,2,78,0.0,1028,22,10,154,6
2020-02-04,22,14,0.0,10.6,1,1,72,01:22 PM,03:13 AM,07:40 AM,06:01 PM,11,17,17,17,9,0,68,0.0,1029,22,10,191,6
2020-02-05,18,11,0.0,10.6,1,1,79,02:07 PM,04:16 AM,07:40 AM,06:02 PM,9,14,14,14,18,6,72,0.0,1024,18,10,108,11
2020-02-06,17,11,0.0,8.5,1,1,87,03:01 PM,05:18 AM,07:39 AM,06:03 PM,11,13,14,13,21,48,81,0.1,1020,17,10,134,14
2020-02-07,17,12,0.0,8.5,1,1,95,04:04 PM,06:16 AM,07:38 AM,06:04 PM,12,13,14,13,12,52,87,0.1,1022,17,9,175,8
2020-02-08,16,12,0.0,5.4,1,1,100,05:14 PM,07:09 AM,07:36 AM,06:06 PM,11,14,14,14,12,81,85,2.1,1025,16,10,242,8
2020-02-09,16,11,0.0,8.5,1,1,100,06:27 PM,07:56 AM,07:35 AM,06:07 PM,9,13,13,13,9,59,77,0.1,1030,16,10,203,6
2020-02-10,17,12,0.0,10.0,1,1,83,07:43 PM,08:37 AM,07:34 AM,06:08 PM,11,14,14,14,9,34,84,0.0,1032,17,10,277,6
2020-02-11,17,13,0.0,10.0,1,1,75,08:56 PM,09:13 AM,07:33 AM,06:09 PM,11,14,14,14,12,35,82,0.0,1028,17,10,236,8
2020-02-12,16,12,0.0,8.5,1,1,68,10:09 PM,09:47 AM,07:32 AM,06:10 PM,10,14,14,14,9,44,81,0.0,1024,16,10,220,6
2020-02-13,17,12,0.0,7.0,1,1,60,11:21 PM,10:18 AM,07:31 AM,06:11 PM,12,14,14,14,8,48,85,0.3,1025,17,10,244,6
2020-02-14,18,12,0.0,10.1,1,1,53,No moonrise,10:51 AM,07:30 AM,06:12 PM,11,14,15,14,8,18,79,0.0,1026,18,10,190,5
2020-02-15,17,12,0.0,10.8,1,1,45,12:30 AM,11:25 AM,07:29 AM,06:13 PM,10,15,14,15,8,8,73,0.0,1025,17,10,180,5
2020-02-16,17,12,0.0,10.9,1,1,38,01:39 AM,12:03 PM,07:27 AM,06:14 PM,12,14,14,14,15,16,83,0.0,1026,17,10,206,10
2020-02-17,16,12,0.0,8.5,1,1,30,02:45 AM,12:44 PM,07:26 AM,06:16 PM,11,14,14,14,23,66,82,0.7,1029,16,7,350,16
2020-02-18,14,10,0.0,10.9,1,1,22,03:48 AM,01:31 PM,07:25 AM,06:17 PM,6,9,12,9,36,4,69,0.0,1032,14,10,266,25
2020-02-19,18,9,0.0,10.9,1,1,15,04:46 AM,02:23 PM,07:24 AM,06:18 PM,6,12,13,12,17,0,64,0.0,1030,18,10,47,11
2020-02-20,18,10,0.0,11.0,1,1,7,05:37 AM,03:19 PM,07:22 AM,06:19 PM,7,12,13,12,16,2,68,0.0,1024,18,10,27,10
2020-02-21,19,11,0.0,11.0,1,1,0,06:21 AM,04:18 PM,07:21 AM,06:20 PM,8,13,14,13,19,2,66,0.0,1026,19,10,58,12
2020-02-22,20,11,0.0,11.0,1,1,0,06:59 AM,05:17 PM,07:20 AM,06:21 PM,7,15,15,15,19,12,61,0.0,1030,20,10,40,11
2020-02-23,23,12,0.0,11.0,1,1,0,07:33 AM,06:16 PM,07:18 AM,06:22 PM,8,16,16,16,16,5,58,0.0,1030,23,10,42,9
2020-02-24,20,13,0.0,11.1,1,1,0,08:02 AM,07:15 PM,07:17 AM,06:23 PM,9,16,16,16,13,0,65,0.0,1028,20,10,258,9
2020-02-25,15,11,0.0,5.5,1,1,8,08:29 AM,08:12 PM,07:16 AM,06:24 PM,10,12,13,12,21,64,80,0.2,1026,15,10,312,15
2020-02-26,15,10,0.0,11.1,1,1,15,08:54 AM,09:09 PM,07:14 AM,06:25 PM,7,10,12,10,29,31,72,0.1,1026,15,10,348,21
2020-02-27,18,11,0.0,11.1,1,1,23,09:19 AM,10:05 PM,07:13 AM,06:26 PM,9,13,14,13,17,12,75,0.0,1026,18,10,257,11
2020-02-28,16,10,0.0,11.2,1,1,30,09:45 AM,11:03 PM,07:11 AM,06:27 PM,6,13,13,13,13,10,63,0.0,1020,16,10,164,9
2020-02-29,17,13,0.0,8.6,1,1,38,10:11 AM,No moonset,07:10 AM,06:29 PM,11,14,14,14,29,69,78,0.8,1017,17,10,276,19
2020-03-01,17,13,0.0,5.6,1,1,44,10:41 AM,12:01 AM,07:08 AM,06:30 PM,13,15,15,15,32,86,85,1.9,1017,17,10,241,22
2020-03-02,15,12,0.0,11.2,1,1,51,11:16 AM,01:01 AM,07:07 AM,06:31 PM,9,13,14,13,34,41,70,1.1,1018,15,10,315,24
