date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,36,21,0.0,9.8,1,1,80,04:47 PM,03:00 AM,05:54 AM,07:39 PM,19,30,30,28,5,69,64,1.1,1007,36,10,262,3
2020-01-08,40,20,0.0,13.3,1,1,88,05:47 PM,03:44 AM,05:55 AM,07:39 PM,19,32,32,30,6,33,62,0.0,1007,40,8,98,4
2020-01-09,33,22,0.0,11.0,1,1,95,06:47 PM,04:34 AM,05:56 AM,07:39 PM,23,32,32,28,8,52,78,13.8,1008,33,8,248,5
2020-01-10,34,23,0.0,9.8,1,1,100,07:46 PM,05:32 AM,05:56 AM,07:39 PM,23,32,32,29,9,59,78,4.9,1009,34,9,254,5
2020-01-11,37,23,0.0,11.0,1,1,100,08:41 PM,06:34 AM,05:57 AM,07:39 PM,23,33,33,29,8,59,76,9.8,1008,37,6,249,5
2020-01-12,41,22,0.0,13.3,1,1,83,09:32 PM,07:40 AM,05:58 AM,07:39 PM,18,34,34,32,6,27,56,0.0,1010,41,8,170,4
2020-01-13,33,23,0.0,11.0,1,1,76,10:17 PM,08:46 AM,05:59 AM,07:39 PM,22,30,30,27,9,50,78,15.2,1012,33,9,21,6
2020-01-14,27,23,0.0,9.8,1,1,69,10:58 PM,09:52 AM,05:59 AM,07:39 PM,22,27,27,24,8,77,87,1.3,1011,27,9,23,6
2020-01-15,34,21,0.0,10.8,1,1,61,11:38 PM,10:55 AM,06:00 AM,07:39 PM,21,31,31,28,10,67,74,1.1,1009,34,6,259,7
2020-01-16,29,15,0.0,6.7,1,1,54,No moonrise,11:58 AM,06:01 AM,07:39 PM,23,27,27,23,9,64,91,26.2,1012,29,8,170,5
2020-01-17,38,19,0.0,11.6,1,1,47,12:15 AM,01:00 PM,06:02 AM,07:39 PM,19,31,31,29,6,29,65,0.2,1015,38,9,148,4
2020-01-18,37,21,0.0,11.6,1,1,40,12:53 AM,02:01 PM,06:02 AM,07:38 PM,19,30,30,29,7,27,65,0.0,1014,37,9,272,5
2020-01-19,39,22,0.0,11.6,1,1,32,01:34 AM,03:02 PM,06:03 AM,07:38 PM,20,32,32,29,5,22,61,0.0,1013,39,10,188,3
2020-01-20,41,23,0.0,11.6,1,1,25,02:16 AM,04:03 PM,06:04 AM,07:38 PM,19,33,33,31,5,20,56,0.0,1010,41,10,72,3
2020-01-21,26,22,0.0,9.1,1,1,18,03:02 AM,05:03 PM,06:05 AM,07:38 PM,20,26,26,23,5,52,81,1.4,1009,26,9,114,3
2020-01-22,21,19,0.0,6.7,1,1,11,03:52 AM,06:00 PM,06:06 AM,07:38 PM,20,21,21,21,9,96,99,33.3,1006,21,8,77,5
2020-01-23,31,18,0.0,9.1,1,1,3,04:45 AM,06:53 PM,06:06 AM,07:37 PM,18,23,23,22,5,71,79,3.6,1008,31,7,165,3
2020-01-24,35,17,0.0,11.6,1,1,0,05:40 AM,07:41 PM,06:07 AM,07:37 PM,14,26,26,26,9,7,56,0.0,1009,35,10,159,6
2020-01-25,37,16,0.0,11.6,1,1,0,06:36 AM,08:24 PM,06:08 AM,07:37 PM,14,27,27,27,7,17,56,0.0,1009,37,8,211,4
2020-01-26,37,19,0.0,11.6,1,1,4,07:32 AM,09:03 PM,06:09 AM,07:36 PM,13,28,28,28,6,4,47,0.0,1009,37,10,234,4
2020-01-27,37,20,0.0,11.6,1,1,11,08:25 AM,09:38 PM,06:10 AM,07:36 PM,14,30,30,29,6,20,47,0.0,1010,37,10,177,4
2020-01-28,38,20,0.0,11.6,1,1,18,09:18 AM,10:11 PM,06:10 AM,07:35 PM,15,31,31,29,5,21,49,0.0,1009,38,10,175,4
2020-01-29,36,21,0.0,7.9,1,1,26,10:09 AM,10:42 PM,06:11 AM,07:35 PM,20,29,29,27,11,68,76,19.3,1009,36,9,137,7
2020-01-30,24,16,0.0,7.9,1,1,33,11:00 AM,11:13 PM,06:12 AM,07:35 PM,21,21,23,21,6,83,92,142.2,1010,24,7,101,4
2020-01-31,32,19,0.0,7.9,1,1,37,11:51 AM,11:44 PM,06:13 AM,07:34 PM,18,26,26,25,5,69,72,0.5,1012,32,6,232,4
2020-02-01,36,18,0.0,11.6,1,1,49,12:42 PM,No moonset,06:13 AM,07:34 PM,17,29,29,28,5,12,60,0.0,1012,36,9,222,4
2020-02-02,36,22,0.0,7.8,1,1,57,01:36 PM,12:17 AM,06:14 AM,07:33 PM,20,30,30,27,4,51,71,1.0,1012,36,10,78,3
2020-02-03,36,20,0.0,11.6,1,1,64,02:31 PM,12:53 AM,06:15 AM,07:33 PM,19,29,29,28,7,19,63,0.0,1012,36,9,69,5
2020-02-04,36,21,0.0,11.6,1,1,72,03:30 PM,01:34 AM,06:16 AM,07:32 PM,17,30,30,28,8,15,56,0.0,1011,36,10,36,6
2020-02-05,37,21,0.0,11.6,1,1,79,04:29 PM,02:20 AM,06:17 AM,07:31 PM,19,30,30,28,9,41,66,1.7,1010,37,10,188,6
2020-02-06,40,21,0.0,11.6,1,1,87,05:29 PM,03:14 AM,06:17 AM,07:31 PM,19,33,33,30,7,15,58,0.0,1011,40,10,198,4
2020-02-07,38,21,0.0,11.6,1,1,95,06:25 PM,04:13 AM,06:18 AM,07:30 PM,19,32,32,29,6,27,62,0.2,1010,38,10,110,4
2020-02-08,34,22,0.0,9.1,1,1,100,07:19 PM,05:18 AM,06:19 AM,07:29 PM,21,29,29,26,7,52,75,3.1,1009,34,9,122,5
2020-02-09,35,21,0.0,7.8,1,1,100,08:08 PM,06:25 AM,06:20 AM,07:29 PM,21,30,30,27,7,65,74,10.3,1009,35,9,140,5
2020-02-10,35,20,0.0,11.6,1,1,83,08:52 PM,07:34 AM,06:20 AM,07:28 PM,16,29,29,27,10,11,56,0.0,1012,35,10,164,7
2020-02-11,33,19,0.0,9.1,1,1,75,09:34 PM,08:40 AM,06:21 AM,07:27 PM,18,28,28,26,5,45,65,0.5,1013,33,10,221,3
2020-02-12,33,21,0.0,6.5,1,1,68,10:13 PM,09:47 AM,06:22 AM,07:27 PM,19,28,28,26,7,68,72,4.0,1012,33,10,186,5
2020-02-13,34,19,0.0,11.6,1,1,60,10:53 PM,10:51 AM,06:22 AM,07:26 PM,18,28,28,26,7,28,65,0.1,1012,34,10,115,5
2020-02-14,35,19,0.0,11.6,1,1,53,11:33 PM,11:54 AM,06:23 AM,07:25 PM,16,28,28,27,9,9,55,0.0,1012,35,10,97,6
2020-02-15,30,21,0.0,6.5,1,1,45,No moonrise,12:57 PM,06:24 AM,07:24 PM,22,28,28,25,8,60,80,11.1,1010,30,9,269,4
2020-02-16,31,22,0.0,7.8,1,1,38,12:15 AM,01:58 PM,06:25 AM,07:24 PM,23,30,30,26,7,48,81,9.3,1009,31,10,119,4
2020-02-17,38,22,0.0,10.3,1,1,30,01:00 AM,02:58 PM,06:25 AM,07:23 PM,20,32,32,30,10,54,65,3.3,1008,38,9,184,7
2020-02-18,38,25,0.0,10.3,1,1,22,01:49 AM,03:56 PM,06:26 AM,07:22 PM,21,33,33,30,12,30,73,56.3,1009,38,9,210,8
2020-02-19,36,20,0.0,11.6,1,1,15,02:40 AM,04:49 PM,06:27 AM,07:21 PM,19,31,31,29,7,49,66,0.0,1009,36,6,220,5
2020-02-20,38,22,0.0,11.6,1,1,7,03:34 AM,05:38 PM,06:27 AM,07:20 PM,15,30,30,29,9,1,52,0.0,1010,38,10,190,7
2020-02-21,31,19,0.0,11.6,1,1,0,04:29 AM,06:22 PM,06:28 AM,07:19 PM,12,24,24,24,13,11,50,0.0,1014,31,10,184,9
2020-02-22,29,13,0.0,11.6,1,1,0,05:24 AM,07:02 PM,06:29 AM,07:18 PM,6,21,21,21,12,1,43,0.0,1018,29,10,163,8
2020-02-23,31,12,0.0,11.6,1,1,0,06:18 AM,07:38 PM,06:29 AM,07:17 PM,12,22,22,22,8,20,57,0.0,1014,31,10,188,5
2020-02-24,33,18,0.0,10.3,1,1,0,07:11 AM,08:11 PM,06:30 AM,07:17 PM,19,26,26,24,8,53,74,2.3,1010,33,7,16,5
2020-02-25,27,21,0.0,7.7,1,1,8,08:03 AM,08:42 PM,06:30 AM,07:16 PM,23,28,28,24,7,71,94,21.7,1008,27,8,188,4
2020-02-26,34,21,0.0,10.3,1,1,15,08:54 AM,09:13 PM,06:31 AM,07:15 PM,18,28,28,26,9,55,69,1.9,1008,34,10,199,6
2020-02-27,33,16,0.0,11.6,1,1,23,09:45 AM,09:44 PM,06:32 AM,07:14 PM,11,24,24,24,8,2,54,0.0,1013,33,9,131,5
2020-02-28,36,15,0.0,11.6,1,1,30,10:35 AM,10:16 PM,06:32 AM,07:13 PM,11,26,26,26,4,0,49,0.0,1014,36,10,244,3
2020-02-29,35,17,0.0,11.6,1,1,38,11:28 AM,10:50 PM,06:33 AM,07:12 PM,12,26,26,26,6,7,51,0.0,1016,35,10,193,4
2020-03-01,34,17,0.0,11.6,1,1,44,12:21 PM,11:29 PM,06:33 AM,07:11 PM,14,26,26,26,6,20,53,0.0,1016,34,10,116,4
2020-03-02,33,17,0.0,11.6,1,1,51,01:17 PM,No moonset,06:34 AM,07:10 PM,13,26,26,26,7,13,50,0.0,1016,33,10,140,4
2020-03-03,34,17,0.0,11.6,1,1,58,02:14 PM,12:11 AM,06:35 AM,07:09 PM,14,26,26,25,6,16,55,0.0,1015,34,10,180,4
2020-03-04,35,17,0.0,11.6,1,1,65,03:12 PM,12:59 AM,06:35 AM,07:08 PM,13,26,26,26,5,17,53,0.0,1013,35,10,155,3
2020-03-05,36,17,0.0,11.6,1,1,73,04:09 PM,01:54 AM,06:36 AM,07:07 PM,11,26,26,27,4,4,45,0.0,1014,36,10,166,3
2020-03-06,34,17,0.0,11.6,1,1,80,05:03 PM,02:55 AM,06:36 AM,07:06 PM,10,26,26,26,6,2,44,0.0,1013,34,10,252,4
2020-03-07,34,18,0.0,10.3,1,1,87,05:54 PM,04:01 AM,06:37 AM,07:05 PM,13,26,26,26,6,26,52,2.6,1011,34,10,182,4
2020-03-08,34,18,0.0,10.3,1,1,95,06:41 PM,05:09 AM,06:37 AM,07:03 PM,16,26,26,26,8,33,61,0.3,1011,34,10,257,5
2020-03-09,39,19,0.0,11.6,1,1,100,07:24 PM,06:17 AM,06:38 AM,07:02 PM,14,29,29,28,6,9,49,0.0,1013,39,10,211,4
2020-03-10,40,20,0.0,11.6,1,1,100,08:05 PM,07:25 AM,06:39 AM,07:01 PM,13,30,30,30,5,6,42,0.0,1013,40,10,42,3
2020-03-11,38,19,0.0,11.6,1,1,84,08:46 PM,08:32 AM,06:39 AM,07:00 PM,12,29,29,28,5,3,43,0.0,1012,38,10,26,4
2020-03-12,36,21,0.0,11.6,1,1,76,09:27 PM,09:39 AM,06:40 AM,06:59 PM,16,30,30,29,7,13,50,0.0,1012,36,10,25,5
2020-03-13,38,22,0.0,10.2,1,1,69,10:10 PM,10:44 AM,06:40 AM,06:58 PM,18,32,32,30,5,19,53,0.0,1013,38,10,111,4
2020-03-14,40,22,0.0,11.6,1,1,62,10:56 PM,11:49 AM,06:41 AM,06:57 PM,16,32,32,31,5,8,48,0.0,1013,40,10,29,4
2020-03-15,39,21,0.0,11.6,1,1,55,11:44 PM,12:51 PM,06:41 AM,06:56 PM,14,30,30,30,7,10,43,0.0,1011,39,10,237,4
2020-03-16,36,21,0.0,11.6,1,1,47,No moonrise,01:51 PM,06:42 AM,06:55 PM,17,30,30,29,6,21,56,0.2,1011,36,10,174,4
