date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,21,16,0.0,8.7,1,1,80,02:06 PM,02:51 AM,06:21 AM,04:59 PM,11,19,19,19,30,4,60,0.0,1020,21,10,341,21
2020-01-08,21,16,0.0,8.7,1,1,88,02:52 PM,03:49 AM,06:21 AM,05:00 PM,11,19,20,19,14,5,59,0.0,1017,21,10,140,9
2020-01-09,21,11,0.0,5.6,1,1,95,03:44 PM,04:48 AM,06:21 AM,05:01 PM,13,18,19,18,18,54,67,2.0,1015,21,10,145,13
2020-01-10,22,18,0.0,4.1,1,1,100,04:42 PM,05:49 AM,06:21 AM,05:01 PM,17,20,21,20,23,80,82,11.6,1010,22,9,187,16
2020-01-11,19,16,0.0,8.7,1,1,100,05:46 PM,06:47 AM,06:21 AM,05:02 PM,9,18,18,18,42,1,59,0.0,1012,19,10,307,31
2020-01-12,17,14,0.0,8.7,1,1,83,06:51 PM,07:42 AM,06:21 AM,05:03 PM,7,15,16,15,45,0,57,0.0,1019,17,10,310,33
2020-01-13,19,14,0.0,8.7,1,1,76,07:57 PM,08:31 AM,06:21 AM,05:04 PM,6,16,16,16,30,3,52,0.0,1020,19,10,302,20
2020-01-14,19,14,0.0,8.7,1,1,69,09:01 PM,09:17 AM,06:21 AM,05:04 PM,3,16,16,16,31,5,43,0.0,1019,19,10,285,22
2020-01-15,20,15,0.0,7.2,1,1,61,10:04 PM,09:58 AM,06:21 AM,05:05 PM,9,17,18,17,32,32,56,0.3,1022,20,10,37,22
2020-01-16,21,16,0.0,8.7,1,1,54,11:05 PM,10:37 AM,06:21 AM,05:06 PM,8,18,18,18,20,2,53,0.0,1024,21,10,325,13
2020-01-17,21,16,0.0,8.7,1,1,47,No moonrise,11:16 AM,06:21 AM,05:07 PM,10,18,18,18,15,2,61,0.0,1022,21,10,141,10
2020-01-18,22,17,0.0,8.7,1,1,40,12:06 AM,11:55 AM,06:21 AM,05:07 PM,12,19,20,19,21,5,64,0.0,1018,22,10,146,14
2020-01-19,24,19,0.0,8.7,1,1,32,01:07 AM,12:36 PM,06:21 AM,05:08 PM,10,21,21,21,26,2,53,0.0,1016,24,10,166,15
2020-01-20,23,17,0.0,8.7,1,1,25,02:07 AM,01:20 PM,06:21 AM,05:09 PM,11,20,20,20,33,3,58,0.0,1018,23,10,348,23
2020-01-21,22,17,0.0,8.7,1,1,18,03:08 AM,02:07 PM,06:20 AM,05:10 PM,9,19,19,19,29,1,55,0.0,1018,22,10,180,19
2020-01-22,21,16,0.0,8.7,1,1,11,04:07 AM,02:58 PM,06:20 AM,05:10 PM,11,19,19,19,25,9,61,0.0,1016,21,10,134,18
2020-01-23,18,15,0.0,4.1,1,1,3,05:03 AM,03:52 PM,06:20 AM,05:11 PM,12,18,18,18,39,61,72,0.1,1017,18,10,339,29
2020-01-24,19,15,0.0,8.7,1,1,0,05:55 AM,04:47 PM,06:20 AM,05:12 PM,8,16,16,16,27,29,56,1.4,1020,19,10,325,20
2020-01-25,21,14,0.0,8.7,1,1,0,06:42 AM,05:43 PM,06:19 AM,05:13 PM,6,17,17,17,12,1,48,0.0,1019,21,10,202,8
2020-01-26,16,11,0.0,8.7,1,1,4,07:25 AM,06:37 PM,06:19 AM,05:14 PM,5,13,14,13,43,7,54,0.0,1022,16,10,309,32
2020-01-27,17,14,0.0,8.7,1,1,11,08:03 AM,07:31 PM,06:19 AM,05:14 PM,8,14,15,14,42,2,62,0.0,1022,17,10,318,30
2020-01-28,20,14,0.0,8.7,1,1,18,08:38 AM,08:22 PM,06:19 AM,05:15 PM,9,15,16,15,30,1,63,0.0,1021,20,10,329,20
2020-01-29,19,14,0.0,5.6,1,1,26,09:11 AM,09:13 PM,06:18 AM,05:16 PM,8,16,16,16,16,26,60,0.0,1020,19,10,181,10
