date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,27,25,0.0,13.3,1,1,80,03:57 PM,02:34 AM,05:44 AM,07:04 PM,23,29,29,26,9,49,85,3.1,1011,27,10,91,8
2020-01-08,27,25,0.0,12.1,1,1,88,04:54 PM,03:19 AM,05:44 AM,07:04 PM,23,29,29,26,13,61,85,2.7,1012,27,10,107,11
2020-01-09,26,24,0.0,13.3,1,1,95,05:54 PM,04:08 AM,05:45 AM,07:04 PM,21,27,27,25,21,41,79,0.5,1012,26,10,109,18
2020-01-10,26,20,0.0,12.1,1,1,100,06:53 PM,05:04 AM,05:46 AM,07:05 PM,20,26,26,24,18,38,78,1.1,1012,26,10,108,15
2020-01-11,26,24,0.0,9.7,1,1,100,07:51 PM,06:05 AM,05:46 AM,07:05 PM,21,27,27,25,24,74,82,7.6,1012,26,9,109,19
2020-01-12,27,24,0.0,9.7,1,1,83,08:44 PM,07:08 AM,05:47 AM,07:05 PM,22,28,28,26,26,72,80,3.7,1012,27,10,106,21
2020-01-13,27,24,0.0,12.1,1,1,76,09:34 PM,08:12 AM,05:48 AM,07:05 PM,22,28,28,26,19,59,79,5.4,1012,27,10,96,16
2020-01-14,28,25,0.0,10.9,1,1,69,10:19 PM,09:16 AM,05:48 AM,07:05 PM,22,29,29,26,16,51,77,2.6,1012,28,10,75,14
2020-01-15,28,26,0.0,12.1,1,1,61,11:01 PM,10:17 AM,05:49 AM,07:05 PM,23,30,30,27,25,55,81,4.5,1014,28,10,97,20
2020-01-16,28,25,0.0,10.9,1,1,54,11:43 PM,11:17 AM,05:50 AM,07:05 PM,23,29,29,26,28,71,82,6.7,1013,28,9,103,22
2020-01-17,27,25,0.0,9.7,1,1,47,No moonrise,12:16 PM,05:51 AM,07:05 PM,23,29,29,26,20,75,82,4.8,1012,27,9,92,16
2020-01-18,27,25,0.0,12.1,1,1,40,12:23 AM,01:15 PM,05:51 AM,07:05 PM,23,29,29,26,17,58,81,1.9,1010,27,10,67,14
2020-01-19,27,23,0.0,10.9,1,1,32,01:05 AM,02:13 PM,05:52 AM,07:05 PM,22,28,28,25,13,67,81,1.9,1009,27,10,63,11
2020-01-20,28,25,0.0,13.3,1,1,25,01:49 AM,03:12 PM,05:53 AM,07:05 PM,23,29,29,26,11,52,80,1.2,1006,28,10,326,10
2020-01-21,26,17,0.0,8.5,1,1,18,02:36 AM,04:11 PM,05:53 AM,07:05 PM,23,26,26,24,18,77,89,17.8,1004,26,8,270,14
2020-01-22,27,25,0.0,9.7,1,1,11,03:26 AM,05:08 PM,05:54 AM,07:05 PM,24,29,29,26,11,63,87,7.6,1003,27,10,101,9
2020-01-23,28,26,0.0,10.9,1,1,3,04:19 AM,06:02 PM,05:55 AM,07:05 PM,24,30,30,27,15,59,84,5.3,1005,28,10,285,11
2020-01-24,25,18,0.0,9.6,1,1,0,05:13 AM,06:53 PM,05:55 AM,07:04 PM,24,27,27,24,14,81,89,63.4,1004,25,7,62,9
