date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,3,-2,0.0,8.7,1,1,80,02:10 PM,04:14 AM,07:52 AM,04:52 PM,-6,-2,0,-2,9,2,62,0.0,1029,3,10,208,6
2020-01-08,3,-2,0.0,8.7,1,1,88,02:49 PM,05:21 AM,07:52 AM,04:53 PM,-6,-2,1,-2,10,3,63,0.0,1031,3,10,272,6
2020-01-09,3,-2,0.0,5.2,1,1,95,03:37 PM,06:27 AM,07:51 AM,04:54 PM,-6,-3,0,-3,17,44,62,0.0,1028,3,10,247,11
2020-01-10,6,-0,0.0,8.7,1,1,100,04:34 PM,07:29 AM,07:51 AM,04:55 PM,-5,-1,3,-1,21,29,58,0.0,1023,6,10,236,12
2020-01-11,8,2,0.0,6.9,1,1,100,05:41 PM,08:25 AM,07:51 AM,04:56 PM,-1,3,5,3,12,44,68,0.0,1024,8,10,171,6
2020-01-12,7,2,0.0,5.2,1,1,83,06:54 PM,09:13 AM,07:50 AM,04:58 PM,0,3,5,3,9,59,74,0.0,1030,7,10,165,5
2020-01-13,8,1,0.0,8.7,1,1,76,08:11 PM,09:53 AM,07:50 AM,04:59 PM,1,1,4,1,19,3,80,0.0,1027,8,10,243,11
2020-01-14,7,1,0.0,8.7,1,1,69,09:27 PM,10:26 AM,07:50 AM,05:00 PM,0,3,4,3,10,22,77,0.0,1026,7,10,246,6
2020-01-15,8,2,0.0,8.7,1,1,61,10:42 PM,10:56 AM,07:49 AM,05:01 PM,1,5,5,5,5,1,73,0.0,1030,8,10,220,4
2020-01-16,9,1,0.0,8.7,1,1,54,11:56 PM,11:24 AM,07:49 AM,05:02 PM,1,4,5,4,7,1,79,0.0,1031,9,10,201,5
2020-01-17,6,-0,0.0,7.0,1,1,47,No moonrise,11:50 AM,07:48 AM,05:04 PM,-1,1,3,1,11,38,77,0.0,1032,6,10,25,7
2020-01-18,5,1,0.0,7.0,1,1,40,01:09 AM,12:18 PM,07:47 AM,05:05 PM,-2,1,2,1,8,55,72,0.0,1029,5,10,105,6
2020-01-19,3,-1,0.0,3.6,1,1,32,02:21 AM,12:48 PM,07:47 AM,05:06 PM,-3,1,2,1,6,87,69,0.0,1029,3,10,155,4
2020-01-20,4,-0,0.0,5.3,1,1,25,03:33 AM,01:23 PM,07:46 AM,05:08 PM,-3,0,2,0,9,54,66,0.1,1040,4,10,273,7
2020-01-21,4,-1,0.0,7.0,1,1,18,04:41 AM,02:02 PM,07:45 AM,05:09 PM,-3,-2,1,-2,15,31,73,0.0,1040,4,10,256,9
2020-01-22,5,-1,0.0,7.0,1,1,11,05:46 AM,02:49 PM,07:45 AM,05:10 PM,-4,-2,2,-2,24,35,63,0.0,1027,5,10,249,16
2020-01-23,8,0,0.0,8.7,1,1,3,06:43 AM,03:43 PM,07:44 AM,05:12 PM,-6,2,4,2,13,3,48,0.0,1030,8,10,286,8
2020-01-24,6,-1,0.0,8.7,1,1,0,07:33 AM,04:41 PM,07:43 AM,05:13 PM,-5,0,3,0,17,1,57,0.0,1030,6,10,241,10
2020-01-25,8,-0,0.0,8.7,1,1,0,08:15 AM,05:44 PM,07:42 AM,05:14 PM,-6,1,3,1,16,10,51,0.0,1023,8,10,244,10
2020-01-26,9,1,0.0,8.7,1,1,4,08:49 AM,06:46 PM,07:41 AM,05:16 PM,-4,3,5,3,13,22,54,0.0,1024,9,10,75,8
2020-01-27,9,3,0.0,7.0,1,1,11,09:19 AM,07:49 PM,07:40 AM,05:17 PM,1,4,6,4,13,57,70,0.6,1017,9,9,146,8
2020-01-28,11,4,0.0,8.7,1,1,18,09:44 AM,08:50 PM,07:39 AM,05:19 PM,3,5,7,5,18,50,79,0.1,1012,11,9,247,11
2020-01-29,11,5,0.0,3.7,1,1,26,10:07 AM,09:51 PM,07:38 AM,05:20 PM,1,5,8,5,23,56,65,2.2,1008,11,10,266,14
2020-01-30,9,3,0.0,8.7,1,1,33,10:28 AM,10:51 PM,07:37 AM,05:21 PM,-2,4,6,4,15,20,57,0.1,1015,9,10,249,9
2020-01-31,9,2,0.0,5.4,1,1,37,10:50 AM,11:52 PM,07:36 AM,05:23 PM,-2,2,5,2,28,64,59,0.0,1014,9,10,249,18
2020-02-01,13,6,0.0,8.7,1,1,49,11:13 AM,No moonset,07:35 AM,05:24 PM,4,8,9,8,18,22,73,0.0,1014,13,10,243,11
2020-02-02,16,8,0.0,8.7,1,1,57,11:38 AM,12:53 AM,07:34 AM,05:26 PM,5,9,11,9,35,36,66,0.0,1014,16,10,264,21
2020-02-03,16,9,0.0,7.0,1,1,64,12:06 PM,01:57 AM,07:33 AM,05:27 PM,5,10,12,10,36,71,63,0.0,1010,16,10,266,23
2020-02-04,11,4,0.0,3.7,1,1,72,12:40 PM,03:01 AM,07:32 AM,05:28 PM,4,7,9,7,18,76,70,0.9,1003,11,8,158,11
2020-02-05,7,3,0.0,3.8,1,1,79,01:23 PM,04:07 AM,07:30 AM,05:30 PM,1,1,6,1,37,95,72,7.9,994,7,6,145,28
2020-02-06,2,-0,9.7,3.8,1,1,87,02:15 PM,05:10 AM,07:29 AM,05:31 PM,-4,-3,1,-3,23,94,71,12.5,1014,2,5,261,15
