date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,-3,-9,0.1,2.8,1,1,80,01:42 PM,05:04 AM,08:57 AM,04:14 PM,-5,-8,-4,-8,15,89,92,0.2,1025,-3,8,236,10
2020-01-08,-0,-2,1.0,2.9,1,1,88,02:11 PM,06:20 AM,08:56 AM,04:16 PM,-2,-5,-1,-5,22,100,92,1.2,1021,-0,8,230,14
2020-01-09,2,-5,5.1,2.9,1,1,95,02:52 PM,07:35 AM,08:56 AM,04:17 PM,-2,-5,-1,-5,26,88,92,6.2,1012,2,6,263,16
2020-01-10,0,-1,0.0,2.9,1,1,100,03:48 PM,08:40 AM,08:55 AM,04:19 PM,-2,-4,-0,-4,16,100,91,0.2,1015,0,10,252,10
2020-01-11,-0,-4,2.1,2.9,1,1,100,04:59 PM,09:33 AM,08:54 AM,04:21 PM,-3,-5,-2,-5,13,69,95,3.6,1016,-0,5,37,8
2020-01-12,0,-7,0.0,2.9,1,1,83,06:21 PM,10:12 AM,08:53 AM,04:22 PM,-4,-7,-2,-7,30,88,85,0.3,1014,0,10,236,18
2020-01-13,2,-2,1.3,2.9,1,1,76,07:50 PM,10:41 AM,08:52 AM,04:24 PM,-0,-4,1,-4,28,70,92,2.7,1008,2,8,290,17
2020-01-14,1,-3,0.0,2.9,1,1,69,09:19 PM,11:04 AM,08:51 AM,04:26 PM,-2,-5,-1,-5,17,69,93,0.2,1019,1,7,259,11
2020-01-15,1,-6,0.0,2.9,1,1,61,10:46 PM,11:22 AM,08:50 AM,04:28 PM,-1,-5,-0,-5,35,84,89,0.4,1021,1,9,224,22
2020-01-16,3,-0,0.0,2.9,1,1,54,No moonrise,11:38 AM,08:49 AM,04:29 PM,1,-2,2,-2,35,98,89,0.9,1018,3,8,247,21
2020-01-17,2,1,0.0,2.9,1,1,47,12:12 AM,11:54 AM,08:48 AM,04:31 PM,0,-2,1,-2,19,88,92,0.1,1025,2,10,263,12
2020-01-18,1,-1,0.0,6.8,1,1,40,01:38 AM,12:10 PM,08:46 AM,04:33 PM,-2,-4,-0,-4,19,66,89,0.0,1025,1,10,232,13
2020-01-19,1,-7,0.0,3.0,1,1,32,03:02 AM,12:29 PM,08:45 AM,04:35 PM,-2,-5,-1,-5,21,94,89,0.0,1026,1,10,256,14
2020-01-20,2,-7,0.3,3.0,1,1,25,04:24 AM,12:52 PM,08:44 AM,04:37 PM,-0,-4,0,-4,28,98,91,0.4,1025,2,9,288,18
2020-01-21,4,-0,0.1,3.0,1,1,18,05:44 AM,01:23 PM,08:42 AM,04:39 PM,1,-3,2,-3,38,98,90,7.0,1007,4,5,269,23
2020-01-22,1,-3,1.2,3.0,1,1,11,06:55 AM,02:03 PM,08:41 AM,04:41 PM,-3,-6,-0,-6,30,97,81,2.3,998,1,8,282,21
2020-01-23,-4,-11,2.6,3.0,1,1,3,07:55 AM,02:56 PM,08:40 AM,04:43 PM,-8,-10,-5,-10,28,83,79,3.3,1007,-4,7,325,20
2020-01-24,1,-5,1.4,3.0,1,1,0,08:42 AM,03:58 PM,08:38 AM,04:45 PM,-3,-6,-2,-6,28,85,91,3.1,1004,1,7,251,18
2020-01-25,2,-1,1.8,3.0,1,1,0,09:17 AM,05:08 PM,08:36 AM,04:47 PM,-2,-5,1,-5,31,90,82,2.0,998,2,9,278,20
2020-01-26,-1,-7,0.3,3.1,1,1,4,09:43 AM,06:20 PM,08:35 AM,04:49 PM,-3,-7,-2,-7,32,95,84,1.4,1008,-1,8,258,22
2020-01-27,-2,-5,1.4,3.1,1,1,11,10:02 AM,07:34 PM,08:33 AM,04:51 PM,-4,-6,-2,-6,19,89,83,2.7,1013,-2,8,50,13
2020-01-28,-3,-8,6.7,3.1,1,1,18,10:18 AM,08:45 PM,08:32 AM,04:54 PM,-5,-10,-4,-10,22,100,95,7.9,1013,-3,2,132,15
2020-01-29,1,-7,1.0,3.1,1,1,26,10:31 AM,09:56 PM,08:30 AM,04:56 PM,-2,-5,-2,-5,15,100,97,1.3,1009,1,7,142,10
2020-01-30,0,-4,5.9,3.1,1,1,33,10:44 AM,11:06 PM,08:28 AM,04:58 PM,-2,-6,-1,-6,20,100,97,6.8,1002,0,3,71,14
2020-01-31,-1,-5,0.7,3.3,1,1,37,10:56 AM,No moonset,08:26 AM,05:00 PM,-3,-4,-3,-4,7,97,96,0.8,1001,-1,5,246,4
2020-02-01,-1,-10,0.3,3.3,1,1,49,11:09 AM,12:16 AM,08:24 AM,05:02 PM,-3,-5,-3,-5,10,88,96,0.5,1004,-1,3,165,6
2020-02-02,2,-4,2.6,3.3,1,1,57,11:24 AM,01:29 AM,08:23 AM,05:04 PM,1,-3,0,-3,28,100,98,9.5,992,2,6,173,17
2020-02-03,1,-2,1.4,3.3,1,1,64,11:43 AM,02:42 AM,08:21 AM,05:07 PM,-1,-4,0,-4,25,96,95,1.8,985,1,6,281,16
2020-02-04,-3,-5,0.0,3.3,1,1,72,12:07 PM,03:57 AM,08:19 AM,05:09 PM,-6,-10,-3,-10,29,99,86,0.2,992,-3,10,279,20
2020-02-05,-5,-14,0.0,5.1,1,1,79,12:41 PM,05:11 AM,08:17 AM,05:11 PM,-8,-12,-6,-12,25,58,84,0.1,1007,-5,10,311,17
2020-02-06,-2,-10,3.1,3.4,1,1,87,01:29 PM,06:20 AM,08:15 AM,05:13 PM,-8,-13,-6,-13,32,80,84,4.4,1002,-2,7,269,21
2020-02-07,-8,-12,0.1,3.4,1,1,95,02:32 PM,07:20 AM,08:13 AM,05:15 PM,-12,-18,-10,-18,30,80,86,0.3,1010,-8,10,232,21
2020-02-08,-6,-13,0.0,8.7,1,1,100,03:51 PM,08:05 AM,08:11 AM,05:18 PM,-11,-15,-10,-15,13,23,90,0.0,1022,-6,9,265,8
2020-02-09,-2,-9,0.0,3.4,1,1,100,05:19 PM,08:40 AM,08:09 AM,05:20 PM,-6,-10,-5,-10,25,92,91,0.0,1020,-2,9,235,16
2020-02-10,-0,-8,0.0,8.7,1,1,83,06:51 PM,09:06 AM,08:07 AM,05:22 PM,-4,-7,-2,-7,38,61,86,0.4,1004,-0,8,198,25
