date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,27,15,0.0,9.2,1,1,80,03:15 PM,02:43 AM,05:59 AM,06:13 PM,16,20,20,20,7,56,82,9.7,1013,27,7,42,4
2020-01-08,23,15,0.0,11.8,1,1,88,04:08 PM,03:34 AM,05:59 AM,06:13 PM,16,19,20,19,5,62,89,8.6,1015,23,7,219,3
2020-01-09,25,16,0.0,7.6,1,1,95,05:05 PM,04:28 AM,06:00 AM,06:13 PM,17,21,21,20,5,81,87,19.9,1013,25,8,75,2
2020-01-10,27,15,0.0,10.4,1,1,100,06:04 PM,05:26 AM,06:00 AM,06:14 PM,16,21,21,21,8,67,77,4.7,1014,27,8,29,5
2020-01-11,26,15,0.0,10.2,1,1,100,07:03 PM,06:25 AM,06:01 AM,06:14 PM,16,21,21,20,5,48,79,3.4,1014,26,10,41,3
2020-01-12,25,15,0.0,7.4,1,1,83,08:02 PM,07:26 AM,06:01 AM,06:14 PM,17,19,19,19,6,69,88,33.7,1015,25,6,150,3
2020-01-13,24,16,0.0,7.5,1,1,76,08:57 PM,08:24 AM,06:01 AM,06:15 PM,17,19,21,19,6,65,89,18.9,1014,24,8,164,4
2020-01-14,27,14,0.0,10.2,1,1,69,09:51 PM,09:20 AM,06:02 AM,06:15 PM,16,23,23,22,8,45,75,0.5,1013,27,9,29,6
2020-01-15,28,16,0.0,11.6,1,1,61,10:41 PM,10:13 AM,06:02 AM,06:15 PM,15,24,24,23,8,13,68,0.0,1013,28,10,35,5
2020-01-16,29,16,0.0,10.2,1,1,54,11:30 PM,11:04 AM,06:03 AM,06:16 PM,16,23,23,22,6,48,70,2.2,1013,29,10,35,4
2020-01-17,26,18,0.0,6.1,1,1,47,No moonrise,11:55 AM,06:03 AM,06:16 PM,17,21,21,21,3,70,81,12.2,1013,26,9,153,2
2020-01-18,27,18,0.0,6.1,1,1,40,12:19 AM,12:45 PM,06:03 AM,06:16 PM,17,21,21,21,5,65,82,12.6,1013,27,9,288,3
2020-01-19,26,18,0.0,6.1,1,1,32,01:09 AM,01:37 PM,06:04 AM,06:17 PM,18,21,21,21,3,64,84,13.2,1014,26,9,189,2
2020-01-20,29,16,0.0,8.8,1,1,25,01:59 AM,02:30 PM,06:04 AM,06:17 PM,17,23,23,22,6,42,76,1.2,1013,29,9,24,4
2020-01-21,29,19,0.0,11.6,1,1,18,02:52 AM,03:24 PM,06:04 AM,06:17 PM,16,25,25,24,5,31,67,0.2,1012,29,10,31,3
2020-01-22,31,18,0.0,11.6,1,1,11,03:46 AM,04:18 PM,06:05 AM,06:17 PM,15,24,24,23,5,22,65,0.1,1012,31,10,263,3
2020-01-23,29,18,0.0,7.4,1,1,3,04:40 AM,05:13 PM,06:05 AM,06:18 PM,17,22,22,22,4,67,75,2.6,1013,29,9,228,3
2020-01-24,25,19,0.0,6.1,1,1,0,05:34 AM,06:05 PM,06:05 AM,06:18 PM,18,22,22,22,3,70,80,10.1,1014,25,9,205,2
2020-01-25,27,18,0.0,10.2,1,1,0,06:25 AM,06:55 PM,06:06 AM,06:18 PM,16,23,23,22,4,52,70,0.9,1014,27,10,51,3
2020-01-26,28,18,0.0,11.6,1,1,4,07:15 AM,07:42 PM,06:06 AM,06:18 PM,14,23,23,23,7,36,61,0.1,1014,28,10,24,5
2020-01-27,27,17,0.0,7.4,1,1,11,08:01 AM,08:25 PM,06:06 AM,06:18 PM,16,21,21,20,4,47,77,1.7,1014,27,10,164,3
2020-01-28,22,17,0.0,6.1,1,1,18,08:45 AM,09:08 PM,06:06 AM,06:18 PM,17,19,19,19,4,68,89,11.8,1015,22,9,111,3
2020-01-29,24,13,0.0,6.1,1,1,26,09:28 AM,09:48 PM,06:07 AM,06:19 PM,17,19,19,19,4,79,88,15.5,1015,24,8,71,2
2020-01-30,26,17,0.0,8.8,1,1,33,10:09 AM,10:28 PM,06:07 AM,06:19 PM,17,21,21,20,4,63,83,14.5,1015,26,9,76,2
2020-01-31,27,16,0.0,7.4,1,1,37,10:50 AM,11:09 PM,06:07 AM,06:19 PM,17,21,21,20,5,72,85,26.3,1015,27,6,64,3
2020-02-01,18,16,0.0,6.1,1,1,49,11:33 AM,11:50 PM,06:07 AM,06:19 PM,17,17,17,17,4,85,97,32.4,1017,18,5,140,2
2020-02-02,25,16,0.0,7.4,1,1,57,12:16 PM,No moonset,06:07 AM,06:19 PM,16,21,21,20,3,65,84,6.9,1015,25,9,107,2
2020-02-03,25,16,0.0,6.1,1,1,64,01:03 PM,12:34 AM,06:08 AM,06:19 PM,18,21,21,20,4,73,87,32.0,1015,25,8,85,2
2020-02-04,24,17,0.0,6.1,1,1,72,01:54 PM,01:22 AM,06:08 AM,06:19 PM,18,21,21,20,7,77,88,25.8,1014,24,9,33,4
2020-02-05,24,17,0.0,6.1,1,1,79,02:48 PM,02:13 AM,06:08 AM,06:19 PM,18,19,20,19,3,73,89,25.0,1015,24,8,192,2
2020-02-06,22,16,0.0,6.1,1,1,87,03:45 PM,03:08 AM,06:08 AM,06:19 PM,17,18,19,18,4,68,91,11.3,1016,22,7,80,3
2020-02-07,28,16,0.0,10.2,1,1,95,04:45 PM,04:07 AM,06:08 AM,06:19 PM,16,22,22,21,6,51,75,2.5,1015,28,10,47,4
2020-02-08,28,16,0.0,6.1,1,1,100,05:45 PM,05:07 AM,06:08 AM,06:19 PM,17,23,23,22,8,80,77,7.9,1015,28,9,41,5
2020-02-09,28,16,0.0,10.2,1,1,100,06:43 PM,06:07 AM,06:08 AM,06:19 PM,16,24,24,23,7,59,74,1.3,1014,28,9,64,5
2020-02-10,29,17,0.0,11.6,1,1,83,07:39 PM,07:06 AM,06:08 AM,06:19 PM,14,24,24,23,9,14,62,1.5,1014,29,10,26,6
2020-02-11,30,17,0.0,11.6,1,1,75,08:32 PM,08:02 AM,06:08 AM,06:19 PM,14,25,25,24,6,8,60,0.0,1014,30,10,50,5
2020-02-12,30,17,0.0,11.6,1,1,68,09:24 PM,08:56 AM,06:08 AM,06:19 PM,16,24,24,23,5,21,65,0.6,1013,30,10,149,3
2020-02-13,28,18,0.0,11.6,1,1,60,10:14 PM,09:49 AM,06:09 AM,06:19 PM,15,24,24,23,6,39,66,1.5,1013,28,10,117,4
2020-02-14,29,18,0.0,11.6,1,1,53,11:05 PM,10:41 AM,06:09 AM,06:19 PM,14,23,23,22,8,34,63,1.2,1012,29,10,21,6
2020-02-15,27,17,0.0,6.1,1,1,45,11:57 PM,11:34 AM,06:09 AM,06:19 PM,16,20,21,20,4,75,82,8.7,1013,27,9,156,3
2020-02-16,29,16,0.0,7.4,1,1,38,No moonrise,12:26 PM,06:09 AM,06:19 PM,17,22,22,21,5,66,79,6.8,1013,29,8,105,3
2020-02-17,28,16,0.0,7.4,1,1,30,12:49 AM,01:21 PM,06:09 AM,06:19 PM,17,22,22,21,5,70,79,12.1,1013,28,8,133,3
2020-02-18,26,17,0.0,6.0,1,1,22,01:42 AM,02:14 PM,06:09 AM,06:18 PM,18,22,22,21,8,78,83,18.6,1013,26,8,101,4
2020-02-19,26,16,0.0,7.4,1,1,15,02:35 AM,03:08 PM,06:09 AM,06:18 PM,17,22,22,21,6,66,80,11.5,1013,26,8,101,4
2020-02-20,28,16,0.0,6.1,1,1,7,03:29 AM,04:00 PM,06:08 AM,06:18 PM,17,22,22,21,7,79,80,14.1,1013,28,8,64,4
2020-02-21,29,16,0.0,7.4,1,1,0,04:20 AM,04:50 PM,06:08 AM,06:18 PM,17,23,23,22,5,66,77,4.6,1012,29,8,76,3
2020-02-22,28,16,0.0,7.4,1,1,0,05:10 AM,05:38 PM,06:08 AM,06:18 PM,17,25,25,23,6,64,77,5.9,1012,28,10,39,4
