date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,29,14,0.0,11.1,1,1,80,04:02 PM,04:19 AM,07:36 AM,06:49 PM,-10,21,21,21,35,1,13,0.0,1015,29,10,48,21
2020-01-08,28,14,0.0,11.1,1,1,88,04:51 PM,05:15 AM,07:36 AM,06:49 PM,-10,20,20,20,37,11,13,0.0,1015,28,10,53,22
2020-01-09,29,13,0.0,11.1,1,1,95,05:46 PM,06:13 AM,07:36 AM,06:50 PM,-11,21,21,20,39,3,12,0.0,1016,29,10,49,23
2020-01-10,29,14,0.0,11.2,1,1,100,06:45 PM,07:13 AM,07:36 AM,06:51 PM,-11,21,21,21,41,0,12,0.0,1017,29,10,54,24
2020-01-11,30,14,0.0,11.1,1,1,100,07:47 PM,08:11 AM,07:37 AM,06:51 PM,-8,21,21,21,34,4,15,0.0,1016,30,10,56,20
2020-01-12,32,17,0.0,11.2,1,1,83,08:50 PM,09:07 AM,07:37 AM,06:52 PM,-12,23,23,24,33,8,9,0.0,1016,32,10,62,20
2020-01-13,33,16,0.0,11.2,1,1,76,09:52 PM,10:00 AM,07:37 AM,06:52 PM,-10,24,24,24,33,5,10,0.0,1014,33,10,74,20
2020-01-14,31,17,0.0,11.2,1,1,69,10:52 PM,10:48 AM,07:37 AM,06:53 PM,-7,23,23,23,32,29,14,0.0,1013,31,10,68,19
2020-01-15,31,19,0.0,11.2,1,1,61,11:50 PM,11:34 AM,07:37 AM,06:54 PM,-8,24,24,24,29,6,11,0.0,1014,31,10,55,18
2020-01-16,33,19,0.0,11.2,1,1,54,No moonrise,12:17 PM,07:37 AM,06:54 PM,-11,25,25,26,31,18,9,0.0,1015,33,10,59,19
2020-01-17,34,19,0.0,11.2,1,1,47,12:47 AM,01:00 PM,07:37 AM,06:55 PM,-10,26,26,26,34,9,9,0.0,1015,34,10,77,21
2020-01-18,34,19,0.0,11.2,1,1,40,01:43 AM,01:44 PM,07:38 AM,06:55 PM,-8,26,26,26,35,3,11,0.0,1015,34,10,84,22
2020-01-19,34,19,0.0,11.2,1,1,32,02:39 AM,02:28 PM,07:38 AM,06:56 PM,-6,26,26,26,33,9,12,0.0,1013,34,10,76,20
2020-01-20,34,19,0.0,11.2,1,1,25,03:37 AM,03:16 PM,07:38 AM,06:56 PM,-5,26,26,26,28,13,14,0.0,1011,34,10,130,16
2020-01-21,33,19,0.0,8.6,1,1,18,04:34 AM,04:06 PM,07:38 AM,06:57 PM,-3,25,25,25,24,53,18,0.0,1011,33,10,120,13
2020-01-22,35,21,0.0,8.6,1,1,11,05:31 AM,04:59 PM,07:38 AM,06:58 PM,-1,26,26,27,29,54,19,0.0,1013,35,10,119,17
2020-01-23,34,23,0.0,8.6,1,1,3,06:26 AM,05:53 PM,07:38 AM,06:58 PM,-1,26,26,27,22,45,17,0.8,1013,34,10,36,13
2020-01-24,38,23,0.0,11.2,1,1,0,07:18 AM,06:47 PM,07:38 AM,06:59 PM,6,29,29,30,26,21,24,0.3,1012,38,10,136,16
2020-01-25,38,25,0.0,11.2,1,1,0,08:06 AM,07:41 PM,07:38 AM,06:59 PM,2,30,30,31,39,7,19,0.0,1013,38,10,39,24
2020-01-26,36,23,0.0,11.6,1,1,4,08:51 AM,08:32 PM,07:37 AM,07:00 PM,6,29,29,29,42,16,27,0.0,1015,36,10,34,27
2020-01-27,38,22,0.0,11.6,1,1,11,09:32 AM,09:22 PM,07:37 AM,07:00 PM,0,29,29,29,31,11,19,0.0,1013,38,10,131,18
2020-01-28,39,22,0.0,11.6,1,1,18,10:10 AM,10:09 PM,07:37 AM,07:01 PM,-4,29,29,29,27,0,15,0.0,1012,39,10,90,16
2020-01-29,39,22,0.0,11.6,1,1,26,10:46 AM,10:56 PM,07:37 AM,07:01 PM,-8,30,30,30,26,0,10,0.0,1012,39,10,98,16
2020-01-30,39,24,0.0,11.6,1,1,33,11:21 AM,11:43 PM,07:37 AM,07:02 PM,-5,30,30,31,39,0,10,0.0,1014,39,10,83,24
2020-01-31,38,23,0.0,11.6,1,1,37,11:56 AM,No moonset,07:37 AM,07:02 PM,-6,30,30,30,40,0,10,0.0,1014,38,10,49,24
2020-02-01,37,20,0.0,11.6,1,1,49,12:32 PM,12:29 AM,07:37 AM,07:03 PM,-6,27,27,27,31,0,13,0.0,1013,37,10,129,18
2020-02-02,39,21,0.0,11.6,1,1,57,01:11 PM,01:17 AM,07:36 AM,07:03 PM,-3,30,30,30,27,12,15,0.0,1012,39,10,137,16
2020-02-03,39,21,0.0,11.6,1,1,64,01:52 PM,02:07 AM,07:36 AM,07:04 PM,5,30,30,29,20,27,27,0.0,1013,39,10,149,12
2020-02-04,37,20,0.0,8.7,1,1,72,02:38 PM,03:01 AM,07:36 AM,07:04 PM,-1,28,28,28,22,50,21,0.0,1014,37,10,83,14
2020-02-05,37,21,0.0,11.6,1,1,79,03:30 PM,03:56 AM,07:36 AM,07:05 PM,-11,28,28,29,32,16,8,0.0,1013,37,10,76,19
2020-02-06,37,20,0.0,11.6,1,1,87,04:26 PM,04:54 AM,07:35 AM,07:05 PM,-11,28,28,28,32,0,8,0.0,1013,37,10,67,19
2020-02-07,37,20,0.0,11.6,1,1,95,05:27 PM,05:53 AM,07:35 AM,07:06 PM,-11,28,28,28,32,2,8,0.0,1014,37,10,70,20
2020-02-08,36,20,0.0,11.6,1,1,100,06:30 PM,06:51 AM,07:35 AM,07:06 PM,-10,28,28,28,32,9,8,0.0,1015,36,10,61,20
2020-02-09,36,20,0.0,11.6,1,1,100,07:35 PM,07:46 AM,07:34 AM,07:07 PM,-8,27,27,28,33,2,10,0.0,1014,36,10,55,20
2020-02-10,35,19,0.0,11.6,1,1,83,08:37 PM,08:38 AM,07:34 AM,07:07 PM,-9,26,26,27,30,1,10,0.0,1014,35,10,61,18
2020-02-11,36,20,0.0,11.6,1,1,75,09:39 PM,09:27 AM,07:34 AM,07:07 PM,-7,27,27,28,30,0,11,0.0,1014,36,10,133,18
2020-02-12,38,20,0.0,11.6,1,1,68,10:38 PM,10:12 AM,07:33 AM,07:08 PM,-5,28,28,29,31,1,12,0.0,1013,38,10,89,19
2020-02-13,39,24,0.0,11.6,1,1,60,11:37 PM,10:57 AM,07:33 AM,07:08 PM,0,30,30,31,34,1,15,0.0,1012,39,10,81,21
2020-02-14,38,24,0.0,11.6,1,1,53,No moonrise,11:42 AM,07:32 AM,07:09 PM,-2,30,30,31,34,5,13,0.0,1012,38,10,76,21
2020-02-15,38,24,0.0,11.6,1,1,45,12:34 AM,12:27 PM,07:32 AM,07:09 PM,-2,30,30,30,34,7,14,0.0,1012,38,10,64,21
2020-02-16,38,24,0.0,11.6,1,1,38,01:33 AM,01:14 PM,07:31 AM,07:09 PM,-1,30,30,31,32,8,14,0.0,1012,38,10,59,19
2020-02-17,39,25,0.0,11.6,1,1,30,02:30 AM,02:04 PM,07:31 AM,07:10 PM,-3,31,31,32,40,31,12,0.0,1012,39,10,56,25
2020-02-18,39,25,0.0,11.6,1,1,22,03:27 AM,02:55 PM,07:30 AM,07:10 PM,-9,31,31,32,36,22,7,0.0,1012,39,10,52,23
2020-02-19,39,23,0.0,11.6,1,1,15,04:22 AM,03:48 PM,07:30 AM,07:10 PM,-6,30,30,31,31,22,11,0.0,1010,39,10,128,19
2020-02-20,38,22,0.0,8.8,1,1,7,05:14 AM,04:42 PM,07:29 AM,07:11 PM,2,30,30,29,35,58,21,0.0,1009,38,10,111,21
2020-02-21,38,21,0.0,11.6,1,1,0,06:03 AM,05:35 PM,07:29 AM,07:11 PM,7,30,30,29,33,20,32,0.0,1010,38,10,173,20
2020-02-22,37,19,0.0,11.6,1,1,0,06:48 AM,06:26 PM,07:28 AM,07:11 PM,11,28,28,27,31,1,46,0.0,1011,37,10,254,19
2020-02-23,37,20,0.0,11.6,1,1,0,07:30 AM,07:16 PM,07:28 AM,07:12 PM,10,28,28,27,29,8,45,0.0,1011,37,10,180,19
2020-02-24,39,22,0.0,11.6,1,1,0,08:08 AM,08:04 PM,07:27 AM,07:12 PM,6,30,30,30,29,48,28,0.4,1011,39,10,121,20
2020-02-25,41,27,0.0,11.6,1,1,8,08:45 AM,08:51 PM,07:27 AM,07:12 PM,-2,33,33,34,38,20,11,0.0,1009,41,10,96,24
2020-02-26,40,26,0.0,11.6,1,1,15,09:20 AM,09:38 PM,07:26 AM,07:12 PM,-4,32,32,33,43,4,10,0.0,1010,40,10,79,27
2020-02-27,39,23,0.0,11.6,1,1,23,09:55 AM,10:24 PM,07:25 AM,07:13 PM,-9,30,30,31,31,0,8,0.0,1011,39,10,57,19
2020-02-28,38,21,0.0,11.6,1,1,30,10:30 AM,11:12 PM,07:25 AM,07:13 PM,-11,29,29,30,30,0,8,0.0,1012,38,10,137,18
