date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,27,21,0.0,8.7,1,1,80,03:09 PM,03:22 AM,06:30 AM,05:51 PM,21,27,27,25,31,31,76,0.1,1015,27,10,96,23
2020-01-08,27,21,0.0,5.7,1,1,88,03:59 PM,04:17 AM,06:30 AM,05:51 PM,22,28,28,25,32,63,78,0.9,1016,27,10,78,24
2020-01-09,27,25,0.0,8.7,1,1,95,04:55 PM,05:15 AM,06:30 AM,05:52 PM,21,28,28,26,46,56,75,1.6,1017,27,10,76,34
2020-01-10,27,26,0.0,4.2,1,1,100,05:55 PM,06:14 AM,06:30 AM,05:52 PM,21,28,28,26,52,79,71,1.5,1017,27,10,78,39
2020-01-11,27,25,0.0,4.2,1,1,100,06:56 PM,07:13 AM,06:31 AM,05:53 PM,21,28,28,26,45,76,76,3.2,1017,27,9,73,34
2020-01-12,27,23,0.0,5.7,1,1,83,07:59 PM,08:09 AM,06:31 AM,05:53 PM,21,28,28,25,46,67,75,2.5,1017,27,10,71,35
2020-01-13,26,24,0.0,4.2,1,1,76,08:59 PM,09:01 AM,06:31 AM,05:54 PM,20,27,27,25,47,68,76,5.4,1016,26,10,71,35
2020-01-14,27,21,0.0,4.2,1,1,69,09:58 PM,09:50 AM,06:31 AM,05:55 PM,21,27,27,25,43,82,76,4.9,1015,27,10,82,31
2020-01-15,27,25,0.0,5.7,1,1,61,10:55 PM,10:36 AM,06:31 AM,05:55 PM,21,28,28,26,40,73,76,1.3,1015,27,10,79,30
2020-01-16,26,22,0.0,8.7,1,1,54,11:51 PM,11:21 AM,06:32 AM,05:56 PM,21,27,27,25,32,49,78,0.6,1016,26,10,67,24
2020-01-17,27,25,0.0,5.7,1,1,47,No moonrise,12:04 PM,06:32 AM,05:56 PM,22,28,28,26,30,66,80,0.6,1016,27,10,71,23
2020-01-18,27,24,0.0,5.7,1,1,40,12:46 AM,12:49 PM,06:32 AM,05:57 PM,22,28,28,25,31,56,81,0.7,1016,27,10,72,23
2020-01-19,27,25,0.0,8.7,1,1,32,01:43 AM,01:35 PM,06:32 AM,05:57 PM,21,27,27,25,39,20,75,0.0,1016,27,10,82,30
2020-01-20,27,24,0.0,7.2,1,1,25,02:39 AM,02:23 PM,06:32 AM,05:58 PM,21,28,28,25,33,59,78,0.8,1015,27,10,80,25
2020-01-21,27,24,0.0,8.7,1,1,18,03:36 AM,03:15 PM,06:32 AM,05:58 PM,21,27,27,25,32,43,78,0.5,1014,27,10,90,24
2020-01-22,26,24,0.0,4.2,1,1,11,04:32 AM,04:08 PM,06:32 AM,05:59 PM,22,27,27,25,32,70,82,6.1,1013,26,10,92,23
2020-01-23,27,23,0.0,8.7,1,1,3,05:27 AM,05:02 PM,06:32 AM,05:59 PM,22,27,27,25,25,43,81,0.6,1012,27,10,87,19
2020-01-24,27,25,0.0,10.2,1,1,0,06:18 AM,05:56 PM,06:32 AM,06:00 PM,22,28,28,26,23,60,82,0.4,1013,27,10,84,17
2020-01-25,27,25,0.0,5.8,1,1,0,07:07 AM,06:48 PM,06:32 AM,06:00 PM,22,28,28,25,23,70,82,0.9,1014,27,10,93,17
2020-01-26,27,24,0.0,11.6,1,1,4,07:51 AM,07:39 PM,06:32 AM,06:01 PM,20,27,27,25,20,17,72,0.0,1015,27,10,80,14
2020-01-27,27,24,0.0,11.6,1,1,11,08:32 AM,08:27 PM,06:32 AM,06:01 PM,19,27,27,25,18,14,72,0.0,1015,27,10,111,12
2020-01-28,28,24,0.0,11.6,1,1,18,09:11 AM,09:14 PM,06:32 AM,06:02 PM,21,28,28,26,17,22,76,0.1,1014,28,10,100,13
2020-01-29,28,25,0.0,8.7,1,1,26,09:48 AM,10:00 PM,06:32 AM,06:02 PM,22,28,28,26,23,50,80,0.9,1014,28,10,104,17
2020-01-30,28,25,0.0,8.7,1,1,33,10:23 AM,10:46 PM,06:32 AM,06:03 PM,22,28,28,26,28,43,79,0.3,1015,28,10,93,21
2020-01-31,28,25,0.0,11.6,1,1,37,10:59 AM,11:32 PM,06:32 AM,06:03 PM,22,28,28,26,28,22,79,0.0,1016,28,10,81,22
2020-02-01,28,25,0.0,11.6,1,1,49,11:37 AM,No moonset,06:31 AM,06:04 PM,22,28,28,26,31,41,77,0.3,1016,28,10,79,23
2020-02-02,28,25,0.0,11.6,1,1,57,12:15 PM,12:19 AM,06:31 AM,06:04 PM,21,28,28,26,28,39,77,1.3,1016,28,10,100,21
2020-02-03,27,25,0.0,5.9,1,1,64,12:58 PM,01:09 AM,06:31 AM,06:04 PM,21,28,28,26,26,63,77,0.9,1017,27,10,93,20
2020-02-04,26,22,0.0,10.2,1,1,72,01:46 PM,02:02 AM,06:31 AM,06:05 PM,20,27,27,25,30,44,74,0.8,1017,26,10,81,23
2020-02-05,27,24,0.0,10.2,1,1,79,02:38 PM,02:58 AM,06:31 AM,06:05 PM,21,28,28,26,35,51,76,1.4,1017,27,10,78,26
2020-02-06,28,23,0.0,7.3,1,1,87,03:36 PM,03:56 AM,06:30 AM,06:06 PM,21,28,28,26,39,62,74,0.4,1016,28,10,95,30
2020-02-07,27,22,0.0,11.6,1,1,95,04:36 PM,04:55 AM,06:30 AM,06:06 PM,21,28,28,26,40,40,72,1.0,1017,27,10,87,30
2020-02-08,27,25,0.0,7.3,1,1,100,05:40 PM,05:53 AM,06:30 AM,06:06 PM,21,28,28,26,38,58,75,3.5,1016,27,10,80,29
2020-02-09,27,25,0.0,5.9,1,1,100,06:43 PM,06:48 AM,06:29 AM,06:07 PM,21,28,28,26,36,74,76,2.7,1017,27,10,90,27
2020-02-10,27,25,0.0,8.7,1,1,83,07:45 PM,07:40 AM,06:29 AM,06:07 PM,21,28,28,26,37,55,74,0.8,1018,27,10,78,28
2020-02-11,27,25,0.0,8.7,1,1,75,08:44 PM,08:29 AM,06:29 AM,06:07 PM,21,28,28,26,38,61,76,1.6,1017,27,9,79,29
2020-02-12,27,21,0.0,8.8,1,1,68,09:43 PM,09:16 AM,06:28 AM,06:08 PM,21,27,27,25,38,58,78,2.2,1016,27,10,74,29
2020-02-13,27,21,0.0,8.8,1,1,60,10:40 PM,10:01 AM,06:28 AM,06:08 PM,21,27,27,25,42,54,73,1.0,1016,27,10,76,31
2020-02-14,27,22,0.0,8.8,1,1,53,11:38 PM,10:47 AM,06:28 AM,06:08 PM,21,27,27,25,39,64,74,0.6,1016,27,10,86,29
2020-02-15,27,25,0.0,10.2,1,1,45,No moonrise,11:33 AM,06:27 AM,06:09 PM,20,28,28,26,37,58,72,1.0,1015,27,10,91,28
2020-02-16,27,21,0.0,7.3,1,1,38,12:34 AM,12:21 PM,06:27 AM,06:09 PM,21,28,28,25,37,66,75,1.5,1014,27,10,86,28
2020-02-17,27,25,0.0,5.9,1,1,30,01:32 AM,01:12 PM,06:27 AM,06:09 PM,22,28,28,26,38,74,77,2.1,1014,27,10,87,28
2020-02-18,27,25,0.0,7.3,1,1,22,02:28 AM,02:03 PM,06:26 AM,06:10 PM,22,28,28,26,39,73,78,2.3,1015,27,10,74,30
2020-02-19,27,21,0.0,5.9,1,1,15,03:23 AM,02:57 PM,06:26 AM,06:10 PM,21,27,27,25,40,66,77,2.6,1015,27,10,90,31
2020-02-20,27,24,0.0,10.2,1,1,7,04:14 AM,03:50 PM,06:25 AM,06:10 PM,20,27,27,25,36,59,73,0.7,1015,27,10,78,28
2020-02-21,26,24,0.0,11.6,1,1,0,05:03 AM,04:42 PM,06:25 AM,06:10 PM,20,27,27,25,28,39,75,0.8,1015,26,10,67,21
2020-02-22,27,24,0.0,10.2,1,1,0,05:48 AM,05:33 PM,06:24 AM,06:11 PM,20,27,27,25,20,37,72,0.3,1015,27,10,97,15
2020-02-23,28,24,0.0,10.2,1,1,0,06:30 AM,06:22 PM,06:24 AM,06:11 PM,22,28,28,26,19,50,78,5.2,1014,28,10,82,14
2020-02-24,28,25,0.0,5.9,1,1,0,07:09 AM,07:10 PM,06:23 AM,06:11 PM,22,29,29,26,29,44,79,13.2,1014,28,9,93,19
2020-02-25,28,25,0.0,10.2,1,1,8,07:47 AM,07:56 PM,06:23 AM,06:11 PM,21,28,28,26,25,53,77,0.4,1014,28,10,89,19
2020-02-26,27,21,0.0,10.2,1,1,15,08:22 AM,08:41 PM,06:22 AM,06:12 PM,21,27,27,25,25,63,77,0.7,1014,27,10,74,19
2020-02-27,27,24,0.0,6.0,1,1,23,08:58 AM,09:27 PM,06:22 AM,06:12 PM,21,27,27,25,27,73,78,2.5,1015,27,9,64,20
2020-02-28,27,24,0.0,8.8,1,1,30,09:35 AM,10:14 PM,06:21 AM,06:12 PM,20,27,27,25,26,52,74,1.5,1016,27,10,88,19
2020-02-29,27,25,0.0,11.6,1,1,38,10:12 AM,11:02 PM,06:20 AM,06:12 PM,20,28,28,26,27,35,73,0.6,1017,27,10,102,21
2020-03-01,27,24,0.0,11.6,1,1,44,10:53 AM,11:53 PM,06:20 AM,06:12 PM,20,27,27,26,28,45,73,0.6,1016,27,10,73,22
2020-03-02,27,24,0.0,10.2,1,1,51,11:37 AM,No moonset,06:19 AM,06:12 PM,20,27,27,25,27,32,71,0.2,1015,27,10,74,21
2020-03-03,27,25,0.0,6.0,1,1,58,12:25 PM,12:45 AM,06:19 AM,06:13 PM,21,28,28,25,32,67,75,1.7,1015,27,10,81,24
2020-03-04,27,25,0.0,6.0,1,1,65,01:19 PM,01:41 AM,06:18 AM,06:13 PM,20,27,27,25,36,66,73,1.6,1017,27,10,88,26
2020-03-05,26,22,0.0,8.8,1,1,73,02:17 PM,02:37 AM,06:18 AM,06:13 PM,19,27,27,25,36,62,71,0.9,1017,26,10,85,27
2020-03-06,27,21,0.0,11.6,1,1,80,03:18 PM,03:35 AM,06:17 AM,06:13 PM,20,27,27,25,32,44,72,0.9,1016,27,10,99,25
2020-03-07,27,24,0.0,10.2,1,1,87,04:21 PM,04:31 AM,06:16 AM,06:13 PM,20,27,27,25,31,43,72,0.3,1015,27,10,95,24
2020-03-08,26,20,0.0,8.8,1,1,95,05:24 PM,05:25 AM,06:16 AM,06:13 PM,20,26,26,25,28,52,73,1.2,1016,26,10,79,21
2020-03-09,26,21,0.0,7.4,1,1,100,06:25 PM,06:15 AM,06:15 AM,06:14 PM,20,26,26,25,34,60,72,0.8,1017,26,10,65,25
2020-03-10,27,24,0.0,7.4,1,1,100,07:26 PM,07:04 AM,06:14 AM,06:14 PM,21,28,28,26,34,67,74,2.8,1016,27,10,83,26
2020-03-11,27,24,0.0,8.8,1,1,84,08:26 PM,07:51 AM,06:14 AM,06:14 PM,20,27,27,25,30,54,74,2.7,1014,27,10,87,22
2020-03-12,27,23,0.0,10.2,1,1,76,09:26 PM,08:38 AM,06:13 AM,06:14 PM,21,27,27,25,33,48,76,1.0,1012,27,10,89,24
2020-03-13,27,25,0.0,10.2,1,1,69,10:25 PM,09:26 AM,06:12 AM,06:14 PM,21,28,28,26,30,51,77,1.2,1014,27,10,91,24
2020-03-14,27,25,0.0,8.8,1,1,62,11:25 PM,10:15 AM,06:12 AM,06:14 PM,22,28,28,26,24,65,78,3.9,1014,27,10,69,18
2020-03-15,27,24,0.0,8.8,1,1,55,No moonrise,11:07 AM,06:11 AM,06:14 PM,20,27,27,26,22,49,74,0.6,1014,27,10,68,17
2020-03-16,27,24,0.0,11.6,1,1,47,12:22 AM,11:59 AM,06:10 AM,06:14 PM,19,27,27,26,16,22,68,0.0,1014,27,10,58,12
