date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,31,22,0.0,6.0,1,1,80,03:55 PM,03:42 AM,06:48 AM,06:39 PM,22,28,28,25,10,71,83,0.7,1013,31,7,64,7
2020-01-08,30,23,0.0,10.2,1,1,88,04:47 PM,04:35 AM,06:49 AM,06:40 PM,23,28,28,26,11,65,85,3.6,1013,30,8,53,8
2020-01-09,31,22,0.0,8.8,1,1,95,05:44 PM,05:32 AM,06:49 AM,06:40 PM,21,28,28,25,11,65,81,2.3,1013,31,9,55,7
2020-01-10,30,22,0.0,10.2,1,1,100,06:43 PM,06:30 AM,06:49 AM,06:41 PM,21,27,27,25,12,61,82,5.8,1013,30,6,51,7
2020-01-11,30,21,0.0,7.4,1,1,100,07:44 PM,07:30 AM,06:50 AM,06:41 PM,21,27,27,25,11,72,79,1.6,1013,30,9,48,7
2020-01-12,30,22,0.0,10.2,1,1,83,08:44 PM,08:28 AM,06:50 AM,06:41 PM,21,27,27,25,11,62,83,4.4,1013,30,9,44,8
2020-01-13,28,22,0.0,7.4,1,1,76,09:41 PM,09:24 AM,06:50 AM,06:42 PM,22,27,27,24,9,69,90,8.4,1012,28,8,54,6
2020-01-14,31,23,0.0,6.0,1,1,69,10:36 PM,10:16 AM,06:51 AM,06:42 PM,23,28,28,26,10,76,86,8.2,1012,31,8,68,7
2020-01-15,29,23,0.0,7.4,1,1,61,11:30 PM,11:06 AM,06:51 AM,06:43 PM,23,28,28,25,11,76,88,4.3,1011,29,9,60,7
2020-01-16,30,23,0.0,8.8,1,1,54,No moonrise,11:54 AM,06:51 AM,06:43 PM,22,28,28,25,9,67,86,1.1,1013,30,7,50,6
2020-01-17,31,23,0.0,10.2,1,1,47,12:21 AM,12:41 PM,06:52 AM,06:44 PM,22,28,28,26,10,74,82,0.9,1013,31,6,56,7
2020-01-18,31,23,0.0,7.4,1,1,40,01:13 AM,01:30 PM,06:52 AM,06:44 PM,22,29,29,26,10,64,80,0.6,1013,31,8,48,7
2020-01-19,31,23,0.0,6.0,1,1,32,02:05 AM,02:19 PM,06:52 AM,06:44 PM,22,29,29,26,12,74,79,1.1,1013,31,10,53,8
2020-01-20,31,23,0.0,7.4,1,1,25,02:59 AM,03:10 PM,06:52 AM,06:45 PM,22,28,28,26,13,65,81,3.4,1012,31,9,58,9
2020-01-21,29,22,0.0,6.0,1,1,18,03:54 AM,04:03 PM,06:53 AM,06:45 PM,21,27,27,25,10,68,79,1.7,1012,29,10,52,7
2020-01-22,30,21,0.0,7.4,1,1,11,04:49 AM,04:57 PM,06:53 AM,06:46 PM,20,26,26,25,9,57,78,0.3,1012,30,8,53,6
2020-01-23,31,20,0.0,11.6,1,1,3,05:43 AM,05:51 PM,06:53 AM,06:46 PM,19,27,27,25,10,23,76,0.0,1011,31,8,57,7
2020-01-24,29,20,0.0,6.0,1,1,0,06:36 AM,06:43 PM,06:53 AM,06:46 PM,21,26,26,24,9,69,82,0.5,1012,29,8,56,6
2020-01-25,28,22,0.0,8.8,1,1,0,07:26 AM,07:34 PM,06:53 AM,06:47 PM,23,27,27,24,9,78,92,14.8,1012,28,6,39,5
2020-01-26,29,22,0.0,6.0,1,1,4,08:12 AM,08:22 PM,06:53 AM,06:47 PM,23,28,28,25,10,91,87,8.3,1013,29,6,61,6
2020-01-27,29,23,0.0,7.4,1,1,11,08:56 AM,09:08 PM,06:54 AM,06:47 PM,23,28,28,25,9,78,93,20.1,1013,29,7,66,5
2020-01-28,31,22,0.0,8.8,1,1,18,09:38 AM,09:52 PM,06:54 AM,06:47 PM,23,29,29,26,9,82,85,0.5,1012,31,6,61,6
2020-01-29,31,23,0.0,7.4,1,1,26,10:17 AM,10:34 PM,06:54 AM,06:48 PM,22,29,29,26,12,66,81,2.3,1012,31,10,63,8
2020-01-30,29,23,0.0,6.0,1,1,33,10:56 AM,11:17 PM,06:54 AM,06:48 PM,23,28,28,25,11,87,87,3.8,1012,29,5,63,7
2020-01-31,30,23,0.0,7.4,1,1,37,11:36 AM,12:00 AM,06:54 AM,06:48 PM,22,28,28,26,12,74,82,1.3,1014,30,8,62,8
2020-02-01,30,21,0.0,7.4,1,1,49,12:16 PM,No moonset,06:54 AM,06:49 PM,20,27,27,25,10,56,77,0.2,1014,30,10,53,7
2020-02-02,30,20,0.0,8.8,1,1,57,12:58 PM,12:44 AM,06:54 AM,06:49 PM,20,26,26,24,10,43,77,0.2,1014,30,7,56,7
2020-02-03,30,21,0.0,7.4,1,1,64,01:44 PM,01:31 AM,06:54 AM,06:49 PM,21,27,27,25,10,56,78,0.4,1014,30,8,39,7
2020-02-04,31,22,0.0,6.0,1,1,72,02:33 PM,02:21 AM,06:54 AM,06:49 PM,21,28,28,25,11,63,79,1.4,1014,31,8,41,7
2020-02-05,30,22,0.0,8.8,1,1,79,03:27 PM,03:15 AM,06:54 AM,06:49 PM,21,28,28,25,13,66,77,2.2,1014,30,10,55,9
2020-02-06,30,22,0.0,8.8,1,1,87,04:24 PM,04:12 AM,06:54 AM,06:50 PM,20,27,27,25,13,73,76,1.8,1014,30,10,57,9
2020-02-07,30,21,0.0,6.0,1,1,95,05:25 PM,05:11 AM,06:54 AM,06:50 PM,20,27,27,25,12,68,77,1.3,1013,30,9,44,8
2020-02-08,30,22,0.0,7.4,1,1,100,06:26 PM,06:10 AM,06:54 AM,06:50 PM,21,27,27,25,10,61,78,3.6,1013,30,10,32,7
2020-02-09,30,21,0.0,6.0,1,1,100,07:26 PM,07:09 AM,06:54 AM,06:50 PM,20,27,27,25,12,66,78,0.8,1015,30,7,64,8
2020-02-10,30,21,0.0,8.8,1,1,83,08:24 PM,08:04 AM,06:54 AM,06:50 PM,22,28,28,25,10,58,84,7.3,1014,30,8,49,6
2020-02-11,27,23,0.0,6.0,1,1,75,09:20 PM,08:57 AM,06:53 AM,06:50 PM,23,27,27,25,14,78,91,42.1,1013,27,7,62,7
2020-02-12,29,22,0.0,7.4,1,1,68,10:14 PM,09:48 AM,06:53 AM,06:50 PM,21,27,27,25,10,70,81,0.7,1013,29,10,51,7
2020-02-13,29,22,0.0,8.8,1,1,60,11:08 PM,10:37 AM,06:53 AM,06:51 PM,21,27,27,24,11,60,82,2.0,1012,29,9,52,7
