date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,26,18,0.0,7.2,1,1,80,03:11 PM,03:21 AM,06:29 AM,05:53 PM,22,27,27,25,37,60,78,0.5,1015,26,10,87,28
2020-01-08,27,23,0.0,4.2,1,1,88,04:02 PM,04:16 AM,06:29 AM,05:54 PM,22,29,29,26,39,72,78,2.8,1016,27,10,76,28
2020-01-09,27,23,0.0,7.2,1,1,95,04:57 PM,05:14 AM,06:30 AM,05:54 PM,22,29,29,26,52,71,75,1.7,1016,27,10,74,39
2020-01-10,27,25,0.0,8.7,1,1,100,05:57 PM,06:13 AM,06:30 AM,05:55 PM,21,29,29,26,61,53,72,0.8,1016,27,10,75,45
2020-01-11,27,23,0.0,5.7,1,1,100,06:59 PM,07:12 AM,06:30 AM,05:55 PM,22,29,29,26,51,68,75,2.0,1016,27,9,74,38
2020-01-12,27,22,0.0,4.2,1,1,83,08:01 PM,08:08 AM,06:30 AM,05:56 PM,21,28,28,26,53,71,74,4.4,1017,27,10,75,39
2020-01-13,26,26,0.0,4.2,1,1,76,09:01 PM,09:01 AM,06:31 AM,05:56 PM,21,28,28,26,52,81,75,2.5,1016,26,9,71,39
2020-01-14,27,22,0.0,4.2,1,1,69,10:00 PM,09:51 AM,06:31 AM,05:57 PM,22,28,28,26,48,78,76,8.2,1014,27,10,74,35
2020-01-15,27,22,0.0,8.7,1,1,61,10:56 PM,10:37 AM,06:31 AM,05:57 PM,22,29,29,26,48,56,76,0.7,1014,27,10,77,35
2020-01-16,26,26,0.0,7.2,1,1,54,11:52 PM,11:22 AM,06:31 AM,05:58 PM,22,29,29,26,40,52,78,1.9,1015,26,10,68,29
2020-01-17,26,26,0.0,8.7,1,1,47,No moonrise,12:06 PM,06:31 AM,05:58 PM,22,29,29,26,33,46,79,0.6,1016,26,10,83,24
2020-01-18,26,26,0.0,8.7,1,1,40,12:47 AM,12:50 PM,06:31 AM,05:59 PM,22,29,29,26,39,46,80,0.2,1016,26,10,66,29
2020-01-19,26,20,0.0,8.7,1,1,32,01:43 AM,01:37 PM,06:31 AM,05:59 PM,21,27,27,25,47,31,77,0.0,1015,26,10,74,35
2020-01-20,27,26,0.0,8.7,1,1,25,02:38 AM,02:26 PM,06:32 AM,06:00 PM,22,29,29,26,40,63,78,1.4,1014,27,10,81,29
2020-01-21,26,26,0.0,7.3,1,1,18,03:35 AM,03:17 PM,06:32 AM,06:00 PM,22,29,29,26,40,57,78,2.5,1013,26,10,88,29
2020-01-22,26,22,0.0,7.3,1,1,11,04:31 AM,04:10 PM,06:32 AM,06:01 PM,22,27,27,25,31,62,80,2.9,1012,26,10,104,23
2020-01-23,26,24,0.0,5.8,1,1,3,05:26 AM,05:04 PM,06:32 AM,06:01 PM,22,28,28,26,34,66,80,3.9,1012,26,10,84,25
2020-01-24,27,23,0.0,5.9,1,1,0,06:18 AM,05:58 PM,06:32 AM,06:02 PM,23,29,29,26,36,73,80,10.4,1013,27,9,96,24
2020-01-25,27,26,0.0,7.3,1,1,0,07:06 AM,06:50 PM,06:32 AM,06:02 PM,22,29,29,26,29,69,80,1.5,1014,27,10,98,21
