date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,8,5,0.0,8.7,1,1,80,02:07 PM,04:10 AM,07:45 AM,04:48 PM,1,5,6,5,12,23,71,0.0,1026,8,10,319,8
2020-01-08,8,4,0.0,8.7,1,1,88,02:47 PM,05:16 AM,07:45 AM,04:49 PM,1,4,6,4,17,1,69,0.0,1029,8,10,308,11
2020-01-09,10,6,0.0,8.7,1,1,95,03:35 PM,06:22 AM,07:44 AM,04:50 PM,-1,7,7,7,10,8,55,0.0,1028,10,10,111,6
2020-01-10,12,6,0.0,8.7,1,1,100,04:33 PM,07:24 AM,07:44 AM,04:51 PM,3,8,9,8,12,12,68,0.0,1025,12,10,202,7
2020-01-11,9,6,0.0,6.9,1,1,100,05:40 PM,08:19 AM,07:44 AM,04:53 PM,5,5,8,5,20,47,83,0.0,1027,9,10,319,14
2020-01-12,9,7,0.0,8.7,1,1,83,06:53 PM,09:07 AM,07:43 AM,04:54 PM,4,7,8,7,13,18,73,0.0,1028,9,10,314,9
2020-01-13,9,7,0.0,8.7,1,1,76,08:09 PM,09:47 AM,07:43 AM,04:55 PM,3,7,8,7,8,46,73,0.0,1026,9,10,109,5
2020-01-14,11,5,0.0,8.7,1,1,69,09:26 PM,10:21 AM,07:43 AM,04:56 PM,2,7,8,7,9,26,68,0.0,1026,11,10,143,6
2020-01-15,10,7,0.0,8.7,1,1,61,10:40 PM,10:51 AM,07:42 AM,04:57 PM,4,7,8,7,9,21,74,0.0,1029,10,10,322,6
2020-01-16,10,7,0.0,6.9,1,1,54,11:54 PM,11:19 AM,07:42 AM,04:59 PM,5,7,8,7,14,46,80,0.0,1030,10,10,312,9
2020-01-17,11,6,0.0,8.7,1,1,47,No moonrise,11:46 AM,07:41 AM,05:00 PM,5,7,9,7,15,22,75,0.0,1026,11,10,152,10
2020-01-18,10,5,0.0,3.6,1,1,40,01:06 AM,12:14 PM,07:40 AM,05:01 PM,7,7,9,7,23,91,86,9.6,1021,10,9,275,16
2020-01-19,9,8,0.0,8.7,1,1,32,02:18 AM,12:45 PM,07:40 AM,05:02 PM,3,5,9,5,42,58,67,6.9,1026,9,10,60,31
2020-01-20,8,3,0.0,3.6,1,1,25,03:29 AM,01:20 PM,07:39 AM,05:04 PM,3,4,8,4,39,89,71,0.1,1038,8,10,43,30
2020-01-21,8,6,0.0,7.0,1,1,18,04:37 AM,02:00 PM,07:38 AM,05:05 PM,2,4,7,4,15,50,73,0.0,1041,8,10,318,11
2020-01-22,8,3,0.0,5.3,1,1,11,05:41 AM,02:48 PM,07:38 AM,05:06 PM,3,5,6,5,8,64,77,0.0,1034,8,10,227,5
2020-01-23,8,6,0.0,8.7,1,1,3,06:38 AM,03:42 PM,07:37 AM,05:08 PM,3,6,7,6,7,9,78,0.0,1030,8,10,222,5
2020-01-24,9,5,0.0,8.7,1,1,0,07:28 AM,04:40 PM,07:36 AM,05:09 PM,4,7,7,7,6,27,82,0.1,1028,9,10,149,4
2020-01-25,10,8,0.0,3.7,1,1,0,08:09 AM,05:42 PM,07:35 AM,05:10 PM,7,9,9,9,7,87,88,5.0,1023,10,7,292,5
2020-01-26,10,8,0.0,3.7,1,1,4,08:44 AM,06:44 PM,07:34 AM,05:12 PM,7,7,9,7,12,98,88,0.2,1020,10,8,321,8
2020-01-27,11,7,0.0,7.0,1,1,11,09:13 AM,07:47 PM,07:34 AM,05:13 PM,6,8,9,8,12,51,81,0.0,1019,11,10,127,7
2020-01-28,15,10,0.0,8.7,1,1,18,09:39 AM,08:48 PM,07:33 AM,05:14 PM,7,10,12,10,39,50,70,0.2,1010,15,10,218,25
2020-01-29,13,9,0.0,8.7,1,1,26,10:02 AM,09:48 PM,07:32 AM,05:16 PM,5,10,11,10,21,17,69,0.0,1010,13,10,199,13
2020-01-30,13,9,0.0,8.7,1,1,33,10:24 AM,10:48 PM,07:31 AM,05:17 PM,6,10,10,10,10,27,74,0.0,1019,13,10,112,6
2020-01-31,14,7,0.0,3.7,1,1,37,10:46 AM,11:48 PM,07:30 AM,05:19 PM,8,11,11,11,9,71,79,0.0,1020,14,10,244,6
2020-02-01,16,11,0.0,7.0,1,1,49,11:09 AM,No moonset,07:28 AM,05:20 PM,9,12,13,12,15,56,80,0.0,1019,16,10,204,9
2020-02-02,14,11,0.0,8.7,1,1,57,11:35 AM,12:49 AM,07:27 AM,05:21 PM,9,12,12,12,8,30,82,0.0,1019,14,10,123,5
2020-02-03,15,11,0.0,8.7,1,1,64,12:03 PM,01:53 AM,07:26 AM,05:23 PM,10,12,12,12,11,7,83,0.0,1017,15,10,96,6
2020-02-04,16,10,0.0,8.7,1,1,72,12:38 PM,02:57 AM,07:25 AM,05:24 PM,4,10,12,10,40,8,61,0.0,1008,16,10,301,24
2020-02-05,11,7,0.0,8.7,1,1,79,01:21 PM,04:02 AM,07:24 AM,05:26 PM,-2,5,9,5,56,5,44,0.0,1017,11,10,345,40
2020-02-06,10,7,0.0,8.7,1,1,87,02:13 PM,05:05 AM,07:23 AM,05:27 PM,-4,6,8,6,29,5,41,0.0,1028,10,10,52,21
2020-02-07,10,6,0.0,8.7,1,1,95,03:16 PM,06:04 AM,07:21 AM,05:28 PM,-6,7,8,7,9,4,39,0.0,1027,10,10,115,5
2020-02-08,10,6,0.0,8.7,1,1,100,04:28 PM,06:56 AM,07:20 AM,05:30 PM,0,7,8,7,10,25,61,0.0,1028,10,10,113,7
2020-02-09,11,7,0.0,8.7,1,1,100,05:45 PM,07:40 AM,07:19 AM,05:31 PM,3,8,9,8,12,34,66,0.0,1030,11,10,129,7
