date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,18,10,0.0,8.7,1,1,80,02:27 PM,03:10 AM,06:38 AM,05:20 PM,-1,13,14,13,15,7,37,0.0,1021,18,10,125,11
2020-01-08,21,12,0.0,8.7,1,1,88,03:13 PM,04:07 AM,06:38 AM,05:20 PM,1,15,16,15,29,13,37,0.0,1016,21,10,163,20
2020-01-09,22,16,0.0,8.7,1,1,95,04:05 PM,05:07 AM,06:39 AM,05:21 PM,6,18,19,18,24,28,46,0.0,1013,22,10,242,17
2020-01-10,19,11,0.0,8.7,1,1,100,05:04 PM,06:07 AM,06:39 AM,05:22 PM,3,14,15,14,19,7,48,0.0,1011,19,10,245,14
2020-01-11,15,10,0.0,8.7,1,1,100,06:06 PM,07:05 AM,06:39 AM,05:23 PM,-1,10,12,10,31,9,41,0.0,1016,15,10,324,23
2020-01-12,14,8,0.0,8.7,1,1,83,07:12 PM,08:00 AM,06:39 AM,05:23 PM,-2,8,11,8,28,0,43,0.0,1024,14,10,335,21
2020-01-13,18,8,0.0,8.7,1,1,76,08:17 PM,08:50 AM,06:39 AM,05:24 PM,-4,12,12,12,11,3,34,0.0,1021,18,10,238,7
2020-01-14,17,10,0.0,8.7,1,1,69,09:22 PM,09:36 AM,06:39 AM,05:25 PM,-3,12,13,12,25,2,34,0.0,1021,17,10,336,18
2020-01-15,15,6,0.0,8.7,1,1,61,10:24 PM,10:17 AM,06:39 AM,05:26 PM,-4,9,10,9,19,2,36,0.0,1026,15,10,120,13
2020-01-16,18,9,0.0,8.7,1,1,54,11:25 PM,10:57 AM,06:39 AM,05:26 PM,-1,12,13,12,20,2,40,0.0,1024,18,10,159,14
2020-01-17,21,11,0.0,8.7,1,1,47,No moonrise,11:36 AM,06:39 AM,05:27 PM,1,14,15,14,33,3,41,0.0,1020,21,10,166,22
2020-01-18,24,13,0.0,8.7,1,1,40,12:25 AM,12:15 PM,06:39 AM,05:28 PM,-2,17,18,17,28,4,28,0.0,1016,24,10,204,17
2020-01-19,23,15,0.0,8.7,1,1,32,01:26 AM,12:57 PM,06:39 AM,05:29 PM,1,18,19,18,14,7,33,0.0,1015,23,10,257,9
2020-01-20,20,12,0.0,8.7,1,1,25,02:26 AM,01:41 PM,06:39 AM,05:29 PM,2,15,16,15,19,13,42,0.0,1020,20,10,54,13
2020-01-21,21,12,0.0,8.7,1,1,18,03:27 AM,02:28 PM,06:38 AM,05:30 PM,3,15,16,15,29,14,43,0.0,1017,21,10,158,20
2020-01-22,22,14,0.0,8.7,1,1,11,04:25 AM,03:19 PM,06:38 AM,05:31 PM,2,16,17,16,39,10,37,0.0,1014,22,10,257,28
2020-01-23,15,10,0.0,8.7,1,1,3,05:22 AM,04:13 PM,06:38 AM,05:32 PM,-4,11,12,11,25,19,32,0.0,1020,15,10,179,20
2020-01-24,16,8,0.0,8.7,1,1,0,06:13 AM,05:08 PM,06:38 AM,05:32 PM,-5,11,12,11,14,4,32,0.0,1021,16,10,121,9
2020-01-25,17,10,0.0,8.7,1,1,0,07:01 AM,06:04 PM,06:37 AM,05:33 PM,-3,12,13,12,29,1,32,0.0,1020,17,10,308,21
2020-01-26,14,6,0.0,8.7,1,1,4,07:44 AM,06:58 PM,06:37 AM,05:34 PM,-4,6,9,6,33,0,40,0.0,1026,14,10,341,25
2020-01-27,16,7,0.0,8.7,1,1,11,08:22 AM,07:51 PM,06:37 AM,05:34 PM,-3,9,11,9,18,0,39,0.0,1026,16,10,338,12
2020-01-28,18,7,0.0,8.7,1,1,18,08:57 AM,08:42 PM,06:37 AM,05:35 PM,-7,12,12,12,12,1,28,0.0,1022,18,10,135,7
2020-01-29,22,10,0.0,7.2,1,1,26,09:31 AM,09:33 PM,06:36 AM,05:36 PM,-7,15,15,15,23,21,21,0.0,1018,22,10,199,15
2020-01-30,20,11,0.0,8.7,1,1,33,10:02 AM,10:22 PM,06:36 AM,05:37 PM,-4,14,15,14,25,3,27,0.0,1021,20,10,345,16
2020-01-31,21,10,0.0,8.7,1,1,37,10:34 AM,11:12 PM,06:35 AM,05:37 PM,-3,16,16,16,15,7,29,0.0,1018,21,10,139,10
2020-02-01,23,15,0.0,8.7,1,1,49,11:07 AM,No moonset,06:35 AM,05:38 PM,-2,18,19,18,30,21,27,0.0,1016,23,10,170,20
2020-02-02,19,10,0.0,8.7,1,1,57,11:42 AM,12:03 AM,06:35 AM,05:39 PM,-7,14,14,14,18,4,24,0.0,1021,19,10,19,12
2020-02-03,19,10,0.0,8.7,1,1,64,12:19 PM,12:56 AM,06:34 AM,05:39 PM,-3,13,14,13,15,8,32,0.0,1023,19,10,74,10
2020-02-04,21,10,0.0,8.7,1,1,72,01:02 PM,01:52 AM,06:34 AM,05:40 PM,-3,15,16,15,24,11,28,0.0,1019,21,10,151,18
2020-02-05,22,14,0.0,8.7,1,1,79,01:50 PM,02:49 AM,06:33 AM,05:41 PM,2,17,18,17,27,32,35,0.0,1018,22,10,158,18
2020-02-06,24,15,0.0,8.7,1,1,87,02:45 PM,03:49 AM,06:33 AM,05:41 PM,2,19,19,19,31,29,32,0.0,1019,24,10,170,20
2020-02-07,29,17,0.0,8.7,1,1,95,03:46 PM,04:47 AM,06:32 AM,05:42 PM,3,22,22,22,30,6,29,0.0,1016,29,10,210,19
2020-02-08,29,18,0.0,8.7,1,1,100,04:51 PM,05:45 AM,06:32 AM,05:43 PM,5,24,24,24,32,10,30,0.0,1015,29,10,258,21
2020-02-09,21,16,0.0,8.7,1,1,100,05:58 PM,06:37 AM,06:31 AM,05:43 PM,-0,18,18,18,22,29,29,0.0,1018,21,10,60,16
2020-02-10,18,10,0.0,8.7,1,1,83,07:05 PM,07:27 AM,06:30 AM,05:44 PM,-1,14,14,14,17,15,35,0.0,1018,18,10,86,13
2020-02-11,16,6,0.0,8.7,1,1,75,08:10 PM,08:11 AM,06:30 AM,05:45 PM,-2,9,11,9,23,3,43,0.0,1021,16,10,97,18
2020-02-12,14,3,0.0,8.7,1,1,68,09:15 PM,08:53 AM,06:29 AM,05:45 PM,-12,5,8,5,22,1,23,0.0,1029,14,10,184,16
2020-02-13,17,4,0.0,8.7,1,1,60,10:17 PM,09:34 AM,06:28 AM,05:46 PM,-13,10,10,10,10,0,18,0.0,1028,17,10,112,6
2020-02-14,22,9,0.0,8.7,1,1,53,11:20 PM,10:14 AM,06:28 AM,05:47 PM,-9,15,15,15,14,0,19,0.0,1023,22,10,141,8
2020-02-15,24,12,0.0,8.7,1,1,45,No moonrise,10:56 AM,06:27 AM,05:47 PM,-10,18,18,18,16,0,15,0.0,1020,24,10,130,9
2020-02-16,26,13,0.0,8.7,1,1,38,12:21 AM,11:40 AM,06:26 AM,05:48 PM,-10,19,19,19,33,6,14,0.0,1017,26,10,160,21
2020-02-17,28,16,0.0,8.7,1,1,30,01:22 AM,12:26 PM,06:26 AM,05:48 PM,-9,21,21,22,33,19,13,0.0,1015,28,10,169,20
2020-02-18,29,17,0.0,8.7,1,1,22,02:20 AM,01:16 PM,06:25 AM,05:49 PM,-8,22,22,22,36,20,13,0.0,1015,29,10,158,23
2020-02-19,31,18,0.0,8.7,1,1,15,03:17 AM,02:08 PM,06:24 AM,05:50 PM,-2,23,23,24,41,14,19,0.0,1012,31,10,166,27
2020-02-20,25,18,0.0,8.7,1,1,7,04:09 AM,03:02 PM,06:23 AM,05:50 PM,2,22,22,22,28,6,28,0.0,1013,25,10,320,21
2020-02-21,22,12,0.0,8.7,1,1,0,04:58 AM,03:57 PM,06:23 AM,05:51 PM,-1,17,17,17,16,12,31,0.0,1017,22,10,23,10
2020-02-22,27,14,0.0,8.7,1,1,0,05:42 AM,04:51 PM,06:22 AM,05:51 PM,0,20,20,20,27,6,27,0.0,1017,27,10,145,18
2020-02-23,29,16,0.0,8.7,1,1,0,06:21 AM,05:44 PM,06:21 AM,05:52 PM,5,22,22,22,31,6,33,0.0,1016,29,10,148,21
2020-02-24,31,20,0.0,8.7,1,1,0,06:57 AM,06:36 PM,06:20 AM,05:52 PM,9,25,25,25,40,10,39,0.0,1013,31,10,153,27
2020-02-25,34,19,0.0,7.2,1,1,8,07:31 AM,07:27 PM,06:19 AM,05:53 PM,1,26,26,26,38,31,24,0.1,1010,34,10,196,25
2020-02-26,23,14,0.0,8.7,1,1,15,08:03 AM,08:16 PM,06:19 AM,05:53 PM,-1,18,18,18,35,21,27,0.2,1017,23,10,335,26
2020-02-27,24,12,0.0,8.7,1,1,23,08:34 AM,09:06 PM,06:18 AM,05:54 PM,-1,18,18,18,22,0,30,0.0,1020,24,10,251,14
2020-02-28,26,11,0.0,8.7,1,1,30,09:06 AM,09:57 PM,06:17 AM,05:55 PM,-4,19,18,19,14,0,23,0.0,1017,26,10,177,8
2020-02-29,30,15,0.0,8.7,1,1,38,09:40 AM,10:48 PM,06:16 AM,05:55 PM,-3,21,21,22,24,2,19,0.0,1012,30,10,178,14
2020-03-01,32,18,0.0,8.7,1,1,44,10:15 AM,11:42 PM,06:15 AM,05:56 PM,-1,24,24,25,31,4,19,0.0,1010,32,10,259,20
2020-03-02,24,15,0.0,8.7,1,1,51,10:55 AM,No moonset,06:14 AM,05:56 PM,-3,19,19,19,32,0,23,0.0,1018,24,10,11,22
2020-03-03,24,11,0.0,8.7,1,1,58,11:40 AM,12:37 AM,06:13 AM,05:57 PM,-6,17,17,17,19,0,22,0.0,1020,24,10,24,11
2020-03-04,25,11,0.0,8.7,1,1,65,12:30 PM,01:34 AM,06:12 AM,05:57 PM,-4,18,18,18,13,0,22,0.0,1018,25,10,183,8
2020-03-05,26,12,0.0,8.7,1,1,73,01:26 PM,02:31 AM,06:11 AM,05:57 PM,-4,19,19,19,12,0,22,0.0,1017,26,10,67,6
2020-03-06,30,15,0.0,8.7,1,1,80,02:28 PM,03:28 AM,06:10 AM,05:58 PM,-4,21,21,22,21,1,18,0.0,1014,30,10,166,13
2020-03-07,31,19,0.0,8.7,1,1,87,03:34 PM,04:22 AM,06:10 AM,05:58 PM,-4,24,24,25,32,0,16,0.0,1012,31,10,278,20
2020-03-08,27,15,0.0,8.7,1,1,95,04:40 PM,05:13 AM,06:09 AM,05:59 PM,-2,20,20,20,28,0,23,0.0,1016,27,10,323,19
2020-03-09,24,13,0.0,8.7,1,1,100,05:48 PM,06:00 AM,06:08 AM,05:59 PM,1,18,19,18,27,0,32,0.0,1017,24,10,186,18
2020-03-10,26,12,0.0,11.6,1,1,100,06:54 PM,06:43 AM,06:07 AM,06:00 PM,-1,19,19,19,13,0,27,0.0,1017,26,10,91,8
2020-03-11,27,15,0.0,11.6,1,1,84,08:00 PM,07:26 AM,06:06 AM,06:00 PM,-4,20,20,21,20,15,19,0.0,1017,27,10,143,12
2020-03-12,29,16,0.0,11.6,1,1,76,09:05 PM,08:07 AM,06:05 AM,06:01 PM,-5,21,21,22,25,41,17,0.0,1016,29,10,149,16
2020-03-13,30,16,0.0,11.6,1,1,69,10:09 PM,08:50 AM,06:04 AM,06:01 PM,-9,22,22,23,37,20,12,0.0,1013,30,10,157,25
2020-03-14,25,18,0.0,8.8,1,1,62,11:13 PM,09:35 AM,06:03 AM,06:02 PM,3,21,21,21,30,52,34,0.4,1012,25,9,170,21
2020-03-15,28,16,0.0,11.6,1,1,55,No moonrise,10:21 AM,06:02 AM,06:02 PM,4,21,21,22,20,6,35,0.0,1011,28,10,333,13
2020-03-16,27,16,0.0,11.6,1,1,47,12:14 AM,11:11 AM,06:01 AM,06:02 PM,4,21,21,21,22,4,33,0.0,1014,27,10,187,14
