date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,22,14,0.0,11.2,1,1,80,04:07 PM,04:22 AM,07:37 AM,06:55 PM,11,20,22,20,54,7,51,0.0,1014,22,10,27,37
2020-01-08,22,15,0.0,11.2,1,1,88,04:57 PM,05:17 AM,07:37 AM,06:56 PM,10,20,23,20,56,12,49,0.0,1015,22,10,33,38
2020-01-09,22,15,0.0,11.2,1,1,95,05:53 PM,06:15 AM,07:38 AM,06:56 PM,10,20,21,20,58,11,49,0.0,1016,22,10,30,40
2020-01-10,22,16,0.0,11.2,1,1,100,06:52 PM,07:14 AM,07:38 AM,06:57 PM,11,20,23,20,60,0,51,0.0,1016,22,10,32,39
2020-01-11,21,15,0.0,11.2,1,1,100,07:54 PM,08:13 AM,07:38 AM,06:57 PM,11,20,21,20,53,1,52,0.0,1015,21,10,29,34
2020-01-12,22,17,0.0,11.2,1,1,83,08:56 PM,09:09 AM,07:38 AM,06:58 PM,12,20,23,20,52,6,56,0.0,1015,22,10,23,31
2020-01-13,23,17,0.0,11.2,1,1,76,09:57 PM,10:02 AM,07:38 AM,06:58 PM,13,21,23,21,47,2,55,0.0,1014,23,10,24,26
2020-01-14,22,15,0.0,11.2,1,1,69,10:57 PM,10:51 AM,07:39 AM,06:59 PM,12,21,23,21,48,17,54,0.0,1013,22,10,30,26
2020-01-15,23,20,0.0,11.6,1,1,61,11:54 PM,11:37 AM,07:39 AM,07:00 PM,13,22,24,22,48,8,57,0.0,1014,23,10,31,25
2020-01-16,22,15,0.0,11.6,1,1,54,No moonrise,12:21 PM,07:39 AM,07:00 PM,14,20,23,20,54,10,59,0.0,1014,22,10,21,28
2020-01-17,23,21,0.0,10.2,1,1,47,12:50 AM,01:05 PM,07:39 AM,07:01 PM,13,24,24,22,51,18,58,0.0,1015,23,10,111,26
2020-01-18,24,21,0.0,11.6,1,1,40,01:46 AM,01:49 PM,07:39 AM,07:01 PM,13,24,24,23,47,3,53,0.0,1014,24,10,124,23
2020-01-19,23,17,0.0,11.6,1,1,32,02:42 AM,02:34 PM,07:39 AM,07:02 PM,12,22,23,22,45,17,52,0.0,1013,23,10,118,22
2020-01-20,23,17,0.0,11.6,1,1,25,03:39 AM,03:22 PM,07:39 AM,07:02 PM,14,24,24,22,37,15,59,0.0,1011,23,10,185,19
2020-01-21,23,16,0.0,5.8,1,1,18,04:36 AM,04:13 PM,07:39 AM,07:03 PM,15,21,24,21,36,54,62,0.0,1011,23,10,103,19
2020-01-22,23,18,0.0,11.6,1,1,11,05:33 AM,05:06 PM,07:39 AM,07:04 PM,15,21,24,21,43,20,65,0.0,1013,23,10,100,22
2020-01-23,22,18,0.0,7.3,1,1,3,06:27 AM,06:00 PM,07:39 AM,07:04 PM,15,22,24,22,50,50,63,0.4,1013,22,10,22,25
2020-01-24,24,15,0.0,11.6,1,1,0,07:20 AM,06:54 PM,07:39 AM,07:05 PM,16,24,24,22,50,22,64,0.1,1012,24,10,187,24
2020-01-25,24,22,0.0,11.6,1,1,0,08:08 AM,07:47 PM,07:39 AM,07:05 PM,16,25,25,23,71,6,66,0.0,1013,24,10,14,35
2020-01-26,23,17,0.0,10.2,1,1,4,08:53 AM,08:38 PM,07:39 AM,07:06 PM,17,21,24,21,66,18,69,0.0,1015,23,10,21,34
2020-01-27,23,15,0.0,11.6,1,1,11,09:34 AM,09:27 PM,07:39 AM,07:06 PM,16,24,24,22,59,12,64,0.0,1013,23,10,187,28
2020-01-28,23,19,0.0,11.6,1,1,18,10:12 AM,10:14 PM,07:39 AM,07:07 PM,17,25,25,22,48,0,68,0.0,1012,23,10,175,24
2020-01-29,27,23,0.0,11.6,1,1,26,10:49 AM,11:00 PM,07:39 AM,07:07 PM,15,26,26,25,34,1,53,0.0,1012,27,10,208,16
2020-01-30,26,24,0.0,11.6,1,1,33,11:25 AM,11:46 PM,07:39 AM,07:08 PM,13,26,26,25,46,0,48,0.0,1013,26,10,217,22
2020-01-31,26,24,0.0,11.6,1,1,37,12:00 PM,No moonset,07:39 AM,07:08 PM,14,26,26,25,67,0,52,0.0,1014,26,10,31,32
2020-02-01,23,16,0.0,11.6,1,1,49,12:37 PM,12:32 AM,07:39 AM,07:09 PM,15,24,24,22,54,0,61,0.0,1013,23,10,186,27
2020-02-02,25,23,0.0,11.6,1,1,57,01:16 PM,01:20 AM,07:38 AM,07:09 PM,15,25,25,24,35,6,58,0.0,1013,25,10,164,18
2020-02-03,24,16,0.0,7.3,1,1,64,01:58 PM,02:10 AM,07:38 AM,07:09 PM,16,25,25,22,24,70,61,0.0,1013,24,10,308,12
2020-02-04,24,19,0.0,10.2,1,1,72,02:44 PM,03:02 AM,07:38 AM,07:10 PM,16,25,25,22,34,57,61,0.0,1014,24,10,100,16
