date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,2,-5,0.0,8.7,1,1,80,01:32 PM,03:39 AM,07:16 AM,04:13 PM,-7,-2,-1,-2,4,12,62,0.0,1031,2,10,177,3
2020-01-08,4,-1,0.0,8.7,1,1,88,02:11 PM,04:45 AM,07:15 AM,04:14 PM,-5,0,1,0,5,2,61,0.0,1033,4,10,241,4
2020-01-09,4,-2,0.0,8.7,1,1,95,02:58 PM,05:52 AM,07:15 AM,04:15 PM,-4,-0,1,-0,8,24,69,0.0,1029,4,10,123,5
2020-01-10,8,1,0.0,8.7,1,1,100,03:56 PM,06:54 AM,07:15 AM,04:16 PM,-3,3,4,3,9,11,62,0.0,1024,8,10,246,5
2020-01-11,7,0,0.0,5.2,1,1,100,05:03 PM,07:50 AM,07:14 AM,04:17 PM,-1,1,3,1,14,46,77,0.0,1029,7,10,286,8
2020-01-12,4,-0,0.0,5.2,1,1,83,06:17 PM,08:37 AM,07:14 AM,04:19 PM,-1,-0,2,-0,9,43,86,0.0,1031,4,10,189,6
2020-01-13,7,0,0.0,8.7,1,1,76,07:34 PM,09:17 AM,07:14 AM,04:20 PM,0,3,3,3,5,5,81,0.0,1028,7,10,192,4
2020-01-14,7,1,0.0,8.7,1,1,69,08:50 PM,09:50 AM,07:13 AM,04:21 PM,0,4,4,4,5,3,76,0.0,1027,7,10,113,4
2020-01-15,9,2,0.0,8.7,1,1,61,10:06 PM,10:19 AM,07:13 AM,04:22 PM,0,3,5,3,11,2,74,0.0,1029,9,10,110,7
2020-01-16,8,2,0.0,8.7,1,1,54,11:20 PM,10:46 AM,07:12 AM,04:24 PM,1,5,5,5,5,0,77,0.0,1031,8,10,287,3
2020-01-17,7,0,0.0,8.7,1,1,47,No moonrise,11:13 AM,07:12 AM,04:25 PM,-1,1,3,1,19,18,74,0.0,1029,7,10,122,12
2020-01-18,5,-0,0.0,8.7,1,1,40,12:33 AM,11:40 AM,07:11 AM,04:26 PM,-3,-3,2,-3,27,5,70,0.0,1026,5,10,122,17
2020-01-19,3,-1,0.0,3.4,1,1,32,01:46 AM,12:10 PM,07:10 AM,04:27 PM,-2,-1,1,-1,7,86,80,0.0,1030,3,10,282,5
2020-01-20,3,-1,0.4,3.4,1,1,25,02:57 AM,12:44 PM,07:10 AM,04:29 PM,-2,-1,1,-1,8,88,79,0.5,1044,3,9,320,6
2020-01-21,2,-3,0.0,5.2,1,1,18,04:06 AM,01:25 PM,07:09 AM,04:30 PM,-2,-1,1,-1,7,63,83,0.3,1044,2,9,133,5
2020-01-22,6,-2,0.0,8.7,1,1,11,05:11 AM,02:11 PM,07:08 AM,04:31 PM,-2,-0,2,-0,10,8,76,0.0,1033,6,10,158,6
