date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,28,20,0.0,10.2,1,1,80,03:33 PM,02:55 AM,06:12 AM,06:35 PM,23,29,29,26,25,56,78,30.7,1011,28,8,297,17
2020-01-08,28,28,0.0,6.1,1,1,88,04:27 PM,03:45 AM,06:13 AM,06:36 PM,23,32,32,28,31,75,76,28.6,1011,28,8,299,19
2020-01-09,29,28,0.0,7.5,1,1,95,05:24 PM,04:38 AM,06:13 AM,06:36 PM,23,32,32,28,22,70,75,11.2,1010,29,9,274,15
2020-01-10,29,29,0.0,7.5,1,1,100,06:22 PM,05:35 AM,06:14 AM,06:36 PM,23,32,32,29,21,72,73,16.1,1009,29,9,315,13
2020-01-11,28,23,0.0,7.5,1,1,100,07:22 PM,06:35 AM,06:14 AM,06:37 PM,23,31,31,27,27,73,76,29.0,1010,28,7,282,16
2020-01-12,29,23,0.0,11.6,1,1,83,08:20 PM,07:36 AM,06:15 AM,06:37 PM,24,31,31,27,26,36,78,0.1,1010,29,10,317,19
2020-01-13,29,28,0.0,8.9,1,1,76,09:15 PM,08:34 AM,06:15 AM,06:37 PM,24,33,33,28,25,71,77,4.8,1010,29,9,336,18
2020-01-14,29,26,0.0,6.1,1,1,69,10:07 PM,09:32 AM,06:16 AM,06:38 PM,24,32,32,28,23,76,76,12.9,1010,29,8,349,16
2020-01-15,29,28,0.0,7.5,1,1,61,10:56 PM,10:26 AM,06:16 AM,06:38 PM,24,32,32,28,22,70,75,15.0,1010,29,9,333,15
2020-01-16,29,28,0.0,6.1,1,1,54,11:45 PM,11:19 AM,06:16 AM,06:38 PM,24,32,32,28,28,74,77,23.4,1010,29,8,327,17
2020-01-17,28,22,0.0,6.1,1,1,47,No moonrise,12:10 PM,06:17 AM,06:38 PM,24,31,31,27,53,72,79,38.0,1010,28,7,324,30
2020-01-18,27,21,0.0,6.1,1,1,40,12:32 AM,01:02 PM,06:17 AM,06:39 PM,24,29,29,26,33,84,84,65.2,1010,27,6,314,18
2020-01-19,28,24,0.0,6.1,1,1,32,01:21 AM,01:55 PM,06:18 AM,06:39 PM,24,31,31,27,27,68,80,12.5,1010,28,9,342,18
2020-01-20,28,27,0.0,8.9,1,1,25,02:10 AM,02:48 PM,06:18 AM,06:39 PM,24,32,32,28,37,63,80,21.7,1010,28,9,342,24
2020-01-21,28,22,0.0,7.5,1,1,18,03:02 AM,03:43 PM,06:18 AM,06:39 PM,24,31,31,27,24,63,77,0.2,1009,28,10,12,17
2020-01-22,29,22,0.0,10.2,1,1,11,03:56 AM,04:38 PM,06:19 AM,06:40 PM,24,31,31,27,28,51,78,0.0,1009,29,10,48,21
2020-01-23,29,27,0.0,10.2,1,1,3,04:50 AM,05:32 PM,06:19 AM,06:40 PM,25,34,34,29,29,53,80,0.2,1009,29,10,53,21
2020-01-24,29,21,0.0,10.2,1,1,0,05:44 AM,06:24 PM,06:20 AM,06:40 PM,25,32,32,28,18,40,77,0.2,1011,29,10,70,13
2020-01-25,29,21,0.0,11.6,1,1,0,06:35 AM,07:14 PM,06:20 AM,06:40 PM,24,31,31,27,13,57,73,5.6,1012,29,10,146,9
2020-01-26,29,23,0.0,6.1,1,1,4,07:26 AM,08:00 PM,06:20 AM,06:40 PM,23,31,31,28,11,71,71,18.5,1011,29,8,226,7
2020-01-27,29,23,0.0,7.5,1,1,11,08:13 AM,08:43 PM,06:20 AM,06:40 PM,24,32,32,28,20,68,76,0.7,1011,29,10,219,14
2020-01-28,29,24,0.0,6.1,1,1,18,08:58 AM,09:25 PM,06:21 AM,06:40 PM,24,33,33,28,40,78,77,27.9,1010,29,8,308,24
2020-01-29,29,20,0.0,7.5,1,1,26,09:42 AM,10:04 PM,06:21 AM,06:40 PM,23,31,31,27,32,68,74,52.7,1011,29,6,325,17
2020-01-30,29,24,0.0,7.5,1,1,33,10:24 AM,10:43 PM,06:21 AM,06:41 PM,24,30,30,27,44,82,84,85.1,1011,29,5,281,23
2020-01-31,28,26,0.0,6.1,1,1,37,11:06 AM,11:23 PM,06:22 AM,06:41 PM,24,31,31,27,38,75,82,19.1,1010,28,9,289,27
2020-02-01,27,23,0.0,6.1,1,1,49,11:50 AM,No moonset,06:22 AM,06:41 PM,23,29,29,26,42,85,82,47.8,1011,27,7,315,24
2020-02-02,29,28,0.0,7.5,1,1,57,12:34 PM,12:03 AM,06:22 AM,06:41 PM,23,32,32,29,34,68,73,12.1,1011,29,9,297,23
2020-02-03,29,28,0.0,7.5,1,1,64,01:22 PM,12:46 AM,06:22 AM,06:41 PM,24,33,33,28,38,65,76,7.3,1011,29,10,321,27
2020-02-04,28,20,0.0,11.6,1,1,72,02:12 PM,01:33 AM,06:23 AM,06:41 PM,24,31,31,27,38,55,78,1.2,1011,28,10,317,28
2020-02-05,28,26,0.0,11.6,1,1,79,03:07 PM,02:23 AM,06:23 AM,06:41 PM,24,32,32,28,38,32,76,0.0,1011,28,10,289,28
2020-02-06,29,26,0.0,6.1,1,1,87,04:04 PM,03:18 AM,06:23 AM,06:41 PM,24,32,32,28,48,64,79,5.2,1011,29,10,294,35
2020-02-07,29,28,0.0,6.1,1,1,95,05:04 PM,04:16 AM,06:23 AM,06:41 PM,25,33,33,29,37,72,79,1.9,1012,29,10,270,27
2020-02-08,29,28,0.0,7.5,1,1,100,06:03 PM,05:17 AM,06:23 AM,06:40 PM,24,33,33,29,37,71,78,3.9,1012,29,10,279,27
2020-02-09,28,28,0.0,6.1,1,1,100,07:01 PM,06:17 AM,06:23 AM,06:40 PM,24,33,33,28,36,77,79,8.2,1011,28,9,281,25
2020-02-10,28,28,0.0,7.5,1,1,83,07:56 PM,07:17 AM,06:24 AM,06:40 PM,24,32,32,28,37,70,81,6.7,1010,28,9,287,26
2020-02-11,28,26,0.0,6.1,1,1,75,08:48 PM,08:14 AM,06:24 AM,06:40 PM,24,32,32,28,36,74,81,9.5,1009,28,9,275,25
2020-02-12,29,28,0.0,11.6,1,1,68,09:39 PM,09:10 AM,06:24 AM,06:40 PM,24,32,32,28,29,50,79,0.9,1010,29,10,307,21
2020-02-13,29,28,0.0,10.2,1,1,60,10:28 PM,10:04 AM,06:24 AM,06:40 PM,23,32,32,28,19,36,73,0.2,1012,29,10,333,14
2020-02-14,29,28,0.0,11.6,1,1,53,11:18 PM,10:57 AM,06:24 AM,06:40 PM,21,31,31,29,11,50,63,0.1,1012,29,10,66,8
2020-02-15,29,23,0.0,10.2,1,1,45,No moonrise,11:51 AM,06:24 AM,06:40 PM,21,30,30,27,10,45,65,0.2,1011,29,10,327,7
2020-02-16,29,28,0.0,7.5,1,1,38,12:08 AM,12:45 PM,06:24 AM,06:39 PM,24,33,33,29,26,72,75,1.6,1011,29,10,332,19
2020-02-17,29,23,0.0,6.1,1,1,30,12:59 AM,01:39 PM,06:24 AM,06:39 PM,24,32,32,28,19,73,74,2.0,1011,29,10,337,14
