date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,3,-3,0.0,8.7,1,1,80,01:36 PM,04:02 AM,07:42 AM,04:14 PM,-5,-3,-0,-3,11,17,73,0.0,1029,3,10,160,7
2020-01-08,4,-2,0.0,8.7,1,1,88,02:12 PM,05:11 AM,07:41 AM,04:15 PM,-1,-2,1,-2,12,36,87,0.0,1032,4,10,123,7
2020-01-09,1,0,0.0,3.3,1,1,95,02:58 PM,06:19 AM,07:41 AM,04:16 PM,-1,-2,1,-2,17,76,87,0.2,1026,1,10,114,10
2020-01-10,2,-2,0.0,8.7,1,1,100,03:56 PM,07:22 AM,07:40 AM,04:18 PM,-2,-2,0,-2,11,45,85,0.0,1023,2,10,111,7
2020-01-11,6,1,0.0,8.7,1,1,100,05:04 PM,08:17 AM,07:40 AM,04:19 PM,0,-0,3,-0,28,35,81,0.0,1031,6,10,328,16
2020-01-12,5,0,0.0,8.7,1,1,83,06:20 PM,09:02 AM,07:40 AM,04:20 PM,-0,-1,2,-1,15,8,87,0.0,1030,5,10,142,9
2020-01-13,4,-0,0.0,5.1,1,1,76,07:40 PM,09:39 AM,07:39 AM,04:21 PM,-1,-1,1,-1,14,52,87,0.0,1027,4,9,115,8
2020-01-14,2,-2,0.0,3.3,1,1,69,09:00 PM,10:09 AM,07:38 AM,04:23 PM,-2,-4,-0,-4,20,73,89,0.0,1024,2,8,120,12
2020-01-15,5,-2,0.0,5.1,1,1,61,10:18 PM,10:36 AM,07:38 AM,04:24 PM,-1,-4,1,-4,29,60,87,0.0,1026,5,9,133,18
2020-01-16,5,-0,0.0,8.7,1,1,54,11:36 PM,11:00 AM,07:37 AM,04:26 PM,-2,0,1,0,7,23,77,0.0,1032,5,9,333,4
2020-01-17,3,-1,0.0,8.7,1,1,47,No moonrise,11:24 AM,07:36 AM,04:27 PM,-3,-3,1,-3,23,54,78,0.0,1028,3,10,141,15
2020-01-18,1,-7,1.5,3.3,1,1,40,12:52 AM,11:49 AM,07:36 AM,04:28 PM,-3,-4,-1,-4,13,80,84,2.5,1027,1,8,262,8
2020-01-19,2,1,10.0,3.4,1,1,32,02:07 AM,12:16 PM,07:35 AM,04:30 PM,1,-3,1,-3,24,100,97,12.4,1031,2,4,339,15
2020-01-20,4,1,2.1,5.1,1,1,25,03:22 AM,12:47 PM,07:34 AM,04:31 PM,0,-1,2,-1,18,58,90,2.0,1045,4,8,348,12
2020-01-21,4,-0,0.0,8.7,1,1,18,04:33 AM,01:26 PM,07:33 AM,04:33 PM,-1,0,2,0,8,10,86,0.0,1043,4,10,133,5
2020-01-22,3,-2,0.0,8.7,1,1,11,05:39 AM,02:11 PM,07:32 AM,04:34 PM,-3,-2,1,-2,16,50,79,0.0,1033,3,8,316,10
2020-01-23,6,-2,0.0,8.7,1,1,3,06:36 AM,03:04 PM,07:31 AM,04:36 PM,-2,-2,1,-2,15,8,83,0.0,1035,6,10,254,9
2020-01-24,3,-3,0.0,8.7,1,1,0,07:25 AM,04:04 PM,07:30 AM,04:37 PM,-3,-4,0,-4,18,11,83,0.0,1028,3,10,149,12
2020-01-25,3,-2,0.0,6.9,1,1,0,08:05 AM,05:08 PM,07:29 AM,04:39 PM,-3,-1,-0,-1,6,21,81,0.0,1024,3,10,116,4
2020-01-26,1,-2,0.0,3.4,1,1,4,08:37 AM,06:13 PM,07:28 AM,04:40 PM,-4,-2,-0,-2,8,77,80,0.0,1023,1,10,96,6
2020-01-27,4,-2,0.0,8.7,1,1,11,09:03 AM,07:19 PM,07:27 AM,04:42 PM,-3,-1,1,-1,10,27,79,0.0,1019,4,10,237,5
2020-01-28,4,0,0.0,3.4,1,1,18,09:26 AM,08:23 PM,07:26 AM,04:44 PM,1,-0,2,-0,17,96,90,2.6,1006,4,9,71,10
2020-01-29,4,-1,1.6,5.2,1,1,26,09:47 AM,09:27 PM,07:25 AM,04:45 PM,-1,-1,2,-1,22,42,80,2.3,1009,4,8,278,13
2020-01-30,7,0,0.3,5.2,1,1,33,10:05 AM,10:29 PM,07:23 AM,04:47 PM,-1,0,3,0,23,49,75,0.2,1016,7,10,236,13
2020-01-31,12,3,0.0,3.5,1,1,37,10:24 AM,11:33 PM,07:22 AM,04:48 PM,4,5,8,5,28,57,77,1.1,1011,12,10,270,14
2020-02-01,12,6,0.0,8.7,1,1,49,10:44 AM,No moonset,07:21 AM,04:50 PM,6,7,9,7,15,29,84,0.0,1012,12,10,187,8
2020-02-02,13,4,0.0,5.2,1,1,57,11:07 AM,12:37 AM,07:19 AM,04:52 PM,6,7,10,7,34,71,74,4.4,1012,13,9,258,21
2020-02-03,9,8,0.0,3.5,1,1,64,11:33 AM,01:44 AM,07:18 AM,04:53 PM,6,6,9,6,38,84,79,9.6,1012,9,9,284,24
2020-02-04,9,3,0.0,3.5,1,1,72,12:05 PM,02:51 AM,07:17 AM,04:55 PM,2,2,6,2,48,84,74,4.8,1003,9,9,313,33
2020-02-05,4,-2,0.1,5.3,1,1,79,12:45 PM,03:58 AM,07:15 AM,04:57 PM,-3,-3,3,-3,44,69,67,0.4,1019,4,8,354,31
2020-02-06,5,-1,0.0,8.7,1,1,87,01:37 PM,05:03 AM,07:14 AM,04:58 PM,-4,-3,2,-3,33,23,68,0.0,1028,5,10,321,22
2020-02-07,7,0,0.0,7.0,1,1,95,02:40 PM,06:02 AM,07:12 AM,05:00 PM,-0,-1,3,-1,24,52,80,0.0,1028,7,9,328,15
2020-02-08,4,0,0.0,8.7,1,1,100,03:54 PM,06:52 AM,07:11 AM,05:01 PM,-3,-2,2,-2,21,25,71,0.0,1030,4,9,145,14
